symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
DE,Large-Cap,"Feb 14, 2025",469.90,481.14,467.10,480.22,480.22,3.00%,"1,918,284"
DE,Large-Cap,"Feb 13, 2025",454.50,474.38,451.22,466.22,466.22,-2.17%,"3,058,590"
DE,Large-Cap,"Feb 12, 2025",468.81,477.78,463.97,476.56,476.56,0.48%,"2,038,906"
DE,Large-Cap,"Feb 11, 2025",469.52,476.70,468.88,474.30,474.30,0.92%,"1,489,074"
DE,Large-Cap,"Feb 10, 2025",467.59,471.88,464.00,469.98,469.98,0.94%,"1,349,051"
DE,Large-Cap,"Feb 7, 2025",468.42,469.47,463.00,465.60,465.60,0.13%,"898,075"
DE,Large-Cap,"Feb 6, 2025",471.35,471.36,463.46,464.98,464.98,-0.58%,"809,354"
DE,Large-Cap,"Feb 5, 2025",472.51,473.99,464.71,467.68,467.68,-0.97%,"1,084,659"
DE,Large-Cap,"Feb 4, 2025",468.67,474.63,465.00,472.27,472.27,1.12%,"1,045,683"
DE,Large-Cap,"Feb 3, 2025",464.15,469.67,459.14,467.05,467.05,-2.00%,"1,397,663"
DE,Large-Cap,"Jan 31, 2025",479.00,479.59,474.06,476.56,476.56,-0.71%,"1,400,758"
DE,Large-Cap,"Jan 30, 2025",475.75,483.58,474.42,479.99,479.99,0.38%,"1,122,301"
DE,Large-Cap,"Jan 29, 2025",481.00,482.84,477.33,478.16,478.16,-0.38%,"977,036"
DE,Large-Cap,"Jan 28, 2025",482.41,485.84,476.32,479.99,479.99,-0.86%,"1,642,409"
DE,Large-Cap,"Jan 27, 2025",480.00,484.39,474.11,484.15,484.15,1.12%,"1,418,544"
DE,Large-Cap,"Jan 24, 2025",474.46,479.48,472.36,478.77,478.77,0.85%,"1,400,811"
DE,Large-Cap,"Jan 23, 2025",461.16,475.92,460.65,474.72,474.72,3.26%,"1,934,695"
DE,Large-Cap,"Jan 22, 2025",462.84,464.32,458.57,459.75,459.75,-0.73%,"1,132,229"
DE,Large-Cap,"Jan 21, 2025",458.47,465.59,453.55,463.15,463.15,1.69%,"1,733,913"
DE,Large-Cap,"Jan 17, 2025",447.81,457.23,443.64,455.44,455.44,3.72%,"2,315,715"
DE,Large-Cap,"Jan 16, 2025",431.89,439.87,428.51,439.11,439.11,2.39%,"1,181,427"
