symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
DHR,Large-Cap,"Feb 14, 2025",204.10,207.15,203.93,206.30,206.30,1.33%,"4,791,773"
DHR,Large-Cap,"Feb 13, 2025",202.63,205.65,201.25,203.59,203.59,0.70%,"7,198,798"
DHR,Large-Cap,"Feb 12, 2025",199.46,203.95,196.80,202.18,202.18,0.28%,"7,207,947"
DHR,Large-Cap,"Feb 11, 2025",202.25,203.10,199.75,201.62,201.62,-0.92%,"6,509,791"
DHR,Large-Cap,"Feb 10, 2025",205.85,206.98,203.00,203.50,203.50,-1.58%,"7,038,796"
DHR,Large-Cap,"Feb 7, 2025",210.37,210.79,205.79,206.76,206.76,-1.55%,"5,230,997"
DHR,Large-Cap,"Feb 6, 2025",213.00,214.31,209.10,210.01,210.01,-1.00%,"4,367,117"
DHR,Large-Cap,"Feb 5, 2025",216.36,216.44,210.93,212.13,212.13,-1.34%,"5,112,712"
DHR,Large-Cap,"Feb 4, 2025",210.50,215.15,210.04,215.01,215.01,0.35%,"7,520,700"
DHR,Large-Cap,"Feb 3, 2025",218.00,219.94,214.03,214.26,214.26,-3.81%,"5,787,848"
DHR,Large-Cap,"Jan 31, 2025",223.30,227.50,222.37,222.74,222.74,-0.15%,"4,785,871"
DHR,Large-Cap,"Jan 30, 2025",225.00,228.99,221.34,223.08,223.08,-0.29%,"6,668,401"
DHR,Large-Cap,"Jan 29, 2025",235.02,235.74,223.00,223.73,223.73,-9.73%,"11,407,445"
DHR,Large-Cap,"Jan 28, 2025",257.67,258.23,247.19,247.84,247.84,-1.10%,"4,273,748"
DHR,Large-Cap,"Jan 27, 2025",247.52,250.76,246.46,250.59,250.59,1.95%,"2,748,518"
DHR,Large-Cap,"Jan 24, 2025",245.60,247.53,245.02,245.80,245.80,0.06%,"1,911,411"
DHR,Large-Cap,"Jan 23, 2025",244.93,245.85,241.80,245.66,245.66,0.61%,"2,512,460"
DHR,Large-Cap,"Jan 22, 2025",243.44,246.25,242.50,244.18,244.18,0.03%,"2,050,108"
DHR,Large-Cap,"Jan 21, 2025",239.95,244.49,239.00,244.11,244.11,2.41%,"2,338,322"
DHR,Large-Cap,"Jan 17, 2025",242.17,243.05,238.17,238.36,238.36,-1.46%,"3,075,288"
DHR,Large-Cap,"Jan 16, 2025",237.72,242.11,234.60,241.90,241.90,1.65%,"3,148,925"
DHR,Large-Cap,"Jan 15, 2025",238.98,241.69,232.96,237.97,237.97,0.15%,"4,129,048"
DHR,Large-Cap,"Jan 14, 2025",241.17,242.15,232.05,237.62,237.62,-0.94%,"4,137,624"
DHR,Large-Cap,"Jan 13, 2025",235.05,240.97,234.01,239.88,239.88,2.05%,"3,301,781"
DHR,Large-Cap,"Jan 10, 2025",235.55,238.71,234.50,235.07,235.07,-1.27%,"2,863,272"
DHR,Large-Cap,"Jan 8, 2025",238.61,239.39,235.50,238.09,238.09,-0.42%,"2,527,729"
DHR,Large-Cap,"Jan 7, 2025",238.00,243.15,238.00,239.10,239.10,0.38%,"2,989,329"
DHR,Large-Cap,"Jan 6, 2025",234.15,240.23,233.70,238.20,238.20,1.43%,"3,674,564"
DHR,Large-Cap,"Jan 3, 2025",230.08,235.93,229.56,234.84,234.84,2.19%,"2,381,138"
DHR,Large-Cap,"Jan 2, 2025",230.85,231.85,228.57,229.81,229.81,0.11%,"2,762,037"
DHR,Large-Cap,"Dec 31, 2024",230.46,232.00,228.67,229.55,229.55,-0.04%,"2,077,923"
DHR,Large-Cap,"Dec 30, 2024",229.47,230.56,227.58,229.65,229.65,-0.63%,"2,008,091"
DHR,Large-Cap,"Dec 27, 2024",229.40,232.14,229.40,231.10,231.10,-0.08%,"2,130,520"
DHR,Large-Cap,"Dec 26, 2024",229.33,231.49,229.17,231.28,231.01,0.23%,"1,512,536"
DHR,Large-Cap,"Dec 24, 2024",228.53,231.00,228.00,230.75,230.48,0.69%,"988,300"
DHR,Large-Cap,"Dec 23, 2024",227.94,229.63,226.76,229.16,228.89,0.27%,"2,798,812"
DHR,Large-Cap,"Dec 20, 2024",226.96,230.81,225.42,228.55,228.28,1.06%,"7,073,596"
DHR,Large-Cap,"Dec 19, 2024",228.10,231.07,225.84,226.16,225.90,-0.94%,"4,553,880"
DHR,Large-Cap,"Dec 18, 2024",230.89,234.33,228.09,228.30,228.03,-2.24%,"5,221,601"
DHR,Large-Cap,"Dec 17, 2024",234.13,237.96,233.26,233.53,233.26,-0.28%,"3,211,094"
DHR,Large-Cap,"Dec 16, 2024",234.77,236.83,233.68,234.18,233.91,-0.30%,"4,474,422"
DHR,Large-Cap,"Dec 13, 2024",234.13,235.50,232.00,234.89,234.62,0.17%,"2,417,967"
DHR,Large-Cap,"Dec 12, 2024",234.20,236.42,233.41,234.50,234.23,-0.38%,"3,996,846"
DHR,Large-Cap,"Dec 11, 2024",235.80,237.72,234.34,235.40,235.13,0.45%,"3,370,358"
DHR,Large-Cap,"Dec 10, 2024",236.93,237.19,233.90,234.34,234.07,-0.67%,"2,753,312"
DHR,Large-Cap,"Dec 9, 2024",229.58,236.33,229.29,235.91,235.64,2.52%,"2,625,321"
DHR,Large-Cap,"Dec 6, 2024",228.45,231.01,228.01,230.12,229.85,0.99%,"3,099,532"
DHR,Large-Cap,"Dec 5, 2024",235.00,235.75,227.20,227.87,227.60,-3.55%,"5,335,656"
DHR,Large-Cap,"Dec 4, 2024",238.96,239.47,234.19,236.26,235.98,-1.91%,"4,167,450"
DHR,Large-Cap,"Dec 3, 2024",240.66,241.67,238.87,240.87,240.59,-0.17%,"3,035,317"
DHR,Large-Cap,"Dec 2, 2024",239.41,241.58,238.20,241.29,241.01,0.67%,"2,520,245"
DHR,Large-Cap,"Nov 29, 2024",239.53,241.61,238.30,239.69,239.41,0.36%,"1,931,402"
DHR,Large-Cap,"Nov 27, 2024",237.25,240.95,235.67,238.83,238.55,0.95%,"2,271,494"
DHR,Large-Cap,"Nov 26, 2024",237.50,238.10,233.15,236.58,236.30,-0.46%,"2,377,740"
DHR,Large-Cap,"Nov 25, 2024",236.17,239.38,235.45,237.68,237.40,0.78%,"4,460,644"
DHR,Large-Cap,"Nov 22, 2024",234.49,236.93,234.49,235.84,235.57,0.34%,"2,330,161"
DHR,Large-Cap,"Nov 21, 2024",233.92,235.18,230.38,235.05,234.78,0.84%,"2,537,010"
DHR,Large-Cap,"Nov 20, 2024",229.50,233.73,228.89,233.10,232.83,0.98%,"2,662,158"
DHR,Large-Cap,"Nov 19, 2024",229.66,231.91,228.73,230.84,230.57,0.34%,"2,608,255"
DHR,Large-Cap,"Nov 18, 2024",230.00,230.73,228.25,230.06,229.79,-0.19%,"3,932,989"
DHR,Large-Cap,"Nov 15, 2024",236.15,237.43,229.00,230.50,230.23,-3.71%,"5,435,775"
DHR,Large-Cap,"Nov 14, 2024",240.59,240.94,237.31,239.38,239.10,-0.89%,"3,154,264"
DHR,Large-Cap,"Nov 13, 2024",239.60,242.06,238.97,241.53,241.25,0.81%,"2,133,727"
DHR,Large-Cap,"Nov 12, 2024",244.51,244.51,239.29,239.60,239.32,-1.50%,"3,077,031"
DHR,Large-Cap,"Nov 11, 2024",245.00,246.15,241.43,243.25,242.97,-0.87%,"3,475,317"
DHR,Large-Cap,"Nov 8, 2024",247.05,247.13,244.12,245.39,245.10,-0.29%,"2,941,170"
DHR,Large-Cap,"Nov 7, 2024",249.70,250.04,245.74,246.10,245.81,-0.67%,"2,528,016"
DHR,Large-Cap,"Nov 6, 2024",252.07,252.94,245.15,247.76,247.47,-0.92%,"2,930,331"
DHR,Large-Cap,"Nov 5, 2024",245.66,250.82,245.32,250.07,249.78,1.17%,"1,697,740"
DHR,Large-Cap,"Nov 4, 2024",248.78,251.47,245.99,247.18,246.89,-0.23%,"1,836,428"
DHR,Large-Cap,"Nov 1, 2024",248.96,252.95,247.27,247.76,247.47,0.85%,"2,638,494"
DHR,Large-Cap,"Oct 31, 2024",243.89,248.50,242.34,245.66,245.37,1.38%,"4,948,759"
DHR,Large-Cap,"Oct 30, 2024",242.14,244.42,241.10,242.32,242.04,-0.15%,"2,553,468"
DHR,Large-Cap,"Oct 29, 2024",243.18,244.94,241.76,242.69,242.41,-0.59%,"3,547,215"
DHR,Large-Cap,"Oct 28, 2024",246.12,247.35,243.03,244.12,243.84,-0.52%,"2,031,600"
DHR,Large-Cap,"Oct 25, 2024",250.30,250.38,244.89,245.39,245.10,-1.05%,"3,226,925"
DHR,Large-Cap,"Oct 24, 2024",255.25,255.70,247.82,248.00,247.71,-3.13%,"3,989,252"
DHR,Large-Cap,"Oct 23, 2024",258.44,260.88,254.20,256.00,255.70,-2.02%,"4,717,150"
DHR,Large-Cap,"Oct 22, 2024",264.03,269.24,260.61,261.28,260.98,-3.97%,"4,496,440"
DHR,Large-Cap,"Oct 21, 2024",273.10,274.21,270.29,272.09,271.77,-0.83%,"2,359,613"
DHR,Large-Cap,"Oct 18, 2024",272.53,275.51,271.31,274.38,274.06,0.88%,"1,949,849"
DHR,Large-Cap,"Oct 17, 2024",277.50,279.41,270.97,271.98,271.66,1.47%,"3,222,112"
DHR,Large-Cap,"Oct 16, 2024",271.00,271.82,266.30,268.03,267.72,-1.71%,"2,820,017"
DHR,Large-Cap,"Oct 15, 2024",272.38,275.52,271.81,272.68,272.36,0.41%,"1,905,384"
DHR,Large-Cap,"Oct 14, 2024",270.40,272.31,268.87,271.56,271.24,0.45%,"1,901,419"
DHR,Large-Cap,"Oct 11, 2024",267.64,272.15,267.12,270.33,270.02,1.46%,"1,747,177"
DHR,Large-Cap,"Oct 10, 2024",268.37,269.12,265.50,266.45,266.14,-1.03%,"1,531,832"
DHR,Large-Cap,"Oct 9, 2024",269.78,270.48,266.82,269.23,268.92,0.16%,"1,507,978"
DHR,Large-Cap,"Oct 8, 2024",266.98,270.35,266.50,268.81,268.50,0.01%,"1,431,916"
DHR,Large-Cap,"Oct 7, 2024",268.50,270.50,267.47,268.79,268.48,-0.46%,"1,153,297"
DHR,Large-Cap,"Oct 4, 2024",271.56,272.56,268.65,270.03,269.72,-0.18%,"1,132,669"
DHR,Large-Cap,"Oct 3, 2024",272.86,273.30,269.57,270.52,270.20,-1.24%,"1,332,096"
DHR,Large-Cap,"Oct 2, 2024",274.49,275.60,271.03,273.91,273.59,-0.24%,"1,111,813"
DHR,Large-Cap,"Oct 1, 2024",278.62,278.62,273.02,274.56,274.24,-1.24%,"1,367,222"
DHR,Large-Cap,"Sep 30, 2024",275.73,278.33,273.74,278.02,277.70,0.94%,"1,500,593"
DHR,Large-Cap,"Sep 27, 2024",277.49,279.59,275.39,275.44,275.12,-0.54%,"1,337,457"
DHR,Large-Cap,"Sep 26, 2024",272.85,279.90,270.91,276.93,276.34,3.38%,"2,713,534"
DHR,Large-Cap,"Sep 25, 2024",276.17,276.21,266.86,267.88,267.31,-2.30%,"2,535,473"
DHR,Large-Cap,"Sep 24, 2024",272.54,275.73,271.04,274.20,273.61,0.38%,"2,834,522"
DHR,Large-Cap,"Sep 23, 2024",273.73,274.91,271.83,273.15,272.56,0.19%,"1,954,577"
