symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
HSBC,Large-Cap,"Feb 14, 2025",55.02,55.28,54.91,55.09,55.09,-0.18%,"1,169,880"
HSBC,Large-Cap,"Feb 13, 2025",54.86,55.21,54.76,55.19,55.19,0.20%,"1,956,071"
HSBC,Large-Cap,"Feb 12, 2025",54.66,55.36,54.62,55.08,55.08,0.88%,"1,676,232"
HSBC,Large-Cap,"Feb 11, 2025",54.24,54.80,54.18,54.60,54.60,1.37%,"1,937,751"
HSBC,Large-Cap,"Feb 10, 2025",54.13,54.23,53.76,53.86,53.86,1.43%,"1,813,295"
HSBC,Large-Cap,"Feb 7, 2025",53.32,53.43,53.03,53.10,53.10,0.21%,"1,391,687"
HSBC,Large-Cap,"Feb 6, 2025",52.60,53.06,52.60,52.99,52.99,1.49%,"901,683"
HSBC,Large-Cap,"Feb 5, 2025",51.88,52.31,51.64,52.21,52.21,0.56%,"1,052,402"
HSBC,Large-Cap,"Feb 4, 2025",51.75,52.13,51.75,51.92,51.92,1.21%,"1,021,789"
HSBC,Large-Cap,"Feb 3, 2025",50.99,51.48,50.69,51.30,51.30,-2.16%,"1,733,112"
HSBC,Large-Cap,"Jan 31, 2025",52.86,53.00,52.43,52.43,52.43,-0.46%,"1,101,679"
HSBC,Large-Cap,"Jan 30, 2025",52.64,52.99,52.44,52.67,52.67,0.98%,"1,483,378"
HSBC,Large-Cap,"Jan 29, 2025",51.87,52.44,51.87,52.16,52.16,0.38%,"1,523,763"
HSBC,Large-Cap,"Jan 28, 2025",51.63,52.00,51.58,51.96,51.96,-0.27%,"1,324,401"
HSBC,Large-Cap,"Jan 27, 2025",52.00,52.14,51.73,52.10,52.10,1.58%,"1,588,426"
HSBC,Large-Cap,"Jan 24, 2025",51.21,51.42,51.05,51.29,51.29,-0.23%,"986,996"
HSBC,Large-Cap,"Jan 23, 2025",51.15,51.58,51.13,51.41,51.41,0.98%,"1,260,345"
