symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
MUFG,Large-Cap,"Feb 14, 2025",12.71,12.86,12.69,12.81,12.81,1.75%,"2,101,574"
MUFG,Large-Cap,"Feb 13, 2025",12.56,12.60,12.49,12.59,12.59,1.94%,"3,051,532"
MUFG,Large-Cap,"Feb 12, 2025",12.38,12.41,12.31,12.35,12.35,-0.56%,"3,097,383"
MUFG,Large-Cap,"Feb 11, 2025",12.31,12.46,12.31,12.42,12.42,0.24%,"2,146,381"
MUFG,Large-Cap,"Feb 10, 2025",12.49,12.51,12.34,12.39,12.39,-1.20%,"2,652,205"
MUFG,Large-Cap,"Feb 7, 2025",12.61,12.64,12.50,12.54,12.54,-1.03%,"4,614,988"
MUFG,Large-Cap,"Feb 6, 2025",12.59,12.70,12.55,12.67,12.67,0.16%,"2,946,447"
MUFG,Large-Cap,"Feb 5, 2025",12.60,12.67,12.55,12.65,12.65,1.28%,"1,824,223"
MUFG,Large-Cap,"Feb 4, 2025",12.58,12.70,12.46,12.49,12.49,-,"3,230,661"
MUFG,Large-Cap,"Feb 3, 2025",12.39,12.51,12.31,12.49,12.49,-0.95%,"3,756,046"
MUFG,Large-Cap,"Jan 31, 2025",12.79,12.79,12.59,12.61,12.61,-1.10%,"3,487,985"
MUFG,Large-Cap,"Jan 30, 2025",12.80,12.82,12.67,12.75,12.75,0.08%,"2,289,577"
MUFG,Large-Cap,"Jan 29, 2025",12.73,12.79,12.67,12.74,12.74,-0.78%,"2,570,611"
MUFG,Large-Cap,"Jan 28, 2025",12.80,12.96,12.76,12.84,12.84,3.13%,"3,643,995"
MUFG,Large-Cap,"Jan 27, 2025",12.35,12.46,12.32,12.45,12.45,1.22%,"2,709,090"
MUFG,Large-Cap,"Jan 24, 2025",12.26,12.33,12.22,12.30,12.30,0.49%,"2,402,353"
MUFG,Large-Cap,"Jan 23, 2025",12.17,12.24,12.13,12.24,12.24,0.99%,"2,495,842"
MUFG,Large-Cap,"Jan 22, 2025",12.24,12.29,12.11,12.12,12.12,-3.35%,"2,974,737"
MUFG,Large-Cap,"Jan 21, 2025",12.36,12.56,12.32,12.54,12.54,4.07%,"3,628,568"
MUFG,Large-Cap,"Jan 17, 2025",12.00,12.08,11.98,12.05,12.05,-0.25%,"1,969,951"
MUFG,Large-Cap,"Jan 16, 2025",12.11,12.16,12.03,12.08,12.08,-1.31%,"2,898,399"
MUFG,Large-Cap,"Jan 15, 2025",12.15,12.25,12.14,12.24,12.24,3.55%,"2,565,181"
MUFG,Large-Cap,"Jan 14, 2025",11.76,11.85,11.74,11.82,11.82,-0.51%,"3,271,698"
MUFG,Large-Cap,"Jan 13, 2025",11.74,11.89,11.73,11.88,11.88,0.76%,"2,963,411"
MUFG,Large-Cap,"Jan 10, 2025",11.99,12.02,11.79,11.79,11.79,-2.40%,"2,970,839"
MUFG,Large-Cap,"Jan 8, 2025",12.09,12.12,12.02,12.08,12.08,-0.33%,"2,330,303"
MUFG,Large-Cap,"Jan 7, 2025",12.15,12.20,12.03,12.12,12.12,2.54%,"3,588,315"
MUFG,Large-Cap,"Jan 6, 2025",11.84,11.93,11.82,11.82,11.82,0.60%,"2,636,508"
MUFG,Large-Cap,"Jan 3, 2025",11.89,11.93,11.66,11.75,11.75,0.77%,"3,049,686"
MUFG,Large-Cap,"Jan 2, 2025",11.74,11.74,11.57,11.66,11.66,-0.51%,"3,107,463"
MUFG,Large-Cap,"Dec 31, 2024",11.73,11.82,11.69,11.72,11.72,-0.17%,"2,486,324"
MUFG,Large-Cap,"Dec 30, 2024",11.67,11.79,11.63,11.74,11.74,0.77%,"2,273,239"
MUFG,Large-Cap,"Dec 27, 2024",11.64,11.66,11.57,11.65,11.65,0.09%,"2,137,950"
MUFG,Large-Cap,"Dec 26, 2024",11.46,11.66,11.44,11.64,11.64,0.87%,"4,176,737"
MUFG,Large-Cap,"Dec 24, 2024",11.51,11.54,11.47,11.54,11.54,0.35%,"1,341,268"
