symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PDD,Large-Cap,"Feb 14, 2025",125.23,126.75,122.40,124.16,124.16,2.16%,"11,732,200"
PDD,Large-Cap,"Feb 13, 2025",117.69,121.93,117.21,121.54,121.54,2.28%,"8,004,371"
PDD,Large-Cap,"Feb 12, 2025",118.02,119.35,117.12,118.83,118.83,1.15%,"6,600,020"
PDD,Large-Cap,"Feb 11, 2025",113.18,119.50,112.30,117.48,117.48,0.98%,"7,975,412"
PDD,Large-Cap,"Feb 10, 2025",117.64,119.03,114.80,116.34,116.34,1.81%,"8,170,225"
PDD,Large-Cap,"Feb 7, 2025",114.17,115.98,111.33,114.27,114.27,1.38%,"9,575,923"
PDD,Large-Cap,"Feb 6, 2025",111.75,112.92,110.50,112.72,112.72,2.34%,"5,628,658"
PDD,Large-Cap,"Feb 5, 2025",108.99,112.53,108.83,110.14,110.14,-3.43%,"10,949,892"
PDD,Large-Cap,"Feb 4, 2025",107.93,115.20,107.84,114.05,114.05,8.37%,"13,018,381"
PDD,Large-Cap,"Feb 3, 2025",105.80,108.57,104.80,105.24,105.24,-5.96%,"15,022,875"
PDD,Large-Cap,"Jan 31, 2025",114.22,115.50,111.00,111.91,111.91,-3.02%,"7,823,975"
PDD,Large-Cap,"Jan 30, 2025",111.59,116.69,111.59,115.40,115.40,3.00%,"6,905,855"
PDD,Large-Cap,"Jan 29, 2025",113.00,113.71,110.46,112.04,112.04,-0.12%,"5,063,456"
PDD,Large-Cap,"Jan 28, 2025",111.33,112.49,107.70,112.18,112.18,1.17%,"6,699,455"
PDD,Large-Cap,"Jan 27, 2025",109.85,112.33,108.10,110.88,110.88,-0.41%,"11,132,136"
PDD,Large-Cap,"Jan 24, 2025",105.45,111.77,104.97,111.34,111.34,7.05%,"12,736,877"
PDD,Large-Cap,"Jan 23, 2025",102.22,104.23,101.38,104.01,104.01,0.90%,"4,316,522"
PDD,Large-Cap,"Jan 22, 2025",104.38,104.49,101.69,103.08,103.08,-1.03%,"6,094,437"
PDD,Large-Cap,"Jan 21, 2025",108.07,108.40,102.88,104.15,104.15,-1.35%,"9,056,027"
PDD,Large-Cap,"Jan 17, 2025",101.50,106.74,100.30,105.57,105.57,5.30%,"12,399,151"
PDD,Large-Cap,"Jan 16, 2025",100.84,100.95,99.10,100.26,100.26,-0.44%,"5,805,014"
PDD,Large-Cap,"Jan 15, 2025",99.14,100.99,98.00,100.70,100.70,2.62%,"6,186,599"
PDD,Large-Cap,"Jan 14, 2025",99.23,99.95,97.79,98.13,98.13,2.24%,"6,774,504"
PDD,Large-Cap,"Jan 13, 2025",95.04,97.10,94.14,95.98,95.98,1.37%,"7,073,886"
PDD,Large-Cap,"Jan 10, 2025",98.16,98.45,94.62,94.68,94.68,-5.62%,"8,643,138"
PDD,Large-Cap,"Jan 8, 2025",99.06,101.35,98.60,100.32,100.32,-0.30%,"6,102,627"
