symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PFE,Large-Cap,"Feb 14, 2025",25.73,25.83,25.47,25.53,25.53,-0.43%,"28,037,612"
PFE,Large-Cap,"Feb 13, 2025",25.49,25.74,25.33,25.64,25.64,0.67%,"30,612,533"
PFE,Large-Cap,"Feb 12, 2025",25.48,25.62,25.17,25.47,25.47,-0.24%,"31,671,613"
PFE,Large-Cap,"Feb 11, 2025",25.83,25.91,25.46,25.53,25.53,-1.31%,"36,593,280"
PFE,Large-Cap,"Feb 10, 2025",25.78,26.12,25.51,25.87,25.87,0.51%,"39,632,710"
PFE,Large-Cap,"Feb 7, 2025",25.86,25.96,25.53,25.74,25.74,-0.35%,"36,512,824"
PFE,Large-Cap,"Feb 6, 2025",26.42,26.47,25.78,25.83,25.83,-2.31%,"45,182,013"
PFE,Large-Cap,"Feb 5, 2025",25.95,26.69,25.70,26.44,26.44,2.20%,"50,426,780"
PFE,Large-Cap,"Feb 4, 2025",26.10,26.92,25.60,25.87,25.87,-1.26%,"68,748,342"
PFE,Large-Cap,"Feb 3, 2025",26.30,26.47,26.15,26.20,26.20,-1.21%,"49,626,216"
PFE,Large-Cap,"Jan 31, 2025",26.96,27.01,26.42,26.52,26.52,-1.45%,"37,338,151"
PFE,Large-Cap,"Jan 30, 2025",26.66,27.01,26.58,26.91,26.91,1.09%,"32,289,570"
PFE,Large-Cap,"Jan 29, 2025",26.80,27.07,26.57,26.62,26.62,-0.49%,"34,418,182"
PFE,Large-Cap,"Jan 28, 2025",26.78,26.86,26.49,26.75,26.75,-0.41%,"40,589,558"
PFE,Large-Cap,"Jan 27, 2025",26.24,26.97,26.18,26.86,26.86,2.95%,"50,648,558"
PFE,Large-Cap,"Jan 24, 2025",26.02,26.20,25.96,26.09,26.09,-1.32%,"31,300,184"
PFE,Large-Cap,"Jan 23, 2025",26.01,26.48,25.85,26.44,26.01,1.65%,"40,987,046"
PFE,Large-Cap,"Jan 22, 2025",26.51,26.60,25.97,26.01,25.59,-2.36%,"41,890,415"
PFE,Large-Cap,"Jan 21, 2025",26.45,26.64,26.39,26.64,26.21,1.29%,"39,745,587"
PFE,Large-Cap,"Jan 17, 2025",26.40,26.56,26.22,26.30,25.87,-0.72%,"35,380,330"
PFE,Large-Cap,"Jan 16, 2025",26.07,26.57,25.96,26.49,26.06,1.03%,"29,981,137"
PFE,Large-Cap,"Jan 15, 2025",26.52,26.65,26.21,26.22,25.80,-0.72%,"35,949,694"
PFE,Large-Cap,"Jan 14, 2025",26.81,26.87,26.27,26.41,25.98,-1.46%,"25,856,913"
PFE,Large-Cap,"Jan 13, 2025",26.65,26.81,26.36,26.80,26.37,0.30%,"28,359,600"
PFE,Large-Cap,"Jan 10, 2025",26.87,27.05,26.69,26.72,26.29,-0.52%,"32,836,862"
PFE,Large-Cap,"Jan 8, 2025",27.05,27.14,26.23,26.86,26.42,-1.00%,"35,430,724"
PFE,Large-Cap,"Jan 7, 2025",27.01,27.57,26.94,27.13,26.69,0.89%,"35,029,957"
PFE,Large-Cap,"Jan 6, 2025",26.71,27.25,26.56,26.89,26.45,1.13%,"43,950,971"
PFE,Large-Cap,"Jan 3, 2025",26.70,26.84,26.52,26.59,26.16,-0.08%,"33,416,986"
PFE,Large-Cap,"Jan 2, 2025",26.75,26.86,26.56,26.61,26.18,0.30%,"32,899,229"
PFE,Large-Cap,"Dec 31, 2024",26.40,26.65,26.36,26.53,26.10,0.42%,"27,085,473"
PFE,Large-Cap,"Dec 30, 2024",26.48,26.58,26.24,26.42,25.99,-0.75%,"32,859,114"
PFE,Large-Cap,"Dec 27, 2024",26.43,26.85,26.42,26.62,26.19,0.23%,"35,218,279"
PFE,Large-Cap,"Dec 26, 2024",26.64,26.72,26.48,26.56,26.13,-0.67%,"31,513,727"
PFE,Large-Cap,"Dec 24, 2024",26.59,26.77,26.38,26.74,26.31,0.11%,"19,716,416"
PFE,Large-Cap,"Dec 23, 2024",26.36,26.75,26.19,26.71,26.28,1.33%,"35,350,374"
PFE,Large-Cap,"Dec 20, 2024",25.70,26.49,25.70,26.36,25.93,2.29%,"116,340,073"
PFE,Large-Cap,"Dec 19, 2024",25.70,26.09,25.58,25.77,25.35,-0.46%,"50,324,678"
PFE,Large-Cap,"Dec 18, 2024",26.19,26.52,25.86,25.89,25.47,-2.04%,"47,575,127"
PFE,Large-Cap,"Dec 17, 2024",25.90,26.46,25.86,26.43,26.00,4.67%,"71,440,271"
PFE,Large-Cap,"Dec 16, 2024",25.59,25.75,25.22,25.25,24.84,-1.29%,"40,193,951"
PFE,Large-Cap,"Dec 13, 2024",25.34,25.66,25.26,25.58,25.17,0.83%,"29,043,563"
PFE,Large-Cap,"Dec 12, 2024",25.18,25.48,25.06,25.37,24.96,0.55%,"38,705,092"
PFE,Large-Cap,"Dec 11, 2024",25.38,25.51,25.17,25.23,24.82,-1.33%,"39,569,365"
PFE,Large-Cap,"Dec 10, 2024",26.10,26.11,25.51,25.57,25.16,-2.03%,"43,280,545"
PFE,Large-Cap,"Dec 9, 2024",25.76,26.44,25.58,26.10,25.68,1.44%,"37,464,823"
PFE,Large-Cap,"Dec 6, 2024",25.74,26.10,25.59,25.73,25.31,0.12%,"31,830,727"
PFE,Large-Cap,"Dec 5, 2024",25.23,25.79,25.14,25.70,25.28,1.86%,"43,647,885"
PFE,Large-Cap,"Dec 4, 2024",25.45,25.50,25.18,25.23,24.82,-1.29%,"42,541,528"
PFE,Large-Cap,"Dec 3, 2024",25.83,25.90,25.52,25.56,25.15,-1.01%,"49,064,298"
PFE,Large-Cap,"Dec 2, 2024",26.07,26.22,25.73,25.82,25.40,-1.49%,"43,866,360"
PFE,Large-Cap,"Nov 29, 2024",25.83,26.23,25.77,26.21,25.79,1.47%,"22,023,022"
PFE,Large-Cap,"Nov 27, 2024",25.76,25.95,25.70,25.83,25.41,0.23%,"28,242,085"
PFE,Large-Cap,"Nov 26, 2024",26.16,26.24,25.61,25.77,25.35,-1.53%,"33,001,020"
PFE,Large-Cap,"Nov 25, 2024",25.75,26.45,25.74,26.17,25.75,2.03%,"57,707,647"
PFE,Large-Cap,"Nov 22, 2024",25.18,25.75,25.10,25.65,25.23,2.07%,"41,896,988"
PFE,Large-Cap,"Nov 21, 2024",24.87,25.22,24.78,25.13,24.72,0.76%,"45,048,363"
