symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PGR,Large-Cap,"Feb 14, 2025",261.29,264.35,260.36,262.60,262.60,0.18%,"2,848,427"
PGR,Large-Cap,"Feb 13, 2025",257.79,262.32,256.95,262.13,262.13,2.08%,"2,781,150"
PGR,Large-Cap,"Feb 12, 2025",256.36,257.95,255.13,256.79,256.79,-0.30%,"2,164,739"
PGR,Large-Cap,"Feb 11, 2025",253.00,258.73,248.59,257.57,257.57,3.16%,"2,794,886"
PGR,Large-Cap,"Feb 10, 2025",252.00,252.47,248.51,249.69,249.69,-0.36%,"1,916,468"
PGR,Large-Cap,"Feb 7, 2025",251.59,253.35,249.63,250.60,250.60,-0.30%,"1,710,714"
PGR,Large-Cap,"Feb 6, 2025",250.79,252.65,250.34,251.35,251.35,0.94%,"1,589,078"
PGR,Large-Cap,"Feb 5, 2025",249.76,250.38,247.26,249.00,249.00,0.40%,"1,508,559"
PGR,Large-Cap,"Feb 4, 2025",247.21,251.50,247.11,248.00,248.00,-0.37%,"1,775,232"
PGR,Large-Cap,"Feb 3, 2025",247.52,250.71,245.51,248.92,248.92,1.01%,"2,050,376"
PGR,Large-Cap,"Jan 31, 2025",250.20,251.26,246.43,246.44,246.44,-1.12%,"3,047,701"
PGR,Large-Cap,"Jan 30, 2025",247.39,249.69,244.18,249.22,249.22,1.14%,"2,374,399"
PGR,Large-Cap,"Jan 29, 2025",238.42,252.00,237.73,246.40,246.40,0.55%,"3,564,846"
PGR,Large-Cap,"Jan 28, 2025",246.69,246.69,243.03,245.05,245.05,-0.75%,"2,724,380"
PGR,Large-Cap,"Jan 27, 2025",240.44,247.02,240.11,246.91,246.91,3.39%,"2,252,087"
PGR,Large-Cap,"Jan 24, 2025",238.63,239.93,236.01,238.82,238.82,-0.29%,"2,324,310"
PGR,Large-Cap,"Jan 23, 2025",240.00,241.50,238.15,239.51,239.51,0.14%,"2,590,118"
PGR,Large-Cap,"Jan 22, 2025",243.29,243.49,236.90,239.17,239.17,-0.76%,"3,657,353"
PGR,Large-Cap,"Jan 21, 2025",244.01,246.93,239.76,241.01,241.01,-1.10%,"3,204,767"
PGR,Large-Cap,"Jan 17, 2025",245.73,246.83,243.61,243.68,243.68,-0.76%,"1,967,906"
PGR,Large-Cap,"Jan 16, 2025",242.69,246.35,242.00,245.54,245.54,1.27%,"1,897,626"
PGR,Large-Cap,"Jan 15, 2025",240.91,242.94,238.43,242.47,242.47,1.13%,"3,498,040"
PGR,Large-Cap,"Jan 14, 2025",235.48,239.83,233.11,239.76,239.76,1.69%,"2,256,921"
PGR,Large-Cap,"Jan 13, 2025",230.36,236.32,228.54,235.78,235.78,0.07%,"3,023,805"
PGR,Large-Cap,"Jan 10, 2025",237.23,241.57,234.72,235.61,235.61,-3.28%,"3,692,744"
PGR,Large-Cap,"Jan 8, 2025",243.23,247.74,241.50,243.59,238.93,0.54%,"2,601,380"
PGR,Large-Cap,"Jan 7, 2025",239.89,243.34,238.94,242.28,237.64,1.12%,"2,346,339"
PGR,Large-Cap,"Jan 6, 2025",242.77,243.61,239.24,239.59,235.00,-1.09%,"2,129,668"
PGR,Large-Cap,"Jan 3, 2025",242.31,244.45,240.42,242.22,237.58,0.65%,"1,461,969"
PGR,Large-Cap,"Jan 2, 2025",240.49,241.75,238.86,240.65,236.04,0.43%,"3,107,474"
PGR,Large-Cap,"Dec 31, 2024",239.52,240.47,238.65,239.61,235.02,-,"1,774,078"
PGR,Large-Cap,"Dec 30, 2024",238.66,241.55,237.20,239.60,235.01,-0.59%,"2,257,452"
PGR,Large-Cap,"Dec 27, 2024",241.64,243.48,240.04,241.02,236.40,-0.89%,"1,410,584"
PGR,Large-Cap,"Dec 26, 2024",243.49,244.04,241.85,243.19,238.53,-0.02%,"952,312"
PGR,Large-Cap,"Dec 24, 2024",241.27,243.25,240.35,243.24,238.58,0.93%,"680,226"
PGR,Large-Cap,"Dec 23, 2024",239.69,241.52,238.47,241.01,236.40,0.43%,"1,847,347"
PGR,Large-Cap,"Dec 20, 2024",237.97,243.36,236.90,239.97,235.38,0.11%,"5,587,624"
