symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
RY,Large-Cap,"Feb 14, 2025",119.79,120.09,118.91,119.04,119.04,-0.23%,"1,438,465"
RY,Large-Cap,"Feb 13, 2025",118.45,119.46,118.10,119.31,119.31,0.79%,"1,396,212"
RY,Large-Cap,"Feb 12, 2025",117.57,118.48,117.21,118.37,118.37,-0.06%,"436,511"
RY,Large-Cap,"Feb 11, 2025",117.76,118.69,117.02,118.44,118.44,0.38%,"544,524"
RY,Large-Cap,"Feb 10, 2025",119.10,119.64,117.91,117.99,117.99,-1.11%,"1,155,513"
RY,Large-Cap,"Feb 7, 2025",119.66,119.75,118.50,119.32,119.32,-0.10%,"1,270,809"
RY,Large-Cap,"Feb 6, 2025",119.23,119.73,118.78,119.44,119.44,0.31%,"646,904"
RY,Large-Cap,"Feb 5, 2025",119.20,119.46,118.00,119.07,119.07,0.32%,"696,998"
RY,Large-Cap,"Feb 4, 2025",120.96,121.43,118.29,118.69,118.69,-0.10%,"925,737"
RY,Large-Cap,"Feb 3, 2025",117.40,120.17,116.51,118.81,118.81,-2.56%,"1,663,558"
RY,Large-Cap,"Jan 31, 2025",123.24,123.90,121.89,121.93,121.93,-1.19%,"871,817"
RY,Large-Cap,"Jan 30, 2025",122.65,124.35,122.33,123.40,123.40,1.11%,"764,915"
RY,Large-Cap,"Jan 29, 2025",122.63,123.00,121.71,122.04,122.04,-0.87%,"761,884"
RY,Large-Cap,"Jan 28, 2025",122.21,123.45,122.11,123.11,123.11,0.40%,"986,583"
RY,Large-Cap,"Jan 27, 2025",121.00,122.74,120.81,122.62,122.62,0.01%,"2,188,049"
RY,Large-Cap,"Jan 24, 2025",122.52,122.85,122.12,122.61,121.59,0.43%,"2,616,316"
RY,Large-Cap,"Jan 23, 2025",121.42,122.50,121.42,122.08,121.06,0.88%,"2,672,627"
RY,Large-Cap,"Jan 22, 2025",122.56,122.56,120.64,121.02,120.01,-1.00%,"1,069,091"
RY,Large-Cap,"Jan 21, 2025",120.67,122.47,120.41,122.24,121.22,1.41%,"1,340,012"
RY,Large-Cap,"Jan 17, 2025",120.36,120.74,120.02,120.54,119.54,0.38%,"1,588,795"
RY,Large-Cap,"Jan 16, 2025",119.77,120.17,119.01,120.08,119.08,0.25%,"908,470"
RY,Large-Cap,"Jan 15, 2025",120.00,120.15,119.09,119.78,118.78,0.97%,"2,063,455"
RY,Large-Cap,"Jan 14, 2025",118.94,118.96,117.63,118.63,117.64,-0.12%,"2,009,785"
