symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SHOP,Large-Cap,"Feb 14, 2025",125.76,128.57,123.88,128.35,128.35,0.55%,"8,437,938"
SHOP,Large-Cap,"Feb 13, 2025",121.00,128.00,120.10,127.65,127.65,5.94%,"10,940,283"
SHOP,Large-Cap,"Feb 12, 2025",119.05,122.49,116.70,120.49,120.49,-2.51%,"13,307,355"
SHOP,Large-Cap,"Feb 11, 2025",122.28,125.95,114.70,123.59,123.59,3.08%,"34,842,679"
SHOP,Large-Cap,"Feb 10, 2025",121.46,123.41,119.14,119.90,119.90,2.12%,"13,060,695"
SHOP,Large-Cap,"Feb 7, 2025",118.11,119.66,116.52,117.41,117.41,-0.99%,"5,835,751"
SHOP,Large-Cap,"Feb 6, 2025",122.01,122.81,116.87,118.58,118.58,-2.59%,"7,207,142"
SHOP,Large-Cap,"Feb 5, 2025",119.27,121.91,118.55,121.73,121.73,2.12%,"6,058,941"
SHOP,Large-Cap,"Feb 4, 2025",116.30,120.48,116.13,119.20,119.20,4.20%,"7,362,333"
SHOP,Large-Cap,"Feb 3, 2025",111.87,115.79,110.55,114.39,114.39,-2.06%,"8,572,414"
SHOP,Large-Cap,"Jan 31, 2025",119.61,122.00,116.54,116.80,116.80,-2.00%,"7,756,296"
SHOP,Large-Cap,"Jan 30, 2025",116.59,119.83,115.80,119.18,119.18,2.22%,"6,284,668"
SHOP,Large-Cap,"Jan 29, 2025",116.70,118.40,114.77,116.59,116.59,-0.73%,"9,269,327"
SHOP,Large-Cap,"Jan 28, 2025",109.00,117.94,109.00,117.45,117.45,9.38%,"13,963,906"
SHOP,Large-Cap,"Jan 27, 2025",104.45,108.39,102.52,107.38,107.38,-0.28%,"5,333,133"
SHOP,Large-Cap,"Jan 24, 2025",106.45,109.39,106.16,107.68,107.68,1.49%,"5,950,491"
SHOP,Large-Cap,"Jan 23, 2025",106.06,106.48,105.04,106.10,106.10,-0.25%,"4,358,492"
