symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SNY,Large-Cap,"Feb 14, 2025",54.77,54.77,54.06,54.50,54.50,0.94%,"1,288,359"
SNY,Large-Cap,"Feb 13, 2025",54.68,55.04,53.97,53.99,53.99,-1.04%,"1,985,533"
SNY,Large-Cap,"Feb 12, 2025",53.87,54.87,53.76,54.56,54.56,1.22%,"2,235,018"
SNY,Large-Cap,"Feb 11, 2025",53.40,54.00,53.31,53.90,53.90,1.16%,"1,328,321"
SNY,Large-Cap,"Feb 10, 2025",53.44,53.64,53.20,53.28,53.28,-0.13%,"1,541,061"
SNY,Large-Cap,"Feb 7, 2025",53.56,53.61,53.17,53.35,53.35,0.91%,"2,332,094"
SNY,Large-Cap,"Feb 6, 2025",53.79,53.83,52.69,52.87,52.87,-1.18%,"3,458,778"
SNY,Large-Cap,"Feb 5, 2025",53.77,54.12,53.46,53.50,53.50,-,"3,201,280"
SNY,Large-Cap,"Feb 4, 2025",53.54,53.68,53.03,53.50,53.50,0.28%,"1,871,255"
SNY,Large-Cap,"Feb 3, 2025",53.42,53.96,53.15,53.35,53.35,-1.82%,"1,891,093"
SNY,Large-Cap,"Jan 31, 2025",54.16,54.34,53.81,54.34,54.34,0.35%,"3,199,387"
SNY,Large-Cap,"Jan 30, 2025",53.82,54.86,53.70,54.15,54.15,3.84%,"4,733,137"
SNY,Large-Cap,"Jan 29, 2025",52.84,53.03,52.14,52.15,52.15,-1.55%,"3,166,759"
SNY,Large-Cap,"Jan 28, 2025",53.57,53.62,52.76,52.97,52.97,-0.69%,"2,123,071"
SNY,Large-Cap,"Jan 27, 2025",53.64,53.83,52.96,53.34,53.34,1.64%,"3,039,228"
SNY,Large-Cap,"Jan 24, 2025",52.50,52.73,52.39,52.48,52.48,0.96%,"2,141,295"
SNY,Large-Cap,"Jan 23, 2025",52.36,52.37,51.77,51.98,51.98,0.91%,"2,343,660"
SNY,Large-Cap,"Jan 22, 2025",51.69,51.69,51.20,51.51,51.51,-0.35%,"1,837,034"
SNY,Large-Cap,"Jan 21, 2025",51.68,51.78,51.18,51.69,51.69,1.87%,"3,510,695"
SNY,Large-Cap,"Jan 17, 2025",50.78,51.05,50.46,50.74,50.74,-,"2,426,244"
SNY,Large-Cap,"Jan 16, 2025",49.89,51.08,49.79,50.74,50.74,2.77%,"5,171,154"
SNY,Large-Cap,"Jan 15, 2025",49.58,49.81,49.04,49.37,49.37,1.90%,"2,345,109"
SNY,Large-Cap,"Jan 14, 2025",48.41,48.59,47.88,48.45,48.45,-0.33%,"1,680,806"
SNY,Large-Cap,"Jan 13, 2025",48.52,48.65,48.43,48.61,48.61,-0.25%,"2,001,224"
SNY,Large-Cap,"Jan 10, 2025",49.35,49.40,48.69,48.73,48.73,-1.02%,"2,833,364"
SNY,Large-Cap,"Jan 8, 2025",49.13,49.40,48.74,49.23,49.23,-1.28%,"2,974,647"
SNY,Large-Cap,"Jan 7, 2025",49.66,50.02,49.65,49.87,49.87,1.38%,"2,816,738"
SNY,Large-Cap,"Jan 6, 2025",48.57,49.57,48.37,49.19,49.19,2.16%,"2,779,161"
SNY,Large-Cap,"Jan 3, 2025",48.09,48.16,47.79,48.15,48.15,-0.08%,"1,558,595"
SNY,Large-Cap,"Jan 2, 2025",48.32,48.56,48.05,48.19,48.19,-0.08%,"1,269,189"
SNY,Large-Cap,"Dec 31, 2024",48.06,48.48,48.02,48.23,48.23,-,"637,542"
SNY,Large-Cap,"Dec 30, 2024",48.65,48.65,48.17,48.23,48.23,-1.03%,"1,922,309"
SNY,Large-Cap,"Dec 27, 2024",48.23,49.08,48.19,48.73,48.73,0.62%,"2,221,824"
SNY,Large-Cap,"Dec 26, 2024",48.24,48.75,48.06,48.43,48.43,0.29%,"1,565,374"
SNY,Large-Cap,"Dec 24, 2024",47.84,48.41,47.78,48.29,48.29,-0.21%,"1,641,157"
SNY,Large-Cap,"Dec 23, 2024",47.75,48.42,47.53,48.39,48.39,1.43%,"2,221,342"
SNY,Large-Cap,"Dec 20, 2024",46.92,47.90,46.89,47.71,47.71,0.44%,"2,486,786"
SNY,Large-Cap,"Dec 19, 2024",47.32,47.68,47.15,47.50,47.50,1.04%,"2,672,933"
SNY,Large-Cap,"Dec 18, 2024",47.74,48.25,47.01,47.01,47.01,-3.94%,"2,523,472"
SNY,Large-Cap,"Dec 17, 2024",47.65,49.73,47.64,48.94,48.94,6.65%,"6,708,127"
