symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
UBER,Large-Cap,"Feb 14, 2025",80.35,80.35,78.87,79.42,79.42,-1.08%,"15,296,783"
UBER,Large-Cap,"Feb 13, 2025",79.12,80.53,78.51,80.29,80.29,1.18%,"21,754,709"
UBER,Large-Cap,"Feb 12, 2025",74.97,80.10,74.15,79.35,79.35,3.12%,"33,142,366"
UBER,Large-Cap,"Feb 11, 2025",78.91,79.20,76.60,76.95,76.95,-2.14%,"27,329,560"
UBER,Large-Cap,"Feb 10, 2025",77.10,78.99,76.80,78.63,78.63,5.40%,"42,551,673"
UBER,Large-Cap,"Feb 7, 2025",70.36,76.78,70.13,74.60,74.60,6.59%,"81,813,184"
UBER,Large-Cap,"Feb 6, 2025",65.67,70.05,65.54,69.99,69.99,8.55%,"45,940,242"
UBER,Large-Cap,"Feb 5, 2025",66.50,66.75,63.50,64.48,64.48,-7.56%,"78,975,878"
UBER,Large-Cap,"Feb 4, 2025",67.69,70.19,67.69,69.75,69.75,3.66%,"33,786,239"
UBER,Large-Cap,"Feb 3, 2025",65.30,68.85,65.18,67.29,67.29,0.66%,"25,290,048"
UBER,Large-Cap,"Jan 31, 2025",67.09,67.87,66.33,66.85,66.85,0.39%,"19,805,625"
UBER,Large-Cap,"Jan 30, 2025",63.42,67.22,63.42,66.59,66.59,-0.24%,"33,246,503"
UBER,Large-Cap,"Jan 29, 2025",67.80,68.06,65.82,66.75,66.75,-1.94%,"29,592,594"
UBER,Large-Cap,"Jan 28, 2025",68.33,69.68,67.16,68.07,68.07,-1.02%,"24,988,456"
UBER,Large-Cap,"Jan 27, 2025",67.64,69.41,67.37,68.77,68.77,0.31%,"20,904,644"
UBER,Large-Cap,"Jan 24, 2025",68.69,69.31,68.40,68.56,68.56,0.38%,"14,360,349"
UBER,Large-Cap,"Jan 23, 2025",67.60,68.37,67.24,68.30,68.30,0.71%,"15,355,443"
UBER,Large-Cap,"Jan 22, 2025",68.39,68.43,67.50,67.82,67.82,0.12%,"18,130,028"
UBER,Large-Cap,"Jan 21, 2025",68.00,68.18,66.85,67.74,67.74,0.59%,"21,423,617"
UBER,Large-Cap,"Jan 17, 2025",68.80,69.02,67.23,67.34,67.34,-1.81%,"27,139,154"
UBER,Large-Cap,"Jan 16, 2025",67.75,69.58,67.64,68.58,68.58,2.33%,"29,013,144"
UBER,Large-Cap,"Jan 15, 2025",66.01,67.25,66.01,67.02,67.02,3.36%,"22,704,830"
UBER,Large-Cap,"Jan 14, 2025",66.16,66.81,64.62,64.84,64.84,-1.31%,"25,735,753"
UBER,Large-Cap,"Jan 13, 2025",65.16,67.20,65.02,65.70,65.70,-0.41%,"23,960,107"
