symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
AAPL,Mega-Cap,"Feb 14, 2025",241.25,245.55,240.99,244.60,244.60,1.27%,"40,896,227"
AAPL,Mega-Cap,"Feb 13, 2025",236.91,242.34,235.57,241.53,241.53,1.97%,"53,614,054"
AAPL,Mega-Cap,"Feb 12, 2025",231.20,236.96,230.68,236.87,236.87,1.83%,"45,243,292"
AAPL,Mega-Cap,"Feb 11, 2025",228.20,235.23,228.13,232.62,232.62,2.18%,"53,718,362"
AAPL,Mega-Cap,"Feb 10, 2025",229.57,230.59,227.20,227.65,227.65,0.01%,"33,115,645"
AAPL,Mega-Cap,"Feb 7, 2025",232.60,234.00,227.26,227.63,227.38,-2.40%,"39,707,224"
AAPL,Mega-Cap,"Feb 6, 2025",231.29,233.80,230.43,233.22,232.96,0.32%,"29,925,349"
AAPL,Mega-Cap,"Feb 5, 2025",228.53,232.67,228.27,232.47,232.22,-0.14%,"39,664,989"
AAPL,Mega-Cap,"Feb 4, 2025",227.25,233.13,226.65,232.80,232.55,2.10%,"45,067,301"
AAPL,Mega-Cap,"Feb 3, 2025",229.99,231.83,225.70,228.01,227.76,-3.39%,"73,063,301"
AAPL,Mega-Cap,"Jan 31, 2025",247.19,247.19,233.44,236.00,235.74,-0.67%,"101,075,128"
AAPL,Mega-Cap,"Jan 30, 2025",238.67,240.79,237.21,237.59,237.33,-0.74%,"55,658,279"
AAPL,Mega-Cap,"Jan 29, 2025",234.12,239.86,234.01,239.36,239.10,0.46%,"45,486,100"
AAPL,Mega-Cap,"Jan 28, 2025",230.85,240.19,230.81,238.26,238.00,3.65%,"75,707,569"
AAPL,Mega-Cap,"Jan 27, 2025",224.02,232.15,223.98,229.86,229.61,3.18%,"94,863,418"
AAPL,Mega-Cap,"Jan 24, 2025",224.78,225.63,221.41,222.78,222.54,-0.39%,"54,697,907"
AAPL,Mega-Cap,"Jan 23, 2025",224.74,227.03,222.30,223.66,223.42,-0.08%,"60,234,760"
AAPL,Mega-Cap,"Jan 22, 2025",219.79,224.12,219.79,223.83,223.58,0.53%,"64,126,500"
AAPL,Mega-Cap,"Jan 21, 2025",224.00,224.42,219.38,222.64,222.40,-3.19%,"98,070,429"
AAPL,Mega-Cap,"Jan 17, 2025",232.12,232.29,228.48,229.98,229.73,0.75%,"68,488,301"
AAPL,Mega-Cap,"Jan 16, 2025",237.35,238.01,228.03,228.26,228.01,-4.04%,"71,759,052"
AAPL,Mega-Cap,"Jan 15, 2025",234.64,238.96,234.43,237.87,237.61,1.97%,"39,831,969"
AAPL,Mega-Cap,"Jan 14, 2025",234.75,236.12,232.47,233.28,233.02,-0.48%,"39,435,294"
AAPL,Mega-Cap,"Jan 13, 2025",233.53,234.67,229.72,234.40,234.14,-1.03%,"49,630,725"
AAPL,Mega-Cap,"Jan 10, 2025",240.01,240.16,233.00,236.85,236.59,-2.41%,"61,710,856"
AAPL,Mega-Cap,"Jan 8, 2025",241.92,243.71,240.05,242.70,242.43,0.20%,"37,628,940"
AAPL,Mega-Cap,"Jan 7, 2025",242.98,245.55,241.35,242.21,241.94,-1.14%,"40,855,960"
AAPL,Mega-Cap,"Jan 6, 2025",244.31,247.33,243.20,245.00,244.73,0.67%,"45,045,571"
AAPL,Mega-Cap,"Jan 3, 2025",243.36,244.18,241.89,243.36,243.09,-0.20%,"40,244,114"
AAPL,Mega-Cap,"Jan 2, 2025",248.93,249.10,241.82,243.85,243.58,-2.62%,"55,740,731"
AAPL,Mega-Cap,"Dec 31, 2024",252.44,253.28,249.43,250.42,250.15,-0.71%,"39,480,718"
AAPL,Mega-Cap,"Dec 30, 2024",252.23,253.50,250.75,252.20,251.92,-1.33%,"35,557,542"
AAPL,Mega-Cap,"Dec 27, 2024",257.83,258.70,253.06,255.59,255.31,-1.32%,"42,355,321"
AAPL,Mega-Cap,"Dec 26, 2024",258.19,260.10,257.63,259.02,258.74,0.32%,"27,262,983"
AAPL,Mega-Cap,"Dec 24, 2024",255.49,258.21,255.29,258.20,257.92,1.15%,"23,234,705"
AAPL,Mega-Cap,"Dec 23, 2024",254.77,255.65,253.45,255.27,254.99,0.31%,"40,858,774"
