symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ABBV,Mega-Cap,"Feb 14, 2025",193.95,195.18,192.78,192.87,192.87,-0.30%,"3,959,620"
ABBV,Mega-Cap,"Feb 13, 2025",194.28,194.28,191.43,193.45,193.45,0.23%,"4,108,920"
ABBV,Mega-Cap,"Feb 12, 2025",190.50,194.37,190.39,193.00,193.00,0.61%,"4,525,009"
ABBV,Mega-Cap,"Feb 11, 2025",189.80,191.93,188.26,191.83,191.83,0.78%,"3,977,033"
ABBV,Mega-Cap,"Feb 10, 2025",191.46,191.46,189.09,190.34,190.34,-0.14%,"3,685,699"
ABBV,Mega-Cap,"Feb 7, 2025",193.16,193.86,190.44,190.60,190.60,-1.23%,"3,805,940"
ABBV,Mega-Cap,"Feb 6, 2025",191.90,194.49,190.56,192.97,192.97,0.64%,"4,586,688"
ABBV,Mega-Cap,"Feb 5, 2025",190.52,193.38,189.92,191.75,191.75,0.95%,"6,449,920"
ABBV,Mega-Cap,"Feb 4, 2025",187.63,191.15,187.05,189.95,189.95,-0.10%,"7,377,753"
ABBV,Mega-Cap,"Feb 3, 2025",183.18,191.66,182.15,190.14,190.14,3.39%,"9,829,956"
ABBV,Mega-Cap,"Jan 31, 2025",187.30,191.77,183.67,183.90,183.90,4.70%,"11,928,323"
ABBV,Mega-Cap,"Jan 30, 2025",176.01,176.12,173.98,175.65,175.65,0.22%,"5,209,206"
ABBV,Mega-Cap,"Jan 29, 2025",174.50,176.92,174.30,175.26,175.26,0.26%,"3,748,422"
ABBV,Mega-Cap,"Jan 28, 2025",176.80,177.16,173.73,174.81,174.81,-1.18%,"5,604,051"
ABBV,Mega-Cap,"Jan 27, 2025",172.66,177.45,172.59,176.90,176.90,3.88%,"6,985,212"
ABBV,Mega-Cap,"Jan 24, 2025",169.32,171.11,169.25,170.30,170.30,-0.22%,"5,584,924"
ABBV,Mega-Cap,"Jan 23, 2025",170.46,170.69,168.48,170.67,170.67,0.87%,"7,116,187"
ABBV,Mega-Cap,"Jan 22, 2025",170.30,170.87,168.06,169.20,169.20,-1.98%,"9,464,994"
ABBV,Mega-Cap,"Jan 21, 2025",172.16,175.66,171.22,172.61,172.61,0.61%,"7,548,666"
ABBV,Mega-Cap,"Jan 17, 2025",172.88,173.99,171.27,171.56,171.56,-1.23%,"7,852,525"
ABBV,Mega-Cap,"Jan 16, 2025",171.45,173.96,170.52,173.70,173.70,1.37%,"5,235,975"
ABBV,Mega-Cap,"Jan 15, 2025",173.52,174.46,168.72,171.35,171.35,-2.39%,"8,048,736"
ABBV,Mega-Cap,"Jan 14, 2025",176.61,176.78,174.09,175.55,173.89,-0.67%,"4,779,147"
ABBV,Mega-Cap,"Jan 13, 2025",175.16,177.98,174.34,176.74,175.06,0.90%,"4,734,094"
ABBV,Mega-Cap,"Jan 10, 2025",176.86,177.54,173.33,175.17,173.51,-1.87%,"5,372,441"
ABBV,Mega-Cap,"Jan 8, 2025",179.20,179.24,176.18,178.50,176.81,-0.57%,"4,488,519"
ABBV,Mega-Cap,"Jan 7, 2025",179.63,182.17,178.39,179.53,177.83,-0.32%,"5,905,223"
ABBV,Mega-Cap,"Jan 6, 2025",180.78,181.98,179.26,180.10,178.39,-0.62%,"6,302,081"
ABBV,Mega-Cap,"Jan 3, 2025",179.66,181.57,178.80,181.22,179.50,0.99%,"4,380,336"
ABBV,Mega-Cap,"Jan 2, 2025",178.66,179.78,177.90,179.44,177.74,0.98%,"4,094,307"
ABBV,Mega-Cap,"Dec 31, 2024",176.35,177.84,175.92,177.70,176.02,0.85%,"3,326,732"
ABBV,Mega-Cap,"Dec 30, 2024",177.02,177.34,175.51,176.20,174.53,-1.02%,"3,405,687"
ABBV,Mega-Cap,"Dec 27, 2024",177.92,179.66,177.29,178.01,176.32,-0.66%,"2,745,373"
ABBV,Mega-Cap,"Dec 26, 2024",179.02,180.35,178.63,179.20,177.50,-0.44%,"2,759,421"
ABBV,Mega-Cap,"Dec 24, 2024",178.41,180.17,177.84,180.00,178.29,0.90%,"2,692,814"
ABBV,Mega-Cap,"Dec 23, 2024",175.29,178.65,174.63,178.39,176.70,1.60%,"6,945,621"
