symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
AMZN,Mega-Cap,"Feb 14, 2025",229.20,229.89,227.23,228.68,228.68,-0.73%,"26,579,056"
AMZN,Mega-Cap,"Feb 13, 2025",228.85,230.42,227.52,230.37,230.37,0.63%,"31,346,512"
AMZN,Mega-Cap,"Feb 12, 2025",230.46,231.18,228.16,228.93,228.93,-1.65%,"32,285,249"
AMZN,Mega-Cap,"Feb 11, 2025",231.92,233.44,230.13,232.76,232.76,-0.16%,"23,713,726"
AMZN,Mega-Cap,"Feb 10, 2025",230.55,233.92,229.20,233.14,233.14,1.74%,"35,419,926"
AMZN,Mega-Cap,"Feb 7, 2025",232.50,234.81,228.06,229.15,229.15,-4.05%,"77,539,276"
AMZN,Mega-Cap,"Feb 6, 2025",238.01,239.66,236.01,238.83,238.83,1.13%,"60,897,095"
AMZN,Mega-Cap,"Feb 5, 2025",237.02,238.32,235.20,236.17,236.17,-2.43%,"38,832,042"
AMZN,Mega-Cap,"Feb 4, 2025",239.01,242.52,238.03,242.06,242.06,1.95%,"29,713,812"
AMZN,Mega-Cap,"Feb 3, 2025",234.06,239.25,232.90,237.42,237.42,-0.11%,"37,285,868"
AMZN,Mega-Cap,"Jan 31, 2025",236.50,240.29,236.41,237.68,237.68,1.30%,"36,162,377"
AMZN,Mega-Cap,"Jan 30, 2025",237.14,237.95,232.22,234.64,234.64,-1.03%,"32,020,728"
AMZN,Mega-Cap,"Jan 29, 2025",239.02,240.39,236.15,237.07,237.07,-0.45%,"26,091,716"
AMZN,Mega-Cap,"Jan 28, 2025",234.29,241.77,233.98,238.15,238.15,1.16%,"41,587,188"
AMZN,Mega-Cap,"Jan 27, 2025",226.21,235.61,225.86,235.42,235.42,0.24%,"49,428,332"
AMZN,Mega-Cap,"Jan 24, 2025",234.50,236.40,232.93,234.85,234.85,-0.24%,"25,890,738"
AMZN,Mega-Cap,"Jan 23, 2025",234.10,235.52,231.51,235.42,235.42,0.17%,"26,404,364"
AMZN,Mega-Cap,"Jan 22, 2025",232.02,235.44,231.19,235.01,235.01,1.86%,"41,448,217"
AMZN,Mega-Cap,"Jan 21, 2025",228.90,231.78,226.94,230.71,230.71,2.11%,"39,951,456"
AMZN,Mega-Cap,"Jan 17, 2025",225.84,226.51,223.08,225.94,225.94,2.39%,"42,370,123"
AMZN,Mega-Cap,"Jan 16, 2025",224.42,224.65,220.31,220.66,220.66,-1.20%,"24,757,276"
AMZN,Mega-Cap,"Jan 15, 2025",222.83,223.57,220.75,223.35,223.35,2.57%,"31,291,257"
AMZN,Mega-Cap,"Jan 14, 2025",220.44,221.82,216.20,217.76,217.76,-0.32%,"24,711,650"
AMZN,Mega-Cap,"Jan 13, 2025",218.06,219.40,216.47,218.46,218.46,-0.22%,"27,262,655"
AMZN,Mega-Cap,"Jan 10, 2025",221.46,221.71,216.50,218.94,218.94,-1.44%,"36,811,525"
AMZN,Mega-Cap,"Jan 8, 2025",223.19,223.52,220.20,222.13,222.13,0.01%,"25,033,292"
AMZN,Mega-Cap,"Jan 7, 2025",227.90,228.38,221.46,222.11,222.11,-2.42%,"28,084,164"
AMZN,Mega-Cap,"Jan 6, 2025",226.78,228.84,224.84,227.61,227.61,1.53%,"31,849,831"
AMZN,Mega-Cap,"Jan 3, 2025",222.51,225.36,221.62,224.19,224.19,1.80%,"27,515,606"
AMZN,Mega-Cap,"Jan 2, 2025",222.03,225.15,218.19,220.22,220.22,0.38%,"33,956,579"
AMZN,Mega-Cap,"Dec 31, 2024",222.97,223.23,218.94,219.39,219.39,-0.86%,"24,819,655"
AMZN,Mega-Cap,"Dec 30, 2024",220.06,223.00,218.43,221.30,221.30,-1.09%,"28,321,240"
AMZN,Mega-Cap,"Dec 27, 2024",225.60,226.03,220.90,223.75,223.75,-1.45%,"27,367,147"
