symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ASML,Mega-Cap,"Feb 14, 2025",778.22,778.36,748.68,751.55,751.55,-3.27%,"2,047,268"
ASML,Mega-Cap,"Feb 13, 2025",754.77,776.99,752.75,776.99,776.99,2.75%,"1,674,122"
ASML,Mega-Cap,"Feb 12, 2025",738.35,756.79,733.56,756.17,756.17,0.42%,"1,077,846"
ASML,Mega-Cap,"Feb 11, 2025",744.67,753.49,743.88,752.98,752.98,1.20%,"1,096,746"
ASML,Mega-Cap,"Feb 10, 2025",736.72,745.56,735.88,744.08,742.53,2.25%,"986,103"
ASML,Mega-Cap,"Feb 7, 2025",739.05,742.32,723.75,727.70,724.87,-1.55%,"1,312,394"
ASML,Mega-Cap,"Feb 6, 2025",737.69,742.41,735.01,739.13,736.26,-0.47%,"1,120,244"
ASML,Mega-Cap,"Feb 5, 2025",729.24,743.21,722.40,742.59,739.71,1.53%,"1,251,740"
ASML,Mega-Cap,"Feb 4, 2025",736.90,742.69,729.28,731.41,728.57,0.05%,"1,496,994"
ASML,Mega-Cap,"Feb 3, 2025",719.13,735.45,717.92,731.06,728.21,-1.12%,"1,647,169"
ASML,Mega-Cap,"Jan 31, 2025",748.09,754.60,737.77,739.31,736.44,0.31%,"2,127,326"
ASML,Mega-Cap,"Jan 30, 2025",740.10,745.59,730.58,736.99,734.13,3.42%,"2,745,560"
ASML,Mega-Cap,"Jan 29, 2025",727.16,728.46,704.61,712.65,709.88,4.29%,"4,971,530"
ASML,Mega-Cap,"Jan 28, 2025",678.80,693.45,666.60,683.35,680.70,-0.99%,"2,811,890"
ASML,Mega-Cap,"Jan 27, 2025",672.79,690.60,671.94,690.15,687.47,-5.75%,"4,947,774"
ASML,Mega-Cap,"Jan 24, 2025",749.36,750.00,729.30,732.25,729.41,-1.87%,"1,505,743"
ASML,Mega-Cap,"Jan 23, 2025",740.01,747.75,736.00,746.24,743.34,-2.67%,"1,751,059"
ASML,Mega-Cap,"Jan 22, 2025",777.75,784.82,765.89,766.71,763.73,0.49%,"1,699,875"
ASML,Mega-Cap,"Jan 21, 2025",763.00,767.73,755.49,763.00,760.04,0.88%,"1,332,045"
ASML,Mega-Cap,"Jan 17, 2025",767.91,769.20,751.50,756.33,753.39,0.81%,"1,933,558"
ASML,Mega-Cap,"Jan 16, 2025",758.80,771.56,748.46,750.28,747.37,3.30%,"2,407,611"
ASML,Mega-Cap,"Jan 15, 2025",739.46,744.47,725.19,726.30,723.48,-1.36%,"1,864,362"
ASML,Mega-Cap,"Jan 14, 2025",737.54,739.52,728.06,736.29,733.43,1.22%,"1,022,576"
ASML,Mega-Cap,"Jan 13, 2025",721.20,729.00,717.59,727.41,724.58,-1.57%,"1,321,847"
ASML,Mega-Cap,"Jan 10, 2025",751.00,751.30,735.40,739.01,736.14,-0.67%,"1,515,810"
ASML,Mega-Cap,"Jan 8, 2025",753.00,753.33,737.00,743.98,741.09,-1.80%,"1,185,356"
ASML,Mega-Cap,"Jan 7, 2025",775.00,778.39,753.49,757.58,754.64,-1.42%,"1,490,168"
ASML,Mega-Cap,"Jan 6, 2025",751.06,781.09,749.65,768.51,765.52,7.58%,"2,761,133"
ASML,Mega-Cap,"Jan 3, 2025",703.16,717.57,702.58,714.36,711.58,1.99%,"1,064,105"
ASML,Mega-Cap,"Jan 2, 2025",705.34,711.96,696.34,700.42,697.70,1.06%,"1,116,282"
ASML,Mega-Cap,"Dec 31, 2024",701.39,702.98,687.43,693.08,690.39,-0.44%,"964,971"
ASML,Mega-Cap,"Dec 30, 2024",700.00,702.81,694.47,696.15,693.45,-2.44%,"1,202,603"
ASML,Mega-Cap,"Dec 27, 2024",717.49,717.50,708.59,713.59,710.82,-0.32%,"942,319"
