symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
AVGO,Mega-Cap,"Feb 14, 2025",234.53,235.74,228.90,233.04,233.04,-1.17%,"16,988,777"
AVGO,Mega-Cap,"Feb 13, 2025",236.06,236.95,230.73,235.80,235.80,-0.23%,"20,962,031"
AVGO,Mega-Cap,"Feb 12, 2025",230.36,236.48,230.00,236.35,236.35,0.56%,"16,397,336"
AVGO,Mega-Cap,"Feb 11, 2025",232.48,237.89,229.97,235.04,235.04,-,"18,476,200"
AVGO,Mega-Cap,"Feb 10, 2025",227.43,235.82,227.12,235.04,235.04,4.52%,"23,901,643"
AVGO,Mega-Cap,"Feb 7, 2025",235.00,235.65,224.11,224.87,224.87,-2.81%,"22,117,468"
AVGO,Mega-Cap,"Feb 6, 2025",234.50,234.80,228.56,231.36,231.36,-0.28%,"21,169,529"
AVGO,Mega-Cap,"Feb 5, 2025",233.94,237.93,227.50,232.00,232.00,4.30%,"29,250,582"
AVGO,Mega-Cap,"Feb 4, 2025",219.35,223.03,215.30,222.43,222.43,2.16%,"23,768,517"
AVGO,Mega-Cap,"Feb 3, 2025",215.46,220.94,213.51,217.73,217.73,-1.60%,"24,507,274"
AVGO,Mega-Cap,"Jan 31, 2025",219.66,226.80,216.30,221.27,221.27,2.60%,"41,150,975"
AVGO,Mega-Cap,"Jan 30, 2025",218.57,221.96,213.70,215.66,215.66,4.51%,"42,449,478"
AVGO,Mega-Cap,"Jan 29, 2025",208.84,211.45,202.77,206.35,206.35,-0.49%,"32,533,735"
AVGO,Mega-Cap,"Jan 28, 2025",208.01,209.95,198.89,207.36,207.36,2.59%,"50,315,987"
AVGO,Mega-Cap,"Jan 27, 2025",213.40,218.43,196.23,202.13,202.13,-17.40%,"90,569,376"
AVGO,Mega-Cap,"Jan 24, 2025",244.70,249.59,241.91,244.70,244.70,1.84%,"25,387,825"
AVGO,Mega-Cap,"Jan 23, 2025",238.41,240.40,236.12,240.28,240.28,-0.26%,"17,653,942"
AVGO,Mega-Cap,"Jan 22, 2025",246.75,246.99,240.69,240.91,240.91,0.25%,"29,610,501"
AVGO,Mega-Cap,"Jan 21, 2025",241.50,242.75,237.40,240.31,240.31,1.21%,"30,903,186"
AVGO,Mega-Cap,"Jan 17, 2025",237.08,238.10,232.66,237.44,237.44,3.50%,"31,196,642"
AVGO,Mega-Cap,"Jan 16, 2025",235.22,238.60,229.21,229.41,229.41,0.62%,"23,471,871"
AVGO,Mega-Cap,"Jan 15, 2025",228.55,230.34,225.58,228.00,228.00,1.47%,"21,745,616"
AVGO,Mega-Cap,"Jan 14, 2025",226.57,230.26,223.10,224.70,224.70,-0.26%,"18,143,124"
AVGO,Mega-Cap,"Jan 13, 2025",219.99,229.26,219.51,225.29,225.29,0.44%,"23,772,091"
AVGO,Mega-Cap,"Jan 10, 2025",227.30,227.83,221.25,224.31,224.31,-2.18%,"23,864,005"
AVGO,Mega-Cap,"Jan 8, 2025",229.70,232.47,226.06,229.31,229.31,0.29%,"18,756,487"
AVGO,Mega-Cap,"Jan 7, 2025",239.50,239.50,227.60,228.64,228.64,-3.29%,"25,928,606"
AVGO,Mega-Cap,"Jan 6, 2025",236.50,241.75,233.30,236.41,236.41,1.66%,"34,028,377"
AVGO,Mega-Cap,"Jan 3, 2025",233.59,236.49,229.00,232.55,232.55,0.25%,"24,973,192"
AVGO,Mega-Cap,"Jan 2, 2025",236.16,239.50,230.24,231.98,231.98,0.06%,"31,525,830"
AVGO,Mega-Cap,"Dec 31, 2024",235.88,237.46,231.31,231.84,231.84,-1.59%,"17,927,719"
AVGO,Mega-Cap,"Dec 30, 2024",234.70,238.77,231.62,235.58,235.58,-2.55%,"27,316,797"
AVGO,Mega-Cap,"Dec 27, 2024",245.64,245.78,236.35,241.75,241.75,-1.47%,"29,282,230"
AVGO,Mega-Cap,"Dec 26, 2024",240.00,247.28,237.60,245.36,245.36,2.37%,"28,537,540"
AVGO,Mega-Cap,"Dec 24, 2024",240.12,240.23,234.80,239.68,239.68,3.15%,"22,827,188"
AVGO,Mega-Cap,"Dec 23, 2024",226.69,233.40,225.13,232.35,232.35,5.24%,"40,643,778"
AVGO,Mega-Cap,"Dec 20, 2024",220.36,230.29,218.91,220.79,220.23,1.13%,"131,910,354"
AVGO,Mega-Cap,"Dec 19, 2024",227.91,228.05,217.58,218.32,217.77,-2.37%,"40,845,167"
AVGO,Mega-Cap,"Dec 18, 2024",239.41,239.85,219.22,223.62,223.05,-6.91%,"53,960,103"
AVGO,Mega-Cap,"Dec 17, 2024",240.65,242.47,233.80,240.23,239.62,-3.91%,"70,382,134"
