symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
BAC,Mega-Cap,"Feb 14, 2025",46.48,47.09,46.48,46.96,46.96,1.36%,"25,960,495"
BAC,Mega-Cap,"Feb 13, 2025",46.52,46.57,45.97,46.33,46.33,0.26%,"26,815,396"
BAC,Mega-Cap,"Feb 12, 2025",46.57,46.58,45.94,46.21,46.21,-1.24%,"29,777,070"
BAC,Mega-Cap,"Feb 11, 2025",46.55,46.93,46.28,46.79,46.79,0.26%,"20,314,881"
BAC,Mega-Cap,"Feb 10, 2025",47.48,47.56,46.40,46.67,46.67,-1.54%,"26,725,206"
BAC,Mega-Cap,"Feb 7, 2025",47.84,47.97,47.38,47.40,47.40,-0.71%,"26,504,696"
BAC,Mega-Cap,"Feb 6, 2025",47.44,47.98,47.17,47.74,47.74,1.34%,"39,793,386"
BAC,Mega-Cap,"Feb 5, 2025",46.98,47.13,46.65,47.11,47.11,0.86%,"27,696,614"
BAC,Mega-Cap,"Feb 4, 2025",46.35,47.13,46.27,46.71,46.71,1.08%,"32,893,992"
BAC,Mega-Cap,"Feb 3, 2025",45.42,46.48,45.11,46.21,46.21,-0.19%,"36,497,705"
BAC,Mega-Cap,"Jan 31, 2025",46.70,46.83,46.16,46.30,46.30,-0.90%,"30,392,921"
BAC,Mega-Cap,"Jan 30, 2025",47.11,47.17,46.40,46.72,46.72,-0.06%,"31,199,866"
BAC,Mega-Cap,"Jan 29, 2025",46.75,47.39,46.64,46.75,46.75,-0.19%,"23,681,527"
BAC,Mega-Cap,"Jan 28, 2025",47.08,47.44,46.71,46.84,46.84,-0.53%,"27,156,644"
BAC,Mega-Cap,"Jan 27, 2025",46.55,47.14,46.38,47.09,47.09,1.23%,"44,260,048"
BAC,Mega-Cap,"Jan 24, 2025",46.23,46.86,46.15,46.52,46.52,0.28%,"24,655,102"
BAC,Mega-Cap,"Jan 23, 2025",46.05,46.89,46.05,46.39,46.39,1.31%,"35,324,065"
BAC,Mega-Cap,"Jan 22, 2025",46.60,46.73,45.76,45.79,45.79,-1.86%,"40,296,223"
BAC,Mega-Cap,"Jan 21, 2025",46.62,47.15,46.54,46.66,46.66,0.28%,"52,089,087"
BAC,Mega-Cap,"Jan 17, 2025",46.61,46.88,46.08,46.53,46.53,-0.24%,"44,486,094"
BAC,Mega-Cap,"Jan 16, 2025",47.00,47.51,45.82,46.64,46.64,-0.98%,"56,339,293"
BAC,Mega-Cap,"Jan 15, 2025",47.12,47.46,46.84,47.10,47.10,2.88%,"57,154,814"
BAC,Mega-Cap,"Jan 14, 2025",45.60,45.92,45.23,45.78,45.78,1.60%,"36,379,011"
BAC,Mega-Cap,"Jan 13, 2025",45.10,45.34,44.69,45.06,45.06,-0.11%,"34,353,617"
BAC,Mega-Cap,"Jan 10, 2025",46.00,46.05,44.74,45.11,45.11,-2.38%,"40,741,349"
BAC,Mega-Cap,"Jan 8, 2025",45.90,46.26,45.69,46.21,46.21,0.28%,"40,246,008"
BAC,Mega-Cap,"Jan 7, 2025",46.28,46.65,45.65,46.08,46.08,1.50%,"41,111,204"
BAC,Mega-Cap,"Jan 6, 2025",45.16,46.15,45.10,45.40,45.40,1.32%,"30,518,458"
BAC,Mega-Cap,"Jan 3, 2025",44.75,44.85,44.15,44.81,44.81,1.17%,"23,455,711"
BAC,Mega-Cap,"Jan 2, 2025",44.14,44.59,43.80,44.29,44.29,0.77%,"25,610,575"
BAC,Mega-Cap,"Dec 31, 2024",44.04,44.23,43.71,43.95,43.95,0.09%,"16,110,352"
BAC,Mega-Cap,"Dec 30, 2024",43.89,44.14,43.55,43.91,43.91,-0.97%,"16,109,771"
BAC,Mega-Cap,"Dec 27, 2024",44.24,44.78,44.06,44.34,44.34,-0.47%,"17,972,488"
BAC,Mega-Cap,"Dec 26, 2024",44.21,44.58,44.11,44.55,44.55,0.38%,"16,079,707"
BAC,Mega-Cap,"Dec 24, 2024",43.93,44.42,43.93,44.38,44.38,1.12%,"12,054,354"
BAC,Mega-Cap,"Dec 23, 2024",43.90,44.11,42.78,43.89,43.89,-0.63%,"35,374,791"
BAC,Mega-Cap,"Dec 20, 2024",43.20,44.40,43.10,44.17,44.17,1.82%,"74,222,240"
BAC,Mega-Cap,"Dec 19, 2024",43.97,44.48,43.31,43.38,43.38,-0.28%,"38,583,594"
BAC,Mega-Cap,"Dec 18, 2024",45.14,45.43,43.35,43.50,43.50,-3.44%,"41,771,890"
BAC,Mega-Cap,"Dec 17, 2024",45.19,45.19,44.62,45.05,45.05,-0.92%,"33,054,645"
BAC,Mega-Cap,"Dec 16, 2024",45.59,45.68,45.16,45.47,45.47,-0.44%,"27,330,402"
BAC,Mega-Cap,"Dec 13, 2024",46.09,46.10,45.38,45.67,45.67,-0.89%,"32,902,264"
BAC,Mega-Cap,"Dec 12, 2024",46.14,46.47,45.92,46.08,46.08,-,"24,017,311"
BAC,Mega-Cap,"Dec 11, 2024",46.00,46.16,45.47,46.08,46.08,0.72%,"36,790,464"
BAC,Mega-Cap,"Dec 10, 2024",45.91,46.29,45.59,45.75,45.75,-0.35%,"35,665,762"
BAC,Mega-Cap,"Dec 9, 2024",46.56,46.75,45.90,45.91,45.91,-1.80%,"34,660,938"
BAC,Mega-Cap,"Dec 6, 2024",47.06,47.06,46.40,46.75,46.75,-0.53%,"28,931,688"
BAC,Mega-Cap,"Dec 5, 2024",46.56,47.24,46.50,47.00,46.74,1.36%,"31,572,096"
BAC,Mega-Cap,"Dec 4, 2024",46.69,46.78,46.13,46.37,46.11,-0.96%,"24,941,282"
BAC,Mega-Cap,"Dec 3, 2024",47.37,47.48,46.65,46.82,46.56,-0.47%,"38,123,774"
BAC,Mega-Cap,"Dec 2, 2024",47.74,47.82,46.85,47.04,46.78,-0.99%,"35,891,499"
BAC,Mega-Cap,"Nov 29, 2024",47.80,48.08,47.50,47.51,47.25,-0.54%,"23,262,009"
BAC,Mega-Cap,"Nov 27, 2024",47.82,47.98,47.65,47.77,47.51,0.04%,"23,278,393"
BAC,Mega-Cap,"Nov 26, 2024",47.51,47.84,47.21,47.75,47.49,0.53%,"30,301,526"
BAC,Mega-Cap,"Nov 25, 2024",47.26,47.74,47.16,47.50,47.24,1.06%,"42,718,557"
BAC,Mega-Cap,"Nov 22, 2024",46.37,47.22,46.28,47.00,46.74,1.16%,"37,996,162"
BAC,Mega-Cap,"Nov 21, 2024",46.39,47.05,46.30,46.46,46.20,0.87%,"45,336,463"
BAC,Mega-Cap,"Nov 20, 2024",46.57,46.64,45.92,46.06,45.81,-0.75%,"28,021,049"
BAC,Mega-Cap,"Nov 19, 2024",45.99,46.62,45.95,46.41,46.15,-0.66%,"28,534,097"
BAC,Mega-Cap,"Nov 18, 2024",46.75,47.02,46.49,46.72,46.46,-0.06%,"32,371,771"
BAC,Mega-Cap,"Nov 15, 2024",45.62,46.84,45.62,46.75,46.49,1.85%,"40,488,863"
