symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
COST,Mega-Cap,"Feb 14, 2025","1,076.48","1,077.49","1,068.01","1,071.85","1,071.85",-0.47%,"1,410,728"
COST,Mega-Cap,"Feb 13, 2025","1,067.01","1,078.24","1,064.65","1,076.86","1,076.86",1.10%,"1,623,281"
COST,Mega-Cap,"Feb 12, 2025","1,054.15","1,067.00","1,051.00","1,065.12","1,065.12",0.64%,"1,662,315"
COST,Mega-Cap,"Feb 11, 2025","1,059.91","1,066.00","1,049.04","1,058.34","1,058.34",-0.34%,"1,748,505"
COST,Mega-Cap,"Feb 10, 2025","1,052.00","1,063.00","1,046.00","1,061.92","1,061.92",1.73%,"2,036,894"
COST,Mega-Cap,"Feb 7, 2025","1,047.00","1,056.71","1,035.51","1,043.81","1,043.81",-0.68%,"1,632,854"
COST,Mega-Cap,"Feb 6, 2025","1,050.00","1,063.00","1,044.20","1,050.99","1,049.82",0.78%,"2,218,045"
COST,Mega-Cap,"Feb 5, 2025","1,020.00","1,043.09","1,020.00","1,042.88","1,041.72",2.06%,"2,050,058"
COST,Mega-Cap,"Feb 4, 2025","1,005.40","1,024.35",999.65,"1,021.86","1,020.73",1.59%,"2,001,641"
COST,Mega-Cap,"Feb 3, 2025",972.39,"1,009.61",968.94,"1,005.83","1,004.71",2.65%,"2,751,018"
COST,Mega-Cap,"Jan 31, 2025",976.24,991.00,975.78,979.88,978.79,0.09%,"1,875,713"
COST,Mega-Cap,"Jan 30, 2025",970.30,986.75,970.10,979.01,977.92,1.55%,"1,788,180"
COST,Mega-Cap,"Jan 29, 2025",957.80,968.26,955.00,964.02,962.95,0.56%,"1,713,749"
COST,Mega-Cap,"Jan 28, 2025",961.83,965.71,954.07,958.67,957.61,-0.68%,"2,166,375"
COST,Mega-Cap,"Jan 27, 2025",930.00,966.99,927.18,965.25,964.18,2.72%,"3,044,682"
COST,Mega-Cap,"Jan 24, 2025",942.16,946.04,933.56,939.68,938.64,-0.26%,"1,562,422"
COST,Mega-Cap,"Jan 23, 2025",941.69,943.39,936.49,942.16,941.11,-0.27%,"1,352,440"
COST,Mega-Cap,"Jan 22, 2025",951.23,951.94,939.24,944.70,943.65,-0.32%,"2,154,991"
COST,Mega-Cap,"Jan 21, 2025",945.25,956.55,943.50,947.73,946.68,0.48%,"2,042,443"
COST,Mega-Cap,"Jan 17, 2025",930.00,943.80,924.57,943.19,942.14,2.55%,"2,375,012"
