symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
CVX,Mega-Cap,"Feb 14, 2025",155.08,157.45,154.88,155.34,155.34,-0.35%,"5,828,805"
CVX,Mega-Cap,"Feb 13, 2025",154.78,156.42,153.32,155.88,154.18,0.63%,"7,836,362"
CVX,Mega-Cap,"Feb 12, 2025",156.75,157.47,154.57,154.90,153.21,-1.61%,"6,693,461"
CVX,Mega-Cap,"Feb 11, 2025",156.35,158.71,156.12,157.44,155.73,1.07%,"6,011,842"
CVX,Mega-Cap,"Feb 10, 2025",154.29,155.80,154.06,155.77,154.07,2.06%,"5,653,770"
CVX,Mega-Cap,"Feb 7, 2025",152.48,153.81,151.92,152.62,150.96,0.47%,"4,724,947"
CVX,Mega-Cap,"Feb 6, 2025",154.22,155.26,151.06,151.90,150.25,-0.71%,"6,420,525"
CVX,Mega-Cap,"Feb 5, 2025",152.99,153.80,152.29,152.99,151.32,-0.15%,"6,533,680"
CVX,Mega-Cap,"Feb 4, 2025",148.72,153.39,148.72,153.22,151.55,2.60%,"8,458,070"
CVX,Mega-Cap,"Feb 3, 2025",149.00,150.86,147.80,149.34,147.71,0.10%,"7,604,961"
CVX,Mega-Cap,"Jan 31, 2025",153.76,154.37,148.65,149.19,147.57,-4.56%,"16,731,592"
CVX,Mega-Cap,"Jan 30, 2025",156.56,157.45,155.52,156.32,154.62,0.40%,"6,931,918"
CVX,Mega-Cap,"Jan 29, 2025",155.72,156.58,154.81,155.69,154.00,-0.33%,"5,630,563"
CVX,Mega-Cap,"Jan 28, 2025",157.71,158.92,155.18,156.21,154.51,-0.65%,"6,425,353"
CVX,Mega-Cap,"Jan 27, 2025",156.33,157.89,155.52,157.23,155.52,1.02%,"7,140,991"
CVX,Mega-Cap,"Jan 24, 2025",156.46,157.47,155.27,155.65,153.96,-0.23%,"8,003,778"
CVX,Mega-Cap,"Jan 23, 2025",157.63,157.94,155.62,156.01,154.31,-0.26%,"5,979,808"
CVX,Mega-Cap,"Jan 22, 2025",157.68,158.44,156.27,156.41,154.71,-1.16%,"7,232,227"
CVX,Mega-Cap,"Jan 21, 2025",161.15,161.40,157.49,158.24,156.52,-2.00%,"10,131,372"
CVX,Mega-Cap,"Jan 17, 2025",159.13,161.77,158.80,161.47,159.71,1.31%,"9,260,428"
CVX,Mega-Cap,"Jan 16, 2025",158.03,159.90,158.03,159.38,157.65,0.66%,"5,578,902"
CVX,Mega-Cap,"Jan 15, 2025",156.88,158.69,156.38,158.33,156.61,0.91%,"7,899,997"
CVX,Mega-Cap,"Jan 14, 2025",155.21,156.91,154.46,156.90,155.19,1.00%,"6,830,219"
CVX,Mega-Cap,"Jan 13, 2025",154.10,157.35,154.00,155.35,153.66,1.44%,"11,774,073"
CVX,Mega-Cap,"Jan 10, 2025",153.41,154.34,150.87,153.14,151.47,1.89%,"11,074,716"
CVX,Mega-Cap,"Jan 8, 2025",148.04,151.18,148.03,150.30,148.66,0.47%,"7,640,885"
CVX,Mega-Cap,"Jan 7, 2025",148.51,150.50,147.63,149.59,147.96,1.58%,"7,735,997"
CVX,Mega-Cap,"Jan 6, 2025",148.40,150.33,146.87,147.26,145.66,-0.40%,"5,888,731"
