symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ISRG,Mega-Cap,"Feb 14, 2025",593.16,599.26,588.52,595.55,595.55,0.70%,"1,173,141"
ISRG,Mega-Cap,"Feb 13, 2025",590.86,593.17,583.23,591.39,591.39,0.30%,"1,270,510"
ISRG,Mega-Cap,"Feb 12, 2025",586.49,591.82,581.06,589.61,589.61,-0.34%,"1,115,443"
ISRG,Mega-Cap,"Feb 11, 2025",591.23,592.83,587.00,591.65,591.65,-0.68%,"837,339"
ISRG,Mega-Cap,"Feb 10, 2025",590.00,595.96,586.78,595.70,595.70,2.18%,"1,248,961"
ISRG,Mega-Cap,"Feb 7, 2025",590.50,594.08,582.16,582.98,582.98,-0.94%,"1,061,378"
ISRG,Mega-Cap,"Feb 6, 2025",592.78,592.86,585.40,588.50,588.50,-0.41%,"1,008,187"
ISRG,Mega-Cap,"Feb 5, 2025",580.46,592.64,580.16,590.90,590.90,1.94%,"1,521,646"
ISRG,Mega-Cap,"Feb 4, 2025",573.21,582.85,573.08,579.65,579.65,0.19%,"1,416,519"
ISRG,Mega-Cap,"Feb 3, 2025",564.87,583.58,563.27,578.55,578.55,1.17%,"1,830,778"
ISRG,Mega-Cap,"Jan 31, 2025",576.74,586.89,570.86,571.88,571.88,-1.43%,"1,828,397"
ISRG,Mega-Cap,"Jan 30, 2025",581.24,584.42,577.35,580.18,580.18,1.30%,"1,986,680"
ISRG,Mega-Cap,"Jan 29, 2025",571.11,578.41,569.49,572.71,572.71,-0.25%,"1,597,890"
ISRG,Mega-Cap,"Jan 28, 2025",566.60,584.48,563.85,574.14,574.14,0.12%,"2,332,427"
ISRG,Mega-Cap,"Jan 27, 2025",574.68,579.34,563.35,573.48,573.48,-1.81%,"2,441,593"
ISRG,Mega-Cap,"Jan 24, 2025",581.90,591.91,573.32,584.05,584.05,-4.04%,"4,357,650"
ISRG,Mega-Cap,"Jan 23, 2025",612.00,616.00,602.00,608.66,608.66,-0.29%,"2,322,245"
ISRG,Mega-Cap,"Jan 22, 2025",608.03,614.72,602.45,610.45,610.45,1.05%,"2,100,566"
ISRG,Mega-Cap,"Jan 21, 2025",598.11,606.27,593.82,604.12,604.12,1.94%,"1,993,501"
ISRG,Mega-Cap,"Jan 17, 2025",597.68,597.68,583.24,592.64,592.64,1.47%,"2,635,153"
ISRG,Mega-Cap,"Jan 16, 2025",582.60,585.50,573.00,584.08,584.08,0.68%,"2,119,549"
ISRG,Mega-Cap,"Jan 15, 2025",555.05,584.60,549.17,580.11,580.11,7.65%,"3,553,382"
