symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
JPM,Mega-Cap,"Feb 14, 2025",277.37,279.23,276.45,276.59,276.59,0.10%,"5,674,122"
JPM,Mega-Cap,"Feb 13, 2025",275.50,276.97,273.81,276.32,276.32,0.32%,"8,398,667"
JPM,Mega-Cap,"Feb 12, 2025",274.08,276.45,273.25,275.45,275.45,0.17%,"6,683,894"
JPM,Mega-Cap,"Feb 11, 2025",270.26,276.22,269.66,274.99,274.99,1.46%,"7,196,376"
JPM,Mega-Cap,"Feb 10, 2025",276.15,276.18,269.59,271.04,271.04,-1.73%,"8,627,352"
JPM,Mega-Cap,"Feb 7, 2025",277.27,278.55,274.72,275.80,275.80,-0.40%,"6,857,875"
JPM,Mega-Cap,"Feb 6, 2025",272.45,276.98,271.19,276.90,276.90,2.39%,"7,264,371"
JPM,Mega-Cap,"Feb 5, 2025",268.91,270.64,268.33,270.43,270.43,0.93%,"5,704,431"
JPM,Mega-Cap,"Feb 4, 2025",269.84,269.84,266.83,267.94,267.94,0.42%,"5,625,972"
JPM,Mega-Cap,"Feb 3, 2025",261.83,268.17,261.70,266.81,266.81,-0.18%,"8,381,361"
JPM,Mega-Cap,"Jan 31, 2025",269.23,270.82,266.96,267.30,267.30,-0.35%,"7,196,268"
JPM,Mega-Cap,"Jan 30, 2025",268.63,269.70,266.62,268.23,268.23,0.62%,"8,753,466"
JPM,Mega-Cap,"Jan 29, 2025",267.21,270.68,265.61,266.58,266.58,-0.21%,"7,684,870"
JPM,Mega-Cap,"Jan 28, 2025",265.85,267.33,264.83,267.14,267.14,0.49%,"7,375,391"
JPM,Mega-Cap,"Jan 27, 2025",264.17,265.97,262.26,265.85,265.85,0.38%,"7,522,258"
JPM,Mega-Cap,"Jan 24, 2025",263.69,267.10,263.01,264.84,264.84,-0.42%,"7,666,261"
JPM,Mega-Cap,"Jan 23, 2025",264.69,266.86,263.81,265.95,265.95,1.18%,"10,749,681"
JPM,Mega-Cap,"Jan 22, 2025",262.90,263.38,260.25,262.84,262.84,-0.07%,"9,021,914"
JPM,Mega-Cap,"Jan 21, 2025",260.07,264.25,259.50,263.03,263.03,1.49%,"13,712,114"
JPM,Mega-Cap,"Jan 17, 2025",254.14,260.62,252.14,259.16,259.16,1.92%,"17,678,101"
JPM,Mega-Cap,"Jan 16, 2025",254.00,257.04,252.33,254.27,254.27,0.76%,"15,292,348"
JPM,Mega-Cap,"Jan 15, 2025",250.40,253.67,243.68,252.35,252.35,1.97%,"18,448,520"
JPM,Mega-Cap,"Jan 14, 2025",242.66,247.72,242.19,247.47,247.47,1.33%,"12,407,386"
JPM,Mega-Cap,"Jan 13, 2025",239.67,244.54,239.00,244.21,244.21,1.81%,"10,005,315"
JPM,Mega-Cap,"Jan 10, 2025",243.09,243.81,238.74,239.87,239.87,-1.34%,"10,256,829"
JPM,Mega-Cap,"Jan 8, 2025",242.75,244.25,240.50,243.13,243.13,-0.02%,"8,675,284"
JPM,Mega-Cap,"Jan 7, 2025",242.14,245.26,240.90,243.17,243.17,0.96%,"8,753,357"
JPM,Mega-Cap,"Jan 6, 2025",243.70,245.69,240.58,240.85,240.85,-1.00%,"9,917,836"
JPM,Mega-Cap,"Jan 3, 2025",243.89,244.88,240.26,243.28,242.02,1.37%,"9,491,053"
JPM,Mega-Cap,"Jan 2, 2025",240.92,243.28,239.45,240.00,238.76,0.12%,"9,220,914"
JPM,Mega-Cap,"Dec 31, 2024",240.05,241.44,239.03,239.71,238.47,0.16%,"4,870,971"
JPM,Mega-Cap,"Dec 30, 2024",238.77,240.84,237.11,239.32,238.08,-0.77%,"5,723,765"
JPM,Mega-Cap,"Dec 27, 2024",242.72,243.39,240.04,241.17,239.93,-0.81%,"5,730,607"
JPM,Mega-Cap,"Dec 26, 2024",241.43,243.26,240.79,243.14,241.89,0.34%,"4,452,168"
JPM,Mega-Cap,"Dec 24, 2024",239.43,242.49,239.07,242.31,241.06,1.64%,"3,729,092"
JPM,Mega-Cap,"Dec 23, 2024",236.07,238.62,234.88,238.39,237.16,0.33%,"8,611,528"
JPM,Mega-Cap,"Dec 20, 2024",231.92,239.21,231.59,237.60,236.37,1.99%,"32,348,414"
JPM,Mega-Cap,"Dec 19, 2024",232.27,236.36,232.27,232.96,231.76,1.12%,"11,790,773"
JPM,Mega-Cap,"Dec 18, 2024",239.00,239.07,229.53,230.37,229.18,-3.35%,"11,322,358"
JPM,Mega-Cap,"Dec 17, 2024",238.65,239.02,236.63,238.36,237.13,-0.51%,"8,083,635"
JPM,Mega-Cap,"Dec 16, 2024",240.61,240.67,237.52,239.58,238.34,-0.15%,"9,032,044"
JPM,Mega-Cap,"Dec 13, 2024",242.07,242.72,239.14,239.94,238.70,-0.66%,"10,392,749"
JPM,Mega-Cap,"Dec 12, 2024",243.00,244.10,241.04,241.53,240.28,-0.82%,"6,113,771"
JPM,Mega-Cap,"Dec 11, 2024",244.00,244.27,242.18,243.53,242.27,0.28%,"7,884,442"
JPM,Mega-Cap,"Dec 10, 2024",243.89,247.96,242.22,242.86,241.61,-0.39%,"9,108,339"
JPM,Mega-Cap,"Dec 9, 2024",247.13,247.87,243.76,243.81,242.55,-1.44%,"7,076,466"
JPM,Mega-Cap,"Dec 6, 2024",245.70,247.74,244.84,247.36,246.08,0.77%,"5,519,738"
JPM,Mega-Cap,"Dec 5, 2024",245.39,247.18,244.62,245.48,244.21,0.85%,"6,572,536"
JPM,Mega-Cap,"Dec 4, 2024",244.70,245.35,242.23,243.40,242.14,-0.58%,"7,346,265"
