symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
LIN,Mega-Cap,"Feb 14, 2025",461.05,464.11,456.70,457.00,457.00,-0.88%,"1,705,353"
LIN,Mega-Cap,"Feb 13, 2025",457.56,462.60,457.38,461.05,461.05,0.54%,"2,265,301"
LIN,Mega-Cap,"Feb 12, 2025",457.32,460.14,454.55,458.56,458.56,-0.47%,"1,695,193"
LIN,Mega-Cap,"Feb 11, 2025",460.25,462.54,459.32,460.74,460.74,-0.03%,"1,587,791"
LIN,Mega-Cap,"Feb 10, 2025",454.82,461.12,453.40,460.86,460.86,1.28%,"1,876,673"
LIN,Mega-Cap,"Feb 7, 2025",456.54,458.16,452.50,455.05,455.05,-1.22%,"1,668,297"
LIN,Mega-Cap,"Feb 6, 2025",450.03,461.51,450.00,460.68,460.68,1.54%,"2,423,313"
LIN,Mega-Cap,"Feb 5, 2025",453.40,455.07,450.91,453.70,453.70,-0.24%,"2,696,917"
LIN,Mega-Cap,"Feb 4, 2025",455.94,458.83,452.83,454.80,454.80,0.13%,"2,504,031"
LIN,Mega-Cap,"Feb 3, 2025",445.03,454.81,440.46,454.21,454.21,1.81%,"2,701,167"
LIN,Mega-Cap,"Jan 31, 2025",444.42,448.17,438.64,446.12,446.12,-0.06%,"2,820,686"
LIN,Mega-Cap,"Jan 30, 2025",439.00,449.67,439.00,446.38,446.38,1.84%,"2,545,904"
LIN,Mega-Cap,"Jan 29, 2025",435.22,439.02,434.49,438.32,438.32,0.65%,"2,631,137"
LIN,Mega-Cap,"Jan 28, 2025",440.00,440.41,435.24,435.51,435.51,-0.91%,"2,158,432"
LIN,Mega-Cap,"Jan 27, 2025",438.34,441.40,434.99,439.49,439.49,0.05%,"2,833,438"
LIN,Mega-Cap,"Jan 24, 2025",442.87,443.37,439.04,439.25,439.25,-0.36%,"1,547,782"
LIN,Mega-Cap,"Jan 23, 2025",442.72,443.14,440.43,440.83,440.83,-0.40%,"1,811,291"
LIN,Mega-Cap,"Jan 22, 2025",445.67,448.69,442.47,442.60,442.60,0.03%,"2,644,136"
LIN,Mega-Cap,"Jan 21, 2025",439.67,444.07,439.44,442.46,442.46,1.48%,"2,281,956"
LIN,Mega-Cap,"Jan 17, 2025",440.00,440.00,433.53,436.00,436.00,0.81%,"2,412,198"
LIN,Mega-Cap,"Jan 16, 2025",427.92,432.75,427.65,432.49,432.49,1.05%,"1,511,580"
LIN,Mega-Cap,"Jan 15, 2025",433.22,433.92,426.41,427.98,427.98,0.16%,"2,202,422"
LIN,Mega-Cap,"Jan 14, 2025",422.28,427.81,420.72,427.29,427.29,1.39%,"2,344,275"
LIN,Mega-Cap,"Jan 13, 2025",415.79,422.68,413.70,421.43,421.43,1.76%,"2,824,504"
