symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
MA,Mega-Cap,"Feb 14, 2025",566.01,569.24,564.13,564.76,564.76,-0.27%,"1,924,988"
MA,Mega-Cap,"Feb 13, 2025",565.60,567.39,561.47,566.31,566.31,0.30%,"1,709,499"
MA,Mega-Cap,"Feb 12, 2025",562.01,564.75,559.44,564.60,564.60,-0.02%,"1,722,312"
MA,Mega-Cap,"Feb 11, 2025",564.99,566.43,559.22,564.70,564.70,-0.14%,"1,847,808"
MA,Mega-Cap,"Feb 10, 2025",565.25,567.27,561.00,565.49,565.49,0.49%,"2,357,752"
MA,Mega-Cap,"Feb 7, 2025",568.06,570.05,561.78,562.75,562.75,-0.78%,"2,008,409"
MA,Mega-Cap,"Feb 6, 2025",566.13,569.75,564.54,567.16,567.16,0.15%,"1,738,474"
MA,Mega-Cap,"Feb 5, 2025",561.35,566.87,559.80,566.29,566.29,1.28%,"2,404,997"
MA,Mega-Cap,"Feb 4, 2025",570.88,572.00,557.58,559.11,559.11,-0.86%,"2,639,060"
MA,Mega-Cap,"Feb 3, 2025",552.64,565.00,551.07,563.95,563.95,1.53%,"3,195,610"
MA,Mega-Cap,"Jan 31, 2025",563.82,565.54,554.64,555.43,555.43,-1.87%,"4,505,520"
MA,Mega-Cap,"Jan 30, 2025",555.00,576.94,554.53,566.01,566.01,3.14%,"6,005,206"
MA,Mega-Cap,"Jan 29, 2025",547.00,550.61,546.50,548.80,548.80,0.26%,"2,549,001"
MA,Mega-Cap,"Jan 28, 2025",546.54,551.55,542.66,547.36,547.36,-0.05%,"2,727,798"
MA,Mega-Cap,"Jan 27, 2025",533.58,547.99,531.66,547.64,547.64,2.65%,"3,074,807"
MA,Mega-Cap,"Jan 24, 2025",532.99,536.06,532.15,533.49,533.49,-0.14%,"2,473,012"
MA,Mega-Cap,"Jan 23, 2025",529.05,534.35,528.68,534.22,534.22,1.34%,"2,196,457"
MA,Mega-Cap,"Jan 22, 2025",528.00,530.30,525.67,527.18,527.18,-0.17%,"2,037,643"
MA,Mega-Cap,"Jan 21, 2025",527.66,529.98,526.91,528.06,528.06,0.64%,"2,706,947"
MA,Mega-Cap,"Jan 17, 2025",524.58,528.13,521.01,524.70,524.70,0.30%,"2,374,798"
MA,Mega-Cap,"Jan 16, 2025",523.62,527.12,520.72,523.14,523.14,0.15%,"3,275,700"
MA,Mega-Cap,"Jan 15, 2025",515.57,523.77,513.73,522.35,522.35,2.62%,"3,025,066"
MA,Mega-Cap,"Jan 14, 2025",507.07,509.39,504.21,509.02,509.02,0.81%,"2,704,795"
MA,Mega-Cap,"Jan 13, 2025",501.00,506.15,499.92,504.91,504.91,0.05%,"2,885,549"
MA,Mega-Cap,"Jan 10, 2025",512.12,513.76,503.36,504.67,504.67,-2.27%,"2,815,624"
MA,Mega-Cap,"Jan 8, 2025",512.04,517.45,511.53,516.40,515.62,0.98%,"2,456,715"
MA,Mega-Cap,"Jan 7, 2025",513.68,516.33,511.08,511.40,510.63,-0.10%,"2,211,877"
MA,Mega-Cap,"Jan 6, 2025",520.97,521.36,511.01,511.93,511.16,-1.81%,"2,920,787"
MA,Mega-Cap,"Jan 3, 2025",522.53,524.46,517.68,521.36,520.58,-0.20%,"1,627,726"
MA,Mega-Cap,"Jan 2, 2025",529.19,530.56,517.66,522.40,521.61,-0.79%,"2,818,795"
MA,Mega-Cap,"Dec 31, 2024",527.67,529.19,525.56,526.57,525.78,0.19%,"1,942,656"
MA,Mega-Cap,"Dec 30, 2024",527.00,528.57,521.33,525.55,524.76,-1.25%,"2,101,731"
MA,Mega-Cap,"Dec 27, 2024",533.61,537.56,530.80,532.20,531.40,-0.74%,"1,542,157"
MA,Mega-Cap,"Dec 26, 2024",533.63,537.70,532.92,536.15,535.34,0.08%,"1,109,713"
MA,Mega-Cap,"Dec 24, 2024",529.27,535.74,527.83,535.71,534.90,1.28%,"955,015"
MA,Mega-Cap,"Dec 23, 2024",525.83,529.40,521.13,528.96,528.17,0.18%,"2,270,286"
MA,Mega-Cap,"Dec 20, 2024",522.87,532.08,519.42,528.03,527.24,0.91%,"7,317,151"
MA,Mega-Cap,"Dec 19, 2024",524.16,529.22,522.20,523.28,522.49,0.64%,"3,050,813"
MA,Mega-Cap,"Dec 18, 2024",530.32,537.13,519.71,519.96,519.18,-2.08%,"3,190,277"
MA,Mega-Cap,"Dec 17, 2024",529.40,531.78,524.87,531.01,530.21,0.13%,"4,056,007"
MA,Mega-Cap,"Dec 16, 2024",532.00,535.00,529.00,530.31,529.51,0.25%,"2,923,016"
MA,Mega-Cap,"Dec 13, 2024",534.17,534.68,528.91,529.00,528.21,-0.64%,"1,608,196"
MA,Mega-Cap,"Dec 12, 2024",536.29,536.75,531.97,532.41,531.61,-0.38%,"1,860,815"
MA,Mega-Cap,"Dec 11, 2024",529.19,535.89,527.27,534.45,533.65,1.03%,"2,181,241"
MA,Mega-Cap,"Dec 10, 2024",522.51,529.66,520.22,529.01,528.22,1.18%,"2,003,265"
MA,Mega-Cap,"Dec 9, 2024",529.02,531.59,521.88,522.82,522.03,-1.09%,"2,942,047"
MA,Mega-Cap,"Dec 6, 2024",522.93,531.00,522.50,528.57,527.78,0.72%,"2,122,791"
MA,Mega-Cap,"Dec 5, 2024",524.60,527.47,522.17,524.77,523.98,0.70%,"2,538,695"
MA,Mega-Cap,"Dec 4, 2024",523.64,526.28,518.17,521.14,520.36,-0.96%,"2,630,030"
MA,Mega-Cap,"Dec 3, 2024",534.67,534.82,525.96,526.18,525.39,-0.97%,"2,319,746"
MA,Mega-Cap,"Dec 2, 2024",532.93,534.82,526.23,531.36,530.56,-0.30%,"2,355,191"
MA,Mega-Cap,"Nov 29, 2024",533.01,535.77,530.03,532.94,532.14,0.11%,"1,760,566"
MA,Mega-Cap,"Nov 27, 2024",529.05,533.62,526.58,532.38,531.58,0.74%,"2,086,434"
MA,Mega-Cap,"Nov 26, 2024",527.90,530.65,525.06,528.48,527.69,0.36%,"2,326,797"
MA,Mega-Cap,"Nov 25, 2024",521.64,528.25,521.02,526.60,525.81,1.10%,"4,503,914"
MA,Mega-Cap,"Nov 22, 2024",516.93,521.71,516.18,520.86,520.08,1.12%,"3,130,470"
MA,Mega-Cap,"Nov 21, 2024",513.23,520.12,511.58,515.10,514.33,0.50%,"3,077,464"
