symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
NVO,Mega-Cap,"Feb 14, 2025",78.58,79.07,77.82,77.87,77.87,-1.22%,"9,488,233"
NVO,Mega-Cap,"Feb 13, 2025",79.54,80.14,78.70,78.83,78.83,-3.62%,"10,809,249"
NVO,Mega-Cap,"Feb 12, 2025",81.02,82.36,80.53,81.79,81.79,-2.33%,"6,427,373"
NVO,Mega-Cap,"Feb 11, 2025",83.51,84.25,82.87,83.74,83.74,-0.20%,"5,046,817"
NVO,Mega-Cap,"Feb 10, 2025",85.70,85.92,83.65,83.91,83.91,-2.90%,"9,555,036"
NVO,Mega-Cap,"Feb 7, 2025",88.69,88.77,86.14,86.42,86.42,-0.86%,"8,700,839"
NVO,Mega-Cap,"Feb 6, 2025",86.72,88.95,86.67,87.17,87.17,1.68%,"10,575,995"
NVO,Mega-Cap,"Feb 5, 2025",86.43,87.42,85.09,85.73,85.73,3.76%,"14,099,043"
NVO,Mega-Cap,"Feb 4, 2025",81.62,83.44,81.27,82.62,82.62,-0.04%,"9,880,721"
NVO,Mega-Cap,"Feb 3, 2025",82.13,83.38,82.07,82.65,82.65,-2.13%,"5,460,116"
NVO,Mega-Cap,"Jan 31, 2025",84.87,85.44,84.29,84.45,84.45,-1.04%,"6,546,154"
NVO,Mega-Cap,"Jan 30, 2025",84.60,86.47,83.94,85.34,85.34,1.56%,"5,798,825"
NVO,Mega-Cap,"Jan 29, 2025",85.62,85.67,83.90,84.03,84.03,-1.36%,"6,843,913"
NVO,Mega-Cap,"Jan 28, 2025",86.07,86.86,84.60,85.19,85.19,-2.65%,"9,534,269"
NVO,Mega-Cap,"Jan 27, 2025",85.74,88.46,85.34,87.51,87.51,-0.52%,"10,864,940"
NVO,Mega-Cap,"Jan 24, 2025",89.97,89.97,86.57,87.97,87.97,8.47%,"27,095,411"
NVO,Mega-Cap,"Jan 23, 2025",81.33,81.72,80.33,81.10,81.10,0.66%,"6,765,777"
NVO,Mega-Cap,"Jan 22, 2025",81.73,81.80,80.43,80.57,80.57,-0.57%,"5,910,356"
NVO,Mega-Cap,"Jan 21, 2025",79.68,81.11,79.32,81.03,81.03,2.97%,"8,094,304"
NVO,Mega-Cap,"Jan 17, 2025",79.94,80.88,78.17,78.69,78.69,-5.27%,"21,265,290"
NVO,Mega-Cap,"Jan 16, 2025",82.74,83.99,82.19,83.07,83.07,0.18%,"6,322,359"
NVO,Mega-Cap,"Jan 15, 2025",83.36,83.82,82.71,82.92,82.92,2.14%,"9,021,498"
NVO,Mega-Cap,"Jan 14, 2025",82.92,83.68,80.05,81.18,81.18,-4.07%,"13,694,896"
NVO,Mega-Cap,"Jan 13, 2025",84.42,84.72,83.69,84.62,84.62,-1.90%,"7,412,352"
NVO,Mega-Cap,"Jan 10, 2025",87.22,87.28,85.84,86.26,86.26,0.72%,"6,774,724"
NVO,Mega-Cap,"Jan 8, 2025",85.51,85.80,84.68,85.64,85.64,2.76%,"9,196,402"
NVO,Mega-Cap,"Jan 7, 2025",84.10,84.81,82.64,83.34,83.34,-1.99%,"9,567,948"
NVO,Mega-Cap,"Jan 6, 2025",86.11,86.34,84.80,85.03,85.03,-2.99%,"10,695,664"
NVO,Mega-Cap,"Jan 3, 2025",87.49,88.19,87.34,87.65,87.65,0.15%,"3,768,991"
NVO,Mega-Cap,"Jan 2, 2025",87.91,88.51,87.19,87.52,87.52,1.74%,"4,571,212"
NVO,Mega-Cap,"Dec 31, 2024",85.42,86.05,85.00,86.02,86.02,0.34%,"4,202,390"
NVO,Mega-Cap,"Dec 30, 2024",86.97,87.01,85.66,85.73,85.73,-1.88%,"6,109,989"
NVO,Mega-Cap,"Dec 27, 2024",87.73,88.77,87.02,87.37,87.37,-0.32%,"6,066,026"
NVO,Mega-Cap,"Dec 26, 2024",87.17,88.06,86.87,87.65,87.65,0.32%,"6,292,075"
NVO,Mega-Cap,"Dec 24, 2024",88.90,88.98,87.07,87.37,87.37,-1.51%,"4,774,877"
NVO,Mega-Cap,"Dec 23, 2024",88.87,89.10,85.99,88.71,88.71,4.36%,"18,997,927"
NVO,Mega-Cap,"Dec 20, 2024",82.72,86.53,81.50,85.00,85.00,-17.83%,"53,762,446"
NVO,Mega-Cap,"Dec 19, 2024",104.27,104.75,102.74,103.44,103.44,-2.38%,"5,344,382"
NVO,Mega-Cap,"Dec 18, 2024",108.39,109.04,105.48,105.96,105.96,-1.90%,"3,760,940"
NVO,Mega-Cap,"Dec 17, 2024",107.75,108.99,107.73,108.01,108.01,-0.04%,"5,415,450"
NVO,Mega-Cap,"Dec 16, 2024",109.29,109.88,107.87,108.05,108.05,1.03%,"5,346,878"
NVO,Mega-Cap,"Dec 13, 2024",107.04,107.61,104.14,106.95,106.95,-1.53%,"6,250,388"
NVO,Mega-Cap,"Dec 12, 2024",110.88,111.17,108.41,108.61,108.61,-2.76%,"3,650,826"
NVO,Mega-Cap,"Dec 11, 2024",110.45,112.52,110.02,111.69,111.69,2.29%,"6,545,662"
NVO,Mega-Cap,"Dec 10, 2024",111.55,111.55,108.70,109.19,109.19,-1.70%,"4,621,729"
NVO,Mega-Cap,"Dec 9, 2024",111.72,111.99,110.30,111.08,111.08,0.28%,"4,908,910"
NVO,Mega-Cap,"Dec 6, 2024",109.93,111.31,109.75,110.77,110.77,1.79%,"6,045,653"
