symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PG,Mega-Cap,"Feb 14, 2025",169.79,170.00,162.30,162.89,162.89,-4.75%,"12,626,721"
PG,Mega-Cap,"Feb 13, 2025",169.63,171.38,169.14,171.02,171.02,0.85%,"6,328,365"
PG,Mega-Cap,"Feb 12, 2025",168.35,170.08,167.97,169.58,169.58,0.09%,"6,037,671"
PG,Mega-Cap,"Feb 11, 2025",167.69,169.57,166.50,169.43,169.43,1.13%,"5,438,081"
PG,Mega-Cap,"Feb 10, 2025",167.69,168.48,166.40,167.53,167.53,-0.26%,"7,063,167"
PG,Mega-Cap,"Feb 7, 2025",169.09,169.12,167.87,167.97,167.97,-0.54%,"4,535,617"
PG,Mega-Cap,"Feb 6, 2025",169.37,169.93,168.03,168.88,168.88,-0.08%,"4,957,889"
PG,Mega-Cap,"Feb 5, 2025",168.09,169.14,166.61,169.01,169.01,0.52%,"7,537,232"
PG,Mega-Cap,"Feb 4, 2025",169.29,169.29,166.28,168.13,168.13,-0.37%,"6,410,938"
PG,Mega-Cap,"Feb 3, 2025",165.47,169.38,165.23,168.76,168.76,1.67%,"8,668,729"
PG,Mega-Cap,"Jan 31, 2025",166.00,166.62,165.21,165.99,165.99,-0.85%,"5,464,903"
PG,Mega-Cap,"Jan 30, 2025",167.48,167.60,165.93,167.41,167.41,0.71%,"4,136,546"
PG,Mega-Cap,"Jan 29, 2025",166.72,167.29,165.88,166.23,166.23,0.02%,"4,850,295"
PG,Mega-Cap,"Jan 28, 2025",168.91,169.59,166.11,166.19,166.19,-2.05%,"6,716,387"
PG,Mega-Cap,"Jan 27, 2025",166.72,169.94,166.11,169.66,169.66,3.38%,"9,170,829"
PG,Mega-Cap,"Jan 24, 2025",165.91,165.91,163.20,164.12,164.12,-1.22%,"6,199,939"
PG,Mega-Cap,"Jan 23, 2025",163.88,166.48,163.32,166.15,165.14,0.86%,"7,614,308"
PG,Mega-Cap,"Jan 22, 2025",167.10,168.14,164.44,164.74,163.74,1.87%,"14,356,691"
PG,Mega-Cap,"Jan 21, 2025",160.96,162.35,160.96,161.72,160.73,0.37%,"13,914,694"
PG,Mega-Cap,"Jan 17, 2025",159.74,161.75,159.60,161.13,160.15,0.39%,"7,262,739"
PG,Mega-Cap,"Jan 16, 2025",159.62,160.58,159.14,160.50,159.52,0.53%,"5,774,429"
PG,Mega-Cap,"Jan 15, 2025",160.59,161.15,159.34,159.65,158.68,-0.06%,"8,059,231"
PG,Mega-Cap,"Jan 14, 2025",158.85,160.07,158.31,159.74,158.77,0.57%,"5,982,254"
PG,Mega-Cap,"Jan 13, 2025",159.35,160.09,158.41,158.84,157.87,0.18%,"6,772,198"
PG,Mega-Cap,"Jan 10, 2025",160.15,161.21,157.47,158.56,157.59,-2.18%,"8,501,525"
PG,Mega-Cap,"Jan 8, 2025",160.99,162.40,160.57,162.10,161.11,0.50%,"4,974,783"
PG,Mega-Cap,"Jan 7, 2025",161.46,162.61,160.74,161.30,160.32,0.44%,"8,447,744"
PG,Mega-Cap,"Jan 6, 2025",162.81,163.50,160.44,160.60,159.62,-2.74%,"8,731,671"
PG,Mega-Cap,"Jan 3, 2025",166.25,166.50,164.25,165.13,164.12,-0.51%,"5,256,807"
PG,Mega-Cap,"Jan 2, 2025",168.09,168.71,165.91,165.98,164.97,-1.00%,"5,401,712"
