symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
TM,Mega-Cap,"Feb 14, 2025",185.00,185.74,183.46,184.24,184.24,0.12%,"231,407"
TM,Mega-Cap,"Feb 13, 2025",183.85,185.15,183.46,184.01,184.01,0.72%,"237,842"
TM,Mega-Cap,"Feb 12, 2025",181.95,183.52,181.53,182.69,182.69,-1.64%,"269,081"
TM,Mega-Cap,"Feb 11, 2025",184.18,186.26,184.18,185.74,185.74,0.37%,"237,289"
TM,Mega-Cap,"Feb 10, 2025",185.96,186.37,184.78,185.06,185.06,0.59%,"172,562"
TM,Mega-Cap,"Feb 7, 2025",187.14,187.70,183.32,183.98,183.98,-3.42%,"478,652"
TM,Mega-Cap,"Feb 6, 2025",191.25,191.60,189.66,190.50,190.50,-2.48%,"364,086"
TM,Mega-Cap,"Feb 5, 2025",194.14,196.62,192.40,195.35,195.35,4.15%,"585,960"
TM,Mega-Cap,"Feb 4, 2025",186.57,187.56,185.81,187.56,187.56,2.13%,"408,392"
TM,Mega-Cap,"Feb 3, 2025",182.62,185.86,181.14,183.65,183.65,-2.79%,"477,917"
TM,Mega-Cap,"Jan 31, 2025",191.50,191.84,188.29,188.93,188.93,-1.07%,"420,262"
TM,Mega-Cap,"Jan 30, 2025",190.94,191.72,189.77,190.97,190.97,2.13%,"410,142"
TM,Mega-Cap,"Jan 29, 2025",187.62,188.04,186.48,186.98,186.98,0.91%,"258,228"
TM,Mega-Cap,"Jan 28, 2025",186.15,186.40,184.15,185.29,185.29,-0.65%,"382,635"
TM,Mega-Cap,"Jan 27, 2025",186.80,187.06,185.82,186.50,186.50,-0.06%,"308,124"
TM,Mega-Cap,"Jan 24, 2025",185.98,187.46,185.40,186.61,186.61,0.18%,"278,913"
TM,Mega-Cap,"Jan 23, 2025",186.01,186.70,185.05,186.27,186.27,-0.13%,"237,653"
TM,Mega-Cap,"Jan 22, 2025",187.00,187.50,186.40,186.52,186.52,-0.22%,"247,825"
TM,Mega-Cap,"Jan 21, 2025",184.46,186.93,184.46,186.93,186.93,3.40%,"330,436"
TM,Mega-Cap,"Jan 17, 2025",180.26,181.39,179.72,180.78,180.78,-0.39%,"432,102"
TM,Mega-Cap,"Jan 16, 2025",181.52,182.35,181.25,181.48,181.48,-1.82%,"422,396"
TM,Mega-Cap,"Jan 15, 2025",186.28,186.64,183.99,184.84,184.84,-0.31%,"416,639"
TM,Mega-Cap,"Jan 14, 2025",185.56,185.94,184.58,185.41,185.41,1.18%,"326,349"
TM,Mega-Cap,"Jan 13, 2025",182.24,183.50,181.48,183.25,183.25,-0.12%,"310,719"
TM,Mega-Cap,"Jan 10, 2025",185.69,186.35,183.43,183.47,183.47,-4.72%,"473,091"
TM,Mega-Cap,"Jan 8, 2025",192.96,193.02,191.52,192.55,192.55,-0.30%,"436,715"
TM,Mega-Cap,"Jan 7, 2025",194.59,194.97,192.42,193.12,193.12,1.43%,"585,541"
TM,Mega-Cap,"Jan 6, 2025",193.00,193.27,189.84,190.39,190.39,-2.49%,"664,416"
TM,Mega-Cap,"Jan 3, 2025",194.19,195.50,193.23,195.25,195.25,1.10%,"611,381"
TM,Mega-Cap,"Jan 2, 2025",194.40,194.80,192.00,193.12,193.12,-0.77%,"615,743"
TM,Mega-Cap,"Dec 31, 2024",195.35,196.57,193.94,194.61,194.61,-0.54%,"442,617"
TM,Mega-Cap,"Dec 30, 2024",198.00,198.00,195.61,195.66,195.66,-1.93%,"463,609"
TM,Mega-Cap,"Dec 27, 2024",200.36,201.00,198.18,199.52,199.52,1.09%,"779,542"
TM,Mega-Cap,"Dec 26, 2024",195.97,198.00,193.13,197.36,197.36,8.78%,"1,297,220"
TM,Mega-Cap,"Dec 24, 2024",181.00,181.72,180.83,181.43,181.43,0.54%,"168,580"
TM,Mega-Cap,"Dec 23, 2024",179.12,180.62,177.97,180.45,180.45,1.28%,"422,688"
TM,Mega-Cap,"Dec 20, 2024",175.84,179.92,175.84,178.17,178.17,2.27%,"425,694"
TM,Mega-Cap,"Dec 19, 2024",174.86,175.80,173.77,174.21,174.21,0.34%,"405,896"
TM,Mega-Cap,"Dec 18, 2024",177.33,179.37,173.55,173.62,173.62,0.20%,"457,921"
TM,Mega-Cap,"Dec 17, 2024",174.00,174.63,173.28,173.28,173.28,-0.56%,"420,959"
TM,Mega-Cap,"Dec 16, 2024",174.57,174.97,173.85,174.25,174.25,-0.92%,"327,358"
TM,Mega-Cap,"Dec 13, 2024",176.17,176.27,175.05,175.86,175.86,-0.59%,"226,009"
TM,Mega-Cap,"Dec 12, 2024",177.94,178.59,176.82,176.90,176.90,-0.70%,"214,096"
TM,Mega-Cap,"Dec 11, 2024",177.30,178.44,176.48,178.15,178.15,1.39%,"290,341"
TM,Mega-Cap,"Dec 10, 2024",177.01,177.35,175.34,175.71,175.71,-0.73%,"237,127"
TM,Mega-Cap,"Dec 9, 2024",176.35,178.60,176.21,177.01,177.01,0.60%,"375,985"
TM,Mega-Cap,"Dec 6, 2024",175.86,176.24,175.29,175.95,175.95,0.89%,"290,724"
TM,Mega-Cap,"Dec 5, 2024",175.58,176.15,174.40,174.40,174.40,-0.22%,"405,527"
TM,Mega-Cap,"Dec 4, 2024",176.25,176.25,174.25,174.78,174.78,-0.69%,"400,545"
TM,Mega-Cap,"Dec 3, 2024",176.70,176.76,175.57,176.00,176.00,0.11%,"412,181"
TM,Mega-Cap,"Dec 2, 2024",173.35,176.15,173.16,175.81,175.81,3.04%,"634,891"
TM,Mega-Cap,"Nov 29, 2024",169.80,170.63,169.42,170.63,170.63,0.54%,"247,724"
TM,Mega-Cap,"Nov 27, 2024",170.08,170.35,169.12,169.72,169.72,-1.62%,"478,541"
TM,Mega-Cap,"Nov 26, 2024",173.20,173.43,172.31,172.52,172.52,-1.88%,"410,685"
TM,Mega-Cap,"Nov 25, 2024",175.87,176.56,175.17,175.83,175.83,0.82%,"347,925"
TM,Mega-Cap,"Nov 22, 2024",172.75,174.78,172.64,174.40,174.40,0.59%,"369,057"
TM,Mega-Cap,"Nov 21, 2024",173.05,174.26,172.98,173.38,173.38,0.27%,"314,749"
TM,Mega-Cap,"Nov 20, 2024",173.77,174.21,171.77,172.91,172.91,-1.41%,"295,507"
