symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
TSLA,Mega-Cap,"Feb 14, 2025",360.62,362.00,347.50,355.84,355.84,-0.03%,"67,747,566"
TSLA,Mega-Cap,"Feb 13, 2025",345.00,358.69,342.85,355.94,355.94,5.77%,"89,441,519"
TSLA,Mega-Cap,"Feb 12, 2025",329.94,346.40,329.12,336.51,336.51,2.44%,"105,382,729"
TSLA,Mega-Cap,"Feb 11, 2025",345.80,349.37,325.10,328.50,328.50,-6.34%,"118,543,400"
TSLA,Mega-Cap,"Feb 10, 2025",356.21,362.70,350.51,350.73,350.73,-3.01%,"77,514,903"
TSLA,Mega-Cap,"Feb 7, 2025",370.19,380.55,360.34,361.62,361.62,-3.39%,"70,298,258"
TSLA,Mega-Cap,"Feb 6, 2025",373.03,375.40,363.18,374.32,374.32,-1.02%,"77,918,230"
TSLA,Mega-Cap,"Feb 5, 2025",387.51,388.39,375.53,378.17,378.17,-3.58%,"57,614,721"
TSLA,Mega-Cap,"Feb 4, 2025",382.63,394.00,381.40,392.21,392.21,2.22%,"57,072,235"
TSLA,Mega-Cap,"Feb 3, 2025",386.68,389.17,374.36,383.68,383.68,-5.17%,"93,732,122"
TSLA,Mega-Cap,"Jan 31, 2025",401.53,419.99,401.34,404.60,404.60,1.08%,"83,568,219"
TSLA,Mega-Cap,"Jan 30, 2025",410.78,412.50,384.41,400.28,400.28,2.87%,"98,092,879"
TSLA,Mega-Cap,"Jan 29, 2025",395.21,398.59,384.48,389.10,389.10,-2.26%,"68,033,648"
TSLA,Mega-Cap,"Jan 28, 2025",396.91,400.59,386.50,398.09,398.09,0.24%,"48,910,676"
TSLA,Mega-Cap,"Jan 27, 2025",394.80,406.69,389.00,397.15,397.15,-2.32%,"58,125,510"
TSLA,Mega-Cap,"Jan 24, 2025",414.45,418.88,405.78,406.58,406.58,-1.41%,"56,427,149"
TSLA,Mega-Cap,"Jan 23, 2025",416.06,420.73,408.95,412.38,412.38,-0.66%,"50,690,592"
TSLA,Mega-Cap,"Jan 22, 2025",416.81,428.00,414.59,415.11,415.11,-2.11%,"60,963,342"
TSLA,Mega-Cap,"Jan 21, 2025",432.64,433.20,406.31,424.07,424.07,-0.57%,"87,320,894"
TSLA,Mega-Cap,"Jan 17, 2025",421.50,439.74,419.75,426.50,426.50,3.06%,"94,991,429"
TSLA,Mega-Cap,"Jan 16, 2025",423.49,424.00,409.13,413.82,413.82,-3.36%,"68,335,151"
TSLA,Mega-Cap,"Jan 15, 2025",409.90,429.80,405.66,428.22,428.22,8.04%,"81,375,460"
TSLA,Mega-Cap,"Jan 14, 2025",414.34,422.64,394.54,396.36,396.36,-1.72%,"84,565,022"
TSLA,Mega-Cap,"Jan 13, 2025",383.21,403.79,380.07,403.31,403.31,2.17%,"67,580,494"
TSLA,Mega-Cap,"Jan 10, 2025",391.40,399.28,377.29,394.74,394.74,-0.05%,"62,287,333"
TSLA,Mega-Cap,"Jan 8, 2025",392.95,402.50,387.40,394.94,394.94,0.15%,"73,038,805"
TSLA,Mega-Cap,"Jan 7, 2025",405.83,414.33,390.00,394.36,394.36,-4.06%,"75,699,525"
TSLA,Mega-Cap,"Jan 6, 2025",423.20,426.43,401.70,411.05,411.05,0.15%,"85,516,534"
TSLA,Mega-Cap,"Jan 3, 2025",381.48,411.88,379.45,410.44,410.44,8.22%,"95,423,329"
TSLA,Mega-Cap,"Jan 2, 2025",390.10,392.73,373.04,379.28,379.28,-6.08%,"109,710,749"
TSLA,Mega-Cap,"Dec 31, 2024",423.79,427.93,402.54,403.84,403.84,-3.25%,"76,825,121"
TSLA,Mega-Cap,"Dec 30, 2024",419.40,427.00,415.75,417.41,417.41,-3.30%,"64,941,012"
TSLA,Mega-Cap,"Dec 27, 2024",449.52,450.00,426.50,431.66,431.66,-4.95%,"82,666,821"
TSLA,Mega-Cap,"Dec 26, 2024",465.16,465.33,451.02,454.13,454.13,-1.76%,"76,651,210"
TSLA,Mega-Cap,"Dec 24, 2024",435.90,462.78,435.14,462.28,462.28,7.36%,"59,551,750"
TSLA,Mega-Cap,"Dec 23, 2024",431.00,434.51,415.41,430.60,430.60,2.27%,"72,698,055"
TSLA,Mega-Cap,"Dec 20, 2024",425.51,447.08,417.64,421.06,421.06,-3.46%,"132,216,176"
