symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
TSM,Mega-Cap,"Feb 14, 2025",199.98,206.25,197.46,203.90,203.90,1.03%,"22,817,101"
TSM,Mega-Cap,"Feb 13, 2025",201.88,202.30,199.23,201.83,201.83,-2.20%,"15,580,928"
TSM,Mega-Cap,"Feb 12, 2025",204.90,207.07,203.01,206.38,206.38,-1.13%,"7,373,675"
TSM,Mega-Cap,"Feb 11, 2025",205.13,209.84,201.00,208.74,208.74,0.38%,"9,224,508"
TSM,Mega-Cap,"Feb 10, 2025",208.00,209.98,206.53,207.95,207.95,0.89%,"9,296,479"
TSM,Mega-Cap,"Feb 7, 2025",213.01,213.18,205.72,206.12,206.12,-2.08%,"11,616,199"
TSM,Mega-Cap,"Feb 6, 2025",210.06,211.18,207.00,210.50,210.50,0.93%,"8,491,436"
TSM,Mega-Cap,"Feb 5, 2025",206.00,210.48,203.83,208.57,208.57,2.22%,"10,997,769"
TSM,Mega-Cap,"Feb 4, 2025",204.07,205.75,202.08,204.05,204.05,2.13%,"12,692,908"
TSM,Mega-Cap,"Feb 3, 2025",199.63,204.99,197.98,199.80,199.80,-4.55%,"17,719,766"
TSM,Mega-Cap,"Jan 31, 2025",209.93,215.00,208.20,209.32,209.32,0.56%,"15,781,905"
TSM,Mega-Cap,"Jan 30, 2025",206.57,209.62,205.42,208.15,208.15,2.88%,"13,538,952"
TSM,Mega-Cap,"Jan 29, 2025",204.49,206.45,199.75,202.33,202.33,-0.03%,"15,199,493"
TSM,Mega-Cap,"Jan 28, 2025",195.65,202.84,192.46,202.40,202.40,5.25%,"31,738,835"
TSM,Mega-Cap,"Jan 27, 2025",197.04,207.00,187.67,192.31,192.31,-13.33%,"68,667,472"
TSM,Mega-Cap,"Jan 24, 2025",226.22,226.40,220.96,221.88,221.88,-1.22%,"13,183,798"
TSM,Mega-Cap,"Jan 23, 2025",220.10,224.70,219.41,224.62,224.62,0.64%,"8,986,795"
TSM,Mega-Cap,"Jan 22, 2025",221.95,225.43,219.31,223.20,223.20,2.06%,"17,294,474"
TSM,Mega-Cap,"Jan 21, 2025",214.46,220.15,212.05,218.70,218.70,3.40%,"19,061,304"
TSM,Mega-Cap,"Jan 17, 2025",215.17,215.68,211.06,211.50,211.50,-1.53%,"21,606,103"
TSM,Mega-Cap,"Jan 16, 2025",218.89,221.95,213.17,214.79,214.79,3.86%,"38,539,551"
TSM,Mega-Cap,"Jan 15, 2025",202.49,209.04,199.35,206.80,206.80,2.66%,"18,286,492"
TSM,Mega-Cap,"Jan 14, 2025",205.19,206.26,198.50,201.45,201.45,0.04%,"14,182,944"
TSM,Mega-Cap,"Jan 13, 2025",200.52,203.59,200.05,201.36,201.36,-3.36%,"16,612,392"
TSM,Mega-Cap,"Jan 10, 2025",207.60,209.98,203.23,208.37,208.37,0.60%,"17,265,198"
TSM,Mega-Cap,"Jan 8, 2025",209.97,210.30,205.92,207.12,207.12,-2.03%,"13,262,732"
TSM,Mega-Cap,"Jan 7, 2025",221.24,221.48,211.32,211.42,211.42,-3.90%,"17,010,000"
TSM,Mega-Cap,"Jan 6, 2025",218.77,222.20,215.69,220.01,220.01,5.46%,"24,339,947"
TSM,Mega-Cap,"Jan 3, 2025",204.10,208.80,203.70,208.61,208.61,3.49%,"10,261,948"
TSM,Mega-Cap,"Jan 2, 2025",197.00,203.77,196.69,201.58,201.58,2.07%,"10,951,425"
