symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
V,Mega-Cap,"Feb 14, 2025",354.43,355.43,353.22,353.81,353.81,-0.51%,"5,714,802"
V,Mega-Cap,"Feb 13, 2025",353.12,356.08,350.73,355.63,355.63,1.18%,"4,279,581"
V,Mega-Cap,"Feb 12, 2025",349.16,351.83,347.49,351.49,351.49,0.22%,"6,760,066"
V,Mega-Cap,"Feb 11, 2025",348.30,352.12,346.25,350.72,350.72,-0.15%,"5,154,783"
V,Mega-Cap,"Feb 10, 2025",348.70,351.90,347.70,351.23,350.64,0.92%,"6,067,002"
V,Mega-Cap,"Feb 7, 2025",348.00,350.75,347.21,348.02,347.44,0.16%,"4,261,612"
V,Mega-Cap,"Feb 6, 2025",349.78,350.65,346.60,347.48,346.90,-0.56%,"4,294,541"
V,Mega-Cap,"Feb 5, 2025",346.00,349.48,345.25,349.44,348.85,1.24%,"4,939,090"
V,Mega-Cap,"Feb 4, 2025",344.60,346.01,342.54,345.15,344.57,-0.19%,"5,532,573"
V,Mega-Cap,"Feb 3, 2025",340.00,346.00,339.24,345.82,345.24,1.18%,"8,004,548"
V,Mega-Cap,"Jan 31, 2025",346.47,351.25,341.71,341.80,341.23,-0.36%,"8,628,071"
V,Mega-Cap,"Jan 30, 2025",339.51,344.44,339.00,343.05,342.47,2.13%,"8,081,262"
V,Mega-Cap,"Jan 29, 2025",334.50,337.11,334.50,335.88,335.32,0.42%,"5,087,286"
V,Mega-Cap,"Jan 28, 2025",334.67,337.83,332.89,334.48,333.92,-0.02%,"5,999,623"
V,Mega-Cap,"Jan 27, 2025",330.00,335.49,328.05,334.54,333.98,1.31%,"6,636,541"
V,Mega-Cap,"Jan 24, 2025",328.02,331.09,327.81,330.20,329.65,0.61%,"4,327,755"
V,Mega-Cap,"Jan 23, 2025",323.76,328.51,323.57,328.21,327.66,1.44%,"5,297,085"
V,Mega-Cap,"Jan 22, 2025",324.77,325.74,322.38,323.56,323.02,-0.02%,"5,026,478"
V,Mega-Cap,"Jan 21, 2025",320.31,324.58,320.00,323.63,323.09,1.25%,"5,653,341"
V,Mega-Cap,"Jan 17, 2025",317.50,320.59,316.71,319.62,319.08,0.75%,"5,805,810"
V,Mega-Cap,"Jan 16, 2025",315.75,319.18,315.75,317.25,316.72,0.31%,"4,606,670"
V,Mega-Cap,"Jan 15, 2025",313.68,317.19,313.13,316.28,315.75,2.33%,"5,222,278"
V,Mega-Cap,"Jan 14, 2025",308.75,310.16,307.52,309.09,308.57,0.71%,"5,107,901"
V,Mega-Cap,"Jan 13, 2025",305.00,306.92,303.84,306.92,306.41,-0.26%,"9,568,727"
V,Mega-Cap,"Jan 10, 2025",311.20,311.85,305.99,307.71,307.19,-1.56%,"6,660,255"
V,Mega-Cap,"Jan 8, 2025",311.00,314.04,310.22,312.60,312.08,0.30%,"5,161,601"
V,Mega-Cap,"Jan 7, 2025",312.89,315.19,311.32,311.67,311.15,-0.44%,"4,958,641"
V,Mega-Cap,"Jan 6, 2025",315.01,315.39,312.07,313.04,312.51,-0.59%,"6,567,336"
V,Mega-Cap,"Jan 3, 2025",314.18,315.92,312.01,314.91,314.38,0.16%,"4,271,845"
V,Mega-Cap,"Jan 2, 2025",317.78,319.68,312.41,314.40,313.87,-0.52%,"5,373,059"
V,Mega-Cap,"Dec 31, 2024",316.12,317.66,315.19,316.04,315.51,0.23%,"3,963,824"
V,Mega-Cap,"Dec 30, 2024",314.68,317.11,313.23,315.31,314.78,-1.05%,"3,478,763"
V,Mega-Cap,"Dec 27, 2024",319.27,321.50,317.56,318.66,318.13,-0.70%,"3,489,200"
V,Mega-Cap,"Dec 26, 2024",319.77,321.45,319.46,320.91,320.37,0.08%,"2,856,059"
V,Mega-Cap,"Dec 24, 2024",318.17,321.54,317.28,320.65,320.11,1.08%,"2,684,103"
V,Mega-Cap,"Dec 23, 2024",315.65,317.97,313.35,317.22,316.69,-0.15%,"7,984,610"
V,Mega-Cap,"Dec 20, 2024",313.57,320.00,312.28,317.71,317.18,0.90%,"24,387,016"
V,Mega-Cap,"Dec 19, 2024",311.83,316.87,311.23,314.88,314.35,1.65%,"8,317,119"
V,Mega-Cap,"Dec 18, 2024",318.50,321.62,309.56,309.78,309.26,-2.68%,"10,479,177"
V,Mega-Cap,"Dec 17, 2024",315.82,318.84,315.14,318.30,317.77,0.76%,"8,844,349"
V,Mega-Cap,"Dec 16, 2024",314.74,317.56,314.10,315.89,315.36,0.37%,"6,562,510"
V,Mega-Cap,"Dec 13, 2024",315.83,316.95,314.34,314.74,314.21,0.16%,"4,682,543"
V,Mega-Cap,"Dec 12, 2024",314.82,315.55,313.43,314.23,313.70,0.14%,"3,218,540"
V,Mega-Cap,"Dec 11, 2024",313.04,315.55,311.22,313.79,313.26,0.45%,"4,321,824"
V,Mega-Cap,"Dec 10, 2024",307.36,312.98,306.64,312.38,311.86,1.32%,"4,539,827"
V,Mega-Cap,"Dec 9, 2024",311.83,313.01,307.64,308.30,307.78,-0.87%,"5,785,297"
V,Mega-Cap,"Dec 6, 2024",308.87,312.56,308.80,311.01,310.49,0.62%,"4,302,851"
V,Mega-Cap,"Dec 5, 2024",309.98,311.09,308.83,309.08,308.56,-0.26%,"5,200,052"
V,Mega-Cap,"Dec 4, 2024",312.42,312.85,308.80,309.90,309.38,-0.99%,"5,981,759"
V,Mega-Cap,"Dec 3, 2024",317.10,317.32,312.77,313.01,312.48,-1.15%,"5,009,907"
V,Mega-Cap,"Dec 2, 2024",316.90,317.42,313.71,316.65,316.12,0.50%,"5,597,635"
V,Mega-Cap,"Nov 29, 2024",314.29,316.25,313.70,315.08,314.55,0.12%,"3,853,281"
V,Mega-Cap,"Nov 27, 2024",310.77,316.37,309.49,314.70,314.17,0.92%,"5,204,318"
V,Mega-Cap,"Nov 26, 2024",314.20,314.50,311.54,311.82,311.30,-0.44%,"7,071,592"
V,Mega-Cap,"Nov 25, 2024",311.86,313.66,309.86,313.19,312.66,1.06%,"14,189,302"
V,Mega-Cap,"Nov 22, 2024",307.97,311.59,307.90,309.92,309.40,0.01%,"5,919,518"
V,Mega-Cap,"Nov 21, 2024",307.30,310.92,306.65,309.90,309.38,0.82%,"5,757,406"
V,Mega-Cap,"Nov 20, 2024",311.86,312.29,306.22,307.39,306.87,-1.43%,"6,350,282"
V,Mega-Cap,"Nov 19, 2024",310.00,312.23,308.51,311.85,311.33,-0.10%,"4,885,860"
V,Mega-Cap,"Nov 18, 2024",309.48,312.41,308.70,312.16,311.64,0.81%,"4,585,944"
V,Mega-Cap,"Nov 15, 2024",307.56,310.72,306.66,309.64,309.12,0.45%,"5,106,284"
V,Mega-Cap,"Nov 14, 2024",309.30,311.29,307.83,308.25,307.73,-0.40%,"4,415,788"
V,Mega-Cap,"Nov 13, 2024",309.49,310.95,307.84,309.48,308.96,-0.12%,"4,046,544"
V,Mega-Cap,"Nov 12, 2024",309.04,310.55,308.11,309.85,309.33,-0.34%,"4,616,616"
V,Mega-Cap,"Nov 11, 2024",310.09,312.44,309.30,310.92,309.81,0.99%,"4,674,088"
V,Mega-Cap,"Nov 8, 2024",306.89,311.15,305.69,307.87,306.77,0.68%,"6,240,616"
V,Mega-Cap,"Nov 7, 2024",307.50,307.63,304.42,305.80,304.71,-0.52%,"6,237,348"
V,Mega-Cap,"Nov 6, 2024",306.32,309.00,302.82,307.40,306.30,4.81%,"10,320,476"
V,Mega-Cap,"Nov 5, 2024",291.71,294.78,291.58,293.29,292.24,0.49%,"3,753,721"
V,Mega-Cap,"Nov 4, 2024",291.55,293.15,290.76,291.85,290.81,0.38%,"4,281,721"
V,Mega-Cap,"Nov 1, 2024",288.49,292.67,287.19,290.74,289.70,0.31%,"5,471,088"
