symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ALDF,Micro-Cap,"Feb 14, 2025",10.15,10.15,10.15,10.15,10.15,-,-
ALDF,Micro-Cap,"Feb 13, 2025",10.15,10.15,10.13,10.15,10.15,0.10%,"2,624"
ALDF,Micro-Cap,"Feb 12, 2025",10.12,10.15,10.12,10.14,10.14,0.25%,"4,453"
ALDF,Micro-Cap,"Feb 11, 2025",10.10,10.12,10.10,10.12,10.12,0.02%,310
ALDF,Micro-Cap,"Feb 10, 2025",10.10,10.11,10.10,10.11,10.11,0.13%,356
ALDF,Micro-Cap,"Feb 7, 2025",10.13,10.13,10.10,10.10,10.10,-,"1,211"
ALDF,Micro-Cap,"Feb 6, 2025",10.10,10.10,10.10,10.10,10.10,-0.15%,350
ALDF,Micro-Cap,"Feb 5, 2025",10.10,10.12,10.10,10.12,10.12,-0.05%,"1,774"
ALDF,Micro-Cap,"Feb 4, 2025",10.09,10.12,10.09,10.12,10.12,-0.20%,"18,547"
ALDF,Micro-Cap,"Feb 3, 2025",10.14,10.14,10.14,10.14,10.14,0.30%,130
ALDF,Micro-Cap,"Jan 31, 2025",10.11,10.11,10.11,10.11,10.11,-,-
ALDF,Micro-Cap,"Jan 30, 2025",10.09,10.11,10.09,10.11,10.11,-0.10%,"6,657"
ALDF,Micro-Cap,"Jan 29, 2025",10.09,10.12,10.09,10.12,10.12,-0.30%,450
ALDF,Micro-Cap,"Jan 28, 2025",10.15,10.15,10.15,10.15,10.15,-,-
ALDF,Micro-Cap,"Jan 27, 2025",10.15,10.15,10.15,10.15,10.15,-,900
ALDF,Micro-Cap,"Jan 24, 2025",10.15,10.15,10.15,10.15,10.15,-,-
ALDF,Micro-Cap,"Jan 23, 2025",10.15,10.15,10.15,10.15,10.15,-,60
ALDF,Micro-Cap,"Jan 22, 2025",10.15,10.15,10.15,10.15,10.15,0.50%,252
ALDF,Micro-Cap,"Jan 21, 2025",10.10,10.10,10.10,10.10,10.10,-0.20%,"1,262"
