symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ALLT,Micro-Cap,"Feb 14, 2025",7.39,7.64,7.30,7.45,7.45,0.13%,"576,254"
ALLT,Micro-Cap,"Feb 13, 2025",7.49,7.82,7.07,7.44,7.44,-4.12%,"1,355,631"
ALLT,Micro-Cap,"Feb 12, 2025",7.48,7.89,7.30,7.76,7.76,-3.72%,"1,059,982"
ALLT,Micro-Cap,"Feb 11, 2025",8.80,8.86,7.98,8.06,8.06,-9.54%,"1,283,722"
ALLT,Micro-Cap,"Feb 10, 2025",8.90,9.19,8.56,8.91,8.91,-2.62%,"1,101,549"
ALLT,Micro-Cap,"Feb 7, 2025",9.38,9.44,8.91,9.15,9.15,-1.19%,"682,933"
ALLT,Micro-Cap,"Feb 6, 2025",8.94,9.34,8.79,9.26,9.26,4.16%,"937,039"
ALLT,Micro-Cap,"Feb 5, 2025",8.95,9.00,8.65,8.89,8.89,-0.11%,"738,561"
ALLT,Micro-Cap,"Feb 4, 2025",8.60,8.93,8.40,8.90,8.90,4.71%,"843,306"
ALLT,Micro-Cap,"Feb 3, 2025",8.00,8.75,7.50,8.50,8.50,1.92%,"1,080,634"
ALLT,Micro-Cap,"Jan 31, 2025",8.44,8.78,8.16,8.34,8.34,-0.36%,"616,040"
ALLT,Micro-Cap,"Jan 30, 2025",8.61,8.69,8.25,8.37,8.37,-1.47%,"549,961"
ALLT,Micro-Cap,"Jan 29, 2025",8.60,8.74,8.29,8.50,8.50,-0.99%,"689,313"
ALLT,Micro-Cap,"Jan 28, 2025",7.94,8.60,7.67,8.58,8.58,7.79%,"697,708"
ALLT,Micro-Cap,"Jan 27, 2025",7.95,8.12,7.52,7.96,7.96,-4.27%,"1,076,444"
ALLT,Micro-Cap,"Jan 24, 2025",8.34,8.34,7.90,8.32,8.32,0.30%,"682,319"
ALLT,Micro-Cap,"Jan 23, 2025",8.29,8.50,7.93,8.29,8.29,-0.48%,"892,352"
ALLT,Micro-Cap,"Jan 22, 2025",7.92,8.71,7.92,8.33,8.33,6.73%,"1,255,024"
ALLT,Micro-Cap,"Jan 21, 2025",7.60,7.87,7.36,7.81,7.81,3.65%,"848,726"
ALLT,Micro-Cap,"Jan 17, 2025",7.63,7.75,7.26,7.53,7.53,0.27%,"784,391"
ALLT,Micro-Cap,"Jan 16, 2025",6.96,7.76,6.91,7.51,7.51,9.48%,"1,473,872"
ALLT,Micro-Cap,"Jan 15, 2025",7.00,7.18,6.51,6.86,6.86,-0.29%,"1,213,304"
ALLT,Micro-Cap,"Jan 14, 2025",8.04,8.07,6.67,6.88,6.88,-12.58%,"2,579,506"
ALLT,Micro-Cap,"Jan 13, 2025",7.50,8.15,7.20,7.87,7.87,5.21%,"1,962,281"
ALLT,Micro-Cap,"Jan 10, 2025",7.35,7.56,6.84,7.48,7.48,3.46%,"1,302,772"
ALLT,Micro-Cap,"Jan 8, 2025",6.92,7.28,6.46,7.23,7.23,3.88%,"2,021,213"
ALLT,Micro-Cap,"Jan 7, 2025",7.00,7.16,6.58,6.96,6.96,0.87%,"978,310"
ALLT,Micro-Cap,"Jan 6, 2025",6.98,7.15,6.70,6.90,6.90,5.99%,"1,303,992"
ALLT,Micro-Cap,"Jan 3, 2025",6.25,6.56,6.15,6.51,6.51,5.17%,"815,196"
ALLT,Micro-Cap,"Jan 2, 2025",6.16,6.44,5.92,6.19,6.19,4.03%,"803,911"
ALLT,Micro-Cap,"Dec 31, 2024",6.26,6.35,5.80,5.95,5.95,-4.19%,"671,658"
ALLT,Micro-Cap,"Dec 30, 2024",5.91,6.38,5.68,6.21,6.21,4.90%,"1,459,258"
ALLT,Micro-Cap,"Dec 27, 2024",5.71,5.95,5.40,5.92,5.92,8.52%,"897,431"
ALLT,Micro-Cap,"Dec 26, 2024",5.10,5.53,5.05,5.46,5.46,9.98%,"1,241,630"
ALLT,Micro-Cap,"Dec 24, 2024",4.88,5.10,4.82,4.96,4.96,-0.40%,"386,760"
ALLT,Micro-Cap,"Dec 23, 2024",5.12,5.15,4.88,4.98,4.98,-0.60%,"484,902"
ALLT,Micro-Cap,"Dec 20, 2024",4.86,5.21,4.81,5.01,5.01,2.04%,"554,442"
ALLT,Micro-Cap,"Dec 19, 2024",4.79,4.95,4.73,4.91,4.91,3.59%,"575,595"
ALLT,Micro-Cap,"Dec 18, 2024",5.00,5.05,4.73,4.74,4.74,-4.05%,"807,513"
ALLT,Micro-Cap,"Dec 17, 2024",4.94,4.99,4.85,4.94,4.94,-1.20%,"729,593"
ALLT,Micro-Cap,"Dec 16, 2024",5.25,5.30,4.84,5.00,5.00,-5.12%,"1,057,800"
ALLT,Micro-Cap,"Dec 13, 2024",5.36,5.45,5.11,5.27,5.27,-0.57%,"483,902"
ALLT,Micro-Cap,"Dec 12, 2024",5.24,5.32,5.03,5.30,5.30,0.38%,"564,921"
ALLT,Micro-Cap,"Dec 11, 2024",4.77,5.50,4.74,5.28,5.28,11.16%,"1,536,367"
ALLT,Micro-Cap,"Dec 10, 2024",4.72,4.96,4.70,4.75,4.75,-0.63%,"428,912"
ALLT,Micro-Cap,"Dec 9, 2024",4.83,4.96,4.66,4.78,4.78,0.42%,"567,097"
ALLT,Micro-Cap,"Dec 6, 2024",4.81,4.94,4.75,4.76,4.76,0.21%,"419,159"
ALLT,Micro-Cap,"Dec 5, 2024",4.77,4.90,4.55,4.75,4.75,1.06%,"626,643"
ALLT,Micro-Cap,"Dec 4, 2024",4.64,4.85,4.57,4.70,4.70,2.17%,"578,991"
ALLT,Micro-Cap,"Dec 3, 2024",5.00,5.00,4.60,4.60,4.60,-0.86%,"769,674"
ALLT,Micro-Cap,"Dec 2, 2024",4.48,4.83,4.42,4.64,4.64,6.18%,"722,364"
ALLT,Micro-Cap,"Nov 29, 2024",4.46,4.55,4.37,4.37,4.37,-0.68%,"264,996"
ALLT,Micro-Cap,"Nov 27, 2024",4.55,4.55,4.33,4.40,4.40,-3.08%,"296,161"
ALLT,Micro-Cap,"Nov 26, 2024",4.77,4.77,4.47,4.54,4.54,-0.66%,"709,422"
ALLT,Micro-Cap,"Nov 25, 2024",4.56,4.64,4.41,4.57,4.57,8.04%,"853,312"
ALLT,Micro-Cap,"Nov 22, 2024",4.21,4.41,4.06,4.23,4.23,-3.64%,"437,354"
ALLT,Micro-Cap,"Nov 21, 2024",3.91,4.55,3.91,4.39,4.39,14.03%,"483,500"
ALLT,Micro-Cap,"Nov 20, 2024",3.89,4.12,3.84,3.85,3.85,-1.16%,"138,330"
ALLT,Micro-Cap,"Nov 19, 2024",3.92,4.28,3.76,3.90,3.90,8.04%,"920,904"
ALLT,Micro-Cap,"Nov 18, 2024",3.49,3.72,3.48,3.61,3.61,3.30%,"392,573"
ALLT,Micro-Cap,"Nov 15, 2024",3.65,3.69,3.47,3.49,3.49,-5.16%,"88,974"
ALLT,Micro-Cap,"Nov 14, 2024",3.74,3.78,3.62,3.68,3.68,-2.13%,"141,607"
ALLT,Micro-Cap,"Nov 13, 2024",3.96,3.96,3.59,3.76,3.76,-3.84%,"202,172"
ALLT,Micro-Cap,"Nov 12, 2024",4.05,4.11,3.79,3.91,3.91,-2.86%,"274,270"
ALLT,Micro-Cap,"Nov 11, 2024",4.10,4.12,3.95,4.03,4.03,4.01%,"416,467"
ALLT,Micro-Cap,"Nov 8, 2024",3.97,3.97,3.84,3.87,3.87,-0.77%,"185,527"
ALLT,Micro-Cap,"Nov 7, 2024",3.64,3.91,3.61,3.90,3.90,7.14%,"298,917"
ALLT,Micro-Cap,"Nov 6, 2024",3.62,3.75,3.60,3.64,3.64,3.41%,"247,583"
ALLT,Micro-Cap,"Nov 5, 2024",3.55,3.61,3.50,3.52,3.52,-0.85%,"135,224"
ALLT,Micro-Cap,"Nov 4, 2024",3.35,3.58,3.35,3.55,3.55,4.72%,"127,216"
ALLT,Micro-Cap,"Nov 1, 2024",3.46,3.51,3.35,3.39,3.39,-1.45%,"22,374"
ALLT,Micro-Cap,"Oct 31, 2024",3.35,3.49,3.35,3.44,3.44,2.69%,"67,398"
ALLT,Micro-Cap,"Oct 30, 2024",3.43,3.43,3.35,3.35,3.35,-2.62%,"16,017"
ALLT,Micro-Cap,"Oct 29, 2024",3.41,3.47,3.37,3.44,3.44,-,"32,726"
ALLT,Micro-Cap,"Oct 28, 2024",3.43,3.55,3.40,3.44,3.44,-0.58%,"91,637"
ALLT,Micro-Cap,"Oct 25, 2024",3.45,3.48,3.40,3.46,3.46,0.29%,"12,698"
ALLT,Micro-Cap,"Oct 24, 2024",3.44,3.49,3.42,3.45,3.45,-,"35,908"
ALLT,Micro-Cap,"Oct 23, 2024",3.47,3.47,3.40,3.45,3.45,-0.29%,"50,744"
ALLT,Micro-Cap,"Oct 22, 2024",3.54,3.56,3.41,3.46,3.46,-1.42%,"52,433"
ALLT,Micro-Cap,"Oct 21, 2024",3.50,3.70,3.42,3.51,3.51,1.74%,"171,570"
ALLT,Micro-Cap,"Oct 18, 2024",3.27,3.51,3.19,3.45,3.45,6.48%,"257,917"
ALLT,Micro-Cap,"Oct 17, 2024",3.11,3.35,3.10,3.24,3.24,1.89%,"363,693"
ALLT,Micro-Cap,"Oct 16, 2024",2.88,3.18,2.86,3.18,3.18,11.19%,"101,469"
ALLT,Micro-Cap,"Oct 15, 2024",3.02,3.02,2.81,2.86,2.86,-5.30%,"56,439"
ALLT,Micro-Cap,"Oct 14, 2024",2.91,3.03,2.87,3.02,3.02,3.78%,"54,559"
ALLT,Micro-Cap,"Oct 11, 2024",2.82,2.93,2.79,2.91,2.91,4.30%,"28,913"
ALLT,Micro-Cap,"Oct 10, 2024",2.78,2.87,2.78,2.79,2.79,-1.41%,"23,730"
ALLT,Micro-Cap,"Oct 9, 2024",2.85,2.89,2.80,2.83,2.83,0.71%,"23,233"
ALLT,Micro-Cap,"Oct 8, 2024",2.90,2.91,2.81,2.81,2.81,-3.10%,"17,484"
ALLT,Micro-Cap,"Oct 7, 2024",2.92,2.92,2.82,2.90,2.90,-1.69%,"21,895"
