symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ATYR,Micro-Cap,"Feb 14, 2025",3.61,3.65,3.38,3.41,3.41,-5.01%,"1,056,709"
ATYR,Micro-Cap,"Feb 13, 2025",3.61,3.72,3.51,3.59,3.59,-0.28%,"496,066"
ATYR,Micro-Cap,"Feb 12, 2025",3.67,3.81,3.60,3.60,3.60,-2.96%,"1,327,806"
ATYR,Micro-Cap,"Feb 11, 2025",3.75,3.75,3.60,3.71,3.71,-1.59%,"511,554"
ATYR,Micro-Cap,"Feb 10, 2025",3.93,3.93,3.69,3.77,3.77,-3.33%,"638,326"
ATYR,Micro-Cap,"Feb 7, 2025",3.86,3.98,3.78,3.90,3.90,0.78%,"748,377"
ATYR,Micro-Cap,"Feb 6, 2025",3.95,3.99,3.84,3.87,3.87,-1.78%,"586,187"
ATYR,Micro-Cap,"Feb 5, 2025",3.81,3.96,3.73,3.94,3.94,3.41%,"774,099"
ATYR,Micro-Cap,"Feb 4, 2025",3.61,3.87,3.57,3.81,3.81,6.72%,"878,791"
ATYR,Micro-Cap,"Feb 3, 2025",3.50,3.61,3.33,3.57,3.57,-7.51%,"1,300,822"
ATYR,Micro-Cap,"Jan 31, 2025",3.75,3.95,3.75,3.86,3.86,3.21%,"692,104"
ATYR,Micro-Cap,"Jan 30, 2025",3.66,3.83,3.63,3.74,3.74,3.03%,"571,631"
ATYR,Micro-Cap,"Jan 29, 2025",3.49,3.74,3.48,3.63,3.63,4.91%,"492,190"
ATYR,Micro-Cap,"Jan 28, 2025",3.50,3.54,3.38,3.46,3.46,-,"393,966"
ATYR,Micro-Cap,"Jan 27, 2025",3.57,3.69,3.42,3.46,3.46,-3.62%,"383,462"
ATYR,Micro-Cap,"Jan 24, 2025",3.56,3.68,3.55,3.59,3.59,0.84%,"448,155"
ATYR,Micro-Cap,"Jan 23, 2025",3.46,3.59,3.34,3.56,3.56,1.71%,"644,926"
ATYR,Micro-Cap,"Jan 22, 2025",3.63,3.69,3.40,3.50,3.50,-3.58%,"667,802"
ATYR,Micro-Cap,"Jan 21, 2025",3.65,3.65,3.46,3.63,3.63,0.55%,"558,784"
ATYR,Micro-Cap,"Jan 17, 2025",3.79,3.83,3.60,3.61,3.61,-3.73%,"670,154"
ATYR,Micro-Cap,"Jan 16, 2025",3.50,3.81,3.45,3.75,3.75,8.38%,"1,656,505"
ATYR,Micro-Cap,"Jan 15, 2025",3.39,3.49,3.31,3.46,3.46,5.17%,"901,957"
ATYR,Micro-Cap,"Jan 14, 2025",3.30,3.39,3.17,3.29,3.29,-,"856,220"
ATYR,Micro-Cap,"Jan 13, 2025",3.50,3.50,3.25,3.29,3.29,-6.80%,"1,085,353"
ATYR,Micro-Cap,"Jan 10, 2025",3.72,3.73,3.52,3.53,3.53,-5.61%,"885,402"
ATYR,Micro-Cap,"Jan 8, 2025",3.88,3.89,3.61,3.74,3.74,-3.86%,"781,999"
ATYR,Micro-Cap,"Jan 7, 2025",4.00,4.07,3.77,3.89,3.89,-2.02%,"690,652"
ATYR,Micro-Cap,"Jan 6, 2025",4.15,4.23,3.89,3.97,3.97,-0.25%,"1,359,682"
ATYR,Micro-Cap,"Jan 3, 2025",4.00,4.02,3.83,3.98,3.98,1.79%,"1,118,233"
ATYR,Micro-Cap,"Jan 2, 2025",3.69,3.97,3.63,3.91,3.91,8.01%,"1,400,989"
ATYR,Micro-Cap,"Dec 31, 2024",3.55,3.68,3.47,3.62,3.62,3.13%,"665,799"
ATYR,Micro-Cap,"Dec 30, 2024",3.70,3.72,3.44,3.51,3.51,-6.15%,"850,337"
ATYR,Micro-Cap,"Dec 27, 2024",3.86,3.98,3.64,3.74,3.74,-0.80%,"1,051,278"
ATYR,Micro-Cap,"Dec 26, 2024",3.43,3.77,3.33,3.77,3.77,10.23%,"1,057,985"
ATYR,Micro-Cap,"Dec 24, 2024",3.42,3.45,3.28,3.42,3.42,1.18%,"371,681"
ATYR,Micro-Cap,"Dec 23, 2024",3.40,3.51,3.30,3.38,3.38,0.90%,"754,398"
ATYR,Micro-Cap,"Dec 20, 2024",3.15,3.35,3.13,3.35,3.35,6.35%,"1,627,078"
ATYR,Micro-Cap,"Dec 19, 2024",3.18,3.26,3.05,3.15,3.15,-,"1,378,951"
ATYR,Micro-Cap,"Dec 18, 2024",3.14,3.20,3.09,3.15,3.15,2.27%,"1,136,859"
ATYR,Micro-Cap,"Dec 17, 2024",3.07,3.26,3.04,3.08,3.08,1.65%,"746,514"
ATYR,Micro-Cap,"Dec 16, 2024",3.07,3.23,3.02,3.03,3.03,-0.98%,"1,084,251"
ATYR,Micro-Cap,"Dec 13, 2024",3.01,3.14,2.98,3.06,3.06,1.32%,"416,623"
ATYR,Micro-Cap,"Dec 12, 2024",3.17,3.18,2.99,3.02,3.02,-4.73%,"738,582"
ATYR,Micro-Cap,"Dec 11, 2024",3.25,3.26,3.11,3.17,3.17,-3.65%,"542,565"
ATYR,Micro-Cap,"Dec 10, 2024",3.60,3.60,3.24,3.29,3.29,-6.80%,"857,188"
ATYR,Micro-Cap,"Dec 9, 2024",3.35,3.78,3.35,3.53,3.53,5.06%,"1,293,958"
ATYR,Micro-Cap,"Dec 6, 2024",3.30,3.55,3.28,3.36,3.36,2.75%,"877,701"
ATYR,Micro-Cap,"Dec 5, 2024",3.33,3.40,3.23,3.27,3.27,-1.80%,"365,373"
ATYR,Micro-Cap,"Dec 4, 2024",3.35,3.44,3.25,3.33,3.33,-,"469,200"
ATYR,Micro-Cap,"Dec 3, 2024",3.56,3.60,3.25,3.33,3.33,-6.46%,"589,176"
ATYR,Micro-Cap,"Dec 2, 2024",3.60,3.64,3.47,3.56,3.56,0.85%,"667,140"
ATYR,Micro-Cap,"Nov 29, 2024",3.44,3.56,3.32,3.53,3.53,2.62%,"543,548"
ATYR,Micro-Cap,"Nov 27, 2024",3.37,3.62,3.35,3.44,3.44,4.56%,"718,595"
ATYR,Micro-Cap,"Nov 26, 2024",3.11,3.37,3.06,3.29,3.29,5.45%,"694,853"
ATYR,Micro-Cap,"Nov 25, 2024",3.05,3.21,3.05,3.12,3.12,2.97%,"619,759"
ATYR,Micro-Cap,"Nov 22, 2024",3.00,3.19,2.95,3.03,3.03,1.68%,"1,274,056"
ATYR,Micro-Cap,"Nov 21, 2024",2.96,3.11,2.88,2.98,2.98,-0.33%,"1,571,589"
ATYR,Micro-Cap,"Nov 20, 2024",3.06,3.09,2.93,2.99,2.99,-1.64%,"521,725"
ATYR,Micro-Cap,"Nov 19, 2024",3.00,3.10,2.93,3.04,3.04,1.00%,"394,836"
ATYR,Micro-Cap,"Nov 18, 2024",2.96,3.10,2.85,3.01,3.01,3.61%,"885,024"
ATYR,Micro-Cap,"Nov 15, 2024",3.15,3.15,2.81,2.91,2.91,-8.93%,"1,388,132"
ATYR,Micro-Cap,"Nov 14, 2024",3.51,3.51,3.16,3.19,3.19,-9.38%,"677,332"
ATYR,Micro-Cap,"Nov 13, 2024",3.53,3.80,3.50,3.52,3.52,0.86%,"1,217,079"
ATYR,Micro-Cap,"Nov 12, 2024",3.35,3.53,3.27,3.49,3.49,3.87%,"1,059,670"
ATYR,Micro-Cap,"Nov 11, 2024",3.15,3.42,3.13,3.36,3.36,7.69%,"662,157"
ATYR,Micro-Cap,"Nov 8, 2024",3.05,3.15,2.94,3.12,3.12,0.65%,"760,896"
ATYR,Micro-Cap,"Nov 7, 2024",3.25,3.29,3.07,3.10,3.10,-4.62%,"632,454"
ATYR,Micro-Cap,"Nov 6, 2024",3.27,3.29,3.11,3.25,3.25,3.17%,"435,805"
ATYR,Micro-Cap,"Nov 5, 2024",3.08,3.17,3.04,3.15,3.15,2.27%,"400,629"
ATYR,Micro-Cap,"Nov 4, 2024",3.05,3.25,2.88,3.08,3.08,1.32%,"1,065,811"
ATYR,Micro-Cap,"Nov 1, 2024",3.17,3.25,3.01,3.04,3.04,-2.56%,"675,414"
ATYR,Micro-Cap,"Oct 31, 2024",3.11,3.20,3.04,3.12,3.12,-0.32%,"648,100"
ATYR,Micro-Cap,"Oct 30, 2024",3.32,3.36,3.11,3.13,3.13,-5.72%,"807,941"
ATYR,Micro-Cap,"Oct 29, 2024",3.47,3.68,3.31,3.32,3.32,0.15%,"1,161,015"
ATYR,Micro-Cap,"Oct 28, 2024",3.29,3.36,3.13,3.32,3.32,2.00%,"2,312,204"
ATYR,Micro-Cap,"Oct 25, 2024",3.22,3.45,3.16,3.25,3.25,0.31%,"1,233,660"
ATYR,Micro-Cap,"Oct 24, 2024",3.26,3.39,3.17,3.24,3.24,-1.22%,"612,096"
ATYR,Micro-Cap,"Oct 23, 2024",3.36,3.38,3.11,3.28,3.28,-2.09%,"999,124"
ATYR,Micro-Cap,"Oct 22, 2024",3.30,3.49,3.20,3.35,3.35,2.76%,"1,409,782"
ATYR,Micro-Cap,"Oct 21, 2024",2.97,3.54,2.96,3.26,3.26,9.03%,"3,414,799"
ATYR,Micro-Cap,"Oct 18, 2024",2.65,3.03,2.63,2.99,2.99,12.83%,"1,487,933"
ATYR,Micro-Cap,"Oct 17, 2024",2.71,2.71,2.56,2.65,2.65,-2.57%,"711,190"
ATYR,Micro-Cap,"Oct 16, 2024",2.82,2.86,2.55,2.72,2.72,-1.09%,"1,653,063"
ATYR,Micro-Cap,"Oct 15, 2024",2.27,2.84,2.27,2.75,2.75,22.77%,"3,035,702"
ATYR,Micro-Cap,"Oct 14, 2024",2.24,2.30,2.18,2.24,2.24,0.45%,"5,687,375"
ATYR,Micro-Cap,"Oct 11, 2024",2.11,2.27,2.11,2.23,2.23,5.19%,"781,387"
ATYR,Micro-Cap,"Oct 10, 2024",2.13,2.18,2.06,2.12,2.12,0.47%,"424,841"
ATYR,Micro-Cap,"Oct 9, 2024",1.97,2.18,1.97,2.11,2.11,8.76%,"1,605,891"
ATYR,Micro-Cap,"Oct 8, 2024",1.92,1.96,1.88,1.94,1.94,2.65%,"630,441"
ATYR,Micro-Cap,"Oct 7, 2024",1.89,1.92,1.83,1.89,1.89,1.07%,"718,343"
ATYR,Micro-Cap,"Oct 4, 2024",1.90,1.96,1.84,1.87,1.87,7.47%,"2,887,052"
ATYR,Micro-Cap,"Oct 3, 2024",1.77,1.80,1.74,1.74,1.74,-2.25%,"247,306"
ATYR,Micro-Cap,"Oct 2, 2024",1.76,1.80,1.71,1.78,1.78,3.49%,"472,403"
ATYR,Micro-Cap,"Oct 1, 2024",1.77,1.78,1.67,1.72,1.72,-2.27%,"467,689"
ATYR,Micro-Cap,"Sep 30, 2024",1.74,1.79,1.74,1.76,1.76,-0.56%,"103,722"
ATYR,Micro-Cap,"Sep 27, 2024",1.75,1.81,1.73,1.77,1.77,1.72%,"130,716"
ATYR,Micro-Cap,"Sep 26, 2024",1.77,1.78,1.73,1.74,1.74,1.16%,"111,235"
ATYR,Micro-Cap,"Sep 25, 2024",1.73,1.77,1.72,1.72,1.72,-1.15%,"148,748"
