symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
DC,Micro-Cap,"Feb 14, 2025",3.25,3.27,3.02,3.03,3.03,-6.77%,"319,153"
DC,Micro-Cap,"Feb 13, 2025",3.21,3.30,3.16,3.25,3.25,3.50%,"445,690"
DC,Micro-Cap,"Feb 12, 2025",3.30,3.33,3.09,3.14,3.14,-5.99%,"607,759"
DC,Micro-Cap,"Feb 11, 2025",3.15,3.35,3.12,3.34,3.34,7.05%,"806,101"
DC,Micro-Cap,"Feb 10, 2025",3.12,3.19,3.09,3.12,3.12,1.30%,"620,833"
DC,Micro-Cap,"Feb 7, 2025",3.06,3.19,2.85,3.08,3.08,22.71%,"1,592,193"
DC,Micro-Cap,"Feb 6, 2025",2.42,2.53,2.37,2.51,2.51,3.72%,"313,121"
DC,Micro-Cap,"Feb 5, 2025",2.45,2.50,2.37,2.42,2.42,-0.41%,"255,153"
DC,Micro-Cap,"Feb 4, 2025",2.30,2.44,2.30,2.43,2.43,5.65%,"297,099"
DC,Micro-Cap,"Feb 3, 2025",2.21,2.30,2.21,2.30,2.30,3.60%,"333,684"
DC,Micro-Cap,"Jan 31, 2025",2.26,2.32,2.21,2.22,2.22,-1.33%,"393,388"
DC,Micro-Cap,"Jan 30, 2025",2.26,2.37,2.25,2.25,2.25,-,"316,733"
DC,Micro-Cap,"Jan 29, 2025",2.26,2.30,2.23,2.25,2.25,-0.44%,"169,930"
DC,Micro-Cap,"Jan 28, 2025",2.31,2.34,2.26,2.26,2.26,-1.31%,"229,214"
DC,Micro-Cap,"Jan 27, 2025",2.31,2.34,2.27,2.29,2.29,-1.72%,"196,173"
DC,Micro-Cap,"Jan 24, 2025",2.34,2.40,2.31,2.33,2.33,0.43%,"155,954"
DC,Micro-Cap,"Jan 23, 2025",2.32,2.34,2.30,2.32,2.32,-0.43%,"127,275"
DC,Micro-Cap,"Jan 22, 2025",2.31,2.41,2.28,2.33,2.33,0.43%,"344,581"
DC,Micro-Cap,"Jan 21, 2025",2.30,2.33,2.26,2.32,2.32,1.75%,"177,747"
DC,Micro-Cap,"Jan 17, 2025",2.28,2.28,2.25,2.28,2.28,0.44%,"127,092"
DC,Micro-Cap,"Jan 16, 2025",2.33,2.34,2.26,2.27,2.27,-2.99%,"201,849"
DC,Micro-Cap,"Jan 15, 2025",2.35,2.37,2.32,2.34,2.34,0.43%,"99,171"
DC,Micro-Cap,"Jan 14, 2025",2.31,2.35,2.25,2.33,2.33,2.19%,"317,867"
DC,Micro-Cap,"Jan 13, 2025",2.27,2.32,2.26,2.28,2.28,0.44%,"184,870"
DC,Micro-Cap,"Jan 10, 2025",2.28,2.33,2.26,2.27,2.27,-1.30%,"321,230"
DC,Micro-Cap,"Jan 8, 2025",2.32,2.33,2.27,2.30,2.30,-0.86%,"188,598"
DC,Micro-Cap,"Jan 7, 2025",2.35,2.38,2.28,2.32,2.32,0.43%,"210,370"
DC,Micro-Cap,"Jan 6, 2025",2.36,2.38,2.30,2.31,2.31,-2.12%,"299,734"
DC,Micro-Cap,"Jan 3, 2025",2.33,2.38,2.32,2.36,2.36,2.16%,"306,160"
DC,Micro-Cap,"Jan 2, 2025",2.25,2.38,2.25,2.31,2.31,5.00%,"416,246"
DC,Micro-Cap,"Dec 31, 2024",2.15,2.20,2.15,2.20,2.20,2.33%,"295,383"
DC,Micro-Cap,"Dec 30, 2024",2.13,2.16,2.10,2.15,2.15,-,"284,740"
DC,Micro-Cap,"Dec 27, 2024",2.17,2.19,2.12,2.15,2.15,-1.38%,"339,222"
DC,Micro-Cap,"Dec 26, 2024",2.16,2.18,2.15,2.18,2.18,1.87%,"309,023"
DC,Micro-Cap,"Dec 24, 2024",2.13,2.17,2.13,2.14,2.14,-,"235,909"
DC,Micro-Cap,"Dec 23, 2024",2.18,2.19,2.12,2.14,2.14,-0.93%,"380,855"
DC,Micro-Cap,"Dec 20, 2024",2.10,2.19,2.10,2.16,2.16,2.86%,"833,280"
DC,Micro-Cap,"Dec 19, 2024",2.09,2.11,2.05,2.10,2.10,0.96%,"572,677"
DC,Micro-Cap,"Dec 18, 2024",2.22,2.24,2.08,2.08,2.08,-6.73%,"456,473"
DC,Micro-Cap,"Dec 17, 2024",2.25,2.30,2.21,2.23,2.23,-0.89%,"200,241"
DC,Micro-Cap,"Dec 16, 2024",2.24,2.28,2.23,2.25,2.25,0.45%,"232,602"
DC,Micro-Cap,"Dec 13, 2024",2.25,2.28,2.20,2.24,2.24,-1.75%,"162,911"
DC,Micro-Cap,"Dec 12, 2024",2.30,2.34,2.26,2.28,2.28,-1.30%,"161,154"
DC,Micro-Cap,"Dec 11, 2024",2.31,2.35,2.30,2.31,2.31,1.32%,"336,367"
DC,Micro-Cap,"Dec 10, 2024",2.30,2.33,2.25,2.28,2.28,0.44%,"233,812"
DC,Micro-Cap,"Dec 9, 2024",2.22,2.32,2.22,2.27,2.27,2.25%,"524,056"
DC,Micro-Cap,"Dec 6, 2024",2.25,2.29,2.19,2.22,2.22,-0.45%,"515,244"
DC,Micro-Cap,"Dec 5, 2024",2.25,2.29,2.19,2.23,2.23,5.19%,"1,061,447"
DC,Micro-Cap,"Dec 4, 2024",2.16,2.18,2.09,2.12,2.12,-0.93%,"489,572"
DC,Micro-Cap,"Dec 3, 2024",2.11,2.22,2.11,2.14,2.14,0.47%,"302,394"
DC,Micro-Cap,"Dec 2, 2024",2.23,2.24,2.12,2.13,2.13,-5.33%,"307,440"
DC,Micro-Cap,"Nov 29, 2024",2.24,2.28,2.22,2.25,2.25,2.27%,"113,989"
DC,Micro-Cap,"Nov 27, 2024",2.23,2.26,2.20,2.20,2.20,0.46%,"114,335"
DC,Micro-Cap,"Nov 26, 2024",2.17,2.24,2.16,2.19,2.19,0.92%,"250,113"
DC,Micro-Cap,"Nov 25, 2024",2.21,2.24,2.16,2.17,2.17,-3.13%,"237,180"
DC,Micro-Cap,"Nov 22, 2024",2.24,2.27,2.19,2.24,2.24,-0.44%,"232,987"
DC,Micro-Cap,"Nov 21, 2024",2.23,2.25,2.18,2.25,2.25,2.27%,"291,137"
DC,Micro-Cap,"Nov 20, 2024",2.23,2.24,2.17,2.20,2.20,-0.90%,"174,790"
DC,Micro-Cap,"Nov 19, 2024",2.19,2.22,2.14,2.22,2.22,2.30%,"207,202"
DC,Micro-Cap,"Nov 18, 2024",2.19,2.22,2.14,2.17,2.17,0.46%,"192,280"
DC,Micro-Cap,"Nov 15, 2024",2.21,2.25,2.12,2.16,2.16,-1.37%,"192,344"
DC,Micro-Cap,"Nov 14, 2024",2.19,2.22,2.16,2.19,2.19,-1.35%,"187,743"
DC,Micro-Cap,"Nov 13, 2024",2.23,2.28,2.21,2.22,2.22,-0.89%,"238,700"
DC,Micro-Cap,"Nov 12, 2024",2.29,2.30,2.17,2.24,2.24,-2.61%,"515,509"
DC,Micro-Cap,"Nov 11, 2024",2.39,2.42,2.25,2.30,2.30,-5.35%,"246,470"
DC,Micro-Cap,"Nov 8, 2024",2.50,2.50,2.41,2.43,2.43,-2.80%,"267,346"
DC,Micro-Cap,"Nov 7, 2024",2.51,2.60,2.48,2.50,2.50,-0.40%,"251,978"
DC,Micro-Cap,"Nov 6, 2024",2.31,2.53,2.24,2.51,2.51,8.66%,"455,399"
DC,Micro-Cap,"Nov 5, 2024",2.26,2.32,2.23,2.31,2.31,2.21%,"238,620"
DC,Micro-Cap,"Nov 4, 2024",2.26,2.30,2.19,2.26,2.26,-0.44%,"185,954"
DC,Micro-Cap,"Nov 1, 2024",2.21,2.29,2.19,2.27,2.27,3.65%,"276,104"
DC,Micro-Cap,"Oct 31, 2024",2.38,2.38,2.11,2.19,2.19,-6.41%,"632,782"
DC,Micro-Cap,"Oct 30, 2024",2.46,2.47,2.30,2.34,2.34,-4.49%,"111,400"
DC,Micro-Cap,"Oct 29, 2024",2.42,2.46,2.40,2.45,2.45,-,"198,175"
DC,Micro-Cap,"Oct 28, 2024",2.40,2.46,2.40,2.45,2.45,2.51%,"148,963"
DC,Micro-Cap,"Oct 25, 2024",2.40,2.41,2.37,2.39,2.39,-,"223,419"
DC,Micro-Cap,"Oct 24, 2024",2.50,2.50,2.36,2.39,2.39,-3.63%,"301,531"
DC,Micro-Cap,"Oct 23, 2024",2.49,2.50,2.43,2.48,2.48,-0.40%,"211,903"
DC,Micro-Cap,"Oct 22, 2024",2.42,2.50,2.42,2.49,2.49,4.62%,"329,937"
DC,Micro-Cap,"Oct 21, 2024",2.47,2.50,2.37,2.38,2.38,-1.65%,"408,759"
DC,Micro-Cap,"Oct 18, 2024",2.25,2.44,2.25,2.42,2.42,8.52%,"433,690"
DC,Micro-Cap,"Oct 17, 2024",2.23,2.27,2.23,2.23,2.23,-0.45%,"132,434"
DC,Micro-Cap,"Oct 16, 2024",2.22,2.26,2.20,2.24,2.24,2.28%,"252,292"
DC,Micro-Cap,"Oct 15, 2024",2.17,2.22,2.17,2.19,2.19,-0.45%,"182,420"
DC,Micro-Cap,"Oct 14, 2024",2.19,2.20,2.17,2.20,2.20,0.46%,"118,374"
DC,Micro-Cap,"Oct 11, 2024",2.20,2.23,2.17,2.19,2.19,-,"345,993"
DC,Micro-Cap,"Oct 10, 2024",2.18,2.23,2.17,2.19,2.19,0.46%,"175,874"
DC,Micro-Cap,"Oct 9, 2024",2.24,2.28,2.18,2.18,2.18,-2.68%,"251,470"
DC,Micro-Cap,"Oct 8, 2024",2.27,2.31,2.19,2.24,2.24,-2.61%,"138,057"
DC,Micro-Cap,"Oct 7, 2024",2.25,2.39,2.25,2.30,2.30,1.32%,"100,884"
DC,Micro-Cap,"Oct 4, 2024",2.27,2.29,2.23,2.27,2.27,1.34%,"63,677"
DC,Micro-Cap,"Oct 3, 2024",2.30,2.33,2.24,2.24,2.24,-3.86%,"145,013"
DC,Micro-Cap,"Oct 2, 2024",2.30,2.34,2.30,2.33,2.33,0.87%,"88,546"
DC,Micro-Cap,"Oct 1, 2024",2.36,2.40,2.31,2.31,2.31,-2.12%,"142,882"
DC,Micro-Cap,"Sep 30, 2024",2.35,2.43,2.30,2.36,2.36,-0.84%,"160,268"
DC,Micro-Cap,"Sep 27, 2024",2.42,2.43,2.35,2.38,2.38,-2.06%,"79,825"
DC,Micro-Cap,"Sep 26, 2024",2.50,2.53,2.41,2.43,2.43,-1.62%,"176,207"
DC,Micro-Cap,"Sep 25, 2024",2.41,2.49,2.40,2.47,2.47,3.78%,"152,837"
DC,Micro-Cap,"Sep 24, 2024",2.37,2.44,2.33,2.38,2.38,2.15%,"283,017"
DC,Micro-Cap,"Sep 23, 2024",2.36,2.44,2.30,2.33,2.33,-1.27%,"154,827"
