symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
EM,Micro-Cap,"Feb 14, 2025",1.15,1.16,1.14,1.15,1.15,-,"413,029"
EM,Micro-Cap,"Feb 13, 2025",1.15,1.16,1.12,1.15,1.15,-,"669,958"
EM,Micro-Cap,"Feb 12, 2025",1.16,1.16,1.14,1.15,1.15,-0.86%,"331,699"
EM,Micro-Cap,"Feb 11, 2025",1.15,1.16,1.14,1.16,1.16,0.87%,"626,493"
EM,Micro-Cap,"Feb 10, 2025",1.15,1.16,1.14,1.15,1.15,-0.86%,"634,669"
EM,Micro-Cap,"Feb 7, 2025",1.16,1.16,1.14,1.16,1.16,0.87%,"257,210"
EM,Micro-Cap,"Feb 6, 2025",1.16,1.16,1.14,1.15,1.15,-0.86%,"288,772"
EM,Micro-Cap,"Feb 5, 2025",1.16,1.16,1.14,1.16,1.16,-,"224,268"
EM,Micro-Cap,"Feb 4, 2025",1.16,1.16,1.15,1.16,1.16,0.87%,"116,239"
EM,Micro-Cap,"Feb 3, 2025",1.14,1.16,1.14,1.15,1.15,-,"548,816"
EM,Micro-Cap,"Jan 31, 2025",1.16,1.16,1.14,1.15,1.15,-0.86%,"410,525"
EM,Micro-Cap,"Jan 30, 2025",1.15,1.16,1.14,1.16,1.16,0.87%,"233,177"
EM,Micro-Cap,"Jan 29, 2025",1.15,1.15,1.14,1.15,1.15,0.88%,"255,874"
EM,Micro-Cap,"Jan 28, 2025",1.13,1.15,1.12,1.14,1.14,-,"418,507"
EM,Micro-Cap,"Jan 27, 2025",1.14,1.15,1.11,1.14,1.14,-,"724,860"
EM,Micro-Cap,"Jan 24, 2025",1.16,1.16,1.12,1.14,1.14,-0.87%,"245,276"
EM,Micro-Cap,"Jan 23, 2025",1.14,1.17,1.11,1.15,1.15,1.77%,"542,627"
EM,Micro-Cap,"Jan 22, 2025",1.11,1.13,1.09,1.13,1.13,1.80%,"696,228"
EM,Micro-Cap,"Jan 21, 2025",1.04,1.12,1.04,1.11,1.11,3.74%,"986,838"
EM,Micro-Cap,"Jan 17, 2025",1.03,1.07,1.02,1.07,1.07,4.90%,"776,191"
EM,Micro-Cap,"Jan 16, 2025",1.00,1.02,0.99,1.02,1.02,3.03%,"4,272,210"
EM,Micro-Cap,"Jan 15, 2025",1.00,1.02,0.99,0.99,0.99,-,"1,506,956"
EM,Micro-Cap,"Jan 14, 2025",0.98,1.00,0.98,0.99,0.99,0.51%,"1,154,694"
EM,Micro-Cap,"Jan 13, 2025",0.99,1.01,0.98,0.99,0.99,-0.51%,"1,467,429"
EM,Micro-Cap,"Jan 10, 2025",1.00,1.02,0.99,0.99,0.99,-,"8,100,435"
EM,Micro-Cap,"Jan 8, 2025",1.00,1.01,0.98,0.99,0.99,1.02%,"4,148,929"
EM,Micro-Cap,"Jan 7, 2025",1.00,1.01,0.97,0.98,0.98,-2.00%,"2,886,948"
EM,Micro-Cap,"Jan 6, 2025",1.03,1.05,0.94,1.00,1.00,39.82%,"8,389,595"
EM,Micro-Cap,"Jan 3, 2025",0.72,0.73,0.68,0.72,0.72,-0.67%,"47,012"
EM,Micro-Cap,"Jan 2, 2025",0.71,0.75,0.70,0.72,0.72,-,"88,615"
EM,Micro-Cap,"Dec 31, 2024",0.73,0.75,0.70,0.72,0.72,-,"86,256"
EM,Micro-Cap,"Dec 30, 2024",0.73,0.76,0.70,0.72,0.72,0.14%,"49,581"
EM,Micro-Cap,"Dec 27, 2024",0.70,0.76,0.70,0.72,0.72,-0.14%,"82,388"
EM,Micro-Cap,"Dec 26, 2024",0.69,0.75,0.69,0.72,0.72,-,"110,307"
EM,Micro-Cap,"Dec 24, 2024",0.71,0.73,0.71,0.72,0.72,-1.37%,"27,832"
EM,Micro-Cap,"Dec 23, 2024",0.69,0.76,0.69,0.73,0.73,1.67%,"156,616"
EM,Micro-Cap,"Dec 20, 2024",0.69,0.76,0.69,0.72,0.72,0.28%,"47,491"
EM,Micro-Cap,"Dec 19, 2024",0.73,0.78,0.72,0.72,0.72,-5.79%,"155,519"
EM,Micro-Cap,"Dec 18, 2024",0.78,0.78,0.73,0.76,0.76,-1.22%,"130,073"
EM,Micro-Cap,"Dec 17, 2024",0.77,0.78,0.73,0.77,0.77,0.54%,"45,931"
EM,Micro-Cap,"Dec 16, 2024",0.76,0.78,0.76,0.77,0.77,0.68%,"98,391"
EM,Micro-Cap,"Dec 13, 2024",0.72,0.77,0.72,0.76,0.76,8.59%,"122,661"
EM,Micro-Cap,"Dec 12, 2024",0.73,0.74,0.70,0.70,0.70,-4.88%,"13,171"
EM,Micro-Cap,"Dec 11, 2024",0.73,0.74,0.72,0.74,0.74,0.77%,"6,269"
EM,Micro-Cap,"Dec 10, 2024",0.74,0.75,0.73,0.73,0.73,-3.91%,"78,523"
EM,Micro-Cap,"Dec 9, 2024",0.75,0.83,0.75,0.76,0.76,1.33%,"190,152"
EM,Micro-Cap,"Dec 6, 2024",0.74,0.75,0.74,0.75,0.75,3.85%,"11,657"
EM,Micro-Cap,"Dec 5, 2024",0.71,0.76,0.71,0.72,0.72,-0.41%,"69,151"
EM,Micro-Cap,"Dec 4, 2024",0.72,0.74,0.71,0.73,0.73,0.57%,"21,507"
EM,Micro-Cap,"Dec 3, 2024",0.71,0.73,0.71,0.72,0.72,0.15%,"26,964"
EM,Micro-Cap,"Dec 2, 2024",0.73,0.75,0.72,0.72,0.72,-1.10%,"48,979"
EM,Micro-Cap,"Nov 29, 2024",0.72,0.73,0.72,0.73,0.73,1.11%,"9,433"
EM,Micro-Cap,"Nov 27, 2024",0.71,0.74,0.71,0.72,0.72,1.41%,"55,113"
EM,Micro-Cap,"Nov 26, 2024",0.72,0.73,0.71,0.71,0.71,-,"38,338"
EM,Micro-Cap,"Nov 25, 2024",0.59,0.73,0.59,0.71,0.71,3.42%,"28,615"
EM,Micro-Cap,"Nov 22, 2024",0.72,0.73,0.67,0.69,0.69,-4.65%,"43,626"
EM,Micro-Cap,"Nov 21, 2024",0.72,0.73,0.70,0.72,0.72,0.31%,"47,767"
EM,Micro-Cap,"Nov 20, 2024",0.72,0.75,0.72,0.72,0.72,1.10%,"45,054"
EM,Micro-Cap,"Nov 19, 2024",0.72,0.72,0.71,0.71,0.71,-1.38%,"29,786"
EM,Micro-Cap,"Nov 18, 2024",0.69,0.72,0.69,0.72,0.72,2.84%,"10,880"
EM,Micro-Cap,"Nov 15, 2024",0.72,0.75,0.70,0.70,0.70,-2.78%,"82,220"
EM,Micro-Cap,"Nov 14, 2024",0.71,0.72,0.69,0.72,0.72,4.33%,"27,773"
EM,Micro-Cap,"Nov 13, 2024",0.66,0.71,0.66,0.69,0.69,4.56%,"8,762"
EM,Micro-Cap,"Nov 12, 2024",0.61,0.67,0.61,0.66,0.66,1.54%,"37,562"
EM,Micro-Cap,"Nov 11, 2024",0.65,0.67,0.65,0.65,0.65,-2.26%,"15,521"
EM,Micro-Cap,"Nov 8, 2024",0.65,0.69,0.65,0.67,0.67,-3.64%,"35,727"
EM,Micro-Cap,"Nov 7, 2024",0.69,0.71,0.67,0.69,0.69,0.01%,"15,197"
EM,Micro-Cap,"Nov 6, 2024",0.64,0.72,0.64,0.69,0.69,-,"159,172"
EM,Micro-Cap,"Nov 5, 2024",0.72,0.72,0.67,0.69,0.69,-2.82%,"45,958"
EM,Micro-Cap,"Nov 4, 2024",0.72,0.72,0.70,0.71,0.71,-1.39%,"56,890"
EM,Micro-Cap,"Nov 1, 2024",0.70,0.72,0.70,0.72,0.72,1.41%,"11,743"
EM,Micro-Cap,"Oct 31, 2024",0.73,0.73,0.71,0.71,0.71,-1.53%,"36,845"
EM,Micro-Cap,"Oct 30, 2024",0.74,0.74,0.72,0.72,0.72,-3.75%,"42,050"
EM,Micro-Cap,"Oct 29, 2024",0.73,0.75,0.72,0.75,0.75,-0.12%,"117,725"
EM,Micro-Cap,"Oct 28, 2024",0.74,0.75,0.72,0.75,0.75,1.75%,"143,265"
EM,Micro-Cap,"Oct 25, 2024",0.73,0.74,0.69,0.74,0.74,0.33%,"79,044"
EM,Micro-Cap,"Oct 24, 2024",0.72,0.75,0.72,0.73,0.73,2.87%,"80,373"
EM,Micro-Cap,"Oct 23, 2024",0.73,0.75,0.67,0.71,0.71,-2.16%,"32,627"
EM,Micro-Cap,"Oct 22, 2024",0.71,0.74,0.71,0.73,0.73,2.63%,"14,998"
EM,Micro-Cap,"Oct 21, 2024",0.74,0.74,0.69,0.71,0.71,-4.27%,"45,073"
EM,Micro-Cap,"Oct 18, 2024",0.76,0.76,0.74,0.74,0.74,3.19%,"29,315"
EM,Micro-Cap,"Oct 17, 2024",0.68,0.72,0.67,0.72,0.72,-,"24,656"
EM,Micro-Cap,"Oct 16, 2024",0.69,0.72,0.69,0.72,0.72,0.29%,"29,253"
EM,Micro-Cap,"Oct 15, 2024",0.75,0.75,0.69,0.72,0.72,-5.54%,"66,772"
EM,Micro-Cap,"Oct 14, 2024",0.73,0.81,0.73,0.76,0.76,0.13%,"44,637"
EM,Micro-Cap,"Oct 11, 2024",0.74,0.76,0.70,0.76,0.76,2.57%,"55,412"
EM,Micro-Cap,"Oct 10, 2024",0.74,0.75,0.71,0.74,0.74,-0.54%,"25,746"
EM,Micro-Cap,"Oct 9, 2024",0.72,0.76,0.71,0.74,0.74,-1.26%,"51,026"
EM,Micro-Cap,"Oct 8, 2024",0.70,0.76,0.70,0.75,0.75,-1.51%,"69,799"
EM,Micro-Cap,"Oct 7, 2024",0.79,0.79,0.73,0.77,0.77,-0.71%,"138,139"
