symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
FNLC,Micro-Cap,"Feb 14, 2025",25.73,26.00,25.59,25.72,25.72,0.08%,"16,231"
FNLC,Micro-Cap,"Feb 13, 2025",26.05,26.05,25.51,25.70,25.70,-0.46%,"25,902"
FNLC,Micro-Cap,"Feb 12, 2025",25.68,25.99,25.64,25.82,25.82,-1.19%,"20,411"
FNLC,Micro-Cap,"Feb 11, 2025",25.55,26.13,25.24,26.13,26.13,1.55%,"38,731"
FNLC,Micro-Cap,"Feb 10, 2025",25.80,25.92,25.67,25.73,25.73,-0.43%,"29,505"
FNLC,Micro-Cap,"Feb 7, 2025",25.93,26.05,25.48,25.84,25.84,-0.88%,"36,161"
FNLC,Micro-Cap,"Feb 6, 2025",25.55,26.07,25.55,26.07,26.07,1.28%,"40,301"
FNLC,Micro-Cap,"Feb 5, 2025",25.70,25.81,25.68,25.74,25.74,0.08%,"22,963"
FNLC,Micro-Cap,"Feb 4, 2025",25.32,25.75,25.32,25.72,25.72,1.26%,"29,579"
FNLC,Micro-Cap,"Feb 3, 2025",25.25,25.52,25.25,25.40,25.40,-1.70%,"26,662"
FNLC,Micro-Cap,"Jan 31, 2025",26.01,26.01,25.69,25.84,25.84,-0.12%,"27,764"
FNLC,Micro-Cap,"Jan 30, 2025",26.22,26.37,25.77,25.87,25.87,-0.54%,"16,216"
FNLC,Micro-Cap,"Jan 29, 2025",25.33,26.34,25.27,26.01,26.01,2.36%,"59,036"
FNLC,Micro-Cap,"Jan 28, 2025",25.74,25.86,25.30,25.41,25.41,-1.28%,"23,993"
FNLC,Micro-Cap,"Jan 27, 2025",25.21,26.19,25.15,25.74,25.74,2.10%,"52,191"
FNLC,Micro-Cap,"Jan 24, 2025",25.54,25.54,25.04,25.21,25.21,-1.02%,"26,048"
FNLC,Micro-Cap,"Jan 23, 2025",24.61,25.75,24.61,25.47,25.47,-2.00%,"38,836"
FNLC,Micro-Cap,"Jan 22, 2025",26.20,26.20,25.83,25.99,25.99,-1.25%,"13,755"
FNLC,Micro-Cap,"Jan 21, 2025",26.35,26.63,26.27,26.32,26.32,0.69%,"27,172"
FNLC,Micro-Cap,"Jan 17, 2025",26.40,26.45,26.01,26.14,26.14,-0.04%,"23,201"
FNLC,Micro-Cap,"Jan 16, 2025",26.25,26.30,25.91,26.15,26.15,-0.38%,"29,505"
