symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
GHG,Micro-Cap,"Feb 14, 2025",2.67,2.87,2.67,2.85,2.85,5.95%,"18,143"
GHG,Micro-Cap,"Feb 13, 2025",2.70,2.70,2.65,2.69,2.69,-2.18%,"9,664"
GHG,Micro-Cap,"Feb 12, 2025",2.76,2.76,2.63,2.75,2.75,4.17%,"22,298"
GHG,Micro-Cap,"Feb 11, 2025",2.62,2.70,2.62,2.64,2.64,-3.65%,"7,111"
GHG,Micro-Cap,"Feb 10, 2025",2.74,2.78,2.64,2.74,2.74,-0.36%,"13,035"
GHG,Micro-Cap,"Feb 7, 2025",2.66,2.75,2.65,2.75,2.75,4.96%,"8,766"
GHG,Micro-Cap,"Feb 6, 2025",2.61,2.65,2.60,2.62,2.62,0.08%,"1,795"
GHG,Micro-Cap,"Feb 5, 2025",2.66,2.74,2.62,2.62,2.62,-3.04%,"1,871"
GHG,Micro-Cap,"Feb 4, 2025",2.71,2.76,2.65,2.70,2.70,1.50%,"5,761"
GHG,Micro-Cap,"Feb 3, 2025",2.70,2.78,2.65,2.66,2.66,-2.92%,"1,840"
GHG,Micro-Cap,"Jan 31, 2025",2.74,2.77,2.70,2.74,2.74,-0.36%,"12,334"
GHG,Micro-Cap,"Jan 30, 2025",2.84,2.84,2.66,2.75,2.75,-,"12,641"
GHG,Micro-Cap,"Jan 29, 2025",2.71,2.75,2.62,2.75,2.75,2.23%,"9,748"
GHG,Micro-Cap,"Jan 28, 2025",2.75,2.75,2.64,2.69,2.69,-1.10%,"9,047"
GHG,Micro-Cap,"Jan 27, 2025",2.74,2.75,2.63,2.72,2.72,2.64%,"18,569"
GHG,Micro-Cap,"Jan 24, 2025",2.55,2.70,2.55,2.65,2.65,1.92%,"4,737"
GHG,Micro-Cap,"Jan 23, 2025",2.64,2.64,2.52,2.60,2.60,3.17%,"3,183"
GHG,Micro-Cap,"Jan 22, 2025",2.47,2.57,2.47,2.52,2.52,-,"6,498"
GHG,Micro-Cap,"Jan 21, 2025",2.52,2.57,2.48,2.52,2.52,2.02%,"3,510"
GHG,Micro-Cap,"Jan 17, 2025",2.46,2.50,2.41,2.47,2.47,2.70%,"3,269"
GHG,Micro-Cap,"Jan 16, 2025",2.41,2.41,2.41,2.41,2.41,-1.43%,"3,193"
GHG,Micro-Cap,"Jan 15, 2025",2.42,2.48,2.37,2.44,2.44,0.41%,"2,326"
GHG,Micro-Cap,"Jan 14, 2025",2.37,2.45,2.37,2.43,2.43,2.97%,"3,748"
GHG,Micro-Cap,"Jan 13, 2025",2.35,2.36,2.35,2.36,2.36,-1.67%,"2,190"
GHG,Micro-Cap,"Jan 10, 2025",2.38,2.42,2.37,2.40,2.40,0.84%,"3,399"
GHG,Micro-Cap,"Jan 8, 2025",2.40,2.46,2.37,2.38,2.38,-1.24%,"13,776"
GHG,Micro-Cap,"Jan 7, 2025",2.50,2.50,2.41,2.41,2.41,-0.62%,"11,129"
GHG,Micro-Cap,"Jan 6, 2025",2.54,2.54,2.42,2.43,2.43,-3.00%,"6,074"
GHG,Micro-Cap,"Jan 3, 2025",2.53,2.59,2.50,2.50,2.50,-1.19%,"1,651"
GHG,Micro-Cap,"Jan 2, 2025",2.54,2.54,2.50,2.53,2.53,-1.17%,"2,150"
GHG,Micro-Cap,"Dec 31, 2024",2.57,2.59,2.46,2.56,2.56,2.40%,"7,168"
GHG,Micro-Cap,"Dec 30, 2024",2.47,2.55,2.40,2.50,2.50,-0.79%,"26,328"
GHG,Micro-Cap,"Dec 27, 2024",2.54,2.57,2.49,2.52,2.52,0.40%,"11,103"
GHG,Micro-Cap,"Dec 26, 2024",2.50,2.56,2.50,2.51,2.51,0.40%,"2,978"
GHG,Micro-Cap,"Dec 24, 2024",2.40,2.51,2.40,2.50,2.50,-,"2,106"
GHG,Micro-Cap,"Dec 23, 2024",2.43,2.50,2.41,2.50,2.50,2.88%,"8,672"
GHG,Micro-Cap,"Dec 20, 2024",2.39,2.47,2.39,2.43,2.43,-1.22%,"14,243"
GHG,Micro-Cap,"Dec 19, 2024",2.43,2.49,2.42,2.46,2.46,-1.60%,"14,104"
GHG,Micro-Cap,"Dec 18, 2024",2.58,2.62,2.43,2.50,2.50,-4.94%,"23,869"
GHG,Micro-Cap,"Dec 17, 2024",2.60,2.63,2.57,2.63,2.63,0.77%,"21,691"
GHG,Micro-Cap,"Dec 16, 2024",2.55,2.63,2.52,2.61,2.61,1.99%,"31,562"
GHG,Micro-Cap,"Dec 13, 2024",2.55,2.60,2.52,2.56,2.56,2.36%,"12,531"
GHG,Micro-Cap,"Dec 12, 2024",2.60,2.63,2.50,2.50,2.50,-3.47%,"16,439"
GHG,Micro-Cap,"Dec 11, 2024",2.71,2.71,2.59,2.59,2.59,-3.00%,"18,104"
GHG,Micro-Cap,"Dec 10, 2024",2.65,2.70,2.63,2.67,2.67,-1.11%,"15,131"
GHG,Micro-Cap,"Dec 9, 2024",2.74,2.80,2.70,2.70,2.70,3.45%,"43,249"
GHG,Micro-Cap,"Dec 6, 2024",2.64,2.70,2.61,2.61,2.61,-1.14%,"2,913"
GHG,Micro-Cap,"Dec 5, 2024",2.75,2.75,2.60,2.64,2.64,-2.58%,"12,970"
GHG,Micro-Cap,"Dec 4, 2024",2.69,2.74,2.67,2.71,2.71,-0.37%,"8,689"
GHG,Micro-Cap,"Dec 3, 2024",2.70,2.72,2.70,2.72,2.72,-1.59%,710
GHG,Micro-Cap,"Dec 2, 2024",2.68,2.76,2.67,2.76,2.76,3.52%,"2,313"
GHG,Micro-Cap,"Nov 29, 2024",2.72,2.72,2.66,2.67,2.67,-1.84%,"2,853"
GHG,Micro-Cap,"Nov 27, 2024",2.71,2.84,2.70,2.72,2.72,-1.81%,"5,412"
GHG,Micro-Cap,"Nov 26, 2024",2.68,2.77,2.68,2.77,2.77,4.53%,"3,187"
GHG,Micro-Cap,"Nov 25, 2024",2.62,2.71,2.60,2.65,2.65,-,"8,010"
GHG,Micro-Cap,"Nov 22, 2024",2.78,2.78,2.65,2.65,2.65,-0.75%,"9,000"
GHG,Micro-Cap,"Nov 21, 2024",2.84,2.84,2.62,2.67,2.67,-1.48%,"9,725"
GHG,Micro-Cap,"Nov 20, 2024",2.82,2.85,2.67,2.71,2.71,-,"8,122"
GHG,Micro-Cap,"Nov 19, 2024",2.80,2.80,2.71,2.71,2.71,1.73%,"3,455"
GHG,Micro-Cap,"Nov 18, 2024",2.66,2.66,2.66,2.66,2.66,-2.06%,848
GHG,Micro-Cap,"Nov 15, 2024",2.69,2.72,2.67,2.72,2.72,1.87%,"3,267"
GHG,Micro-Cap,"Nov 14, 2024",2.65,2.67,2.65,2.67,2.67,-1.18%,"6,462"
GHG,Micro-Cap,"Nov 13, 2024",2.66,2.70,2.65,2.70,2.70,1.58%,"3,003"
GHG,Micro-Cap,"Nov 12, 2024",2.74,2.74,2.66,2.66,2.66,-5.00%,"2,061"
GHG,Micro-Cap,"Nov 11, 2024",2.83,2.90,2.73,2.80,2.80,-3.45%,"11,187"
GHG,Micro-Cap,"Nov 8, 2024",2.95,2.99,2.90,2.90,2.90,-1.53%,"1,455"
GHG,Micro-Cap,"Nov 7, 2024",2.89,3.00,2.89,2.95,2.95,2.83%,760
GHG,Micro-Cap,"Nov 6, 2024",2.77,2.89,2.77,2.86,2.86,-2.25%,"9,325"
GHG,Micro-Cap,"Nov 5, 2024",2.95,2.98,2.86,2.93,2.93,2.81%,"5,471"
GHG,Micro-Cap,"Nov 4, 2024",2.84,2.85,2.79,2.85,2.85,-2.73%,"5,257"
GHG,Micro-Cap,"Nov 1, 2024",2.84,2.93,2.84,2.93,2.93,-0.34%,747
GHG,Micro-Cap,"Oct 31, 2024",2.84,2.94,2.84,2.94,2.94,-1.34%,"3,775"
GHG,Micro-Cap,"Oct 30, 2024",2.95,3.00,2.95,2.98,2.98,-0.67%,"1,051"
GHG,Micro-Cap,"Oct 29, 2024",2.99,3.00,2.92,3.00,3.00,1.35%,"1,341"
GHG,Micro-Cap,"Oct 28, 2024",2.77,3.00,2.77,2.96,2.96,6.86%,"13,693"
GHG,Micro-Cap,"Oct 25, 2024",2.84,2.84,2.76,2.77,2.77,-4.81%,"17,912"
GHG,Micro-Cap,"Oct 24, 2024",2.98,2.98,2.84,2.91,2.91,-1.36%,"5,788"
GHG,Micro-Cap,"Oct 23, 2024",2.97,3.01,2.95,2.95,2.95,-,"2,134"
GHG,Micro-Cap,"Oct 22, 2024",2.93,2.95,2.84,2.95,2.95,2.43%,"3,699"
GHG,Micro-Cap,"Oct 21, 2024",2.87,2.88,2.87,2.88,2.88,-2.70%,684
GHG,Micro-Cap,"Oct 18, 2024",2.94,3.02,2.93,2.96,2.96,3.50%,"14,471"
GHG,Micro-Cap,"Oct 17, 2024",2.86,2.91,2.82,2.86,2.86,-3.70%,"5,041"
GHG,Micro-Cap,"Oct 16, 2024",2.94,2.97,2.89,2.97,2.97,1.02%,"6,902"
GHG,Micro-Cap,"Oct 15, 2024",3.05,3.11,2.94,2.94,2.94,-5.47%,"3,958"
GHG,Micro-Cap,"Oct 14, 2024",3.14,3.23,3.02,3.11,3.11,-1.58%,"14,073"
GHG,Micro-Cap,"Oct 11, 2024",3.28,3.28,3.13,3.16,3.16,0.96%,"2,316"
GHG,Micro-Cap,"Oct 10, 2024",3.13,3.30,3.13,3.13,3.13,-0.32%,"8,297"
GHG,Micro-Cap,"Oct 9, 2024",3.15,3.15,3.06,3.14,3.14,2.21%,"2,120"
GHG,Micro-Cap,"Oct 8, 2024",3.19,3.19,3.06,3.07,3.07,-5.77%,"8,535"
GHG,Micro-Cap,"Oct 7, 2024",3.17,3.35,3.17,3.26,3.26,3.49%,"23,683"
GHG,Micro-Cap,"Oct 4, 2024",3.22,3.23,3.10,3.15,3.15,-,"11,074"
GHG,Micro-Cap,"Oct 3, 2024",3.20,3.20,3.01,3.15,3.15,-3.37%,"10,477"
GHG,Micro-Cap,"Oct 2, 2024",3.32,3.32,3.10,3.26,3.26,1.24%,"32,308"
GHG,Micro-Cap,"Oct 1, 2024",3.04,3.22,3.04,3.22,3.22,4.21%,"10,230"
GHG,Micro-Cap,"Sep 30, 2024",3.38,3.40,3.01,3.09,3.09,-4.33%,"34,624"
GHG,Micro-Cap,"Sep 27, 2024",2.82,3.26,2.82,3.23,3.13,14.54%,"36,358"
GHG,Micro-Cap,"Sep 26, 2024",2.69,2.86,2.69,2.82,2.73,9.73%,"58,042"
GHG,Micro-Cap,"Sep 25, 2024",2.55,2.61,2.48,2.57,2.49,-2.28%,"23,275"
GHG,Micro-Cap,"Sep 24, 2024",2.54,2.65,2.50,2.63,2.55,6.48%,"23,041"
GHG,Micro-Cap,"Sep 23, 2024",2.54,2.57,2.47,2.47,2.39,-1.98%,"15,247"
