symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
GRAF,Micro-Cap,"Feb 14, 2025",10.15,10.15,10.14,10.14,10.14,-0.10%,"4,145"
GRAF,Micro-Cap,"Feb 13, 2025",10.15,10.15,10.15,10.15,10.15,-,"1,110"
GRAF,Micro-Cap,"Feb 12, 2025",10.14,10.16,10.14,10.15,10.15,-,"3,367"
GRAF,Micro-Cap,"Feb 11, 2025",10.14,10.15,10.14,10.15,10.15,-,"17,630"
GRAF,Micro-Cap,"Feb 10, 2025",10.13,10.15,10.13,10.15,10.15,0.15%,"7,702"
GRAF,Micro-Cap,"Feb 7, 2025",10.13,10.14,10.13,10.14,10.14,0.05%,371
GRAF,Micro-Cap,"Feb 6, 2025",10.13,10.13,10.13,10.13,10.13,-,"1,563"
GRAF,Micro-Cap,"Feb 5, 2025",10.13,10.15,10.13,10.13,10.13,-,"4,368"
GRAF,Micro-Cap,"Feb 4, 2025",10.13,10.17,10.13,10.13,10.13,-,"13,253"
GRAF,Micro-Cap,"Feb 3, 2025",10.14,10.14,10.12,10.13,10.13,-,"2,087"
GRAF,Micro-Cap,"Jan 31, 2025",10.12,10.13,10.12,10.13,10.13,0.10%,"6,907"
GRAF,Micro-Cap,"Jan 30, 2025",10.12,10.12,10.12,10.12,10.12,0.10%,"2,966"
GRAF,Micro-Cap,"Jan 29, 2025",10.11,10.12,10.11,10.11,10.11,-,"3,423"
GRAF,Micro-Cap,"Jan 28, 2025",10.11,10.12,10.11,10.11,10.11,-,"3,103"
GRAF,Micro-Cap,"Jan 27, 2025",10.11,10.11,10.11,10.11,10.11,-,111
GRAF,Micro-Cap,"Jan 24, 2025",10.11,10.11,10.11,10.11,10.11,-,"4,390"
GRAF,Micro-Cap,"Jan 23, 2025",10.15,10.15,10.11,10.11,10.11,-,"2,123"
GRAF,Micro-Cap,"Jan 22, 2025",10.10,10.15,10.10,10.11,10.11,0.05%,"18,598"
GRAF,Micro-Cap,"Jan 21, 2025",10.10,10.11,10.10,10.11,10.11,-0.05%,"19,950"
GRAF,Micro-Cap,"Jan 17, 2025",10.10,10.11,10.10,10.11,10.11,0.10%,"4,701"
GRAF,Micro-Cap,"Jan 16, 2025",10.11,10.11,10.09,10.10,10.10,0.10%,"7,674"
GRAF,Micro-Cap,"Jan 15, 2025",10.10,10.10,10.09,10.09,10.09,-0.10%,"6,700"
GRAF,Micro-Cap,"Jan 14, 2025",10.08,10.10,10.08,10.10,10.10,0.20%,"46,628"
GRAF,Micro-Cap,"Jan 13, 2025",10.08,10.08,10.08,10.08,10.08,-,85
GRAF,Micro-Cap,"Jan 10, 2025",10.09,10.09,10.08,10.08,10.08,-0.10%,"5,067"
GRAF,Micro-Cap,"Jan 8, 2025",10.08,10.09,10.08,10.09,10.09,-,"2,322"
GRAF,Micro-Cap,"Jan 7, 2025",10.08,10.09,10.08,10.09,10.09,0.20%,"1,273"
GRAF,Micro-Cap,"Jan 6, 2025",10.08,10.09,10.07,10.07,10.07,-0.14%,"4,155"
GRAF,Micro-Cap,"Jan 3, 2025",10.08,10.09,10.08,10.08,10.08,0.04%,"4,660"
GRAF,Micro-Cap,"Jan 2, 2025",10.08,10.09,10.07,10.08,10.08,-0.10%,"116,421"
GRAF,Micro-Cap,"Dec 31, 2024",10.08,10.09,10.08,10.09,10.09,0.20%,"28,255"
GRAF,Micro-Cap,"Dec 30, 2024",10.07,10.07,10.07,10.07,10.07,-,-
GRAF,Micro-Cap,"Dec 27, 2024",10.08,10.08,10.07,10.07,10.07,-,614
GRAF,Micro-Cap,"Dec 26, 2024",10.07,10.07,10.07,10.07,10.07,-,-
GRAF,Micro-Cap,"Dec 24, 2024",10.07,10.07,10.07,10.07,10.07,-,5
GRAF,Micro-Cap,"Dec 23, 2024",10.09,10.09,10.07,10.07,10.07,-,"71,445"
GRAF,Micro-Cap,"Dec 20, 2024",10.07,10.09,10.07,10.07,10.07,-0.10%,"48,228"
GRAF,Micro-Cap,"Dec 19, 2024",10.08,10.10,10.07,10.08,10.08,-,"21,120"
GRAF,Micro-Cap,"Dec 18, 2024",10.10,10.10,10.08,10.08,10.08,0.10%,"1,049"
GRAF,Micro-Cap,"Dec 17, 2024",10.07,10.12,10.07,10.07,10.07,-0.20%,"18,393"
GRAF,Micro-Cap,"Dec 16, 2024",10.18,10.18,10.08,10.09,10.09,0.07%,"1,852"
GRAF,Micro-Cap,"Dec 13, 2024",10.08,10.09,10.07,10.08,10.08,0.03%,"5,708"
GRAF,Micro-Cap,"Dec 12, 2024",10.09,10.13,10.08,10.08,10.08,-0.30%,"19,026"
GRAF,Micro-Cap,"Dec 11, 2024",10.07,10.11,10.07,10.11,10.11,0.40%,"17,070"
GRAF,Micro-Cap,"Dec 10, 2024",10.07,10.07,10.07,10.07,10.07,-0.20%,"64,995"
GRAF,Micro-Cap,"Dec 9, 2024",10.07,10.09,10.07,10.09,10.09,0.20%,"279,594"
GRAF,Micro-Cap,"Dec 6, 2024",10.07,10.08,10.06,10.07,10.07,-,"25,619"
GRAF,Micro-Cap,"Dec 5, 2024",10.05,10.07,10.05,10.07,10.07,0.10%,"126,180"
GRAF,Micro-Cap,"Dec 4, 2024",10.06,10.06,10.06,10.06,10.06,-0.10%,"25,074"
GRAF,Micro-Cap,"Dec 3, 2024",10.05,10.07,10.05,10.07,10.07,0.29%,"5,655"
GRAF,Micro-Cap,"Dec 2, 2024",10.04,10.05,10.04,10.04,10.04,0.11%,"13,887"
GRAF,Micro-Cap,"Nov 29, 2024",10.04,10.04,10.03,10.03,10.03,-0.20%,"1,164"
GRAF,Micro-Cap,"Nov 27, 2024",10.04,10.07,10.04,10.05,10.05,0.11%,"6,035"
GRAF,Micro-Cap,"Nov 26, 2024",10.04,10.04,10.04,10.04,10.04,0.09%,333
GRAF,Micro-Cap,"Nov 25, 2024",10.02,10.04,10.02,10.03,10.03,0.20%,"116,450"
GRAF,Micro-Cap,"Nov 22, 2024",10.02,10.02,10.01,10.01,10.01,-0.10%,"25,602"
GRAF,Micro-Cap,"Nov 21, 2024",10.01,10.03,10.01,10.02,10.02,-,"74,438"
GRAF,Micro-Cap,"Nov 20, 2024",10.02,10.02,10.02,10.02,10.02,-,"32,270"
GRAF,Micro-Cap,"Nov 19, 2024",10.02,10.02,10.02,10.02,10.02,-,"50,259"
GRAF,Micro-Cap,"Nov 18, 2024",10.02,10.02,10.02,10.02,10.02,0.05%,200
GRAF,Micro-Cap,"Nov 15, 2024",10.02,10.02,10.02,10.02,10.02,-0.05%,"5,129"
GRAF,Micro-Cap,"Nov 14, 2024",10.02,10.02,10.02,10.02,10.02,-,"92,815"
GRAF,Micro-Cap,"Nov 13, 2024",10.02,10.02,10.02,10.02,10.02,-,710
GRAF,Micro-Cap,"Nov 12, 2024",10.02,10.02,10.01,10.02,10.02,-,"184,728"
GRAF,Micro-Cap,"Nov 11, 2024",10.02,10.02,10.02,10.02,10.02,0.10%,"20,587"
GRAF,Micro-Cap,"Nov 8, 2024",10.02,10.02,10.01,10.01,10.01,-,"34,996"
GRAF,Micro-Cap,"Nov 7, 2024",10.02,10.03,10.01,10.01,10.01,-0.10%,"7,667"
GRAF,Micro-Cap,"Nov 6, 2024",10.03,10.03,10.02,10.02,10.02,-0.10%,"12,924"
GRAF,Micro-Cap,"Nov 5, 2024",10.03,10.03,10.03,10.03,10.03,0.10%,"1,321"
GRAF,Micro-Cap,"Nov 4, 2024",10.02,10.03,10.01,10.02,10.02,0.07%,"6,739"
GRAF,Micro-Cap,"Nov 1, 2024",10.01,10.01,10.01,10.01,10.01,-0.07%,"1,296"
GRAF,Micro-Cap,"Oct 31, 2024",10.01,10.02,10.01,10.02,10.02,0.08%,"1,746"
GRAF,Micro-Cap,"Oct 30, 2024",10.03,10.03,10.01,10.01,10.01,-0.48%,"24,223"
GRAF,Micro-Cap,"Oct 29, 2024",10.01,10.06,10.01,10.06,10.06,0.50%,"4,062"
GRAF,Micro-Cap,"Oct 28, 2024",10.01,10.01,10.01,10.01,10.01,-0.29%,"1,460"
GRAF,Micro-Cap,"Oct 25, 2024",10.04,10.04,10.04,10.04,10.04,0.39%,100
GRAF,Micro-Cap,"Oct 24, 2024",10.52,10.74,9.99,10.00,10.00,-0.50%,"14,464"
GRAF,Micro-Cap,"Oct 23, 2024",10.37,10.62,9.99,10.05,10.05,0.10%,"20,041"
GRAF,Micro-Cap,"Oct 22, 2024",10.13,10.35,9.98,10.04,10.04,0.02%,"4,303"
GRAF,Micro-Cap,"Oct 21, 2024",10.52,10.64,9.99,10.04,10.04,-0.03%,"13,680"
GRAF,Micro-Cap,"Oct 18, 2024",10.35,11.02,9.98,10.04,10.04,0.21%,"16,008"
GRAF,Micro-Cap,"Oct 17, 2024",10.00,10.55,10.00,10.02,10.02,-0.20%,"8,638"
GRAF,Micro-Cap,"Oct 16, 2024",10.01,10.04,10.00,10.04,10.04,0.50%,"8,693"
GRAF,Micro-Cap,"Oct 15, 2024",9.99,10.04,9.98,9.99,9.99,-0.01%,"726,125"
GRAF,Micro-Cap,"Oct 14, 2024",9.99,9.99,9.99,9.99,9.99,-,-
GRAF,Micro-Cap,"Oct 11, 2024",9.99,9.99,9.99,9.99,9.99,-,-
GRAF,Micro-Cap,"Oct 10, 2024",9.99,10.00,9.99,9.99,9.99,-0.19%,"3,243"
GRAF,Micro-Cap,"Oct 9, 2024",10.01,10.01,10.01,10.01,10.01,0.20%,150
GRAF,Micro-Cap,"Oct 8, 2024",9.99,9.99,9.99,9.99,9.99,-0.30%,230
GRAF,Micro-Cap,"Oct 7, 2024",10.02,10.02,10.02,10.02,10.02,-,121
GRAF,Micro-Cap,"Oct 4, 2024",10.02,10.02,10.02,10.02,10.02,0.20%,406
GRAF,Micro-Cap,"Oct 3, 2024",10.00,10.00,10.00,10.00,10.00,0.10%,750
GRAF,Micro-Cap,"Oct 2, 2024",9.99,9.99,9.99,9.99,9.99,-,63
GRAF,Micro-Cap,"Oct 1, 2024",10.00,10.01,9.99,9.99,9.99,-0.20%,"222,275"
GRAF,Micro-Cap,"Sep 30, 2024",10.01,10.01,10.01,10.01,10.01,-,"1,096"
GRAF,Micro-Cap,"Sep 27, 2024",10.01,10.01,10.01,10.01,10.01,-,174
GRAF,Micro-Cap,"Sep 26, 2024",10.01,10.01,10.01,10.01,10.01,-,1
GRAF,Micro-Cap,"Sep 25, 2024",10.00,10.01,9.99,10.01,10.01,0.10%,"54,722"
GRAF,Micro-Cap,"Sep 24, 2024",9.99,10.00,9.99,10.00,10.00,-0.10%,"6,142"
GRAF,Micro-Cap,"Sep 23, 2024",9.98,10.01,9.98,10.01,10.01,0.20%,"5,872"
