symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
GSRT,Micro-Cap,"Feb 14, 2025",10.19,10.19,10.19,10.19,10.19,-,-
GSRT,Micro-Cap,"Feb 13, 2025",10.19,10.19,10.19,10.19,10.19,-,-
GSRT,Micro-Cap,"Feb 12, 2025",10.19,10.19,10.19,10.19,10.19,0.39%,211
GSRT,Micro-Cap,"Feb 11, 2025",10.15,10.15,10.15,10.15,10.15,-,-
GSRT,Micro-Cap,"Feb 10, 2025",10.15,10.15,10.15,10.15,10.15,-,"1,278"
GSRT,Micro-Cap,"Feb 7, 2025",10.15,10.15,10.13,10.15,10.15,-,"3,716"
GSRT,Micro-Cap,"Feb 6, 2025",10.15,10.15,10.15,10.15,10.15,-,95
GSRT,Micro-Cap,"Feb 5, 2025",10.15,10.15,10.15,10.15,10.15,-,-
GSRT,Micro-Cap,"Feb 4, 2025",10.15,10.15,10.15,10.15,10.15,0.06%,124
GSRT,Micro-Cap,"Feb 3, 2025",10.15,10.15,10.12,10.14,10.14,0.07%,"8,524"
GSRT,Micro-Cap,"Jan 31, 2025",10.15,10.15,10.11,10.14,10.14,-0.13%,"2,415"
GSRT,Micro-Cap,"Jan 30, 2025",10.15,10.15,10.15,10.15,10.15,-,-
GSRT,Micro-Cap,"Jan 29, 2025",10.15,10.15,10.15,10.15,10.15,-,1
GSRT,Micro-Cap,"Jan 28, 2025",10.15,10.15,10.15,10.15,10.15,0.25%,125
GSRT,Micro-Cap,"Jan 27, 2025",10.10,10.13,10.10,10.13,10.13,-0.25%,837
GSRT,Micro-Cap,"Jan 24, 2025",10.15,10.15,10.15,10.15,10.15,0.50%,129
GSRT,Micro-Cap,"Jan 23, 2025",10.10,10.15,10.10,10.10,10.10,-0.30%,580
GSRT,Micro-Cap,"Jan 22, 2025",10.13,10.13,10.13,10.13,10.13,-,31
GSRT,Micro-Cap,"Jan 21, 2025",10.13,10.13,10.13,10.13,10.13,0.05%,131
GSRT,Micro-Cap,"Jan 17, 2025",10.13,10.13,10.13,10.13,10.13,-,42
GSRT,Micro-Cap,"Jan 16, 2025",10.13,10.13,10.13,10.13,10.13,0.05%,195
GSRT,Micro-Cap,"Jan 15, 2025",10.12,10.12,10.12,10.12,10.12,-,131
GSRT,Micro-Cap,"Jan 14, 2025",10.11,10.12,10.11,10.12,10.12,0.30%,"2,664"
GSRT,Micro-Cap,"Jan 13, 2025",10.13,10.13,10.09,10.09,10.09,0.20%,812
GSRT,Micro-Cap,"Jan 10, 2025",10.07,10.07,10.07,10.07,10.07,-,-
GSRT,Micro-Cap,"Jan 8, 2025",10.07,10.07,10.07,10.07,10.07,-,4
GSRT,Micro-Cap,"Jan 7, 2025",10.06,10.20,10.06,10.07,10.07,0.10%,"11,110"
GSRT,Micro-Cap,"Jan 6, 2025",10.06,10.06,10.06,10.06,10.06,0.20%,121
GSRT,Micro-Cap,"Jan 3, 2025",10.05,10.05,10.04,10.04,10.04,-0.10%,"107,926"
GSRT,Micro-Cap,"Jan 2, 2025",10.05,10.05,10.05,10.05,10.05,-,93
GSRT,Micro-Cap,"Dec 31, 2024",10.05,10.05,10.05,10.05,10.05,0.20%,"140,005"
GSRT,Micro-Cap,"Dec 30, 2024",10.03,10.03,10.03,10.03,10.03,-,525
GSRT,Micro-Cap,"Dec 27, 2024",10.03,10.03,10.03,10.03,10.03,-,-
GSRT,Micro-Cap,"Dec 26, 2024",10.03,10.03,10.03,10.03,10.03,-,3
GSRT,Micro-Cap,"Dec 24, 2024",10.03,10.03,10.03,10.03,10.03,-,-
GSRT,Micro-Cap,"Dec 23, 2024",10.02,10.03,10.02,10.03,10.03,-0.10%,"100,210"
GSRT,Micro-Cap,"Dec 20, 2024",10.02,10.04,10.02,10.04,10.04,-,601
GSRT,Micro-Cap,"Dec 19, 2024",10.03,10.04,10.02,10.04,10.04,0.30%,"132,656"
GSRT,Micro-Cap,"Dec 18, 2024",10.02,10.02,10.01,10.01,10.01,-0.10%,"1,169"
GSRT,Micro-Cap,"Dec 17, 2024",10.01,10.02,10.01,10.02,10.02,0.20%,"60,302"
GSRT,Micro-Cap,"Dec 16, 2024",10.00,10.01,10.00,10.00,10.00,-,"484,758"
GSRT,Micro-Cap,"Dec 13, 2024",9.99,10.00,9.99,10.00,10.00,-,"5,501"
GSRT,Micro-Cap,"Dec 12, 2024",9.99,10.00,9.99,10.00,10.00,0.10%,"81,593"
GSRT,Micro-Cap,"Dec 11, 2024",9.99,9.99,9.99,9.99,9.99,-,"25,301"
GSRT,Micro-Cap,"Dec 10, 2024",9.99,9.99,9.99,9.99,9.99,-,500
GSRT,Micro-Cap,"Dec 9, 2024",9.99,9.99,9.99,9.99,9.99,0.05%,"10,228"
GSRT,Micro-Cap,"Dec 6, 2024",9.99,9.99,9.99,9.99,9.99,-0.05%,"9,099"
GSRT,Micro-Cap,"Dec 5, 2024",9.98,9.99,9.98,9.99,9.99,0.10%,"20,611"
GSRT,Micro-Cap,"Dec 4, 2024",9.98,9.98,9.98,9.98,9.98,-,37
GSRT,Micro-Cap,"Dec 3, 2024",9.99,9.99,9.98,9.98,9.98,-0.10%,"13,248"
GSRT,Micro-Cap,"Dec 2, 2024",9.99,9.99,9.98,9.99,9.99,0.10%,"16,072"
GSRT,Micro-Cap,"Nov 29, 2024",9.98,9.99,9.98,9.98,9.98,0.10%,"12,429"
GSRT,Micro-Cap,"Nov 27, 2024",9.99,9.99,9.97,9.97,9.97,-0.10%,"145,635"
GSRT,Micro-Cap,"Nov 26, 2024",9.99,9.99,9.98,9.98,9.98,-0.05%,"36,258"
GSRT,Micro-Cap,"Nov 25, 2024",10.00,10.00,9.98,9.99,9.99,-0.05%,"155,242"
GSRT,Micro-Cap,"Nov 22, 2024",9.99,9.99,9.99,9.99,9.99,-,"51,057"
GSRT,Micro-Cap,"Nov 21, 2024",9.99,9.99,9.99,9.99,9.99,-,"3,387"
GSRT,Micro-Cap,"Nov 20, 2024",10.00,10.00,9.98,9.99,9.99,-,"123,821"
GSRT,Micro-Cap,"Nov 19, 2024",9.99,9.99,9.99,9.99,9.99,-,"69,982"
GSRT,Micro-Cap,"Nov 18, 2024",9.99,10.00,9.98,9.99,9.99,-0.10%,"296,051"
GSRT,Micro-Cap,"Nov 15, 2024",9.99,10.00,9.99,10.00,10.00,-,"10,405"
GSRT,Micro-Cap,"Nov 14, 2024",9.99,10.00,9.99,10.00,10.00,-,220
GSRT,Micro-Cap,"Nov 13, 2024",9.99,10.00,9.99,10.00,10.00,-,"3,131"
GSRT,Micro-Cap,"Nov 12, 2024",9.99,10.00,9.99,10.00,10.00,0.10%,"100,718"
GSRT,Micro-Cap,"Nov 11, 2024",10.00,10.00,9.99,9.99,9.99,0.10%,"78,274"
GSRT,Micro-Cap,"Nov 8, 2024",10.00,10.00,9.98,9.98,9.98,-0.10%,"145,085"
