symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
INBK,Micro-Cap,"Feb 14, 2025",33.28,33.50,32.68,32.85,32.85,-1.11%,"12,874"
INBK,Micro-Cap,"Feb 13, 2025",32.48,33.72,32.39,33.22,33.22,3.46%,"64,882"
INBK,Micro-Cap,"Feb 12, 2025",32.48,33.01,31.73,32.11,32.11,-2.87%,"73,205"
INBK,Micro-Cap,"Feb 11, 2025",32.50,33.47,32.50,33.06,33.06,0.95%,"24,508"
INBK,Micro-Cap,"Feb 10, 2025",33.26,33.26,32.50,32.75,32.75,-1.09%,"15,739"
INBK,Micro-Cap,"Feb 7, 2025",33.86,33.86,32.83,33.11,33.11,-2.73%,"17,358"
INBK,Micro-Cap,"Feb 6, 2025",33.29,34.21,33.29,34.04,34.04,1.76%,"20,070"
INBK,Micro-Cap,"Feb 5, 2025",32.90,33.45,32.50,33.45,33.45,0.75%,"24,445"
INBK,Micro-Cap,"Feb 4, 2025",32.21,34.15,32.21,33.20,33.20,2.31%,"22,926"
INBK,Micro-Cap,"Feb 3, 2025",31.90,32.88,31.70,32.45,32.45,-0.37%,"35,698"
INBK,Micro-Cap,"Jan 31, 2025",32.73,33.38,32.21,32.57,32.57,-0.88%,"24,151"
INBK,Micro-Cap,"Jan 30, 2025",33.64,34.21,32.26,32.86,32.86,-1.68%,"25,859"
INBK,Micro-Cap,"Jan 29, 2025",33.29,33.81,32.90,33.42,33.42,-0.33%,"26,165"
INBK,Micro-Cap,"Jan 28, 2025",33.51,34.30,33.14,33.53,33.53,-0.71%,"28,875"
INBK,Micro-Cap,"Jan 27, 2025",33.34,34.01,33.05,33.77,33.77,0.57%,"57,320"
INBK,Micro-Cap,"Jan 24, 2025",33.00,33.66,31.55,33.58,33.58,0.87%,"51,501"
INBK,Micro-Cap,"Jan 23, 2025",34.72,34.72,30.08,33.29,33.29,-5.61%,"128,122"
INBK,Micro-Cap,"Jan 22, 2025",35.63,35.69,34.81,35.27,35.27,-1.75%,"22,220"
INBK,Micro-Cap,"Jan 21, 2025",35.91,36.72,35.67,35.90,35.90,1.18%,"32,528"
INBK,Micro-Cap,"Jan 17, 2025",35.52,35.67,34.55,35.48,35.48,1.11%,"32,854"
INBK,Micro-Cap,"Jan 16, 2025",34.94,35.20,34.00,35.09,35.09,0.43%,"40,063"
INBK,Micro-Cap,"Jan 15, 2025",35.18,35.54,34.18,34.94,34.94,3.71%,"26,292"
INBK,Micro-Cap,"Jan 14, 2025",33.23,34.01,33.10,33.69,33.69,2.71%,"27,830"
INBK,Micro-Cap,"Jan 13, 2025",31.96,32.82,31.96,32.80,32.80,1.80%,"25,271"
INBK,Micro-Cap,"Jan 10, 2025",33.28,33.61,31.77,32.22,32.22,-4.16%,"31,138"
INBK,Micro-Cap,"Jan 8, 2025",33.63,34.16,32.50,33.62,33.62,-0.44%,"47,475"
INBK,Micro-Cap,"Jan 7, 2025",34.73,34.73,33.20,33.77,33.77,-2.74%,"58,211"
INBK,Micro-Cap,"Jan 6, 2025",35.29,35.61,34.53,34.72,34.72,-1.50%,"30,258"
INBK,Micro-Cap,"Jan 3, 2025",35.20,36.04,34.70,35.25,35.25,-0.14%,"30,590"
INBK,Micro-Cap,"Jan 2, 2025",36.45,36.71,35.10,35.30,35.30,-1.92%,"36,798"
INBK,Micro-Cap,"Dec 31, 2024",36.14,36.68,35.69,35.99,35.99,-0.33%,"28,821"
INBK,Micro-Cap,"Dec 30, 2024",36.64,36.64,35.72,36.11,36.05,-1.26%,"40,094"
INBK,Micro-Cap,"Dec 27, 2024",37.11,37.19,36.13,36.57,36.51,-2.27%,"15,294"
INBK,Micro-Cap,"Dec 26, 2024",36.90,37.50,35.63,37.42,37.36,0.11%,"21,525"
INBK,Micro-Cap,"Dec 24, 2024",37.09,37.38,36.39,37.38,37.32,1.30%,"10,878"
INBK,Micro-Cap,"Dec 23, 2024",37.34,37.80,36.46,36.90,36.84,-1.81%,"20,947"
INBK,Micro-Cap,"Dec 20, 2024",36.34,38.00,36.34,37.58,37.52,2.18%,"51,063"
INBK,Micro-Cap,"Dec 19, 2024",37.98,38.82,36.75,36.78,36.72,-1.61%,"27,362"
INBK,Micro-Cap,"Dec 18, 2024",40.70,41.10,37.01,37.38,37.32,-6.64%,"43,520"
INBK,Micro-Cap,"Dec 17, 2024",40.55,40.95,39.82,40.04,39.97,-2.22%,"26,582"
INBK,Micro-Cap,"Dec 16, 2024",41.37,41.37,40.30,40.95,40.88,-0.41%,"44,749"
INBK,Micro-Cap,"Dec 13, 2024",40.88,41.70,40.32,41.12,41.05,0.61%,"29,131"
INBK,Micro-Cap,"Dec 12, 2024",42.41,42.44,40.84,40.87,40.80,-3.27%,"21,066"
INBK,Micro-Cap,"Dec 11, 2024",41.89,42.75,41.15,42.25,42.18,2.42%,"30,806"
INBK,Micro-Cap,"Dec 10, 2024",40.60,42.29,40.14,41.25,41.18,0.76%,"22,300"
INBK,Micro-Cap,"Dec 9, 2024",41.80,41.87,40.51,40.94,40.87,-1.61%,"31,468"
INBK,Micro-Cap,"Dec 6, 2024",41.78,42.01,40.83,41.61,41.54,0.90%,"12,026"
INBK,Micro-Cap,"Dec 5, 2024",41.84,42.06,41.07,41.24,41.17,-1.22%,"15,418"
INBK,Micro-Cap,"Dec 4, 2024",41.24,41.89,40.74,41.75,41.68,1.75%,"19,984"
INBK,Micro-Cap,"Dec 3, 2024",41.67,41.67,40.70,41.03,40.96,-1.65%,"31,626"
INBK,Micro-Cap,"Dec 2, 2024",41.86,42.30,41.18,41.72,41.65,-0.50%,"24,705"
INBK,Micro-Cap,"Nov 29, 2024",42.30,42.57,41.27,41.93,41.86,0.05%,"14,851"
INBK,Micro-Cap,"Nov 27, 2024",41.90,42.75,41.56,41.91,41.84,0.79%,"19,310"
INBK,Micro-Cap,"Nov 26, 2024",41.79,41.97,41.11,41.58,41.51,-1.42%,"16,889"
INBK,Micro-Cap,"Nov 25, 2024",42.49,43.27,42.09,42.18,42.11,0.62%,"30,378"
INBK,Micro-Cap,"Nov 22, 2024",40.85,41.92,40.85,41.92,41.85,2.87%,"25,509"
INBK,Micro-Cap,"Nov 21, 2024",39.96,40.85,39.73,40.75,40.68,3.16%,"26,522"
INBK,Micro-Cap,"Nov 20, 2024",39.63,40.25,39.13,39.50,39.43,-2.30%,"27,022"
INBK,Micro-Cap,"Nov 19, 2024",39.32,40.43,39.32,40.43,40.36,0.45%,"13,940"
INBK,Micro-Cap,"Nov 18, 2024",40.52,40.52,39.54,40.25,40.18,0.02%,"38,176"
INBK,Micro-Cap,"Nov 15, 2024",40.81,40.81,39.27,40.24,40.17,-0.76%,"35,686"
INBK,Micro-Cap,"Nov 14, 2024",40.69,40.69,39.56,40.55,40.48,-0.90%,"29,407"
INBK,Micro-Cap,"Nov 13, 2024",41.99,42.89,40.57,40.92,40.85,-0.99%,"23,566"
INBK,Micro-Cap,"Nov 12, 2024",42.19,42.52,41.10,41.33,41.26,-2.62%,"35,211"
INBK,Micro-Cap,"Nov 11, 2024",40.52,42.53,40.52,42.44,42.37,7.31%,"35,630"
INBK,Micro-Cap,"Nov 8, 2024",38.67,39.68,38.53,39.55,39.48,3.02%,"44,278"
INBK,Micro-Cap,"Nov 7, 2024",40.37,40.37,38.26,38.39,38.33,-5.05%,"35,203"
INBK,Micro-Cap,"Nov 6, 2024",37.65,40.73,37.62,40.43,40.36,16.28%,"104,003"
INBK,Micro-Cap,"Nov 5, 2024",33.60,34.77,33.59,34.77,34.71,4.26%,"23,553"
INBK,Micro-Cap,"Nov 4, 2024",34.60,34.60,32.99,33.35,33.29,-3.84%,"29,691"
INBK,Micro-Cap,"Nov 1, 2024",35.49,35.49,34.62,34.68,34.62,-0.83%,"16,309"
INBK,Micro-Cap,"Oct 31, 2024",35.63,35.63,34.92,34.97,34.91,-1.58%,"33,040"
INBK,Micro-Cap,"Oct 30, 2024",34.77,36.00,34.77,35.53,35.47,1.49%,"30,579"
INBK,Micro-Cap,"Oct 29, 2024",35.70,35.70,34.75,35.01,34.95,-2.67%,"24,507"
INBK,Micro-Cap,"Oct 28, 2024",35.75,36.18,35.47,35.97,35.91,2.36%,"23,307"
INBK,Micro-Cap,"Oct 25, 2024",35.48,35.69,34.87,35.14,35.08,0.57%,"34,455"
INBK,Micro-Cap,"Oct 24, 2024",35.51,36.19,33.48,34.94,34.88,-4.33%,"53,380"
INBK,Micro-Cap,"Oct 23, 2024",36.75,37.13,36.06,36.52,36.46,-0.60%,"16,722"
INBK,Micro-Cap,"Oct 22, 2024",35.94,37.04,35.94,36.74,36.68,1.69%,"30,297"
INBK,Micro-Cap,"Oct 21, 2024",37.60,37.60,36.06,36.13,36.07,-3.08%,"24,078"
INBK,Micro-Cap,"Oct 18, 2024",38.29,38.29,36.88,37.28,37.22,-2.43%,"30,493"
INBK,Micro-Cap,"Oct 17, 2024",37.60,38.22,37.22,38.21,38.15,2.14%,"22,425"
INBK,Micro-Cap,"Oct 16, 2024",36.80,37.84,36.74,37.41,37.35,2.72%,"29,887"
INBK,Micro-Cap,"Oct 15, 2024",35.88,37.17,35.53,36.42,36.36,2.53%,"31,183"
INBK,Micro-Cap,"Oct 14, 2024",34.98,35.76,34.97,35.52,35.46,1.49%,"15,319"
INBK,Micro-Cap,"Oct 11, 2024",34.03,35.22,34.03,35.00,34.94,3.70%,"25,604"
INBK,Micro-Cap,"Oct 10, 2024",33.84,33.85,33.44,33.75,33.69,-1.43%,"18,991"
INBK,Micro-Cap,"Oct 9, 2024",33.30,34.47,33.30,34.24,34.18,3.92%,"36,465"
INBK,Micro-Cap,"Oct 8, 2024",33.32,33.50,32.94,32.95,32.90,-1.11%,"49,367"
INBK,Micro-Cap,"Oct 7, 2024",33.67,33.67,32.97,33.32,33.27,-1.51%,"24,164"
INBK,Micro-Cap,"Oct 4, 2024",31.13,34.24,31.13,33.83,33.77,10.92%,"43,968"
INBK,Micro-Cap,"Oct 3, 2024",30.75,31.15,30.00,30.50,30.45,-2.77%,"146,609"
INBK,Micro-Cap,"Oct 2, 2024",33.34,33.34,31.28,31.37,31.32,-5.54%,"31,402"
INBK,Micro-Cap,"Oct 1, 2024",34.00,34.00,32.89,33.21,33.16,-3.06%,"29,094"
INBK,Micro-Cap,"Sep 30, 2024",32.67,34.48,32.48,34.26,34.20,3.69%,"163,912"
INBK,Micro-Cap,"Sep 27, 2024",33.84,34.59,33.03,33.04,32.93,-1.09%,"35,237"
INBK,Micro-Cap,"Sep 26, 2024",33.93,33.93,32.57,33.41,33.29,-0.04%,"40,228"
INBK,Micro-Cap,"Sep 25, 2024",35.33,35.33,33.19,33.42,33.31,-5.57%,"37,288"
INBK,Micro-Cap,"Sep 24, 2024",35.08,35.80,34.91,35.39,35.27,1.70%,"36,455"
INBK,Micro-Cap,"Sep 23, 2024",35.46,35.46,34.54,34.80,34.68,-1.64%,"14,815"
