symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
INSE,Micro-Cap,"Feb 14, 2025",10.99,11.23,10.88,10.95,10.95,0.18%,"119,703"
INSE,Micro-Cap,"Feb 13, 2025",10.45,10.93,10.34,10.93,10.93,5.50%,"202,592"
INSE,Micro-Cap,"Feb 12, 2025",10.23,10.45,10.20,10.36,10.36,0.10%,"355,125"
INSE,Micro-Cap,"Feb 11, 2025",10.19,10.54,10.15,10.35,10.35,0.29%,"91,486"
INSE,Micro-Cap,"Feb 10, 2025",10.32,10.40,10.25,10.32,10.32,0.19%,"172,590"
INSE,Micro-Cap,"Feb 7, 2025",10.35,10.42,10.20,10.30,10.30,-0.96%,"94,650"
INSE,Micro-Cap,"Feb 6, 2025",10.19,10.41,10.13,10.40,10.40,1.76%,"75,538"
INSE,Micro-Cap,"Feb 5, 2025",10.49,10.50,10.19,10.22,10.22,-2.94%,"64,266"
INSE,Micro-Cap,"Feb 4, 2025",9.96,10.67,9.94,10.53,10.53,4.05%,"339,469"
INSE,Micro-Cap,"Feb 3, 2025",9.89,10.13,9.85,10.12,10.12,0.50%,"232,260"
INSE,Micro-Cap,"Jan 31, 2025",10.01,10.12,9.90,10.07,10.07,0.50%,"233,067"
INSE,Micro-Cap,"Jan 30, 2025",9.71,10.10,9.70,10.02,10.02,3.62%,"259,920"
INSE,Micro-Cap,"Jan 29, 2025",9.39,9.72,9.39,9.67,9.67,1.68%,"215,424"
INSE,Micro-Cap,"Jan 28, 2025",9.59,9.59,9.41,9.51,9.51,0.63%,"73,872"
INSE,Micro-Cap,"Jan 27, 2025",9.44,9.52,9.30,9.45,9.45,-,"62,049"
INSE,Micro-Cap,"Jan 24, 2025",9.43,9.50,9.36,9.45,9.45,-0.21%,"59,470"
INSE,Micro-Cap,"Jan 23, 2025",9.41,9.50,9.30,9.47,9.47,-0.32%,"67,408"
INSE,Micro-Cap,"Jan 22, 2025",9.49,9.53,9.41,9.50,9.50,-,"82,224"
INSE,Micro-Cap,"Jan 21, 2025",9.53,9.61,9.43,9.50,9.50,0.32%,"76,932"
INSE,Micro-Cap,"Jan 17, 2025",9.40,9.52,9.26,9.47,9.47,1.50%,"91,170"
INSE,Micro-Cap,"Jan 16, 2025",9.40,9.48,9.29,9.33,9.33,-0.64%,"127,116"
INSE,Micro-Cap,"Jan 15, 2025",9.36,9.50,9.14,9.39,9.39,2.40%,"84,713"
INSE,Micro-Cap,"Jan 14, 2025",8.92,9.19,8.87,9.17,9.17,3.62%,"66,885"
INSE,Micro-Cap,"Jan 13, 2025",8.72,8.87,8.61,8.85,8.85,0.11%,"100,476"
INSE,Micro-Cap,"Jan 10, 2025",8.64,9.13,8.64,8.84,8.84,0.68%,"135,943"
INSE,Micro-Cap,"Jan 8, 2025",8.72,8.81,8.57,8.78,8.78,0.69%,"315,207"
INSE,Micro-Cap,"Jan 7, 2025",8.70,8.76,8.56,8.72,8.72,-0.46%,"63,086"
INSE,Micro-Cap,"Jan 6, 2025",8.47,8.89,8.47,8.76,8.76,-1.24%,"70,741"
INSE,Micro-Cap,"Jan 3, 2025",8.80,8.89,8.66,8.87,8.87,0.45%,"84,739"
INSE,Micro-Cap,"Jan 2, 2025",9.15,9.15,8.76,8.83,8.83,-2.43%,"75,057"
INSE,Micro-Cap,"Dec 31, 2024",8.85,9.08,8.77,9.05,9.05,2.26%,"91,325"
