symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
LESL,Micro-Cap,"Feb 14, 2025",1.58,1.66,1.56,1.56,1.56,-1.89%,"6,513,395"
LESL,Micro-Cap,"Feb 13, 2025",1.74,1.75,1.59,1.59,1.59,-5.36%,"6,276,905"
LESL,Micro-Cap,"Feb 12, 2025",1.72,1.72,1.63,1.68,1.68,-4.00%,"7,812,707"
LESL,Micro-Cap,"Feb 11, 2025",1.61,1.76,1.58,1.75,1.75,9.03%,"9,053,509"
LESL,Micro-Cap,"Feb 10, 2025",1.65,1.66,1.56,1.61,1.61,-2.13%,"7,936,907"
LESL,Micro-Cap,"Feb 7, 2025",1.91,2.03,1.63,1.64,1.64,-26.79%,"20,696,806"
LESL,Micro-Cap,"Feb 6, 2025",2.23,2.32,2.21,2.24,2.24,0.90%,"6,371,610"
LESL,Micro-Cap,"Feb 5, 2025",2.14,2.23,2.12,2.22,2.22,2.30%,"5,706,043"
LESL,Micro-Cap,"Feb 4, 2025",2.07,2.20,2.05,2.17,2.17,6.37%,"6,169,966"
LESL,Micro-Cap,"Feb 3, 2025",1.98,2.10,1.93,2.04,2.04,0.99%,"5,511,194"
LESL,Micro-Cap,"Jan 31, 2025",2.06,2.12,2.01,2.02,2.02,-1.46%,"4,203,628"
LESL,Micro-Cap,"Jan 30, 2025",1.97,2.12,1.97,2.05,2.05,4.06%,"6,815,057"
LESL,Micro-Cap,"Jan 29, 2025",2.03,2.07,1.91,1.97,1.97,-3.43%,"6,734,481"
LESL,Micro-Cap,"Jan 28, 2025",2.11,2.16,2.04,2.04,2.04,-4.67%,"4,550,430"
LESL,Micro-Cap,"Jan 27, 2025",2.12,2.19,2.12,2.14,2.14,0.47%,"5,277,337"
LESL,Micro-Cap,"Jan 24, 2025",2.15,2.18,2.11,2.13,2.13,-0.93%,"5,000,170"
LESL,Micro-Cap,"Jan 23, 2025",2.13,2.20,2.12,2.15,2.15,0.47%,"4,739,709"
LESL,Micro-Cap,"Jan 22, 2025",2.17,2.21,2.12,2.14,2.14,-2.28%,"5,986,467"
LESL,Micro-Cap,"Jan 21, 2025",2.14,2.24,2.14,2.19,2.19,1.39%,"7,449,018"
LESL,Micro-Cap,"Jan 17, 2025",2.24,2.43,2.15,2.16,2.16,-3.14%,"4,453,933"
LESL,Micro-Cap,"Jan 16, 2025",2.23,2.24,2.14,2.23,2.23,0.45%,"5,543,351"
LESL,Micro-Cap,"Jan 15, 2025",2.28,2.36,2.21,2.22,2.22,0.91%,"6,084,173"
LESL,Micro-Cap,"Jan 14, 2025",2.22,2.26,2.17,2.20,2.20,0.92%,"3,726,557"
LESL,Micro-Cap,"Jan 13, 2025",2.24,2.24,2.14,2.18,2.18,-3.11%,"4,266,950"
