symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
OSUR,Micro-Cap,"Feb 14, 2025",3.92,3.95,3.86,3.93,3.93,1.03%,"356,731"
OSUR,Micro-Cap,"Feb 13, 2025",3.78,3.90,3.76,3.89,3.89,4.01%,"478,982"
OSUR,Micro-Cap,"Feb 12, 2025",3.79,3.82,3.73,3.74,3.74,-2.09%,"592,232"
OSUR,Micro-Cap,"Feb 11, 2025",3.82,3.86,3.79,3.82,3.82,-1.04%,"681,553"
OSUR,Micro-Cap,"Feb 10, 2025",3.83,3.89,3.75,3.86,3.86,1.05%,"643,491"
OSUR,Micro-Cap,"Feb 7, 2025",3.94,3.94,3.77,3.82,3.82,-2.30%,"950,263"
OSUR,Micro-Cap,"Feb 6, 2025",3.98,3.99,3.88,3.91,3.91,-2.01%,"686,736"
OSUR,Micro-Cap,"Feb 5, 2025",4.01,4.06,3.97,3.99,3.99,-0.50%,"252,924"
OSUR,Micro-Cap,"Feb 4, 2025",3.89,4.03,3.87,4.01,4.01,2.56%,"387,534"
OSUR,Micro-Cap,"Feb 3, 2025",3.95,4.01,3.90,3.91,3.91,-2.74%,"723,682"
OSUR,Micro-Cap,"Jan 31, 2025",3.98,4.06,3.95,4.02,4.02,0.75%,"866,953"
OSUR,Micro-Cap,"Jan 30, 2025",3.93,4.09,3.92,3.99,3.99,2.31%,"3,251,870"
OSUR,Micro-Cap,"Jan 29, 2025",3.89,3.95,3.82,3.90,3.90,-0.26%,"706,895"
OSUR,Micro-Cap,"Jan 28, 2025",4.12,4.12,3.90,3.91,3.91,-4.87%,"1,390,888"
OSUR,Micro-Cap,"Jan 27, 2025",4.00,4.14,3.99,4.11,4.11,2.49%,"770,093"
OSUR,Micro-Cap,"Jan 24, 2025",4.00,4.09,3.98,4.01,4.01,0.50%,"562,349"
OSUR,Micro-Cap,"Jan 23, 2025",3.88,4.01,3.86,3.99,3.99,2.57%,"597,171"
OSUR,Micro-Cap,"Jan 22, 2025",3.95,3.98,3.83,3.89,3.89,-0.77%,"961,164"
OSUR,Micro-Cap,"Jan 21, 2025",3.64,3.93,3.64,3.92,3.92,7.40%,"843,394"
OSUR,Micro-Cap,"Jan 17, 2025",3.76,3.77,3.64,3.65,3.65,-1.88%,"525,962"
OSUR,Micro-Cap,"Jan 16, 2025",3.73,3.80,3.72,3.72,3.72,-1.06%,"724,068"
OSUR,Micro-Cap,"Jan 15, 2025",3.78,3.79,3.71,3.76,3.76,2.45%,"530,525"
OSUR,Micro-Cap,"Jan 14, 2025",3.72,3.78,3.61,3.67,3.67,-0.81%,"1,313,723"
OSUR,Micro-Cap,"Jan 13, 2025",3.60,3.73,3.58,3.70,3.70,2.21%,"552,498"
OSUR,Micro-Cap,"Jan 10, 2025",3.67,3.68,3.58,3.62,3.62,-2.43%,"980,287"
OSUR,Micro-Cap,"Jan 8, 2025",3.76,3.77,3.65,3.71,3.71,-1.85%,"790,504"
OSUR,Micro-Cap,"Jan 7, 2025",3.81,3.95,3.73,3.78,3.78,1.07%,"993,028"
OSUR,Micro-Cap,"Jan 6, 2025",3.71,3.84,3.71,3.74,3.74,1.36%,"751,867"
OSUR,Micro-Cap,"Jan 3, 2025",3.54,3.72,3.54,3.69,3.69,4.24%,"895,329"
OSUR,Micro-Cap,"Jan 2, 2025",3.62,3.65,3.52,3.54,3.54,-1.94%,"924,437"
OSUR,Micro-Cap,"Dec 31, 2024",3.60,3.73,3.60,3.61,3.61,0.84%,"528,071"
OSUR,Micro-Cap,"Dec 30, 2024",3.57,3.62,3.52,3.58,3.58,-1.10%,"1,006,800"
OSUR,Micro-Cap,"Dec 27, 2024",3.65,3.69,3.57,3.62,3.62,-0.55%,"821,854"
OSUR,Micro-Cap,"Dec 26, 2024",3.66,3.66,3.58,3.64,3.64,-1.36%,"848,251"
OSUR,Micro-Cap,"Dec 24, 2024",3.64,3.70,3.58,3.69,3.69,1.93%,"654,498"
OSUR,Micro-Cap,"Dec 23, 2024",3.65,3.68,3.58,3.62,3.62,-0.55%,"1,118,825"
OSUR,Micro-Cap,"Dec 20, 2024",3.70,3.83,3.61,3.64,3.64,-3.96%,"2,232,069"
OSUR,Micro-Cap,"Dec 19, 2024",3.84,3.88,3.78,3.79,3.79,-,"1,054,975"
OSUR,Micro-Cap,"Dec 18, 2024",3.91,3.96,3.76,3.79,3.79,-2.07%,"1,034,161"
OSUR,Micro-Cap,"Dec 17, 2024",3.97,4.00,3.83,3.87,3.87,-2.52%,"898,572"
OSUR,Micro-Cap,"Dec 16, 2024",3.92,4.14,3.90,3.97,3.97,1.53%,"639,618"
OSUR,Micro-Cap,"Dec 13, 2024",4.08,4.09,3.90,3.91,3.91,-4.17%,"686,627"
OSUR,Micro-Cap,"Dec 12, 2024",4.07,4.12,3.94,4.08,4.08,-0.73%,"744,978"
OSUR,Micro-Cap,"Dec 11, 2024",3.87,4.18,3.86,4.11,4.11,7.87%,"1,093,754"
OSUR,Micro-Cap,"Dec 10, 2024",3.94,3.95,3.78,3.81,3.81,-3.79%,"1,252,959"
OSUR,Micro-Cap,"Dec 9, 2024",3.92,4.09,3.92,3.96,3.96,1.28%,"795,736"
OSUR,Micro-Cap,"Dec 6, 2024",3.87,4.01,3.85,3.91,3.91,1.82%,"773,295"
OSUR,Micro-Cap,"Dec 5, 2024",3.88,3.94,3.80,3.84,3.84,-0.78%,"979,918"
OSUR,Micro-Cap,"Dec 4, 2024",3.83,3.89,3.75,3.87,3.87,1.04%,"1,565,380"
OSUR,Micro-Cap,"Dec 3, 2024",3.87,3.89,3.80,3.83,3.83,-1.79%,"1,163,016"
OSUR,Micro-Cap,"Dec 2, 2024",3.88,4.01,3.82,3.90,3.90,2.63%,"933,833"
OSUR,Micro-Cap,"Nov 29, 2024",3.89,3.91,3.80,3.80,3.80,-1.04%,"418,137"
OSUR,Micro-Cap,"Nov 27, 2024",3.86,3.93,3.82,3.84,3.84,0.26%,"1,342,633"
OSUR,Micro-Cap,"Nov 26, 2024",3.93,3.96,3.83,3.83,3.83,-2.54%,"797,786"
OSUR,Micro-Cap,"Nov 25, 2024",3.90,4.03,3.89,3.93,3.93,1.29%,"793,498"
OSUR,Micro-Cap,"Nov 22, 2024",3.87,3.93,3.84,3.88,3.88,0.78%,"925,433"
OSUR,Micro-Cap,"Nov 21, 2024",3.80,3.91,3.80,3.85,3.85,1.05%,"883,849"
OSUR,Micro-Cap,"Nov 20, 2024",3.84,3.89,3.77,3.81,3.81,-1.30%,"701,997"
OSUR,Micro-Cap,"Nov 19, 2024",3.79,3.97,3.72,3.86,3.86,2.93%,"932,776"
OSUR,Micro-Cap,"Nov 18, 2024",3.86,3.91,3.75,3.75,3.75,-2.60%,"745,632"
