symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PBFS,Micro-Cap,"Feb 14, 2025",12.00,12.03,11.87,11.87,11.87,-1.00%,"27,645"
PBFS,Micro-Cap,"Feb 13, 2025",11.57,12.00,11.50,11.99,11.99,3.90%,"22,191"
PBFS,Micro-Cap,"Feb 12, 2025",11.45,11.74,11.37,11.54,11.54,-0.35%,"21,041"
PBFS,Micro-Cap,"Feb 11, 2025",11.68,11.78,11.51,11.58,11.58,-,"29,240"
PBFS,Micro-Cap,"Feb 10, 2025",11.60,11.72,11.42,11.58,11.58,0.48%,"14,104"
PBFS,Micro-Cap,"Feb 7, 2025",11.40,11.75,11.36,11.53,11.53,0.74%,"79,624"
PBFS,Micro-Cap,"Feb 6, 2025",11.39,11.47,11.39,11.44,11.44,0.18%,"9,710"
PBFS,Micro-Cap,"Feb 5, 2025",11.48,11.48,11.30,11.42,11.42,0.53%,"13,906"
PBFS,Micro-Cap,"Feb 4, 2025",11.30,11.36,11.24,11.36,11.36,0.26%,"10,436"
PBFS,Micro-Cap,"Feb 3, 2025",11.52,11.52,11.33,11.33,11.33,-2.16%,"6,637"
PBFS,Micro-Cap,"Jan 31, 2025",11.75,11.78,11.52,11.58,11.58,-1.78%,"17,357"
PBFS,Micro-Cap,"Jan 30, 2025",11.79,11.82,11.73,11.79,11.79,1.11%,"6,615"
PBFS,Micro-Cap,"Jan 29, 2025",11.60,11.67,11.56,11.66,11.66,0.52%,"6,459"
PBFS,Micro-Cap,"Jan 28, 2025",11.72,11.82,11.56,11.60,11.60,-0.85%,"14,340"
PBFS,Micro-Cap,"Jan 27, 2025",11.82,11.95,11.67,11.70,11.70,-0.85%,"57,665"
PBFS,Micro-Cap,"Jan 24, 2025",11.64,11.85,11.52,11.80,11.80,1.90%,"22,472"
PBFS,Micro-Cap,"Jan 23, 2025",11.57,11.68,11.46,11.58,11.58,0.52%,"27,144"
PBFS,Micro-Cap,"Jan 22, 2025",11.30,11.70,11.30,11.52,11.52,2.13%,"24,981"
PBFS,Micro-Cap,"Jan 21, 2025",11.19,11.36,11.15,11.28,11.28,1.35%,"16,365"
PBFS,Micro-Cap,"Jan 17, 2025",11.19,11.21,11.08,11.13,11.13,-0.71%,"28,968"
PBFS,Micro-Cap,"Jan 16, 2025",11.20,11.26,11.12,11.21,11.21,-0.18%,"28,520"
PBFS,Micro-Cap,"Jan 15, 2025",11.12,11.23,11.12,11.23,11.23,1.08%,"7,795"
PBFS,Micro-Cap,"Jan 14, 2025",10.94,11.11,10.90,11.11,11.11,2.40%,"10,976"
PBFS,Micro-Cap,"Jan 13, 2025",10.76,10.91,10.76,10.85,10.85,0.09%,"8,137"
PBFS,Micro-Cap,"Jan 10, 2025",10.92,11.00,10.82,10.84,10.84,-1.63%,"32,766"
PBFS,Micro-Cap,"Jan 8, 2025",11.02,11.09,11.00,11.02,11.02,-0.45%,"12,510"
PBFS,Micro-Cap,"Jan 7, 2025",11.17,11.22,11.03,11.07,11.07,-1.16%,"22,041"
PBFS,Micro-Cap,"Jan 6, 2025",11.36,11.36,11.20,11.20,11.20,-1.84%,"23,549"
PBFS,Micro-Cap,"Jan 3, 2025",11.31,11.41,11.31,11.41,11.41,0.88%,"6,230"
PBFS,Micro-Cap,"Jan 2, 2025",11.53,11.55,11.27,11.31,11.31,-1.82%,"16,533"
PBFS,Micro-Cap,"Dec 31, 2024",11.41,11.68,11.41,11.52,11.52,0.52%,"13,620"
PBFS,Micro-Cap,"Dec 30, 2024",11.40,11.54,11.36,11.46,11.46,0.53%,"11,101"
PBFS,Micro-Cap,"Dec 27, 2024",11.60,11.71,11.36,11.40,11.40,-0.52%,"18,423"
PBFS,Micro-Cap,"Dec 26, 2024",11.40,11.68,11.40,11.46,11.46,0.26%,"16,570"
PBFS,Micro-Cap,"Dec 24, 2024",11.48,11.49,11.31,11.43,11.43,0.97%,"8,012"
PBFS,Micro-Cap,"Dec 23, 2024",11.18,11.38,11.18,11.32,11.32,0.09%,"16,701"
PBFS,Micro-Cap,"Dec 20, 2024",11.26,11.43,11.26,11.31,11.31,-,"39,288"
PBFS,Micro-Cap,"Dec 19, 2024",11.38,11.45,11.31,11.31,11.31,-0.53%,"21,358"
PBFS,Micro-Cap,"Dec 18, 2024",11.77,11.77,11.37,11.37,11.37,-3.40%,"97,422"
PBFS,Micro-Cap,"Dec 17, 2024",11.68,11.78,11.68,11.77,11.77,0.77%,"17,010"
PBFS,Micro-Cap,"Dec 16, 2024",11.88,11.94,11.66,11.68,11.68,-1.60%,"11,171"
PBFS,Micro-Cap,"Dec 13, 2024",11.66,11.88,11.55,11.87,11.87,1.19%,"11,088"
PBFS,Micro-Cap,"Dec 12, 2024",11.80,11.80,11.72,11.73,11.73,-1.18%,"16,971"
PBFS,Micro-Cap,"Dec 11, 2024",11.97,11.97,11.83,11.87,11.87,-0.25%,"9,702"
PBFS,Micro-Cap,"Dec 10, 2024",11.81,11.98,11.81,11.90,11.90,0.25%,"21,020"
PBFS,Micro-Cap,"Dec 9, 2024",11.65,11.98,11.65,11.87,11.87,0.59%,"16,956"
PBFS,Micro-Cap,"Dec 6, 2024",11.90,11.90,11.67,11.80,11.80,-0.34%,"38,969"
PBFS,Micro-Cap,"Dec 5, 2024",11.67,11.89,11.67,11.84,11.84,0.59%,"35,592"
PBFS,Micro-Cap,"Dec 4, 2024",11.93,11.93,11.68,11.77,11.77,-0.25%,"8,651"
PBFS,Micro-Cap,"Dec 3, 2024",11.83,11.87,11.74,11.80,11.80,0.17%,"29,778"
PBFS,Micro-Cap,"Dec 2, 2024",11.74,11.87,11.70,11.78,11.78,-,"23,362"
PBFS,Micro-Cap,"Nov 29, 2024",11.68,11.98,11.64,11.78,11.78,0.68%,"29,036"
PBFS,Micro-Cap,"Nov 27, 2024",11.89,11.91,11.61,11.70,11.70,-0.68%,"47,915"
PBFS,Micro-Cap,"Nov 26, 2024",11.82,11.97,11.77,11.78,11.78,-0.59%,"24,097"
PBFS,Micro-Cap,"Nov 25, 2024",11.80,12.00,11.77,11.85,11.85,0.42%,"67,827"
PBFS,Micro-Cap,"Nov 22, 2024",11.79,11.97,11.76,11.80,11.80,-,"43,378"
PBFS,Micro-Cap,"Nov 21, 2024",11.73,11.85,11.62,11.80,11.80,1.03%,"16,652"
PBFS,Micro-Cap,"Nov 20, 2024",11.68,11.80,11.52,11.68,11.68,0.26%,"27,810"
PBFS,Micro-Cap,"Nov 19, 2024",11.59,11.85,11.57,11.65,11.65,1.04%,"42,442"
PBFS,Micro-Cap,"Nov 18, 2024",11.57,11.68,11.51,11.53,11.53,-,"41,818"
PBFS,Micro-Cap,"Nov 15, 2024",11.46,11.54,11.41,11.53,11.53,0.52%,"28,841"
PBFS,Micro-Cap,"Nov 14, 2024",11.51,11.60,11.41,11.47,11.47,-0.26%,"22,436"
PBFS,Micro-Cap,"Nov 13, 2024",11.66,11.85,11.36,11.50,11.50,-,"72,765"
PBFS,Micro-Cap,"Nov 12, 2024",11.56,11.83,11.42,11.50,11.50,-,"47,589"
PBFS,Micro-Cap,"Nov 11, 2024",11.57,11.86,11.40,11.50,11.50,-,"40,314"
PBFS,Micro-Cap,"Nov 8, 2024",11.35,11.83,11.21,11.50,11.50,1.77%,"35,869"
PBFS,Micro-Cap,"Nov 7, 2024",11.33,11.45,11.18,11.30,11.30,1.35%,"24,226"
PBFS,Micro-Cap,"Nov 6, 2024",11.30,11.63,11.06,11.15,11.15,0.18%,"93,199"
PBFS,Micro-Cap,"Nov 5, 2024",11.22,11.40,11.04,11.13,11.13,-1.77%,"36,476"
PBFS,Micro-Cap,"Nov 4, 2024",11.13,11.34,11.12,11.33,11.33,1.52%,"13,206"
PBFS,Micro-Cap,"Nov 1, 2024",11.15,11.18,11.13,11.16,11.16,-0.36%,"11,658"
PBFS,Micro-Cap,"Oct 31, 2024",11.36,11.40,11.20,11.20,11.20,-0.53%,"15,330"
PBFS,Micro-Cap,"Oct 30, 2024",11.37,11.37,11.25,11.26,11.26,-0.62%,"23,000"
PBFS,Micro-Cap,"Oct 29, 2024",11.22,11.40,11.22,11.33,11.33,0.35%,"18,278"
PBFS,Micro-Cap,"Oct 28, 2024",11.09,11.34,11.09,11.29,11.29,1.80%,"13,716"
PBFS,Micro-Cap,"Oct 25, 2024",11.37,11.37,11.09,11.09,11.09,-0.27%,"13,121"
PBFS,Micro-Cap,"Oct 24, 2024",11.20,11.25,11.07,11.12,11.12,-0.09%,"13,454"
PBFS,Micro-Cap,"Oct 23, 2024",11.23,11.23,11.09,11.13,11.13,-1.59%,"12,594"
PBFS,Micro-Cap,"Oct 22, 2024",11.22,11.40,11.12,11.31,11.31,1.98%,"20,919"
PBFS,Micro-Cap,"Oct 21, 2024",11.21,11.25,11.05,11.09,11.09,-1.16%,"20,683"
PBFS,Micro-Cap,"Oct 18, 2024",11.16,11.25,11.10,11.22,11.22,0.90%,"20,756"
PBFS,Micro-Cap,"Oct 17, 2024",11.02,11.18,10.94,11.12,11.12,1.09%,"25,074"
PBFS,Micro-Cap,"Oct 16, 2024",11.06,11.24,10.94,11.00,11.00,-1.17%,"70,829"
PBFS,Micro-Cap,"Oct 15, 2024",10.99,11.24,10.99,11.13,11.13,1.74%,"47,011"
PBFS,Micro-Cap,"Oct 14, 2024",11.01,11.08,10.90,10.94,10.94,-0.45%,"15,485"
PBFS,Micro-Cap,"Oct 11, 2024",10.71,10.99,10.71,10.99,10.99,2.42%,"19,338"
PBFS,Micro-Cap,"Oct 10, 2024",10.77,10.90,10.70,10.73,10.73,-0.74%,"28,689"
PBFS,Micro-Cap,"Oct 9, 2024",10.81,10.91,10.81,10.81,10.81,-0.18%,"23,027"
PBFS,Micro-Cap,"Oct 8, 2024",10.86,10.89,10.82,10.83,10.83,-0.28%,"30,262"
PBFS,Micro-Cap,"Oct 7, 2024",10.94,10.94,10.85,10.86,10.86,-0.46%,"6,377"
PBFS,Micro-Cap,"Oct 4, 2024",10.99,10.99,10.85,10.91,10.91,0.28%,"11,466"
PBFS,Micro-Cap,"Oct 3, 2024",10.92,10.97,10.85,10.88,10.88,-0.37%,"17,055"
PBFS,Micro-Cap,"Oct 2, 2024",10.99,11.01,10.91,10.92,10.92,-0.36%,"13,883"
PBFS,Micro-Cap,"Oct 1, 2024",11.05,11.07,10.96,10.96,10.96,-0.09%,"14,772"
PBFS,Micro-Cap,"Sep 30, 2024",11.04,11.06,10.90,10.97,10.97,-0.27%,"32,569"
PBFS,Micro-Cap,"Sep 27, 2024",10.93,11.12,10.89,11.00,11.00,-,"44,679"
PBFS,Micro-Cap,"Sep 26, 2024",11.12,11.25,10.86,11.00,11.00,-0.63%,"34,991"
PBFS,Micro-Cap,"Sep 25, 2024",11.01,11.14,10.95,11.07,11.07,0.64%,"13,857"
PBFS,Micro-Cap,"Sep 24, 2024",11.15,11.35,10.96,11.00,11.00,-0.63%,"45,234"
