symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PCB,Micro-Cap,"Feb 14, 2025",20.30,20.44,20.06,20.15,20.15,-0.93%,"9,320"
PCB,Micro-Cap,"Feb 13, 2025",20.19,20.39,19.61,20.34,20.14,1.55%,"26,823"
PCB,Micro-Cap,"Feb 12, 2025",20.36,20.36,20.03,20.03,19.83,-3.24%,"14,263"
PCB,Micro-Cap,"Feb 11, 2025",20.03,20.70,20.03,20.70,20.50,2.73%,"27,336"
PCB,Micro-Cap,"Feb 10, 2025",20.15,20.36,19.49,20.15,19.95,0.10%,"23,101"
PCB,Micro-Cap,"Feb 7, 2025",20.11,20.37,19.97,20.13,19.93,-1.76%,"144,394"
PCB,Micro-Cap,"Feb 6, 2025",20.51,20.61,20.36,20.49,20.29,0.34%,"19,211"
PCB,Micro-Cap,"Feb 5, 2025",20.15,20.52,19.71,20.42,20.22,1.34%,"35,442"
PCB,Micro-Cap,"Feb 4, 2025",19.25,20.16,19.25,20.15,19.95,4.13%,"38,251"
PCB,Micro-Cap,"Feb 3, 2025",18.96,19.47,18.67,19.35,19.16,0.31%,"23,831"
PCB,Micro-Cap,"Jan 31, 2025",18.99,19.61,18.96,19.29,19.10,1.26%,"26,554"
PCB,Micro-Cap,"Jan 30, 2025",18.95,19.22,18.88,19.05,18.86,0.37%,"20,378"
PCB,Micro-Cap,"Jan 29, 2025",19.00,19.14,18.81,18.98,18.79,-0.11%,"19,631"
PCB,Micro-Cap,"Jan 28, 2025",19.00,19.17,18.75,19.00,18.81,-0.42%,"23,141"
PCB,Micro-Cap,"Jan 27, 2025",18.85,19.22,18.85,19.08,18.89,0.90%,"22,475"
PCB,Micro-Cap,"Jan 24, 2025",18.97,19.05,18.52,18.91,18.72,-1.10%,"33,127"
PCB,Micro-Cap,"Jan 23, 2025",19.04,19.19,18.90,19.12,18.93,-0.47%,"31,424"
PCB,Micro-Cap,"Jan 22, 2025",19.41,19.41,19.07,19.21,19.02,-1.74%,"19,207"
