symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PCYO,Micro-Cap,"Feb 14, 2025",11.85,12.25,11.85,12.15,12.15,4.02%,"49,378"
PCYO,Micro-Cap,"Feb 13, 2025",11.43,11.75,11.41,11.68,11.68,2.01%,"36,034"
PCYO,Micro-Cap,"Feb 12, 2025",11.42,11.62,11.23,11.45,11.45,-1.63%,"48,680"
PCYO,Micro-Cap,"Feb 11, 2025",11.57,11.73,11.47,11.64,11.64,0.61%,"34,175"
PCYO,Micro-Cap,"Feb 10, 2025",11.56,11.71,11.55,11.57,11.57,-0.60%,"29,609"
PCYO,Micro-Cap,"Feb 7, 2025",11.73,11.75,11.59,11.64,11.64,-1.19%,"36,511"
PCYO,Micro-Cap,"Feb 6, 2025",11.86,11.90,11.72,11.78,11.78,-0.59%,"27,605"
PCYO,Micro-Cap,"Feb 5, 2025",11.80,11.92,11.68,11.85,11.85,0.85%,"24,355"
PCYO,Micro-Cap,"Feb 4, 2025",11.65,11.80,11.64,11.75,11.75,0.95%,"24,248"
PCYO,Micro-Cap,"Feb 3, 2025",11.50,11.76,11.50,11.64,11.64,-0.94%,"42,488"
PCYO,Micro-Cap,"Jan 31, 2025",11.70,12.04,11.70,11.75,11.75,-0.34%,"49,542"
PCYO,Micro-Cap,"Jan 30, 2025",11.61,12.09,11.61,11.79,11.79,2.61%,"55,419"
PCYO,Micro-Cap,"Jan 29, 2025",11.31,11.50,11.26,11.49,11.49,1.23%,"29,781"
PCYO,Micro-Cap,"Jan 28, 2025",11.25,11.41,11.19,11.35,11.35,0.62%,"32,487"
PCYO,Micro-Cap,"Jan 27, 2025",11.07,11.29,11.05,11.28,11.28,1.08%,"38,892"
PCYO,Micro-Cap,"Jan 24, 2025",11.23,11.33,11.10,11.16,11.16,-0.80%,"31,576"
PCYO,Micro-Cap,"Jan 23, 2025",11.17,11.27,11.00,11.25,11.25,0.45%,"69,891"
PCYO,Micro-Cap,"Jan 22, 2025",11.53,11.53,11.19,11.20,11.20,-3.45%,"45,530"
PCYO,Micro-Cap,"Jan 21, 2025",11.58,11.78,11.57,11.60,11.60,0.43%,"37,866"
PCYO,Micro-Cap,"Jan 17, 2025",11.71,11.71,11.48,11.55,11.55,-0.35%,"23,948"
PCYO,Micro-Cap,"Jan 16, 2025",11.73,11.76,11.56,11.59,11.59,-0.86%,"25,663"
PCYO,Micro-Cap,"Jan 15, 2025",11.72,11.79,11.49,11.69,11.69,2.10%,"38,727"
PCYO,Micro-Cap,"Jan 14, 2025",11.55,11.55,11.28,11.45,11.45,-0.17%,"55,905"
PCYO,Micro-Cap,"Jan 13, 2025",11.37,11.54,11.23,11.47,11.47,-0.86%,"53,600"
PCYO,Micro-Cap,"Jan 10, 2025",11.77,12.15,11.40,11.57,11.57,-3.42%,"100,529"
PCYO,Micro-Cap,"Jan 8, 2025",11.97,12.05,11.70,11.98,11.98,-0.75%,"47,141"
PCYO,Micro-Cap,"Jan 7, 2025",12.29,12.29,11.88,12.07,12.07,-0.98%,"67,493"
PCYO,Micro-Cap,"Jan 6, 2025",12.55,12.62,12.14,12.19,12.19,-3.02%,"57,197"
PCYO,Micro-Cap,"Jan 3, 2025",12.47,12.60,12.33,12.57,12.57,1.05%,"30,150"
PCYO,Micro-Cap,"Jan 2, 2025",12.84,12.96,12.32,12.44,12.44,-1.89%,"35,076"
PCYO,Micro-Cap,"Dec 31, 2024",12.97,12.97,12.63,12.68,12.68,-1.25%,"25,751"
PCYO,Micro-Cap,"Dec 30, 2024",12.57,12.88,12.39,12.84,12.84,2.31%,"39,412"
PCYO,Micro-Cap,"Dec 27, 2024",12.78,12.86,12.40,12.55,12.55,-3.16%,"55,260"
PCYO,Micro-Cap,"Dec 26, 2024",12.92,12.98,12.67,12.96,12.96,0.70%,"30,367"
PCYO,Micro-Cap,"Dec 24, 2024",12.68,12.87,12.61,12.87,12.87,1.50%,"14,712"
PCYO,Micro-Cap,"Dec 23, 2024",12.87,12.87,12.59,12.68,12.68,-2.08%,"39,287"
PCYO,Micro-Cap,"Dec 20, 2024",12.02,12.99,12.02,12.95,12.95,6.50%,"187,253"
PCYO,Micro-Cap,"Dec 19, 2024",12.50,12.50,12.14,12.16,12.16,-1.70%,"40,672"
PCYO,Micro-Cap,"Dec 18, 2024",13.18,13.21,12.35,12.37,12.37,-6.29%,"68,939"
PCYO,Micro-Cap,"Dec 17, 2024",13.17,13.24,12.89,13.20,13.20,0.23%,"37,855"
PCYO,Micro-Cap,"Dec 16, 2024",13.18,13.26,13.05,13.17,13.17,-1.35%,"37,078"
PCYO,Micro-Cap,"Dec 13, 2024",13.70,13.78,13.31,13.35,13.35,-3.12%,"24,975"
PCYO,Micro-Cap,"Dec 12, 2024",14.02,14.09,13.71,13.78,13.78,-1.92%,"26,011"
PCYO,Micro-Cap,"Dec 11, 2024",13.89,14.25,13.70,14.05,14.05,2.48%,"48,424"
PCYO,Micro-Cap,"Dec 10, 2024",13.62,13.86,13.27,13.71,13.71,0.81%,"77,844"
PCYO,Micro-Cap,"Dec 9, 2024",13.60,13.67,13.45,13.60,13.60,-0.37%,"34,289"
