symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SFST,Micro-Cap,"Feb 14, 2025",36.19,36.51,35.68,35.68,35.68,-1.35%,"11,614"
SFST,Micro-Cap,"Feb 13, 2025",36.02,36.23,35.80,36.17,36.17,0.44%,"10,532"
SFST,Micro-Cap,"Feb 12, 2025",35.78,36.70,35.78,36.01,36.01,-1.45%,"12,052"
SFST,Micro-Cap,"Feb 11, 2025",36.43,37.28,36.43,36.54,36.54,0.22%,"17,923"
SFST,Micro-Cap,"Feb 10, 2025",37.01,37.22,36.31,36.46,36.46,-0.41%,"20,210"
SFST,Micro-Cap,"Feb 7, 2025",37.36,37.36,36.36,36.61,36.61,-2.58%,"20,556"
SFST,Micro-Cap,"Feb 6, 2025",36.74,37.58,36.68,37.58,37.58,2.12%,"13,194"
SFST,Micro-Cap,"Feb 5, 2025",36.28,36.83,36.28,36.80,36.80,1.66%,"11,233"
SFST,Micro-Cap,"Feb 4, 2025",35.39,36.46,35.39,36.20,36.20,1.51%,"11,664"
SFST,Micro-Cap,"Feb 3, 2025",35.01,36.53,35.01,35.66,35.66,-3.10%,"18,763"
SFST,Micro-Cap,"Jan 31, 2025",37.71,38.62,36.80,36.80,36.80,-2.54%,"16,579"
SFST,Micro-Cap,"Jan 30, 2025",38.37,38.76,37.76,37.76,37.76,-1.92%,"25,866"
SFST,Micro-Cap,"Jan 29, 2025",37.47,38.61,37.39,38.50,38.50,1.91%,"9,045"
SFST,Micro-Cap,"Jan 28, 2025",39.06,39.06,37.36,37.78,37.78,2.08%,"21,065"
SFST,Micro-Cap,"Jan 27, 2025",36.20,37.70,36.20,37.01,37.01,1.18%,"17,844"
SFST,Micro-Cap,"Jan 24, 2025",36.56,37.09,36.43,36.58,36.58,-1.19%,"10,179"
SFST,Micro-Cap,"Jan 23, 2025",35.51,37.24,35.51,37.02,37.02,2.15%,"19,434"
SFST,Micro-Cap,"Jan 22, 2025",37.30,37.30,36.24,36.24,36.24,-3.36%,"15,763"
SFST,Micro-Cap,"Jan 21, 2025",36.99,38.09,36.99,37.50,37.50,1.41%,"18,842"
SFST,Micro-Cap,"Jan 17, 2025",36.56,37.42,36.34,36.98,36.98,2.15%,"18,829"
SFST,Micro-Cap,"Jan 16, 2025",36.53,36.53,35.48,36.20,36.20,-0.82%,"23,913"
SFST,Micro-Cap,"Jan 15, 2025",36.00,36.54,35.92,36.50,36.50,3.52%,"9,642"
SFST,Micro-Cap,"Jan 14, 2025",35.13,35.26,34.75,35.26,35.26,1.56%,"7,622"
SFST,Micro-Cap,"Jan 13, 2025",33.42,34.72,33.42,34.72,34.72,3.21%,"8,224"
SFST,Micro-Cap,"Jan 10, 2025",35.19,35.19,33.48,33.64,33.64,-6.24%,"10,243"
SFST,Micro-Cap,"Jan 8, 2025",35.31,35.94,35.31,35.88,35.88,0.22%,"11,960"
SFST,Micro-Cap,"Jan 7, 2025",36.66,36.66,35.48,35.80,35.80,-2.56%,"11,227"
SFST,Micro-Cap,"Jan 6, 2025",38.01,38.01,36.74,36.74,36.74,-3.65%,"19,112"
SFST,Micro-Cap,"Jan 3, 2025",37.95,38.26,37.93,38.13,38.13,0.21%,"10,771"
SFST,Micro-Cap,"Jan 2, 2025",39.83,39.83,38.00,38.05,38.05,-4.28%,"15,504"
SFST,Micro-Cap,"Dec 31, 2024",40.04,40.50,39.55,39.75,39.75,-0.05%,"16,940"
SFST,Micro-Cap,"Dec 30, 2024",39.21,40.21,39.21,39.77,39.77,0.25%,"7,589"
SFST,Micro-Cap,"Dec 27, 2024",39.05,39.93,39.05,39.67,39.67,-2.53%,"9,115"
SFST,Micro-Cap,"Dec 26, 2024",40.43,40.74,40.37,40.70,40.70,0.30%,"4,741"
SFST,Micro-Cap,"Dec 24, 2024",39.54,40.64,39.23,40.58,40.58,2.45%,"16,899"
SFST,Micro-Cap,"Dec 23, 2024",40.57,41.00,39.61,39.61,39.61,-2.56%,"17,188"
SFST,Micro-Cap,"Dec 20, 2024",40.19,41.45,39.74,40.65,40.65,2.14%,"88,281"
SFST,Micro-Cap,"Dec 19, 2024",40.07,42.50,39.80,39.80,39.80,0.84%,"21,867"
SFST,Micro-Cap,"Dec 18, 2024",42.64,42.99,39.47,39.47,39.47,-7.06%,"51,608"
SFST,Micro-Cap,"Dec 17, 2024",42.78,42.81,42.20,42.47,42.47,-1.00%,"11,681"
SFST,Micro-Cap,"Dec 16, 2024",42.07,42.90,42.06,42.90,42.90,1.66%,"13,217"
SFST,Micro-Cap,"Dec 13, 2024",42.40,42.54,41.82,42.20,42.20,-0.35%,"12,854"
SFST,Micro-Cap,"Dec 12, 2024",43.35,43.35,42.15,42.35,42.35,-2.60%,"18,816"
SFST,Micro-Cap,"Dec 11, 2024",42.48,43.60,42.20,43.48,43.48,2.79%,"23,091"
SFST,Micro-Cap,"Dec 10, 2024",43.35,43.49,42.07,42.30,42.30,-1.74%,"20,186"
SFST,Micro-Cap,"Dec 9, 2024",43.21,43.66,42.76,43.05,43.05,-1.26%,"20,125"
SFST,Micro-Cap,"Dec 6, 2024",43.46,43.62,42.95,43.60,43.60,-0.05%,"12,728"
SFST,Micro-Cap,"Dec 5, 2024",43.50,43.79,42.86,43.62,43.62,-0.27%,"16,817"
SFST,Micro-Cap,"Dec 4, 2024",43.11,43.74,42.88,43.74,43.74,0.62%,"14,211"
SFST,Micro-Cap,"Dec 3, 2024",43.84,43.95,43.03,43.47,43.47,-0.73%,"18,712"
SFST,Micro-Cap,"Dec 2, 2024",44.70,44.70,43.79,43.79,43.79,-2.01%,"20,487"
