symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
SPIR,Micro-Cap,"Feb 14, 2025",11.57,12.56,11.47,11.72,11.72,2.27%,"1,138,703"
SPIR,Micro-Cap,"Feb 13, 2025",10.00,11.74,9.50,11.46,11.46,13.24%,"1,811,707"
SPIR,Micro-Cap,"Feb 12, 2025",9.91,10.82,9.20,10.12,10.12,-49.02%,"5,043,539"
SPIR,Micro-Cap,"Feb 11, 2025",21.26,21.43,19.63,19.85,19.85,-4.48%,"873,895"
SPIR,Micro-Cap,"Feb 10, 2025",20.02,20.88,19.30,20.78,20.78,5.64%,"470,483"
SPIR,Micro-Cap,"Feb 7, 2025",18.82,21.30,18.71,19.67,19.67,6.61%,"718,361"
SPIR,Micro-Cap,"Feb 6, 2025",19.21,19.47,18.31,18.45,18.45,-3.50%,"269,942"
SPIR,Micro-Cap,"Feb 5, 2025",19.30,20.02,18.88,19.12,19.12,0.74%,"515,277"
SPIR,Micro-Cap,"Feb 4, 2025",17.60,19.05,17.37,18.98,18.98,7.29%,"358,433"
SPIR,Micro-Cap,"Feb 3, 2025",16.33,17.90,16.25,17.69,17.69,3.15%,"373,311"
SPIR,Micro-Cap,"Jan 31, 2025",17.81,18.55,16.90,17.15,17.15,-3.76%,"348,212"
SPIR,Micro-Cap,"Jan 30, 2025",18.49,19.00,17.56,17.82,17.82,-2.25%,"213,865"
SPIR,Micro-Cap,"Jan 29, 2025",18.88,18.98,16.92,18.23,18.23,-3.54%,"425,792"
SPIR,Micro-Cap,"Jan 28, 2025",18.21,19.12,18.06,18.90,18.90,4.42%,"361,922"
SPIR,Micro-Cap,"Jan 27, 2025",18.49,19.14,17.35,18.10,18.10,-3.83%,"517,272"
SPIR,Micro-Cap,"Jan 24, 2025",20.50,20.89,18.67,18.82,18.82,-6.97%,"680,057"
SPIR,Micro-Cap,"Jan 23, 2025",19.04,20.50,18.75,20.23,20.23,5.53%,"603,261"
SPIR,Micro-Cap,"Jan 22, 2025",18.43,19.50,17.84,19.17,19.17,5.45%,"1,079,668"
SPIR,Micro-Cap,"Jan 21, 2025",18.00,18.95,17.50,18.18,18.18,1.11%,"946,471"
SPIR,Micro-Cap,"Jan 17, 2025",17.12,18.41,16.18,17.98,17.98,8.05%,"1,005,894"
SPIR,Micro-Cap,"Jan 16, 2025",14.70,17.16,14.22,16.64,16.64,20.41%,"1,656,305"
SPIR,Micro-Cap,"Jan 15, 2025",13.69,13.97,13.35,13.82,13.82,5.82%,"282,450"
SPIR,Micro-Cap,"Jan 14, 2025",13.16,13.37,12.78,13.06,13.06,0.08%,"235,751"
SPIR,Micro-Cap,"Jan 13, 2025",12.96,13.18,12.66,13.05,13.05,-0.53%,"239,416"
SPIR,Micro-Cap,"Jan 10, 2025",13.31,13.42,12.91,13.12,13.12,-3.24%,"137,860"
SPIR,Micro-Cap,"Jan 8, 2025",13.81,13.94,13.01,13.56,13.56,-2.09%,"201,980"
SPIR,Micro-Cap,"Jan 7, 2025",15.39,15.53,13.81,13.85,13.85,-8.82%,"267,893"
SPIR,Micro-Cap,"Jan 6, 2025",15.74,15.78,14.90,15.19,15.19,-2.32%,"236,326"
SPIR,Micro-Cap,"Jan 3, 2025",14.59,15.60,14.55,15.55,15.55,7.32%,"308,263"
SPIR,Micro-Cap,"Jan 2, 2025",14.15,14.85,14.00,14.49,14.49,2.99%,"176,374"
SPIR,Micro-Cap,"Dec 31, 2024",14.55,14.99,14.05,14.07,14.07,-1.75%,"222,775"
SPIR,Micro-Cap,"Dec 30, 2024",14.32,14.42,13.67,14.32,14.32,-1.31%,"207,779"
SPIR,Micro-Cap,"Dec 27, 2024",14.82,14.87,14.14,14.51,14.51,-2.88%,"189,191"
SPIR,Micro-Cap,"Dec 26, 2024",14.20,15.05,14.07,14.94,14.94,4.26%,"402,228"
SPIR,Micro-Cap,"Dec 24, 2024",13.57,14.41,13.38,14.33,14.33,6.07%,"182,231"
SPIR,Micro-Cap,"Dec 23, 2024",13.24,13.63,12.83,13.51,13.51,2.04%,"228,623"
SPIR,Micro-Cap,"Dec 20, 2024",12.20,13.84,12.20,13.24,13.24,5.67%,"609,643"
SPIR,Micro-Cap,"Dec 19, 2024",12.63,13.08,12.38,12.53,12.53,0.16%,"281,009"
SPIR,Micro-Cap,"Dec 18, 2024",13.69,13.81,12.42,12.51,12.51,-7.61%,"268,040"
SPIR,Micro-Cap,"Dec 17, 2024",13.70,14.06,13.25,13.54,13.54,-1.67%,"383,062"
SPIR,Micro-Cap,"Dec 16, 2024",13.51,14.29,13.51,13.77,13.77,1.92%,"223,800"
SPIR,Micro-Cap,"Dec 13, 2024",13.41,14.04,13.41,13.51,13.51,-1.31%,"204,898"
SPIR,Micro-Cap,"Dec 12, 2024",13.61,14.06,13.49,13.69,13.69,-0.87%,"236,903"
SPIR,Micro-Cap,"Dec 11, 2024",14.37,14.37,13.75,13.81,13.81,-2.47%,"259,997"
