symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
VLN,Micro-Cap,"Feb 14, 2025",2.58,3.00,2.52,2.71,2.71,7.54%,"1,419,451"
VLN,Micro-Cap,"Feb 13, 2025",2.54,2.59,2.49,2.52,2.52,-1.18%,"182,335"
VLN,Micro-Cap,"Feb 12, 2025",2.55,2.60,2.47,2.55,2.55,4.08%,"383,438"
VLN,Micro-Cap,"Feb 11, 2025",2.47,2.48,2.33,2.45,2.45,-2.78%,"353,841"
VLN,Micro-Cap,"Feb 10, 2025",2.48,2.58,2.45,2.52,2.52,3.28%,"383,724"
VLN,Micro-Cap,"Feb 7, 2025",2.50,2.56,2.43,2.44,2.44,-2.40%,"167,433"
VLN,Micro-Cap,"Feb 6, 2025",2.57,2.64,2.46,2.50,2.50,-2.34%,"216,910"
VLN,Micro-Cap,"Feb 5, 2025",2.47,2.63,2.45,2.56,2.56,4.92%,"332,009"
VLN,Micro-Cap,"Feb 4, 2025",2.40,2.53,2.36,2.44,2.44,1.67%,"268,115"
VLN,Micro-Cap,"Feb 3, 2025",2.31,2.44,2.23,2.40,2.40,1.69%,"375,924"
VLN,Micro-Cap,"Jan 31, 2025",2.51,2.51,2.36,2.36,2.36,-6.35%,"261,626"
VLN,Micro-Cap,"Jan 30, 2025",2.50,2.57,2.43,2.52,2.52,2.44%,"287,209"
VLN,Micro-Cap,"Jan 29, 2025",2.58,2.65,2.39,2.46,2.46,-4.65%,"419,501"
VLN,Micro-Cap,"Jan 28, 2025",2.65,2.65,2.46,2.58,2.58,-1.15%,"408,545"
VLN,Micro-Cap,"Jan 27, 2025",2.81,2.95,2.56,2.61,2.61,-7.12%,"876,510"
VLN,Micro-Cap,"Jan 24, 2025",2.93,2.97,2.79,2.81,2.81,-4.10%,"585,009"
VLN,Micro-Cap,"Jan 23, 2025",2.96,3.02,2.78,2.93,2.93,-2.98%,"601,384"
VLN,Micro-Cap,"Jan 22, 2025",3.28,3.33,2.94,3.02,3.02,-8.76%,"742,983"
VLN,Micro-Cap,"Jan 21, 2025",3.33,3.41,3.22,3.31,3.31,-1.19%,"454,736"
VLN,Micro-Cap,"Jan 17, 2025",3.45,3.49,3.26,3.35,3.35,-3.18%,"752,966"
VLN,Micro-Cap,"Jan 16, 2025",3.42,3.50,3.35,3.46,3.46,1.76%,"1,648,455"
VLN,Micro-Cap,"Jan 15, 2025",3.21,3.40,3.16,3.40,3.40,6.92%,"882,460"
VLN,Micro-Cap,"Jan 14, 2025",3.09,3.26,3.06,3.18,3.18,3.92%,"699,701"
VLN,Micro-Cap,"Jan 13, 2025",3.05,3.12,2.82,3.06,3.06,-0.65%,"860,717"
VLN,Micro-Cap,"Jan 10, 2025",3.13,3.21,2.98,3.08,3.08,-1.60%,"957,227"
VLN,Micro-Cap,"Jan 8, 2025",2.95,3.17,2.88,3.13,3.13,6.10%,"1,073,063"
VLN,Micro-Cap,"Jan 7, 2025",2.93,3.02,2.83,2.95,2.95,4.61%,"1,037,512"
VLN,Micro-Cap,"Jan 6, 2025",2.85,2.94,2.81,2.82,2.82,-0.70%,"613,526"
VLN,Micro-Cap,"Jan 3, 2025",2.78,2.98,2.74,2.84,2.84,1.07%,"1,044,329"
VLN,Micro-Cap,"Jan 2, 2025",2.51,2.87,2.50,2.81,2.81,8.08%,"832,496"
VLN,Micro-Cap,"Dec 31, 2024",2.79,2.96,2.56,2.60,2.60,-6.81%,"2,023,586"
VLN,Micro-Cap,"Dec 30, 2024",2.39,2.85,2.32,2.79,2.79,12.05%,"2,452,477"
VLN,Micro-Cap,"Dec 27, 2024",2.00,2.52,1.99,2.49,2.49,22.66%,"2,751,597"
VLN,Micro-Cap,"Dec 26, 2024",2.00,2.04,1.95,2.03,2.03,0.50%,"528,301"
VLN,Micro-Cap,"Dec 24, 2024",1.92,2.02,1.90,2.02,2.02,5.21%,"184,305"
VLN,Micro-Cap,"Dec 23, 2024",1.84,1.92,1.83,1.92,1.92,4.35%,"417,905"
VLN,Micro-Cap,"Dec 20, 2024",1.79,1.88,1.77,1.84,1.84,2.22%,"470,841"
VLN,Micro-Cap,"Dec 19, 2024",1.91,1.94,1.78,1.80,1.80,-4.76%,"507,844"
VLN,Micro-Cap,"Dec 18, 2024",2.05,2.05,1.85,1.89,1.89,-7.80%,"757,883"
VLN,Micro-Cap,"Dec 17, 2024",2.02,2.15,1.98,2.05,2.05,-0.49%,"1,151,290"
VLN,Micro-Cap,"Dec 16, 2024",2.10,2.19,2.03,2.06,2.06,-3.29%,"625,418"
VLN,Micro-Cap,"Dec 13, 2024",2.25,2.25,2.11,2.13,2.13,-4.48%,"343,774"
VLN,Micro-Cap,"Dec 12, 2024",2.28,2.28,2.14,2.23,2.23,0.90%,"820,535"
VLN,Micro-Cap,"Dec 11, 2024",2.10,2.29,2.01,2.21,2.21,8.87%,"2,431,537"
VLN,Micro-Cap,"Dec 10, 2024",2.05,2.07,1.99,2.03,2.03,-2.40%,"301,914"
VLN,Micro-Cap,"Dec 9, 2024",2.12,2.12,2.05,2.08,2.08,-0.95%,"350,095"
VLN,Micro-Cap,"Dec 6, 2024",2.04,2.13,1.98,2.10,2.10,3.96%,"692,026"
VLN,Micro-Cap,"Dec 5, 2024",2.09,2.11,2.00,2.02,2.02,-1.94%,"643,262"
VLN,Micro-Cap,"Dec 4, 2024",2.25,2.26,2.03,2.06,2.06,-8.85%,"1,115,290"
VLN,Micro-Cap,"Dec 3, 2024",2.40,2.41,2.12,2.26,2.26,-1.31%,"1,207,416"
VLN,Micro-Cap,"Dec 2, 2024",1.98,2.32,1.93,2.29,2.29,16.24%,"1,313,777"
VLN,Micro-Cap,"Nov 29, 2024",1.86,1.97,1.85,1.97,1.97,7.07%,"345,671"
VLN,Micro-Cap,"Nov 27, 2024",1.90,1.91,1.81,1.84,1.84,2.22%,"739,708"
VLN,Micro-Cap,"Nov 26, 2024",1.80,1.88,1.79,1.80,1.80,-,"762,708"
VLN,Micro-Cap,"Nov 25, 2024",1.92,1.96,1.75,1.80,1.80,-8.16%,"1,010,165"
VLN,Micro-Cap,"Nov 22, 2024",2.08,2.08,1.81,1.96,1.96,-5.31%,"566,660"
VLN,Micro-Cap,"Nov 21, 2024",1.99,2.14,1.94,2.07,2.07,5.61%,"261,946"
VLN,Micro-Cap,"Nov 20, 2024",1.93,1.98,1.90,1.96,1.96,1.03%,"73,092"
VLN,Micro-Cap,"Nov 19, 2024",1.89,2.00,1.88,1.94,1.94,-,"172,416"
VLN,Micro-Cap,"Nov 18, 2024",1.90,1.95,1.87,1.94,1.94,1.57%,"178,779"
VLN,Micro-Cap,"Nov 15, 2024",1.96,1.98,1.91,1.91,1.91,-4.98%,"211,135"
VLN,Micro-Cap,"Nov 14, 2024",1.80,2.02,1.80,2.01,2.01,10.44%,"356,381"
VLN,Micro-Cap,"Nov 13, 2024",1.91,1.91,1.79,1.82,1.82,-4.71%,"219,349"
VLN,Micro-Cap,"Nov 12, 2024",1.85,1.98,1.82,1.91,1.91,2.14%,"279,833"
VLN,Micro-Cap,"Nov 11, 2024",1.90,1.90,1.78,1.87,1.87,-1.06%,"198,943"
VLN,Micro-Cap,"Nov 8, 2024",1.99,2.03,1.83,1.89,1.89,-3.08%,"222,689"
VLN,Micro-Cap,"Nov 7, 2024",1.79,1.95,1.76,1.95,1.95,8.33%,"215,262"
VLN,Micro-Cap,"Nov 6, 2024",1.88,1.88,1.73,1.80,1.80,-0.55%,"391,393"
VLN,Micro-Cap,"Nov 5, 2024",1.78,1.81,1.73,1.81,1.81,1.69%,"83,754"
VLN,Micro-Cap,"Nov 4, 2024",1.76,1.78,1.70,1.78,1.78,1.71%,"110,812"
VLN,Micro-Cap,"Nov 1, 2024",1.82,1.85,1.67,1.75,1.75,-5.41%,"282,087"
VLN,Micro-Cap,"Oct 31, 2024",1.88,1.89,1.83,1.85,1.85,-2.12%,"90,879"
VLN,Micro-Cap,"Oct 30, 2024",1.91,1.92,1.88,1.89,1.89,-3.08%,"121,050"
VLN,Micro-Cap,"Oct 29, 2024",1.94,1.97,1.91,1.95,1.95,-1.52%,"69,655"
VLN,Micro-Cap,"Oct 28, 2024",1.98,1.99,1.91,1.98,1.98,5.32%,"261,308"
VLN,Micro-Cap,"Oct 25, 2024",1.85,1.91,1.84,1.88,1.88,1.08%,"132,278"
VLN,Micro-Cap,"Oct 24, 2024",1.86,1.89,1.83,1.86,1.86,0.54%,"95,442"
VLN,Micro-Cap,"Oct 23, 2024",1.88,1.91,1.85,1.85,1.85,-3.14%,"93,722"
VLN,Micro-Cap,"Oct 22, 2024",1.93,1.97,1.88,1.91,1.91,-1.55%,"124,043"
VLN,Micro-Cap,"Oct 21, 2024",1.94,1.98,1.90,1.94,1.94,-,"123,537"
VLN,Micro-Cap,"Oct 18, 2024",1.83,1.95,1.83,1.94,1.94,6.59%,"184,963"
VLN,Micro-Cap,"Oct 17, 2024",1.85,1.92,1.82,1.82,1.82,-3.70%,"768,072"
VLN,Micro-Cap,"Oct 16, 2024",1.99,2.02,1.83,1.89,1.89,-5.97%,"645,366"
VLN,Micro-Cap,"Oct 15, 2024",2.06,2.12,1.92,2.01,2.01,-3.83%,"339,126"
VLN,Micro-Cap,"Oct 14, 2024",2.08,2.13,2.02,2.09,2.09,-0.95%,"166,342"
VLN,Micro-Cap,"Oct 11, 2024",2.03,2.12,2.03,2.11,2.11,2.43%,"50,720"
VLN,Micro-Cap,"Oct 10, 2024",2.11,2.16,2.00,2.06,2.06,-3.29%,"278,858"
VLN,Micro-Cap,"Oct 9, 2024",2.18,2.18,2.09,2.13,2.13,-0.47%,"86,902"
VLN,Micro-Cap,"Oct 8, 2024",2.07,2.14,2.02,2.14,2.14,4.39%,"99,577"
VLN,Micro-Cap,"Oct 7, 2024",2.05,2.10,2.02,2.05,2.05,-0.97%,"85,263"
VLN,Micro-Cap,"Oct 4, 2024",2.00,2.09,2.00,2.07,2.07,3.50%,"47,136"
VLN,Micro-Cap,"Oct 3, 2024",2.02,2.03,1.95,2.00,2.00,-0.50%,"107,154"
VLN,Micro-Cap,"Oct 2, 2024",2.00,2.08,1.96,2.01,2.01,-1.95%,"99,044"
VLN,Micro-Cap,"Oct 1, 2024",2.16,2.18,2.05,2.05,2.05,-6.82%,"146,343"
VLN,Micro-Cap,"Sep 30, 2024",2.30,2.32,2.13,2.20,2.20,-3.51%,"139,082"
VLN,Micro-Cap,"Sep 27, 2024",2.29,2.37,2.25,2.28,2.28,1.33%,"183,409"
VLN,Micro-Cap,"Sep 26, 2024",2.23,2.28,2.23,2.25,2.25,2.27%,"84,539"
VLN,Micro-Cap,"Sep 25, 2024",2.16,2.21,2.14,2.20,2.20,-,"85,638"
VLN,Micro-Cap,"Sep 24, 2024",2.20,2.23,2.18,2.20,2.20,0.92%,"119,431"
