symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
AA,Mid-Cap,"Feb 14, 2025",37.16,37.47,36.18,36.24,36.24,-0.38%,"3,037,867"
AA,Mid-Cap,"Feb 13, 2025",36.15,36.44,35.60,36.38,36.38,0.14%,"4,389,723"
AA,Mid-Cap,"Feb 12, 2025",36.54,37.18,36.13,36.33,36.33,-2.26%,"3,808,972"
AA,Mid-Cap,"Feb 11, 2025",37.08,38.58,36.72,37.17,37.17,0.68%,"6,390,471"
AA,Mid-Cap,"Feb 10, 2025",37.37,37.60,36.89,36.92,36.92,2.21%,"5,755,227"
AA,Mid-Cap,"Feb 7, 2025",36.75,37.84,36.05,36.12,36.12,0.53%,"4,661,820"
AA,Mid-Cap,"Feb 6, 2025",36.63,36.87,35.32,35.93,35.93,-0.28%,"3,261,306"
AA,Mid-Cap,"Feb 5, 2025",36.11,36.24,35.48,36.03,36.03,-0.58%,"3,221,797"
AA,Mid-Cap,"Feb 4, 2025",34.50,36.43,34.33,36.24,36.24,6.24%,"5,343,341"
AA,Mid-Cap,"Feb 3, 2025",34.18,35.24,33.42,34.11,34.11,-3.43%,"5,864,709"
AA,Mid-Cap,"Jan 31, 2025",35.50,36.24,35.16,35.32,35.32,-0.59%,"5,315,132"
AA,Mid-Cap,"Jan 30, 2025",35.53,35.82,34.95,35.53,35.53,1.14%,"4,001,162"
AA,Mid-Cap,"Jan 29, 2025",34.32,35.26,34.32,35.13,35.13,2.87%,"5,534,714"
AA,Mid-Cap,"Jan 28, 2025",35.18,35.42,34.04,34.15,34.15,-2.34%,"5,684,196"
AA,Mid-Cap,"Jan 27, 2025",36.27,36.60,34.91,34.97,34.97,-6.57%,"8,969,913"
AA,Mid-Cap,"Jan 24, 2025",37.85,37.85,36.70,37.43,37.43,0.21%,"4,983,825"
AA,Mid-Cap,"Jan 23, 2025",37.60,37.99,36.10,37.35,37.35,-3.69%,"11,784,535"
AA,Mid-Cap,"Jan 22, 2025",39.61,39.85,38.68,38.78,38.78,0.44%,"9,452,189"
AA,Mid-Cap,"Jan 21, 2025",39.99,40.62,38.57,38.61,38.61,-2.33%,"5,448,901"
AA,Mid-Cap,"Jan 17, 2025",39.24,39.87,38.94,39.53,39.53,1.59%,"4,477,360"
AA,Mid-Cap,"Jan 16, 2025",38.44,39.20,38.30,38.91,38.91,1.89%,"4,884,266"
AA,Mid-Cap,"Jan 15, 2025",37.85,38.30,37.10,38.19,38.19,3.55%,"5,156,312"
AA,Mid-Cap,"Jan 14, 2025",36.60,36.91,35.85,36.88,36.88,1.12%,"3,351,238"
AA,Mid-Cap,"Jan 13, 2025",35.58,36.52,35.40,36.47,36.47,1.56%,"4,230,003"
AA,Mid-Cap,"Jan 10, 2025",36.25,36.56,35.54,35.91,35.91,-0.25%,"2,943,696"
AA,Mid-Cap,"Jan 8, 2025",35.78,36.03,34.75,36.00,36.00,-0.66%,"3,775,303"
AA,Mid-Cap,"Jan 7, 2025",36.89,37.30,35.76,36.24,36.24,-0.69%,"3,381,466"
AA,Mid-Cap,"Jan 6, 2025",36.00,37.08,35.92,36.49,36.49,2.18%,"5,983,917"
AA,Mid-Cap,"Jan 3, 2025",37.95,37.95,35.38,35.71,35.71,-6.00%,"7,491,799"
AA,Mid-Cap,"Jan 2, 2025",38.17,39.04,37.90,37.99,37.99,0.56%,"2,703,886"
AA,Mid-Cap,"Dec 31, 2024",37.24,38.18,37.24,37.78,37.78,1.70%,"2,458,888"
AA,Mid-Cap,"Dec 30, 2024",37.25,37.73,36.65,37.15,37.15,-1.41%,"2,570,536"
AA,Mid-Cap,"Dec 27, 2024",37.97,38.13,37.38,37.68,37.68,-1.75%,"1,924,377"
AA,Mid-Cap,"Dec 26, 2024",38.54,38.58,38.07,38.35,38.35,-0.67%,"1,904,236"
AA,Mid-Cap,"Dec 24, 2024",39.00,39.21,38.23,38.61,38.61,0.08%,"1,056,624"
AA,Mid-Cap,"Dec 23, 2024",37.84,38.75,37.59,38.58,38.58,1.96%,"2,852,149"
AA,Mid-Cap,"Dec 20, 2024",36.40,38.30,36.28,37.84,37.84,3.33%,"8,586,918"
AA,Mid-Cap,"Dec 19, 2024",37.75,38.15,36.52,36.62,36.62,-1.85%,"4,074,482"
AA,Mid-Cap,"Dec 18, 2024",38.46,39.31,36.92,37.31,37.31,-2.94%,"4,525,418"
AA,Mid-Cap,"Dec 17, 2024",38.00,38.87,37.53,38.44,38.44,-0.05%,"4,423,210"
AA,Mid-Cap,"Dec 16, 2024",38.86,39.19,38.26,38.46,38.46,-1.69%,"3,518,297"
AA,Mid-Cap,"Dec 13, 2024",39.00,39.50,38.51,39.12,39.12,-1.26%,"3,602,623"
AA,Mid-Cap,"Dec 12, 2024",39.40,39.89,39.05,39.62,39.62,0.20%,"3,985,123"
AA,Mid-Cap,"Dec 11, 2024",39.75,40.30,39.16,39.54,39.54,-3.77%,"6,509,499"
AA,Mid-Cap,"Dec 10, 2024",41.91,42.05,40.69,41.09,41.09,-2.14%,"5,115,234"
AA,Mid-Cap,"Dec 9, 2024",44.11,44.74,41.87,41.99,41.99,-1.18%,"6,192,261"
AA,Mid-Cap,"Dec 6, 2024",44.70,44.76,41.58,42.49,42.49,-7.97%,"9,526,611"
AA,Mid-Cap,"Dec 5, 2024",45.85,46.19,45.05,46.17,46.17,0.65%,"2,235,609"
