symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
AOS,Mid-Cap,"Feb 14, 2025",66.35,67.07,65.92,66.22,66.22,0.33%,"1,719,948"
AOS,Mid-Cap,"Feb 13, 2025",65.42,66.10,65.24,66.00,66.00,1.15%,"1,350,170"
AOS,Mid-Cap,"Feb 12, 2025",64.84,65.68,64.55,65.25,65.25,-1.09%,"863,835"
AOS,Mid-Cap,"Feb 11, 2025",65.90,66.07,65.38,65.97,65.97,0.37%,"769,513"
AOS,Mid-Cap,"Feb 10, 2025",65.55,66.01,65.00,65.73,65.73,0.87%,"972,684"
AOS,Mid-Cap,"Feb 7, 2025",65.41,66.25,65.05,65.16,65.16,-0.53%,"1,263,832"
AOS,Mid-Cap,"Feb 6, 2025",65.99,66.10,65.44,65.51,65.51,-0.20%,"1,238,957"
AOS,Mid-Cap,"Feb 5, 2025",66.00,66.15,64.94,65.64,65.64,-0.03%,"1,508,427"
AOS,Mid-Cap,"Feb 4, 2025",67.06,67.76,65.65,65.66,65.66,-2.06%,"2,227,072"
AOS,Mid-Cap,"Feb 3, 2025",66.71,67.58,65.58,67.04,67.04,-0.39%,"2,475,428"
AOS,Mid-Cap,"Jan 31, 2025",67.75,68.82,66.75,67.30,67.30,-0.01%,"2,674,660"
AOS,Mid-Cap,"Jan 30, 2025",66.51,67.66,65.53,67.31,66.97,-2.76%,"3,225,289"
AOS,Mid-Cap,"Jan 29, 2025",69.74,69.87,68.84,69.22,68.87,-0.93%,"1,513,081"
AOS,Mid-Cap,"Jan 28, 2025",71.00,71.89,69.58,69.87,69.52,-2.18%,"1,397,019"
AOS,Mid-Cap,"Jan 27, 2025",70.93,71.84,70.68,71.43,71.07,1.22%,"1,112,217"
AOS,Mid-Cap,"Jan 24, 2025",71.08,71.34,70.40,70.57,70.22,-0.98%,"1,458,460"
AOS,Mid-Cap,"Jan 23, 2025",71.14,71.85,70.29,71.27,70.91,0.42%,"1,932,605"
AOS,Mid-Cap,"Jan 22, 2025",71.93,72.04,70.36,70.97,70.61,-2.37%,"1,701,535"
AOS,Mid-Cap,"Jan 21, 2025",72.50,73.16,72.29,72.69,72.33,1.23%,"973,682"
AOS,Mid-Cap,"Jan 17, 2025",71.94,72.27,71.28,71.81,71.45,0.57%,"1,285,711"
AOS,Mid-Cap,"Jan 16, 2025",71.31,71.47,70.68,71.40,71.04,0.63%,"969,125"
AOS,Mid-Cap,"Jan 15, 2025",72.62,73.09,70.90,70.95,70.59,-0.42%,"1,702,448"
AOS,Mid-Cap,"Jan 14, 2025",69.42,71.35,69.42,71.25,70.89,3.82%,"1,716,815"
AOS,Mid-Cap,"Jan 13, 2025",67.58,68.78,67.38,68.63,68.29,1.55%,"1,039,823"
AOS,Mid-Cap,"Jan 10, 2025",67.88,68.88,67.20,67.58,67.24,-1.60%,"1,343,716"
AOS,Mid-Cap,"Jan 8, 2025",67.87,68.76,67.29,68.68,68.34,0.56%,"977,734"
AOS,Mid-Cap,"Jan 7, 2025",68.72,69.33,67.96,68.30,67.96,-0.87%,"943,923"
AOS,Mid-Cap,"Jan 6, 2025",68.87,69.54,68.39,68.90,68.55,0.44%,"1,531,321"
AOS,Mid-Cap,"Jan 3, 2025",67.46,68.78,67.17,68.60,68.26,1.89%,"932,791"
AOS,Mid-Cap,"Jan 2, 2025",68.51,69.32,67.29,67.33,66.99,-1.29%,"815,292"
AOS,Mid-Cap,"Dec 31, 2024",68.35,68.68,67.68,68.21,67.87,0.28%,"791,954"
AOS,Mid-Cap,"Dec 30, 2024",68.15,68.23,67.39,68.02,67.68,-0.60%,"838,903"
AOS,Mid-Cap,"Dec 27, 2024",68.60,69.07,68.23,68.43,68.09,-0.67%,"517,907"
AOS,Mid-Cap,"Dec 26, 2024",68.64,69.24,68.47,68.89,68.54,-,"670,762"
AOS,Mid-Cap,"Dec 24, 2024",68.48,68.89,68.15,68.89,68.54,0.48%,"381,784"
