symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
ASTS,Mid-Cap,"Feb 14, 2025",30.18,32.47,29.37,32.10,32.10,6.82%,"14,025,231"
ASTS,Mid-Cap,"Feb 13, 2025",27.70,30.77,27.05,30.05,30.05,8.84%,"13,314,124"
ASTS,Mid-Cap,"Feb 12, 2025",28.47,29.14,27.30,27.61,27.61,-2.78%,"10,916,759"
ASTS,Mid-Cap,"Feb 11, 2025",30.60,30.80,28.35,28.40,28.40,-8.80%,"13,410,638"
ASTS,Mid-Cap,"Feb 10, 2025",27.40,32.97,27.40,31.14,31.14,17.47%,"33,859,224"
ASTS,Mid-Cap,"Feb 7, 2025",27.76,28.76,25.86,26.51,26.51,-2.25%,"14,605,171"
ASTS,Mid-Cap,"Feb 6, 2025",25.45,27.61,25.30,27.12,27.12,9.75%,"19,743,995"
ASTS,Mid-Cap,"Feb 5, 2025",23.20,24.75,23.19,24.71,24.71,7.02%,"10,872,503"
ASTS,Mid-Cap,"Feb 4, 2025",21.95,23.83,21.90,23.09,23.09,7.55%,"12,347,292"
ASTS,Mid-Cap,"Feb 3, 2025",18.89,21.93,18.86,21.47,21.47,6.08%,"11,870,040"
ASTS,Mid-Cap,"Jan 31, 2025",19.24,22.19,18.92,20.24,20.24,11.15%,"26,562,759"
ASTS,Mid-Cap,"Jan 30, 2025",18.52,18.96,18.20,18.21,18.21,2.77%,"8,845,625"
ASTS,Mid-Cap,"Jan 29, 2025",19.54,19.55,17.50,17.72,17.72,-12.02%,"19,271,034"
ASTS,Mid-Cap,"Jan 28, 2025",19.65,20.31,18.73,20.14,20.14,5.11%,"7,815,337"
ASTS,Mid-Cap,"Jan 27, 2025",19.77,20.64,18.93,19.16,19.16,-5.85%,"9,705,591"
ASTS,Mid-Cap,"Jan 24, 2025",20.45,20.67,19.80,20.35,20.35,2.78%,"12,051,056"
ASTS,Mid-Cap,"Jan 23, 2025",19.15,19.95,18.80,19.80,19.80,-11.96%,"35,061,251"
ASTS,Mid-Cap,"Jan 22, 2025",23.22,23.74,22.42,22.49,22.49,-2.64%,"8,086,029"
ASTS,Mid-Cap,"Jan 21, 2025",20.90,23.12,20.90,23.10,23.10,11.16%,"7,813,996"
ASTS,Mid-Cap,"Jan 17, 2025",21.38,21.54,20.73,20.78,20.78,-1.05%,"5,150,745"
ASTS,Mid-Cap,"Jan 16, 2025",21.52,21.94,20.98,21.00,21.00,-2.51%,"3,388,334"
ASTS,Mid-Cap,"Jan 15, 2025",21.20,22.04,20.95,21.54,21.54,5.18%,"4,510,612"
ASTS,Mid-Cap,"Jan 14, 2025",21.47,21.90,20.37,20.48,20.48,-2.80%,"4,837,149"
ASTS,Mid-Cap,"Jan 13, 2025",21.60,21.63,19.15,21.07,21.07,-5.81%,"8,898,120"
ASTS,Mid-Cap,"Jan 10, 2025",21.73,22.43,21.35,22.37,22.37,-0.62%,"4,171,020"
ASTS,Mid-Cap,"Jan 8, 2025",22.51,22.73,21.73,22.51,22.51,-2.13%,"4,722,768"
ASTS,Mid-Cap,"Jan 7, 2025",24.27,24.27,22.81,23.00,23.00,-4.72%,"4,450,072"
ASTS,Mid-Cap,"Jan 6, 2025",24.77,25.18,23.98,24.14,24.14,0.71%,"7,113,838"
ASTS,Mid-Cap,"Jan 3, 2025",21.70,24.05,21.68,23.97,23.97,10.77%,"8,631,933"
ASTS,Mid-Cap,"Jan 2, 2025",21.14,22.24,20.90,21.64,21.64,2.56%,"4,529,919"
ASTS,Mid-Cap,"Dec 31, 2024",22.02,22.16,20.87,21.10,21.10,-3.26%,"5,211,023"
ASTS,Mid-Cap,"Dec 30, 2024",22.50,22.58,20.81,21.81,21.81,-4.84%,"8,947,160"
ASTS,Mid-Cap,"Dec 27, 2024",24.61,25.06,22.82,22.92,22.92,-7.13%,"6,301,008"
ASTS,Mid-Cap,"Dec 26, 2024",23.38,24.85,22.85,24.68,24.68,5.07%,"5,012,813"
ASTS,Mid-Cap,"Dec 24, 2024",23.29,23.79,23.02,23.49,23.49,1.03%,"2,293,361"
ASTS,Mid-Cap,"Dec 23, 2024",22.98,23.40,22.06,23.25,23.25,1.62%,"4,746,786"
ASTS,Mid-Cap,"Dec 20, 2024",22.50,23.50,22.00,22.88,22.88,-0.52%,"9,605,420"
ASTS,Mid-Cap,"Dec 19, 2024",23.44,24.26,22.88,23.00,23.00,-1.54%,"5,767,329"
ASTS,Mid-Cap,"Dec 18, 2024",24.69,25.85,22.77,23.36,23.36,-5.73%,"8,187,931"
ASTS,Mid-Cap,"Dec 17, 2024",24.30,25.68,24.07,24.78,24.78,1.98%,"7,007,114"
ASTS,Mid-Cap,"Dec 16, 2024",23.30,24.70,22.84,24.30,24.30,3.49%,"6,719,475"
ASTS,Mid-Cap,"Dec 13, 2024",23.06,23.74,22.85,23.48,23.48,0.64%,"4,759,791"
ASTS,Mid-Cap,"Dec 12, 2024",23.41,24.22,23.10,23.33,23.33,-0.98%,"4,123,765"
ASTS,Mid-Cap,"Dec 11, 2024",24.59,24.79,23.45,23.56,23.56,-3.28%,"5,116,117"
ASTS,Mid-Cap,"Dec 10, 2024",25.58,26.68,24.33,24.36,24.36,-6.25%,"6,768,449"
ASTS,Mid-Cap,"Dec 9, 2024",27.74,29.44,25.86,25.99,25.99,2.63%,"17,469,433"
ASTS,Mid-Cap,"Dec 6, 2024",22.82,25.64,22.70,25.32,25.32,12.48%,"13,138,221"
ASTS,Mid-Cap,"Dec 5, 2024",22.66,23.18,21.62,22.51,22.51,-0.57%,"7,268,551"
ASTS,Mid-Cap,"Dec 4, 2024",22.90,23.52,22.51,22.64,22.64,-1.18%,"5,424,885"
ASTS,Mid-Cap,"Dec 3, 2024",23.23,24.04,22.65,22.91,22.91,-1.34%,"5,818,596"
ASTS,Mid-Cap,"Dec 2, 2024",24.12,24.75,23.17,23.22,23.22,-2.48%,"7,411,217"
ASTS,Mid-Cap,"Nov 29, 2024",23.54,24.53,23.36,23.81,23.81,2.23%,"4,272,793"
ASTS,Mid-Cap,"Nov 27, 2024",23.94,24.95,23.06,23.29,23.29,-0.43%,"6,971,996"
ASTS,Mid-Cap,"Nov 26, 2024",23.89,24.40,22.91,23.39,23.39,-3.39%,"8,295,087"
ASTS,Mid-Cap,"Nov 25, 2024",24.63,26.08,23.85,24.21,24.21,0.46%,"10,795,273"
ASTS,Mid-Cap,"Nov 22, 2024",24.03,24.72,23.37,24.10,24.10,-0.17%,"6,095,368"
ASTS,Mid-Cap,"Nov 21, 2024",24.07,24.93,23.21,24.14,24.14,2.35%,"11,425,128"
ASTS,Mid-Cap,"Nov 20, 2024",25.55,26.11,23.22,23.59,23.59,-9.77%,"9,313,034"
ASTS,Mid-Cap,"Nov 19, 2024",25.13,26.27,24.11,26.14,26.14,1.32%,"7,412,484"
ASTS,Mid-Cap,"Nov 18, 2024",24.34,26.99,23.77,25.80,25.80,6.48%,"14,527,828"
ASTS,Mid-Cap,"Nov 15, 2024",23.18,24.28,21.51,24.23,24.23,-9.59%,"17,840,002"
ASTS,Mid-Cap,"Nov 14, 2024",29.00,29.79,26.37,26.80,26.80,-3.91%,"18,254,905"
ASTS,Mid-Cap,"Nov 13, 2024",26.00,31.22,25.70,27.89,27.89,14.96%,"26,559,489"
ASTS,Mid-Cap,"Nov 12, 2024",24.56,25.40,23.90,24.26,24.26,-2.02%,"7,179,547"
ASTS,Mid-Cap,"Nov 11, 2024",22.55,24.88,22.30,24.76,24.76,12.60%,"11,105,760"
ASTS,Mid-Cap,"Nov 8, 2024",21.31,22.16,21.10,21.99,21.99,2.49%,"7,363,922"
ASTS,Mid-Cap,"Nov 7, 2024",22.88,23.84,20.20,21.46,21.46,-4.73%,"21,947,990"
ASTS,Mid-Cap,"Nov 6, 2024",23.89,24.30,22.35,22.52,22.52,-6.67%,"10,198,316"
ASTS,Mid-Cap,"Nov 5, 2024",23.95,24.36,23.13,24.13,24.13,0.79%,"6,504,167"
ASTS,Mid-Cap,"Nov 4, 2024",23.57,24.30,23.27,23.94,23.94,0.38%,"6,580,875"
