symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
CFR,Mid-Cap,"Feb 14, 2025",144.20,145.17,142.78,143.75,143.75,-0.02%,"564,412"
CFR,Mid-Cap,"Feb 13, 2025",142.00,143.86,140.98,143.78,143.78,1.65%,"450,971"
CFR,Mid-Cap,"Feb 12, 2025",140.48,143.21,139.85,141.44,141.44,-0.54%,"553,228"
CFR,Mid-Cap,"Feb 11, 2025",138.12,142.41,138.04,142.21,142.21,2.65%,"394,572"
CFR,Mid-Cap,"Feb 10, 2025",140.73,140.97,137.97,138.54,138.54,-1.47%,"351,638"
CFR,Mid-Cap,"Feb 7, 2025",141.16,141.68,138.72,140.60,140.60,-0.34%,"500,552"
CFR,Mid-Cap,"Feb 6, 2025",141.00,141.35,139.49,141.08,141.08,0.56%,"226,155"
CFR,Mid-Cap,"Feb 5, 2025",139.02,140.59,138.64,140.29,140.29,1.20%,"388,245"
CFR,Mid-Cap,"Feb 4, 2025",136.09,138.77,135.85,138.62,138.62,2.02%,"358,070"
CFR,Mid-Cap,"Feb 3, 2025",136.19,138.01,134.82,135.87,135.87,-2.53%,"358,670"
CFR,Mid-Cap,"Jan 31, 2025",140.32,141.62,138.90,139.40,139.40,-0.80%,"619,624"
CFR,Mid-Cap,"Jan 30, 2025",139.14,146.44,138.86,140.53,140.53,1.25%,"953,553"
CFR,Mid-Cap,"Jan 29, 2025",139.09,141.71,138.05,138.80,138.80,-1.03%,"530,049"
CFR,Mid-Cap,"Jan 28, 2025",140.56,141.94,139.32,140.24,140.24,-0.62%,"389,020"
CFR,Mid-Cap,"Jan 27, 2025",140.42,141.69,139.74,141.12,141.12,1.28%,"564,931"
CFR,Mid-Cap,"Jan 24, 2025",139.43,141.90,138.48,139.33,139.33,-0.63%,"971,978"
CFR,Mid-Cap,"Jan 23, 2025",140.46,140.95,139.47,140.22,140.22,0.02%,"468,821"
CFR,Mid-Cap,"Jan 22, 2025",142.04,142.65,139.99,140.19,140.19,-1.69%,"437,302"
CFR,Mid-Cap,"Jan 21, 2025",144.10,145.53,142.47,142.60,142.60,-0.41%,"482,131"
CFR,Mid-Cap,"Jan 17, 2025",141.03,143.43,140.92,143.19,143.19,2.02%,"351,311"
CFR,Mid-Cap,"Jan 16, 2025",139.76,141.29,139.25,140.36,140.36,-0.15%,"547,764"
CFR,Mid-Cap,"Jan 15, 2025",142.39,143.76,139.42,140.57,140.57,1.20%,"471,767"
CFR,Mid-Cap,"Jan 14, 2025",135.80,139.10,135.77,138.91,138.91,3.35%,"352,531"
CFR,Mid-Cap,"Jan 13, 2025",131.99,134.90,131.99,134.41,134.41,1.36%,"455,697"
CFR,Mid-Cap,"Jan 10, 2025",133.49,133.89,130.64,132.61,132.61,-2.26%,"561,304"
CFR,Mid-Cap,"Jan 8, 2025",133.98,136.52,133.11,135.68,135.68,0.82%,"317,762"
CFR,Mid-Cap,"Jan 7, 2025",136.08,136.56,133.54,134.58,134.58,-0.40%,"381,134"
CFR,Mid-Cap,"Jan 6, 2025",134.95,137.79,134.61,135.12,135.12,0.54%,"302,827"
CFR,Mid-Cap,"Jan 3, 2025",132.96,134.58,131.52,134.40,134.40,1.24%,"209,531"
CFR,Mid-Cap,"Jan 2, 2025",134.97,135.73,132.52,132.76,132.76,-1.11%,"247,780"
CFR,Mid-Cap,"Dec 31, 2024",135.21,135.91,133.96,134.25,134.25,-0.32%,"247,599"
CFR,Mid-Cap,"Dec 30, 2024",134.69,135.59,133.05,134.68,134.68,-0.41%,"194,466"
CFR,Mid-Cap,"Dec 27, 2024",135.60,136.92,133.60,135.24,135.24,-1.00%,"188,514"
CFR,Mid-Cap,"Dec 26, 2024",135.31,136.82,134.39,136.61,136.61,0.48%,"195,403"
CFR,Mid-Cap,"Dec 24, 2024",134.83,136.45,134.15,135.96,135.96,1.24%,"129,300"
CFR,Mid-Cap,"Dec 23, 2024",132.06,134.47,131.95,134.30,134.30,1.08%,"292,166"
CFR,Mid-Cap,"Dec 20, 2024",130.36,134.87,130.36,132.87,132.87,1.21%,"977,189"
CFR,Mid-Cap,"Dec 19, 2024",133.07,134.57,130.82,131.28,131.28,0.37%,"485,116"
CFR,Mid-Cap,"Dec 18, 2024",137.94,138.84,130.30,130.79,130.79,-4.27%,"481,140"
CFR,Mid-Cap,"Dec 17, 2024",138.69,140.00,136.05,136.62,136.62,-2.11%,"476,068"
CFR,Mid-Cap,"Dec 16, 2024",137.96,140.38,137.55,139.57,139.57,1.28%,"344,269"
CFR,Mid-Cap,"Dec 13, 2024",137.57,138.11,136.20,137.80,137.80,0.17%,"280,228"
CFR,Mid-Cap,"Dec 12, 2024",138.05,139.40,137.48,137.56,137.56,-0.57%,"329,631"
CFR,Mid-Cap,"Dec 11, 2024",138.27,139.88,137.41,138.35,138.35,0.68%,"247,916"
CFR,Mid-Cap,"Dec 10, 2024",137.36,139.00,136.12,137.41,137.41,0.20%,"218,920"
CFR,Mid-Cap,"Dec 9, 2024",138.18,139.59,137.08,137.13,137.13,-0.82%,"274,314"
CFR,Mid-Cap,"Dec 6, 2024",139.39,139.52,137.55,138.26,138.26,0.03%,"242,397"
CFR,Mid-Cap,"Dec 5, 2024",140.91,141.92,137.98,138.22,138.22,-1.45%,"267,434"
CFR,Mid-Cap,"Dec 4, 2024",138.99,140.35,138.03,140.25,140.25,0.62%,"218,706"
CFR,Mid-Cap,"Dec 3, 2024",140.11,140.18,138.48,139.39,139.39,-0.51%,"212,493"
CFR,Mid-Cap,"Dec 2, 2024",141.62,141.62,139.01,140.10,140.10,-0.37%,"291,656"
CFR,Mid-Cap,"Nov 29, 2024",142.83,142.83,139.93,140.62,140.62,-1.24%,"178,951"
