symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
CUBE,Mid-Cap,"Feb 14, 2025",42.42,42.57,41.39,41.60,41.60,-1.02%,"1,233,793"
CUBE,Mid-Cap,"Feb 13, 2025",42.00,42.21,41.81,42.03,42.03,0.07%,"1,167,844"
CUBE,Mid-Cap,"Feb 12, 2025",41.33,42.05,41.27,42.00,42.00,-0.73%,"1,533,399"
CUBE,Mid-Cap,"Feb 11, 2025",41.97,42.48,41.74,42.31,42.31,0.24%,"920,845"
CUBE,Mid-Cap,"Feb 10, 2025",42.39,42.61,42.00,42.21,42.21,-0.40%,"958,364"
CUBE,Mid-Cap,"Feb 7, 2025",42.40,42.58,41.89,42.38,42.38,-0.02%,"952,158"
CUBE,Mid-Cap,"Feb 6, 2025",42.23,42.46,42.00,42.39,42.39,0.66%,"971,599"
CUBE,Mid-Cap,"Feb 5, 2025",41.86,42.23,41.52,42.11,42.11,1.96%,"1,130,915"
CUBE,Mid-Cap,"Feb 4, 2025",40.99,41.63,40.95,41.30,41.30,-0.48%,"1,057,510"
CUBE,Mid-Cap,"Feb 3, 2025",41.36,41.95,40.96,41.50,41.50,-0.48%,"1,398,729"
CUBE,Mid-Cap,"Jan 31, 2025",41.75,42.31,41.44,41.70,41.70,-0.64%,"1,884,718"
CUBE,Mid-Cap,"Jan 30, 2025",42.06,42.43,41.62,41.97,41.97,1.16%,"991,663"
CUBE,Mid-Cap,"Jan 29, 2025",41.85,42.19,41.06,41.49,41.49,-1.17%,"847,286"
CUBE,Mid-Cap,"Jan 28, 2025",42.40,42.53,41.78,41.98,41.98,-1.71%,"1,254,270"
CUBE,Mid-Cap,"Jan 27, 2025",42.08,43.03,42.01,42.71,42.71,2.42%,"1,741,557"
CUBE,Mid-Cap,"Jan 24, 2025",41.07,42.27,41.07,41.70,41.70,1.41%,"1,868,678"
CUBE,Mid-Cap,"Jan 23, 2025",40.71,41.17,40.14,41.12,41.12,1.01%,"2,625,107"
CUBE,Mid-Cap,"Jan 22, 2025",41.26,41.35,40.66,40.71,40.71,-1.86%,"1,476,988"
CUBE,Mid-Cap,"Jan 21, 2025",41.33,41.67,39.80,41.48,41.48,0.29%,"2,730,809"
CUBE,Mid-Cap,"Jan 17, 2025",41.39,41.69,41.23,41.36,41.36,-0.31%,"1,551,846"
CUBE,Mid-Cap,"Jan 16, 2025",40.62,41.57,40.39,41.49,41.49,2.44%,"1,342,668"
CUBE,Mid-Cap,"Jan 15, 2025",41.80,41.81,40.38,40.50,40.50,-0.37%,"2,230,612"
CUBE,Mid-Cap,"Jan 14, 2025",40.73,41.01,40.56,40.65,40.65,0.49%,"1,309,067"
CUBE,Mid-Cap,"Jan 13, 2025",40.29,40.53,39.80,40.45,40.45,0.55%,"2,497,097"
CUBE,Mid-Cap,"Jan 10, 2025",40.60,41.27,40.15,40.23,40.23,-2.66%,"1,885,619"
CUBE,Mid-Cap,"Jan 8, 2025",41.19,41.41,40.86,41.33,41.33,-0.58%,"1,167,421"
CUBE,Mid-Cap,"Jan 7, 2025",41.65,42.00,41.24,41.57,41.57,0.51%,"1,272,314"
CUBE,Mid-Cap,"Jan 6, 2025",42.19,42.29,41.24,41.36,41.36,-2.27%,"980,888"
CUBE,Mid-Cap,"Jan 3, 2025",41.61,42.33,41.53,42.32,42.32,1.73%,"908,407"
CUBE,Mid-Cap,"Jan 2, 2025",42.21,42.37,41.41,41.60,41.60,-2.92%,"1,060,709"
CUBE,Mid-Cap,"Dec 31, 2024",42.56,42.94,42.42,42.85,42.32,1.20%,"1,049,863"
CUBE,Mid-Cap,"Dec 30, 2024",42.53,42.68,41.97,42.34,41.82,-0.56%,"928,091"
CUBE,Mid-Cap,"Dec 27, 2024",42.85,43.20,42.41,42.58,42.05,-1.25%,"987,157"
CUBE,Mid-Cap,"Dec 26, 2024",42.85,43.48,42.60,43.12,42.59,-0.21%,"1,987,492"
CUBE,Mid-Cap,"Dec 24, 2024",42.80,43.32,42.62,43.21,42.68,0.96%,"582,103"
CUBE,Mid-Cap,"Dec 23, 2024",42.39,42.88,42.15,42.80,42.27,0.33%,"976,349"
CUBE,Mid-Cap,"Dec 20, 2024",42.07,43.32,41.85,42.66,42.13,2.20%,"4,089,285"
CUBE,Mid-Cap,"Dec 19, 2024",43.28,43.73,41.72,41.74,41.23,-3.63%,"2,435,368"
CUBE,Mid-Cap,"Dec 18, 2024",45.50,45.57,43.28,43.31,42.78,-4.90%,"1,821,456"
CUBE,Mid-Cap,"Dec 17, 2024",45.66,46.09,45.41,45.54,44.98,-0.76%,"1,092,078"
CUBE,Mid-Cap,"Dec 16, 2024",46.22,46.54,45.86,45.89,45.32,-0.82%,"1,179,845"
CUBE,Mid-Cap,"Dec 13, 2024",46.40,46.63,46.01,46.27,45.70,-0.37%,"1,024,402"
CUBE,Mid-Cap,"Dec 12, 2024",46.51,47.07,46.40,46.44,45.87,-0.43%,"1,287,410"
CUBE,Mid-Cap,"Dec 11, 2024",46.84,47.16,46.09,46.64,46.06,-0.49%,"1,477,657"
CUBE,Mid-Cap,"Dec 10, 2024",47.32,47.51,46.70,46.87,46.29,-1.49%,"1,040,489"
CUBE,Mid-Cap,"Dec 9, 2024",47.43,47.76,47.25,47.58,46.99,0.21%,"1,066,912"
CUBE,Mid-Cap,"Dec 6, 2024",47.65,47.69,47.03,47.48,46.89,-0.11%,"1,520,808"
CUBE,Mid-Cap,"Dec 5, 2024",47.75,47.88,47.19,47.53,46.94,-0.92%,"1,526,486"
CUBE,Mid-Cap,"Dec 4, 2024",48.20,48.36,47.64,47.97,47.38,-0.74%,"1,240,447"
CUBE,Mid-Cap,"Dec 3, 2024",49.19,49.25,48.25,48.33,47.73,-1.85%,"1,079,025"
CUBE,Mid-Cap,"Dec 2, 2024",49.41,49.76,48.97,49.24,48.63,-0.65%,"1,120,784"
CUBE,Mid-Cap,"Nov 29, 2024",50.32,50.44,49.51,49.56,48.95,-1.16%,"1,119,716"
CUBE,Mid-Cap,"Nov 27, 2024",50.17,50.70,50.14,50.14,49.52,0.44%,"1,328,976"
CUBE,Mid-Cap,"Nov 26, 2024",49.73,50.17,49.41,49.92,49.30,0.12%,"1,335,554"
CUBE,Mid-Cap,"Nov 25, 2024",49.23,50.63,49.23,49.86,49.24,1.94%,"2,062,788"
CUBE,Mid-Cap,"Nov 22, 2024",48.67,49.15,48.67,48.91,48.31,0.64%,"1,047,083"
CUBE,Mid-Cap,"Nov 21, 2024",48.16,48.99,48.04,48.60,48.00,0.60%,"1,085,518"
CUBE,Mid-Cap,"Nov 20, 2024",48.47,48.91,48.04,48.31,47.71,-1.37%,"980,468"
CUBE,Mid-Cap,"Nov 19, 2024",48.53,49.31,48.39,48.98,48.38,0.74%,"1,159,467"
CUBE,Mid-Cap,"Nov 18, 2024",48.00,48.69,48.00,48.62,48.02,0.60%,"719,831"
CUBE,Mid-Cap,"Nov 15, 2024",47.81,48.51,47.58,48.33,47.73,0.83%,"880,623"
CUBE,Mid-Cap,"Nov 14, 2024",48.59,48.63,47.65,47.93,47.34,-1.46%,"1,153,390"
CUBE,Mid-Cap,"Nov 13, 2024",48.48,48.95,48.26,48.64,48.04,1.76%,"987,126"
CUBE,Mid-Cap,"Nov 12, 2024",48.45,48.75,47.78,47.80,47.21,-1.54%,"1,789,755"
CUBE,Mid-Cap,"Nov 11, 2024",48.74,49.02,48.45,48.55,47.95,-0.68%,"1,634,377"
CUBE,Mid-Cap,"Nov 8, 2024",47.87,49.04,47.84,48.88,48.28,2.37%,"1,152,835"
CUBE,Mid-Cap,"Nov 7, 2024",46.93,47.87,46.86,47.75,47.16,2.25%,"1,397,377"
CUBE,Mid-Cap,"Nov 6, 2024",48.59,49.63,45.41,46.70,46.12,-4.83%,"3,374,083"
CUBE,Mid-Cap,"Nov 5, 2024",47.72,49.09,47.38,49.07,48.46,2.23%,"1,380,461"
CUBE,Mid-Cap,"Nov 4, 2024",47.52,48.20,47.33,48.00,47.41,1.42%,"1,569,869"
CUBE,Mid-Cap,"Nov 1, 2024",48.16,48.57,47.22,47.33,46.75,-1.07%,"1,675,756"
CUBE,Mid-Cap,"Oct 31, 2024",47.81,48.73,47.64,47.84,47.25,-0.89%,"1,881,724"
CUBE,Mid-Cap,"Oct 30, 2024",47.64,48.41,47.64,48.27,47.67,1.28%,"1,669,655"
CUBE,Mid-Cap,"Oct 29, 2024",47.80,47.91,47.18,47.66,47.07,-0.73%,"1,138,111"
CUBE,Mid-Cap,"Oct 28, 2024",48.52,48.86,47.80,48.01,47.42,-0.50%,"1,242,575"
CUBE,Mid-Cap,"Oct 25, 2024",49.22,49.33,48.22,48.25,47.65,-1.69%,"920,419"
CUBE,Mid-Cap,"Oct 24, 2024",49.22,49.57,49.07,49.08,48.47,-0.45%,"840,173"
CUBE,Mid-Cap,"Oct 23, 2024",48.53,49.50,48.45,49.30,48.69,1.63%,"1,477,568"
CUBE,Mid-Cap,"Oct 22, 2024",48.45,48.73,48.37,48.51,47.91,0.19%,"1,040,925"
CUBE,Mid-Cap,"Oct 21, 2024",49.68,49.75,48.41,48.42,47.82,-3.12%,"1,621,316"
CUBE,Mid-Cap,"Oct 18, 2024",50.01,50.07,49.43,49.98,49.36,0.16%,"1,079,176"
CUBE,Mid-Cap,"Oct 17, 2024",50.27,50.39,49.89,49.90,49.28,-0.97%,"1,269,092"
CUBE,Mid-Cap,"Oct 16, 2024",50.09,50.66,50.03,50.39,49.77,0.72%,"1,293,739"
CUBE,Mid-Cap,"Oct 15, 2024",50.16,50.86,49.93,50.03,49.41,0.16%,"1,864,195"
CUBE,Mid-Cap,"Oct 14, 2024",49.60,50.17,49.47,49.95,49.33,0.26%,"1,504,585"
CUBE,Mid-Cap,"Oct 11, 2024",50.16,50.33,49.43,49.82,49.21,-0.18%,"1,893,421"
CUBE,Mid-Cap,"Oct 10, 2024",50.17,50.58,49.56,49.91,49.29,-1.11%,"1,545,369"
CUBE,Mid-Cap,"Oct 9, 2024",50.66,50.83,50.13,50.47,49.85,-0.38%,"1,161,499"
CUBE,Mid-Cap,"Oct 8, 2024",51.09,51.15,50.39,50.66,50.04,-0.33%,"1,546,460"
CUBE,Mid-Cap,"Oct 7, 2024",50.89,51.01,50.35,50.83,50.20,-0.65%,"1,058,521"
CUBE,Mid-Cap,"Oct 4, 2024",51.57,51.85,50.71,51.16,50.53,-1.75%,"2,096,236"
CUBE,Mid-Cap,"Oct 3, 2024",52.35,52.47,51.61,52.07,51.43,-0.61%,"1,524,556"
CUBE,Mid-Cap,"Oct 2, 2024",52.57,52.57,52.13,52.39,51.74,-1.21%,"1,087,401"
CUBE,Mid-Cap,"Oct 1, 2024",53.61,53.71,52.71,53.03,52.38,-1.49%,"1,179,290"
CUBE,Mid-Cap,"Sep 30, 2024",53.07,53.92,52.93,53.83,52.66,1.13%,"1,947,960"
CUBE,Mid-Cap,"Sep 27, 2024",53.47,53.62,52.90,53.23,52.07,0.42%,"1,091,555"
CUBE,Mid-Cap,"Sep 26, 2024",53.64,53.70,52.74,53.01,51.86,-1.10%,"1,104,410"
CUBE,Mid-Cap,"Sep 25, 2024",54.02,54.04,53.45,53.60,52.43,-0.63%,"965,530"
CUBE,Mid-Cap,"Sep 24, 2024",53.98,54.17,53.71,53.94,52.77,-0.52%,"1,437,296"
CUBE,Mid-Cap,"Sep 23, 2024",54.26,54.67,53.97,54.22,53.04,0.52%,"1,075,312"
