symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
DSGX,Mid-Cap,"Feb 14, 2025",116.43,117.35,115.95,116.54,116.54,-0.21%,"172,250"
DSGX,Mid-Cap,"Feb 13, 2025",114.24,116.90,114.05,116.78,116.78,2.39%,"262,158"
DSGX,Mid-Cap,"Feb 12, 2025",116.12,117.01,113.82,114.05,114.05,-3.91%,"724,383"
DSGX,Mid-Cap,"Feb 11, 2025",122.52,122.62,118.06,118.69,118.69,-3.11%,"276,503"
DSGX,Mid-Cap,"Feb 10, 2025",121.50,124.31,120.50,122.50,122.50,2.21%,"489,182"
DSGX,Mid-Cap,"Feb 7, 2025",119.13,120.42,118.49,119.85,119.85,0.77%,"255,967"
DSGX,Mid-Cap,"Feb 6, 2025",117.31,119.50,117.28,118.93,118.93,1.28%,"199,044"
DSGX,Mid-Cap,"Feb 5, 2025",116.18,117.51,115.65,117.43,117.43,1.36%,"163,713"
DSGX,Mid-Cap,"Feb 4, 2025",116.11,116.94,115.66,115.85,115.85,0.16%,"188,616"
DSGX,Mid-Cap,"Feb 3, 2025",113.35,116.09,112.33,115.67,115.67,-0.14%,"219,994"
DSGX,Mid-Cap,"Jan 31, 2025",117.95,118.37,115.83,115.83,115.83,-1.39%,"205,482"
DSGX,Mid-Cap,"Jan 30, 2025",115.68,117.71,115.68,117.46,117.46,1.31%,"225,758"
DSGX,Mid-Cap,"Jan 29, 2025",117.38,117.38,113.81,115.94,115.94,-1.45%,"219,002"
DSGX,Mid-Cap,"Jan 28, 2025",117.06,118.36,113.94,117.65,117.65,0.94%,"351,527"
DSGX,Mid-Cap,"Jan 27, 2025",116.74,118.23,115.92,116.55,116.55,-2.17%,"165,267"
DSGX,Mid-Cap,"Jan 24, 2025",120.29,120.68,118.71,119.13,119.13,-0.63%,"137,705"
DSGX,Mid-Cap,"Jan 23, 2025",120.78,120.78,118.89,119.89,119.89,-0.43%,"157,520"
DSGX,Mid-Cap,"Jan 22, 2025",119.08,120.50,118.70,120.41,120.41,1.59%,"150,195"
DSGX,Mid-Cap,"Jan 21, 2025",117.09,118.63,116.73,118.53,118.53,2.31%,"189,645"
DSGX,Mid-Cap,"Jan 17, 2025",116.26,117.23,115.71,115.85,115.85,0.70%,"258,738"
DSGX,Mid-Cap,"Jan 16, 2025",115.22,115.74,114.83,115.04,115.04,0.06%,"116,601"
DSGX,Mid-Cap,"Jan 15, 2025",113.99,115.31,113.75,114.97,114.97,2.16%,"158,978"
DSGX,Mid-Cap,"Jan 14, 2025",111.15,112.65,110.64,112.54,112.54,1.43%,"184,140"
