symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
EXEL,Mid-Cap,"Feb 14, 2025",34.37,35.29,34.18,35.00,35.00,1.48%,"2,854,987"
EXEL,Mid-Cap,"Feb 13, 2025",32.92,34.60,32.84,34.49,34.49,5.15%,"3,538,821"
EXEL,Mid-Cap,"Feb 12, 2025",33.20,35.37,32.72,32.80,32.80,-0.03%,"4,914,714"
EXEL,Mid-Cap,"Feb 11, 2025",33.38,33.61,32.40,32.81,32.81,-2.06%,"2,181,928"
EXEL,Mid-Cap,"Feb 10, 2025",33.55,34.24,33.42,33.50,33.50,0.06%,"2,529,303"
EXEL,Mid-Cap,"Feb 7, 2025",33.60,33.80,33.10,33.48,33.48,-0.56%,"1,491,187"
EXEL,Mid-Cap,"Feb 6, 2025",33.57,33.87,33.36,33.67,33.67,0.36%,"1,577,934"
EXEL,Mid-Cap,"Feb 5, 2025",33.39,33.61,33.21,33.55,33.55,1.30%,"1,570,563"
EXEL,Mid-Cap,"Feb 4, 2025",33.35,33.60,32.95,33.12,33.12,0.73%,"1,549,359"
EXEL,Mid-Cap,"Feb 3, 2025",32.80,33.33,32.44,32.88,32.88,-0.81%,"1,981,087"
EXEL,Mid-Cap,"Jan 31, 2025",32.92,33.65,32.92,33.15,33.15,0.67%,"2,421,479"
EXEL,Mid-Cap,"Jan 30, 2025",33.22,33.32,32.74,32.93,32.93,-0.09%,"2,152,041"
EXEL,Mid-Cap,"Jan 29, 2025",32.74,33.22,32.59,32.96,32.96,1.10%,"2,249,140"
EXEL,Mid-Cap,"Jan 28, 2025",32.43,33.06,32.30,32.60,32.60,-0.40%,"2,986,412"
EXEL,Mid-Cap,"Jan 27, 2025",32.92,33.50,32.44,32.73,32.73,1.08%,"3,087,373"
EXEL,Mid-Cap,"Jan 24, 2025",33.49,33.59,31.90,32.38,32.38,-5.13%,"3,627,847"
EXEL,Mid-Cap,"Jan 23, 2025",33.00,34.25,32.55,34.13,34.13,3.80%,"2,895,295"
EXEL,Mid-Cap,"Jan 22, 2025",36.44,36.66,32.73,32.88,32.88,-9.74%,"3,833,791"
EXEL,Mid-Cap,"Jan 21, 2025",36.44,36.90,35.91,36.43,36.43,0.64%,"2,210,903"
EXEL,Mid-Cap,"Jan 17, 2025",36.76,36.92,35.99,36.20,36.20,-0.96%,"2,865,000"
EXEL,Mid-Cap,"Jan 16, 2025",37.59,37.59,36.47,36.55,36.55,-1.93%,"2,115,510"
EXEL,Mid-Cap,"Jan 15, 2025",36.23,37.31,36.06,37.27,37.27,4.54%,"4,931,036"
EXEL,Mid-Cap,"Jan 14, 2025",35.25,35.98,35.05,35.65,35.65,0.99%,"4,257,401"
EXEL,Mid-Cap,"Jan 13, 2025",36.35,36.45,34.56,35.30,35.30,-2.00%,"2,602,770"
EXEL,Mid-Cap,"Jan 10, 2025",34.25,36.19,34.10,36.02,36.02,4.41%,"3,120,615"
EXEL,Mid-Cap,"Jan 8, 2025",34.18,34.55,33.92,34.50,34.50,0.85%,"1,555,459"
EXEL,Mid-Cap,"Jan 7, 2025",33.31,34.53,33.30,34.21,34.21,3.04%,"2,441,391"
EXEL,Mid-Cap,"Jan 6, 2025",33.86,34.06,33.05,33.20,33.20,-2.27%,"2,143,088"
EXEL,Mid-Cap,"Jan 3, 2025",33.79,34.12,33.79,33.97,33.97,0.09%,"1,307,404"
EXEL,Mid-Cap,"Jan 2, 2025",33.54,33.97,33.47,33.94,33.94,1.92%,"1,740,200"
EXEL,Mid-Cap,"Dec 31, 2024",33.92,34.07,33.25,33.30,33.30,-1.19%,"1,683,541"
EXEL,Mid-Cap,"Dec 30, 2024",33.71,34.15,33.63,33.70,33.70,-0.33%,"1,359,687"
EXEL,Mid-Cap,"Dec 27, 2024",33.90,34.25,33.68,33.81,33.81,-0.65%,"1,049,935"
EXEL,Mid-Cap,"Dec 26, 2024",33.72,34.09,33.71,34.03,34.03,0.62%,"1,101,491"
EXEL,Mid-Cap,"Dec 24, 2024",33.34,33.90,33.34,33.82,33.82,1.02%,"799,460"
EXEL,Mid-Cap,"Dec 23, 2024",33.46,33.61,33.13,33.48,33.48,0.57%,"1,921,964"
EXEL,Mid-Cap,"Dec 20, 2024",33.30,33.68,33.11,33.29,33.29,-1.16%,"7,648,946"
EXEL,Mid-Cap,"Dec 19, 2024",33.39,34.16,33.20,33.68,33.68,0.06%,"2,836,423"
EXEL,Mid-Cap,"Dec 18, 2024",34.82,35.32,33.58,33.66,33.66,-2.97%,"2,639,962"
EXEL,Mid-Cap,"Dec 17, 2024",35.34,35.66,34.30,34.69,34.69,-3.83%,"2,235,197"
EXEL,Mid-Cap,"Dec 16, 2024",35.00,36.22,34.94,36.07,36.07,2.97%,"2,329,401"
EXEL,Mid-Cap,"Dec 13, 2024",35.13,35.14,34.58,35.03,35.03,-0.43%,"1,498,291"
EXEL,Mid-Cap,"Dec 12, 2024",35.36,35.58,35.15,35.18,35.18,-0.68%,"1,219,854"
EXEL,Mid-Cap,"Dec 11, 2024",35.33,35.55,35.10,35.42,35.42,0.54%,"1,400,246"
EXEL,Mid-Cap,"Dec 10, 2024",35.17,35.50,35.02,35.23,35.23,0.17%,"1,622,789"
EXEL,Mid-Cap,"Dec 9, 2024",35.84,35.96,34.95,35.17,35.17,-1.81%,"1,741,095"
EXEL,Mid-Cap,"Dec 6, 2024",36.15,36.15,35.69,35.82,35.82,-0.61%,"1,357,790"
EXEL,Mid-Cap,"Dec 5, 2024",35.72,36.22,35.60,36.04,36.04,0.75%,"1,646,886"
EXEL,Mid-Cap,"Dec 4, 2024",35.27,35.83,35.08,35.77,35.77,1.45%,"1,663,151"
EXEL,Mid-Cap,"Dec 3, 2024",35.37,35.62,35.09,35.26,35.26,-0.93%,"2,053,861"
EXEL,Mid-Cap,"Dec 2, 2024",36.43,36.44,35.52,35.59,35.59,-2.39%,"2,048,398"
EXEL,Mid-Cap,"Nov 29, 2024",36.13,36.97,36.13,36.46,36.46,1.48%,"1,691,874"
EXEL,Mid-Cap,"Nov 27, 2024",36.45,36.73,35.57,35.93,35.93,-1.43%,"1,781,174"
EXEL,Mid-Cap,"Nov 26, 2024",36.37,36.48,35.80,36.45,36.45,0.19%,"1,308,122"
EXEL,Mid-Cap,"Nov 25, 2024",35.80,36.72,35.80,36.38,36.38,2.16%,"2,324,093"
EXEL,Mid-Cap,"Nov 22, 2024",34.83,35.69,34.76,35.61,35.61,2.24%,"1,763,901"
EXEL,Mid-Cap,"Nov 21, 2024",34.75,35.00,34.40,34.83,34.83,0.52%,"1,414,305"
EXEL,Mid-Cap,"Nov 20, 2024",34.57,34.81,34.25,34.65,34.65,0.70%,"1,787,943"
EXEL,Mid-Cap,"Nov 19, 2024",34.20,34.59,33.82,34.41,34.41,-0.32%,"2,207,829"
EXEL,Mid-Cap,"Nov 18, 2024",34.15,34.63,34.06,34.52,34.52,0.20%,"1,803,101"
EXEL,Mid-Cap,"Nov 15, 2024",34.98,35.14,34.06,34.45,34.45,-1.71%,"2,867,787"
EXEL,Mid-Cap,"Nov 14, 2024",35.19,35.52,34.98,35.05,35.05,-0.40%,"2,980,607"
EXEL,Mid-Cap,"Nov 13, 2024",36.02,36.37,35.10,35.19,35.19,-1.84%,"2,011,034"
EXEL,Mid-Cap,"Nov 12, 2024",36.34,36.49,35.81,35.85,35.85,-0.94%,"1,667,001"
EXEL,Mid-Cap,"Nov 11, 2024",36.32,36.48,36.11,36.19,36.19,-0.17%,"1,914,733"
EXEL,Mid-Cap,"Nov 8, 2024",35.90,36.60,35.85,36.25,36.25,1.26%,"2,227,542"
EXEL,Mid-Cap,"Nov 7, 2024",35.38,36.17,35.26,35.80,35.80,0.82%,"1,764,848"
EXEL,Mid-Cap,"Nov 6, 2024",35.30,35.84,34.97,35.51,35.51,2.13%,"2,519,706"
EXEL,Mid-Cap,"Nov 5, 2024",34.08,35.15,34.08,34.77,34.77,1.40%,"2,754,905"
EXEL,Mid-Cap,"Nov 4, 2024",34.12,34.65,33.76,34.29,34.29,0.50%,"2,604,449"
EXEL,Mid-Cap,"Nov 1, 2024",33.44,34.45,33.34,34.12,34.12,2.77%,"4,537,149"
EXEL,Mid-Cap,"Oct 31, 2024",32.40,33.60,32.30,33.20,33.20,2.34%,"4,422,014"
EXEL,Mid-Cap,"Oct 30, 2024",31.40,33.32,31.18,32.44,32.44,12.91%,"6,738,079"
EXEL,Mid-Cap,"Oct 29, 2024",28.48,28.98,28.30,28.73,28.73,0.81%,"2,807,748"
EXEL,Mid-Cap,"Oct 28, 2024",28.17,28.57,28.05,28.50,28.50,2.26%,"2,049,051"
EXEL,Mid-Cap,"Oct 25, 2024",28.34,28.34,27.86,27.87,27.87,-0.85%,"1,015,574"
EXEL,Mid-Cap,"Oct 24, 2024",28.34,28.79,28.00,28.11,28.11,-0.74%,"1,173,780"
EXEL,Mid-Cap,"Oct 23, 2024",28.81,28.81,28.29,28.32,28.32,-1.77%,"1,387,265"
EXEL,Mid-Cap,"Oct 22, 2024",28.59,29.03,28.38,28.83,28.83,0.59%,"1,709,209"
EXEL,Mid-Cap,"Oct 21, 2024",28.95,29.09,28.39,28.66,28.66,-0.83%,"2,059,740"
EXEL,Mid-Cap,"Oct 18, 2024",29.06,29.13,28.54,28.90,28.90,-0.55%,"2,461,086"
EXEL,Mid-Cap,"Oct 17, 2024",29.51,29.75,28.88,29.06,29.06,-0.99%,"3,124,602"
EXEL,Mid-Cap,"Oct 16, 2024",28.70,29.60,28.31,29.35,29.35,2.98%,"3,320,595"
