symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
G,Mid-Cap,"Feb 14, 2025",55.34,55.55,54.69,55.05,55.05,-0.88%,"1,599,287"
G,Mid-Cap,"Feb 13, 2025",54.91,55.84,54.62,55.54,55.54,1.17%,"1,282,573"
G,Mid-Cap,"Feb 12, 2025",54.27,55.08,53.78,54.90,54.90,0.24%,"1,780,309"
G,Mid-Cap,"Feb 11, 2025",54.40,55.26,53.86,54.77,54.77,0.61%,"2,119,874"
G,Mid-Cap,"Feb 10, 2025",54.93,55.33,54.15,54.44,54.44,-0.93%,"2,640,596"
G,Mid-Cap,"Feb 7, 2025",54.93,56.76,54.33,54.95,54.95,11.23%,"4,185,978"
G,Mid-Cap,"Feb 6, 2025",49.50,49.68,49.03,49.40,49.40,-0.02%,"1,261,052"
G,Mid-Cap,"Feb 5, 2025",49.50,49.68,49.00,49.41,49.41,0.10%,"1,145,152"
G,Mid-Cap,"Feb 4, 2025",48.83,49.47,48.60,49.36,49.36,0.88%,"1,179,204"
G,Mid-Cap,"Feb 3, 2025",47.93,49.15,47.77,48.93,48.93,0.49%,"1,324,129"
G,Mid-Cap,"Jan 31, 2025",48.00,48.74,47.99,48.69,48.69,0.56%,"2,627,244"
G,Mid-Cap,"Jan 30, 2025",47.99,48.51,47.80,48.42,48.42,1.85%,"1,943,468"
G,Mid-Cap,"Jan 29, 2025",47.73,48.14,47.48,47.54,47.54,-0.21%,"2,053,800"
G,Mid-Cap,"Jan 28, 2025",46.38,47.84,46.10,47.64,47.64,2.72%,"2,464,499"
G,Mid-Cap,"Jan 27, 2025",46.30,46.91,45.97,46.38,46.38,0.04%,"1,135,066"
G,Mid-Cap,"Jan 24, 2025",46.11,46.39,46.08,46.36,46.36,0.41%,"669,230"
G,Mid-Cap,"Jan 23, 2025",45.79,46.60,45.72,46.17,46.17,0.79%,"1,054,777"
G,Mid-Cap,"Jan 22, 2025",46.17,46.41,45.66,45.81,45.81,-0.76%,"973,547"
G,Mid-Cap,"Jan 21, 2025",46.18,46.79,45.98,46.16,46.16,2.33%,"999,525"
G,Mid-Cap,"Jan 17, 2025",44.84,45.33,44.75,45.11,45.11,0.60%,"956,982"
G,Mid-Cap,"Jan 16, 2025",44.25,44.94,44.17,44.84,44.84,1.17%,"767,756"
G,Mid-Cap,"Jan 15, 2025",44.84,45.03,43.88,44.32,44.32,0.27%,"1,065,390"
