symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
KD,Mid-Cap,"Feb 14, 2025",41.43,41.86,41.25,41.79,41.79,0.60%,"1,139,577"
KD,Mid-Cap,"Feb 13, 2025",41.22,41.80,40.81,41.54,41.54,0.95%,"1,512,805"
KD,Mid-Cap,"Feb 12, 2025",39.36,41.24,39.12,41.15,41.15,2.87%,"2,063,232"
KD,Mid-Cap,"Feb 11, 2025",40.86,41.24,39.84,40.00,40.00,-2.49%,"1,846,036"
KD,Mid-Cap,"Feb 10, 2025",42.13,42.25,40.50,41.02,41.02,-1.87%,"1,663,801"
KD,Mid-Cap,"Feb 7, 2025",43.12,43.38,41.69,41.80,41.80,-2.70%,"1,438,840"
KD,Mid-Cap,"Feb 6, 2025",43.60,43.60,42.17,42.96,42.96,-1.13%,"2,750,710"
KD,Mid-Cap,"Feb 5, 2025",40.20,43.61,40.17,43.45,43.45,8.84%,"5,099,045"
KD,Mid-Cap,"Feb 4, 2025",37.06,40.06,36.55,39.92,39.92,5.16%,"4,239,988"
KD,Mid-Cap,"Feb 3, 2025",37.03,38.15,36.80,37.96,37.96,-,"4,411,220"
KD,Mid-Cap,"Jan 31, 2025",37.25,38.34,37.06,37.96,37.96,0.66%,"2,446,463"
KD,Mid-Cap,"Jan 30, 2025",37.46,38.13,36.60,37.71,37.71,-1.75%,"2,944,011"
KD,Mid-Cap,"Jan 29, 2025",38.42,38.53,37.80,38.38,38.38,-0.10%,"2,254,471"
KD,Mid-Cap,"Jan 28, 2025",38.23,39.06,37.86,38.42,38.42,1.29%,"2,560,321"
KD,Mid-Cap,"Jan 27, 2025",38.19,38.55,37.40,37.93,37.93,-3.56%,"2,209,753"
KD,Mid-Cap,"Jan 24, 2025",39.21,39.51,39.00,39.33,39.33,0.15%,"1,250,154"
KD,Mid-Cap,"Jan 23, 2025",38.53,39.31,38.03,39.27,39.27,0.90%,"1,586,606"
KD,Mid-Cap,"Jan 22, 2025",39.30,39.54,38.61,38.92,38.92,-0.54%,"1,365,157"
KD,Mid-Cap,"Jan 21, 2025",38.51,39.22,38.45,39.13,39.13,2.27%,"2,239,124"
KD,Mid-Cap,"Jan 17, 2025",38.70,38.81,38.05,38.26,38.26,-0.21%,"1,299,056"
KD,Mid-Cap,"Jan 16, 2025",38.53,39.02,38.22,38.34,38.34,0.13%,"2,982,674"
KD,Mid-Cap,"Jan 15, 2025",38.28,38.50,37.67,38.29,38.29,2.05%,"1,753,035"
KD,Mid-Cap,"Jan 14, 2025",37.12,37.86,37.00,37.52,37.52,2.15%,"2,202,376"
KD,Mid-Cap,"Jan 13, 2025",36.23,36.90,36.01,36.73,36.73,-0.03%,"1,456,714"
KD,Mid-Cap,"Jan 10, 2025",37.00,37.41,36.35,36.74,36.74,-2.60%,"1,982,852"
KD,Mid-Cap,"Jan 8, 2025",37.54,38.12,37.27,37.72,37.72,-0.34%,"2,424,169"
KD,Mid-Cap,"Jan 7, 2025",39.00,39.33,37.20,37.85,37.85,-2.27%,"3,204,931"
KD,Mid-Cap,"Jan 6, 2025",38.55,39.47,37.62,38.73,38.73,4.00%,"4,324,006"
KD,Mid-Cap,"Jan 3, 2025",37.24,37.70,35.90,37.24,37.24,4.84%,"3,970,954"
KD,Mid-Cap,"Jan 2, 2025",34.73,35.74,33.86,35.52,35.52,2.66%,"3,459,334"
KD,Mid-Cap,"Dec 31, 2024",34.64,34.98,34.46,34.60,34.60,0.20%,"2,250,579"
KD,Mid-Cap,"Dec 30, 2024",34.30,34.84,34.08,34.53,34.53,-0.86%,"2,360,658"
KD,Mid-Cap,"Dec 27, 2024",35.20,35.57,34.59,34.83,34.83,-1.69%,"737,491"
KD,Mid-Cap,"Dec 26, 2024",34.86,35.49,34.84,35.43,35.43,1.26%,"708,808"
KD,Mid-Cap,"Dec 24, 2024",34.58,35.07,34.50,34.99,34.99,1.69%,"566,136"
KD,Mid-Cap,"Dec 23, 2024",34.32,34.65,34.20,34.41,34.41,-0.29%,"890,888"
KD,Mid-Cap,"Dec 20, 2024",33.75,34.85,33.51,34.51,34.51,0.97%,"4,356,646"
KD,Mid-Cap,"Dec 19, 2024",34.66,34.90,34.00,34.18,34.18,0.23%,"1,565,465"
KD,Mid-Cap,"Dec 18, 2024",35.32,35.67,33.91,34.10,34.10,-3.65%,"2,398,020"
KD,Mid-Cap,"Dec 17, 2024",35.51,35.94,35.14,35.39,35.39,-0.78%,"1,676,423"
KD,Mid-Cap,"Dec 16, 2024",35.37,35.93,35.37,35.67,35.67,1.02%,"1,324,999"
KD,Mid-Cap,"Dec 13, 2024",35.81,35.93,35.21,35.31,35.31,-1.29%,"1,286,840"
KD,Mid-Cap,"Dec 12, 2024",35.56,36.43,35.50,35.77,35.77,-0.06%,"1,797,472"
KD,Mid-Cap,"Dec 11, 2024",35.15,35.97,35.10,35.79,35.79,1.91%,"2,476,475"
KD,Mid-Cap,"Dec 10, 2024",34.30,35.33,34.22,35.12,35.12,2.09%,"1,968,029"
KD,Mid-Cap,"Dec 9, 2024",34.59,34.90,34.14,34.40,34.40,-0.32%,"1,495,969"
KD,Mid-Cap,"Dec 6, 2024",34.98,35.10,34.42,34.51,34.51,-0.46%,"1,275,258"
KD,Mid-Cap,"Dec 5, 2024",34.77,35.18,34.61,34.67,34.67,-0.40%,"1,577,105"
KD,Mid-Cap,"Dec 4, 2024",34.99,35.18,34.60,34.81,34.81,0.09%,"1,720,178"
KD,Mid-Cap,"Dec 3, 2024",34.00,35.00,33.81,34.78,34.78,2.11%,"2,181,299"
KD,Mid-Cap,"Dec 2, 2024",34.53,34.87,33.82,34.06,34.06,-1.87%,"2,909,842"
KD,Mid-Cap,"Nov 29, 2024",35.00,35.23,34.55,34.71,34.71,-0.32%,"905,291"
KD,Mid-Cap,"Nov 27, 2024",34.13,34.95,34.08,34.82,34.82,1.49%,"2,343,051"
KD,Mid-Cap,"Nov 26, 2024",33.90,34.37,33.51,34.31,34.31,1.21%,"2,826,544"
KD,Mid-Cap,"Nov 25, 2024",33.48,34.33,33.11,33.90,33.90,2.57%,"3,725,920"
KD,Mid-Cap,"Nov 22, 2024",32.83,33.62,32.49,33.05,33.05,1.72%,"5,066,777"
KD,Mid-Cap,"Nov 21, 2024",29.38,33.26,29.26,32.49,32.49,13.88%,"6,817,901"
KD,Mid-Cap,"Nov 20, 2024",28.12,28.69,27.78,28.53,28.53,1.75%,"2,525,859"
KD,Mid-Cap,"Nov 19, 2024",27.79,28.50,27.72,28.04,28.04,-0.07%,"2,308,615"
KD,Mid-Cap,"Nov 18, 2024",27.99,28.61,27.96,28.06,28.06,0.50%,"3,015,445"
KD,Mid-Cap,"Nov 15, 2024",28.12,28.12,27.34,27.92,27.92,-1.20%,"3,954,901"
KD,Mid-Cap,"Nov 14, 2024",28.75,28.93,28.21,28.26,28.26,-1.53%,"1,523,113"
KD,Mid-Cap,"Nov 13, 2024",28.19,28.86,27.91,28.70,28.70,1.95%,"2,153,703"
KD,Mid-Cap,"Nov 12, 2024",28.09,28.80,27.95,28.15,28.15,0.25%,"2,382,899"
KD,Mid-Cap,"Nov 11, 2024",28.05,28.39,27.52,28.08,28.08,1.34%,"1,825,829"
KD,Mid-Cap,"Nov 8, 2024",27.29,28.43,27.25,27.71,27.71,0.58%,"3,194,453"
KD,Mid-Cap,"Nov 7, 2024",25.81,27.89,25.53,27.55,27.55,14.17%,"4,832,701"
KD,Mid-Cap,"Nov 6, 2024",23.50,24.59,23.20,24.13,24.13,4.96%,"4,055,621"
KD,Mid-Cap,"Nov 5, 2024",22.90,23.13,22.83,22.99,22.99,-0.04%,"2,612,394"
KD,Mid-Cap,"Nov 4, 2024",22.83,23.27,22.68,23.00,23.00,0.13%,"1,970,316"
KD,Mid-Cap,"Nov 1, 2024",23.10,23.20,22.91,22.97,22.97,0.35%,"1,339,366"
KD,Mid-Cap,"Oct 31, 2024",23.51,23.70,22.87,22.89,22.89,-3.58%,"1,769,349"
KD,Mid-Cap,"Oct 30, 2024",24.12,24.32,23.68,23.74,23.74,-2.14%,"1,035,898"
KD,Mid-Cap,"Oct 29, 2024",23.91,24.29,23.78,24.26,24.26,2.06%,"1,153,917"
KD,Mid-Cap,"Oct 28, 2024",24.20,24.28,23.63,23.77,23.77,-1.25%,"1,609,490"
KD,Mid-Cap,"Oct 25, 2024",24.23,24.46,24.04,24.07,24.07,-0.04%,"1,229,183"
KD,Mid-Cap,"Oct 24, 2024",24.12,24.29,23.98,24.08,24.08,0.29%,"796,262"
KD,Mid-Cap,"Oct 23, 2024",24.19,24.42,23.96,24.01,24.01,-1.32%,"1,478,876"
KD,Mid-Cap,"Oct 22, 2024",24.35,24.61,24.11,24.33,24.33,-0.33%,"1,509,460"
KD,Mid-Cap,"Oct 21, 2024",25.00,25.17,24.22,24.41,24.41,-2.98%,"1,254,568"
KD,Mid-Cap,"Oct 18, 2024",25.04,25.27,24.93,25.16,25.16,0.56%,"794,059"
KD,Mid-Cap,"Oct 17, 2024",25.12,25.27,25.00,25.02,25.02,-0.04%,"1,058,738"
KD,Mid-Cap,"Oct 16, 2024",24.92,25.10,24.74,25.03,25.03,0.40%,"947,755"
KD,Mid-Cap,"Oct 15, 2024",24.92,25.25,24.81,24.93,24.93,0.36%,"1,219,274"
