symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
KEP,Mid-Cap,"Feb 14, 2025",7.30,7.40,7.30,7.36,7.36,1.80%,"318,098"
KEP,Mid-Cap,"Feb 13, 2025",7.13,7.23,7.13,7.23,7.23,1.54%,"105,799"
KEP,Mid-Cap,"Feb 12, 2025",7.06,7.14,7.04,7.12,7.12,0.28%,"96,871"
KEP,Mid-Cap,"Feb 11, 2025",7.14,7.14,7.08,7.10,7.10,-0.98%,"102,052"
KEP,Mid-Cap,"Feb 10, 2025",7.15,7.18,7.15,7.17,7.17,0.42%,"94,466"
KEP,Mid-Cap,"Feb 7, 2025",7.29,7.29,7.12,7.14,7.14,-2.33%,"116,793"
KEP,Mid-Cap,"Feb 6, 2025",7.35,7.42,7.30,7.31,7.31,-0.14%,"127,499"
KEP,Mid-Cap,"Feb 5, 2025",7.30,7.36,7.29,7.32,7.32,1.95%,"227,812"
KEP,Mid-Cap,"Feb 4, 2025",7.14,7.20,7.10,7.18,7.18,0.42%,"94,914"
KEP,Mid-Cap,"Feb 3, 2025",7.05,7.19,7.03,7.15,7.15,-1.38%,"138,957"
KEP,Mid-Cap,"Jan 31, 2025",7.36,7.36,7.23,7.25,7.25,-1.36%,"161,664"
KEP,Mid-Cap,"Jan 30, 2025",7.38,7.40,7.31,7.35,7.35,1.10%,"182,937"
KEP,Mid-Cap,"Jan 29, 2025",7.22,7.30,7.20,7.27,7.27,1.25%,"129,954"
KEP,Mid-Cap,"Jan 28, 2025",7.28,7.28,7.16,7.18,7.18,-1.37%,"140,190"
KEP,Mid-Cap,"Jan 27, 2025",7.28,7.30,7.17,7.28,7.28,-0.82%,"218,938"
KEP,Mid-Cap,"Jan 24, 2025",7.27,7.38,7.27,7.34,7.34,1.10%,"174,972"
KEP,Mid-Cap,"Jan 23, 2025",7.26,7.28,7.18,7.26,7.26,-0.82%,"90,039"
KEP,Mid-Cap,"Jan 22, 2025",7.39,7.39,7.30,7.32,7.32,-1.35%,"138,939"
KEP,Mid-Cap,"Jan 21, 2025",7.31,7.42,7.31,7.42,7.42,3.63%,"196,534"
KEP,Mid-Cap,"Jan 17, 2025",7.10,7.20,7.10,7.16,7.16,2.29%,"147,234"
KEP,Mid-Cap,"Jan 16, 2025",7.02,7.05,6.98,7.00,7.00,-1.41%,"181,383"
KEP,Mid-Cap,"Jan 15, 2025",7.02,7.16,6.98,7.10,7.10,2.90%,"305,853"
KEP,Mid-Cap,"Jan 14, 2025",6.90,6.98,6.89,6.90,6.90,0.44%,"132,607"
KEP,Mid-Cap,"Jan 13, 2025",6.87,6.94,6.82,6.87,6.87,-,"184,178"
KEP,Mid-Cap,"Jan 10, 2025",6.95,6.96,6.87,6.87,6.87,-2.00%,"189,565"
KEP,Mid-Cap,"Jan 8, 2025",7.04,7.05,6.99,7.01,7.01,-0.57%,"261,004"
KEP,Mid-Cap,"Jan 7, 2025",7.04,7.09,7.01,7.05,7.05,2.77%,"223,217"
KEP,Mid-Cap,"Jan 6, 2025",6.89,6.91,6.86,6.86,6.86,-,"205,778"
KEP,Mid-Cap,"Jan 3, 2025",6.80,6.92,6.79,6.86,6.86,2.69%,"235,276"
KEP,Mid-Cap,"Jan 2, 2025",6.85,6.86,6.68,6.68,6.68,-2.91%,"321,656"
KEP,Mid-Cap,"Dec 31, 2024",6.87,6.91,6.85,6.88,6.88,1.03%,"245,373"
KEP,Mid-Cap,"Dec 30, 2024",6.96,6.96,6.81,6.81,6.81,-1.87%,"197,898"
KEP,Mid-Cap,"Dec 27, 2024",6.89,6.99,6.83,6.94,6.94,-1.00%,"413,190"
KEP,Mid-Cap,"Dec 26, 2024",7.09,7.09,7.00,7.01,7.01,-1.82%,"386,850"
KEP,Mid-Cap,"Dec 24, 2024",7.13,7.15,7.09,7.14,7.14,-0.42%,"69,304"
KEP,Mid-Cap,"Dec 23, 2024",7.15,7.18,7.12,7.17,7.17,0.42%,"237,058"
KEP,Mid-Cap,"Dec 20, 2024",7.02,7.15,7.02,7.14,7.14,-0.97%,"288,850"
KEP,Mid-Cap,"Dec 19, 2024",7.24,7.28,7.16,7.21,7.21,-0.69%,"332,250"
KEP,Mid-Cap,"Dec 18, 2024",7.45,7.48,7.25,7.26,7.26,-2.94%,"346,857"
KEP,Mid-Cap,"Dec 17, 2024",7.50,7.50,7.45,7.48,7.48,-0.93%,"140,930"
KEP,Mid-Cap,"Dec 16, 2024",7.51,7.57,7.49,7.55,7.55,1.75%,"265,750"
KEP,Mid-Cap,"Dec 13, 2024",7.45,7.46,7.42,7.42,7.42,0.54%,"180,030"
KEP,Mid-Cap,"Dec 12, 2024",7.31,7.46,7.31,7.38,7.38,-1.73%,"140,226"
KEP,Mid-Cap,"Dec 11, 2024",7.54,7.54,7.43,7.51,7.51,-0.53%,"633,766"
KEP,Mid-Cap,"Dec 10, 2024",7.49,7.55,7.42,7.55,7.55,2.72%,"281,048"
KEP,Mid-Cap,"Dec 9, 2024",7.43,7.48,7.33,7.35,7.35,-4.42%,"401,144"
KEP,Mid-Cap,"Dec 6, 2024",7.65,7.74,7.59,7.69,7.69,-0.52%,"310,563"
KEP,Mid-Cap,"Dec 5, 2024",7.84,7.84,7.70,7.73,7.73,-1.02%,"238,119"
KEP,Mid-Cap,"Dec 4, 2024",7.87,8.02,7.79,7.81,7.81,-6.80%,"703,269"
KEP,Mid-Cap,"Dec 3, 2024",8.28,8.39,8.14,8.38,8.38,-2.10%,"353,928"
KEP,Mid-Cap,"Dec 2, 2024",8.86,8.86,8.56,8.56,8.56,-4.89%,"438,972"
KEP,Mid-Cap,"Nov 29, 2024",8.65,9.43,8.62,9.00,9.00,3.21%,"631,834"
KEP,Mid-Cap,"Nov 27, 2024",8.78,8.78,8.72,8.72,8.72,-0.68%,"64,634"
KEP,Mid-Cap,"Nov 26, 2024",8.75,8.78,8.73,8.78,8.78,2.69%,"55,672"
KEP,Mid-Cap,"Nov 25, 2024",8.57,8.61,8.53,8.55,8.55,0.47%,"75,865"
KEP,Mid-Cap,"Nov 22, 2024",8.53,8.55,8.51,8.51,8.51,-0.82%,"70,555"
KEP,Mid-Cap,"Nov 21, 2024",8.55,8.59,8.51,8.58,8.58,0.47%,"53,717"
KEP,Mid-Cap,"Nov 20, 2024",8.57,8.57,8.49,8.54,8.54,-1.73%,"71,722"
KEP,Mid-Cap,"Nov 19, 2024",8.56,8.69,8.56,8.69,8.69,1.40%,"76,687"
KEP,Mid-Cap,"Nov 18, 2024",8.40,8.57,8.40,8.57,8.57,4.64%,"111,516"
KEP,Mid-Cap,"Nov 15, 2024",8.20,8.20,8.12,8.19,8.19,-0.97%,"108,555"
KEP,Mid-Cap,"Nov 14, 2024",8.19,8.30,8.14,8.27,8.27,3.89%,"126,293"
KEP,Mid-Cap,"Nov 13, 2024",8.06,8.06,7.92,7.96,7.96,4.19%,"110,044"
KEP,Mid-Cap,"Nov 12, 2024",7.73,7.73,7.58,7.64,7.64,-3.41%,"92,345"
KEP,Mid-Cap,"Nov 11, 2024",7.91,7.93,7.90,7.91,7.91,-0.13%,"47,968"
KEP,Mid-Cap,"Nov 8, 2024",8.01,8.01,7.87,7.92,7.92,-3.53%,"101,802"
KEP,Mid-Cap,"Nov 7, 2024",8.18,8.21,8.16,8.21,8.21,0.74%,"46,195"
KEP,Mid-Cap,"Nov 6, 2024",8.27,8.27,8.13,8.15,8.15,-2.28%,"59,874"
KEP,Mid-Cap,"Nov 5, 2024",8.31,8.39,8.31,8.34,8.34,0.36%,"102,594"
KEP,Mid-Cap,"Nov 4, 2024",8.29,8.35,8.28,8.31,8.31,0.24%,"86,763"
KEP,Mid-Cap,"Nov 1, 2024",8.39,8.39,8.29,8.29,8.29,-0.72%,"69,239"
KEP,Mid-Cap,"Oct 31, 2024",8.33,8.36,8.30,8.35,8.35,1.21%,"66,811"
KEP,Mid-Cap,"Oct 30, 2024",8.26,8.30,8.25,8.25,8.25,-,"46,311"
KEP,Mid-Cap,"Oct 29, 2024",8.20,8.38,8.20,8.25,8.25,0.73%,"122,969"
KEP,Mid-Cap,"Oct 28, 2024",8.19,8.22,8.19,8.19,8.19,0.12%,"84,815"
KEP,Mid-Cap,"Oct 25, 2024",8.32,8.32,8.17,8.18,8.18,-1.33%,"97,986"
KEP,Mid-Cap,"Oct 24, 2024",8.30,8.32,8.26,8.29,8.29,4.94%,"74,155"
KEP,Mid-Cap,"Oct 23, 2024",7.89,7.92,7.87,7.90,7.90,0.13%,"95,560"
KEP,Mid-Cap,"Oct 22, 2024",7.80,7.90,7.80,7.89,7.89,3.41%,"128,061"
KEP,Mid-Cap,"Oct 21, 2024",7.74,7.74,7.62,7.63,7.63,-0.52%,"85,486"
KEP,Mid-Cap,"Oct 18, 2024",7.61,7.69,7.61,7.67,7.67,2.82%,"103,526"
KEP,Mid-Cap,"Oct 17, 2024",7.55,7.55,7.46,7.46,7.46,-1.45%,"89,678"
KEP,Mid-Cap,"Oct 16, 2024",7.55,7.61,7.55,7.57,7.57,0.93%,"68,870"
KEP,Mid-Cap,"Oct 15, 2024",7.61,7.62,7.50,7.50,7.50,-1.06%,"91,383"
KEP,Mid-Cap,"Oct 14, 2024",7.49,7.61,7.49,7.58,7.58,3.13%,"113,804"
KEP,Mid-Cap,"Oct 11, 2024",7.32,7.38,7.32,7.35,7.35,0.41%,"85,105"
KEP,Mid-Cap,"Oct 10, 2024",7.37,7.38,7.30,7.32,7.32,-1.35%,"100,336"
KEP,Mid-Cap,"Oct 9, 2024",7.34,7.44,7.34,7.42,7.42,0.82%,"122,332"
KEP,Mid-Cap,"Oct 8, 2024",7.39,7.41,7.36,7.36,7.36,-0.14%,"90,493"
KEP,Mid-Cap,"Oct 7, 2024",7.49,7.49,7.37,7.37,7.37,-1.86%,"136,059"
KEP,Mid-Cap,"Oct 4, 2024",7.50,7.53,7.48,7.51,7.51,0.27%,"51,119"
KEP,Mid-Cap,"Oct 3, 2024",7.51,7.53,7.49,7.49,7.49,-1.06%,"68,415"
KEP,Mid-Cap,"Oct 2, 2024",7.61,7.62,7.55,7.57,7.57,-1.94%,"98,340"
KEP,Mid-Cap,"Oct 1, 2024",7.75,7.78,7.71,7.72,7.72,-0.52%,"84,852"
KEP,Mid-Cap,"Sep 30, 2024",7.86,7.87,7.75,7.76,7.76,-2.14%,"258,146"
KEP,Mid-Cap,"Sep 27, 2024",7.87,7.97,7.87,7.93,7.93,2.06%,"127,297"
KEP,Mid-Cap,"Sep 26, 2024",7.70,7.82,7.69,7.77,7.77,4.16%,"139,868"
KEP,Mid-Cap,"Sep 25, 2024",7.52,7.52,7.46,7.46,7.46,-1.97%,"95,051"
KEP,Mid-Cap,"Sep 24, 2024",7.58,7.63,7.54,7.61,7.61,1.06%,"165,366"
KEP,Mid-Cap,"Sep 23, 2024",7.64,7.64,7.52,7.53,7.53,-8.28%,"217,298"
