symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
KNTK,Mid-Cap,"Feb 14, 2025",61.34,62.12,61.22,61.32,61.32,0.08%,"548,528"
KNTK,Mid-Cap,"Feb 13, 2025",61.54,62.24,60.00,61.27,61.27,-0.28%,"725,062"
KNTK,Mid-Cap,"Feb 12, 2025",61.61,62.64,61.20,61.44,61.44,-2.20%,"646,070"
KNTK,Mid-Cap,"Feb 11, 2025",63.46,63.47,61.31,62.82,62.82,-1.29%,"588,487"
KNTK,Mid-Cap,"Feb 10, 2025",63.57,64.48,63.25,63.64,63.64,0.86%,"672,796"
KNTK,Mid-Cap,"Feb 7, 2025",63.02,63.85,62.21,63.10,63.10,0.83%,"535,263"
KNTK,Mid-Cap,"Feb 6, 2025",64.59,64.68,62.50,62.58,62.58,-2.95%,"467,651"
KNTK,Mid-Cap,"Feb 5, 2025",63.92,66.27,63.39,64.48,64.48,1.78%,"1,004,441"
KNTK,Mid-Cap,"Feb 4, 2025",63.90,64.38,62.80,63.35,63.35,-1.35%,"590,069"
KNTK,Mid-Cap,"Feb 3, 2025",62.56,64.72,62.50,64.22,64.22,-0.33%,"653,880"
KNTK,Mid-Cap,"Jan 31, 2025",65.96,66.33,64.10,64.43,63.66,-2.07%,"1,106,976"
KNTK,Mid-Cap,"Jan 30, 2025",65.18,66.44,64.96,65.79,65.00,1.64%,"723,188"
KNTK,Mid-Cap,"Jan 29, 2025",63.12,64.87,62.99,64.73,63.95,2.05%,"632,264"
KNTK,Mid-Cap,"Jan 28, 2025",61.78,63.79,60.78,63.43,62.67,3.53%,"719,590"
KNTK,Mid-Cap,"Jan 27, 2025",65.26,65.26,60.81,61.27,60.54,-7.52%,"1,108,500"
KNTK,Mid-Cap,"Jan 24, 2025",65.35,66.40,64.72,66.25,65.46,0.67%,"586,082"
KNTK,Mid-Cap,"Jan 23, 2025",65.50,66.01,64.84,65.81,65.02,0.94%,"610,725"
KNTK,Mid-Cap,"Jan 22, 2025",66.60,66.60,63.84,65.20,64.42,-1.91%,"1,021,611"
KNTK,Mid-Cap,"Jan 21, 2025",65.30,67.60,64.74,66.47,65.67,1.99%,"1,184,658"
KNTK,Mid-Cap,"Jan 17, 2025",64.49,65.39,64.03,65.17,64.39,0.88%,"549,566"
KNTK,Mid-Cap,"Jan 16, 2025",62.32,65.31,62.01,64.60,63.83,3.66%,"802,181"
KNTK,Mid-Cap,"Jan 15, 2025",62.88,63.34,62.02,62.32,61.57,0.65%,"672,130"
KNTK,Mid-Cap,"Jan 14, 2025",60.61,61.94,60.61,61.92,61.18,2.18%,"430,598"
KNTK,Mid-Cap,"Jan 13, 2025",60.18,61.07,59.94,60.60,59.87,0.31%,"411,522"
KNTK,Mid-Cap,"Jan 10, 2025",60.31,60.88,59.76,60.41,59.69,1.27%,"461,490"
KNTK,Mid-Cap,"Jan 8, 2025",58.87,60.25,58.51,59.65,58.93,0.39%,"439,110"
KNTK,Mid-Cap,"Jan 7, 2025",58.63,59.83,58.47,59.42,58.71,1.57%,"523,439"
KNTK,Mid-Cap,"Jan 6, 2025",60.15,60.41,58.22,58.50,57.80,-1.81%,"535,245"
KNTK,Mid-Cap,"Jan 3, 2025",59.32,60.17,59.14,59.58,58.87,1.29%,"861,563"
KNTK,Mid-Cap,"Jan 2, 2025",57.28,58.86,56.96,58.82,58.11,3.72%,"341,585"
KNTK,Mid-Cap,"Dec 31, 2024",56.73,57.30,56.47,56.71,56.03,0.19%,"425,620"
KNTK,Mid-Cap,"Dec 30, 2024",56.38,57.19,55.60,56.60,55.92,0.34%,"325,809"
KNTK,Mid-Cap,"Dec 27, 2024",57.03,57.07,56.08,56.41,55.73,-1.05%,"199,732"
KNTK,Mid-Cap,"Dec 26, 2024",57.26,57.43,56.58,57.01,56.33,-1.16%,"387,005"
