symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
LTM,Mid-Cap,"Feb 14, 2025",32.78,32.88,32.46,32.64,32.64,-0.06%,"221,104"
LTM,Mid-Cap,"Feb 13, 2025",32.54,32.70,32.34,32.66,32.66,1.87%,"483,281"
LTM,Mid-Cap,"Feb 12, 2025",32.19,32.36,31.92,32.06,32.06,0.41%,"301,144"
LTM,Mid-Cap,"Feb 11, 2025",32.12,32.38,31.55,31.93,31.93,-0.59%,"372,071"
LTM,Mid-Cap,"Feb 10, 2025",31.34,32.19,31.20,32.12,32.12,2.78%,"600,057"
LTM,Mid-Cap,"Feb 7, 2025",31.07,31.56,30.91,31.25,31.25,1.73%,"384,596"
LTM,Mid-Cap,"Feb 6, 2025",30.80,30.90,30.61,30.72,30.72,0.03%,"297,482"
LTM,Mid-Cap,"Feb 5, 2025",31.02,31.22,30.64,30.71,30.71,-0.45%,"269,507"
LTM,Mid-Cap,"Feb 4, 2025",30.96,31.20,30.68,30.85,30.85,0.62%,"318,748"
LTM,Mid-Cap,"Feb 3, 2025",30.21,30.79,29.63,30.66,30.66,0.72%,"287,239"
LTM,Mid-Cap,"Jan 31, 2025",30.66,31.26,30.06,30.44,30.44,0.50%,"489,566"
LTM,Mid-Cap,"Jan 30, 2025",29.38,30.34,29.38,30.29,30.29,5.10%,"329,564"
LTM,Mid-Cap,"Jan 29, 2025",28.20,28.82,28.20,28.82,28.82,2.20%,"287,145"
LTM,Mid-Cap,"Jan 28, 2025",27.67,28.25,27.67,28.20,28.20,0.79%,"311,900"
LTM,Mid-Cap,"Jan 27, 2025",28.07,28.10,27.85,27.98,27.98,-1.03%,"205,392"
LTM,Mid-Cap,"Jan 24, 2025",27.89,28.47,27.89,28.27,28.27,1.00%,"99,505"
LTM,Mid-Cap,"Jan 23, 2025",27.67,28.02,27.67,27.99,27.99,0.47%,"161,017"
LTM,Mid-Cap,"Jan 22, 2025",27.80,28.12,27.79,27.86,27.86,0.94%,"212,018"
LTM,Mid-Cap,"Jan 21, 2025",27.61,27.71,27.34,27.60,27.60,1.25%,"249,592"
LTM,Mid-Cap,"Jan 17, 2025",27.37,27.41,27.12,27.26,27.26,-0.47%,"151,836"
LTM,Mid-Cap,"Jan 16, 2025",27.11,27.39,26.89,27.39,27.39,2.35%,"171,550"
LTM,Mid-Cap,"Jan 15, 2025",27.07,27.16,26.68,26.76,26.76,0.90%,"104,787"
LTM,Mid-Cap,"Jan 14, 2025",26.47,26.75,26.38,26.52,26.52,0.49%,"340,799"
LTM,Mid-Cap,"Jan 13, 2025",26.62,26.75,26.18,26.39,26.39,-1.05%,"128,822"
LTM,Mid-Cap,"Jan 10, 2025",27.17,27.18,26.64,26.67,26.67,-1.44%,"103,781"
LTM,Mid-Cap,"Jan 8, 2025",26.93,27.29,26.75,27.06,27.06,0.22%,"394,343"
LTM,Mid-Cap,"Jan 7, 2025",27.29,27.45,26.97,27.00,27.00,-0.52%,"112,943"
LTM,Mid-Cap,"Jan 6, 2025",26.69,27.34,26.69,27.14,27.14,1.69%,"120,176"
LTM,Mid-Cap,"Jan 3, 2025",27.36,27.36,26.64,26.69,26.69,-2.41%,"98,233"
LTM,Mid-Cap,"Jan 2, 2025",27.54,27.75,27.26,27.35,27.35,-0.83%,"47,294"
LTM,Mid-Cap,"Dec 31, 2024",27.44,27.94,27.14,27.58,27.58,0.80%,"227,951"
LTM,Mid-Cap,"Dec 30, 2024",27.24,27.54,27.03,27.36,27.36,-0.40%,"31,715"
LTM,Mid-Cap,"Dec 27, 2024",27.66,27.68,27.29,27.47,27.47,-0.25%,"39,899"
LTM,Mid-Cap,"Dec 26, 2024",27.76,27.79,27.36,27.54,27.54,-2.10%,"96,832"
LTM,Mid-Cap,"Dec 24, 2024",27.60,28.13,27.42,28.13,28.13,2.18%,"35,879"
LTM,Mid-Cap,"Dec 23, 2024",27.85,27.89,27.20,27.53,27.53,-0.79%,"85,246"
LTM,Mid-Cap,"Dec 20, 2024",27.65,27.93,27.53,27.75,27.75,0.65%,"134,832"
LTM,Mid-Cap,"Dec 19, 2024",27.47,27.78,27.36,27.57,27.57,0.25%,"129,949"
LTM,Mid-Cap,"Dec 18, 2024",28.36,28.36,27.05,27.50,27.50,-3.13%,"273,194"
LTM,Mid-Cap,"Dec 17, 2024",28.61,28.67,28.18,28.39,28.39,-0.94%,"229,354"
LTM,Mid-Cap,"Dec 16, 2024",28.96,28.96,28.47,28.66,28.66,-0.28%,"173,080"
LTM,Mid-Cap,"Dec 13, 2024",28.70,28.89,28.62,28.74,28.74,0.74%,"115,545"
LTM,Mid-Cap,"Dec 12, 2024",28.52,28.82,28.48,28.53,28.53,-0.35%,"79,107"
LTM,Mid-Cap,"Dec 11, 2024",28.53,28.64,28.16,28.63,28.63,0.32%,"167,739"
LTM,Mid-Cap,"Dec 10, 2024",28.85,28.94,28.00,28.54,28.54,-0.63%,"244,066"
LTM,Mid-Cap,"Dec 9, 2024",28.95,29.13,28.70,28.72,28.72,0.53%,"215,949"
LTM,Mid-Cap,"Dec 6, 2024",28.68,28.95,28.51,28.57,28.57,0.67%,"178,169"
LTM,Mid-Cap,"Dec 5, 2024",28.42,28.65,28.05,28.38,28.38,2.05%,"264,797"
LTM,Mid-Cap,"Dec 4, 2024",27.69,28.04,27.56,27.81,27.81,2.13%,"317,765"
LTM,Mid-Cap,"Dec 3, 2024",27.79,27.89,27.14,27.23,27.23,-2.09%,"159,438"
LTM,Mid-Cap,"Dec 2, 2024",27.70,27.82,27.53,27.81,27.81,0.29%,"172,298"
LTM,Mid-Cap,"Nov 29, 2024",27.88,27.94,27.60,27.73,27.73,-0.75%,"79,280"
LTM,Mid-Cap,"Nov 27, 2024",27.20,28.10,27.20,27.94,27.94,3.29%,"198,888"
LTM,Mid-Cap,"Nov 26, 2024",27.21,27.35,26.84,27.05,27.05,0.37%,"119,605"
LTM,Mid-Cap,"Nov 25, 2024",26.87,27.15,26.78,26.95,26.95,0.34%,"272,224"
LTM,Mid-Cap,"Nov 22, 2024",27.27,27.36,26.24,26.86,26.86,-3.07%,"507,626"
LTM,Mid-Cap,"Nov 21, 2024",28.45,28.45,27.50,27.71,27.71,-2.74%,"322,668"
LTM,Mid-Cap,"Nov 20, 2024",28.07,28.66,27.93,28.49,28.49,1.21%,"244,446"
LTM,Mid-Cap,"Nov 19, 2024",27.67,28.20,27.66,28.15,28.15,1.15%,"173,561"
LTM,Mid-Cap,"Nov 18, 2024",27.34,27.87,27.34,27.83,27.83,0.32%,"110,392"
LTM,Mid-Cap,"Nov 15, 2024",27.77,27.77,27.31,27.74,27.74,-0.43%,"186,783"
LTM,Mid-Cap,"Nov 14, 2024",28.01,28.17,27.83,27.86,27.86,0.43%,"258,598"
LTM,Mid-Cap,"Nov 13, 2024",27.10,28.01,26.98,27.74,27.74,2.74%,"277,470"
LTM,Mid-Cap,"Nov 12, 2024",26.68,27.09,26.68,27.00,27.00,-0.07%,"169,645"
LTM,Mid-Cap,"Nov 11, 2024",26.95,27.08,26.69,27.02,27.02,-0.92%,"203,540"
LTM,Mid-Cap,"Nov 8, 2024",27.37,27.37,26.96,27.27,27.27,-2.12%,"163,470"
LTM,Mid-Cap,"Nov 7, 2024",27.63,28.06,27.51,27.86,27.86,1.57%,"463,786"
LTM,Mid-Cap,"Nov 6, 2024",26.62,27.43,26.16,27.43,27.43,1.29%,"246,698"
LTM,Mid-Cap,"Nov 5, 2024",27.18,27.18,26.81,27.08,27.08,-0.11%,"86,326"
LTM,Mid-Cap,"Nov 4, 2024",26.89,27.33,26.72,27.11,27.11,1.08%,"160,488"
LTM,Mid-Cap,"Nov 1, 2024",26.89,27.13,26.75,26.82,26.82,0.07%,"73,110"
LTM,Mid-Cap,"Oct 31, 2024",27.22,27.22,26.72,26.80,26.80,-1.11%,"79,142"
LTM,Mid-Cap,"Oct 30, 2024",26.93,27.19,26.73,27.10,27.10,-1.78%,"148,358"
LTM,Mid-Cap,"Oct 29, 2024",27.83,27.83,27.28,27.59,27.59,-0.93%,"141,428"
LTM,Mid-Cap,"Oct 28, 2024",27.90,28.12,27.80,27.85,27.85,0.83%,"195,975"
