symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
MASI,Mid-Cap,"Feb 14, 2025",180.53,181.54,179.57,181.31,181.31,0.96%,"421,492"
MASI,Mid-Cap,"Feb 13, 2025",179.99,181.46,179.40,179.59,179.59,0.04%,"290,031"
MASI,Mid-Cap,"Feb 12, 2025",173.87,180.00,173.14,179.51,179.51,1.48%,"283,976"
MASI,Mid-Cap,"Feb 11, 2025",176.81,178.85,175.13,176.90,176.90,-0.85%,"347,837"
MASI,Mid-Cap,"Feb 10, 2025",177.77,180.73,176.80,178.41,178.41,1.28%,"429,092"
MASI,Mid-Cap,"Feb 7, 2025",179.90,181.42,174.29,176.16,176.16,-2.14%,"325,823"
MASI,Mid-Cap,"Feb 6, 2025",177.65,180.30,176.52,180.02,180.02,1.17%,"319,151"
MASI,Mid-Cap,"Feb 5, 2025",176.71,178.19,176.29,177.94,177.94,1.27%,"264,891"
MASI,Mid-Cap,"Feb 4, 2025",172.01,176.89,172.00,175.70,175.70,2.07%,"301,713"
MASI,Mid-Cap,"Feb 3, 2025",171.58,174.67,171.04,172.14,172.14,-1.20%,"251,638"
MASI,Mid-Cap,"Jan 31, 2025",181.75,182.47,173.81,174.23,174.23,-4.11%,"555,532"
MASI,Mid-Cap,"Jan 30, 2025",179.19,183.14,179.19,181.70,181.70,2.31%,"442,828"
MASI,Mid-Cap,"Jan 29, 2025",175.94,178.31,175.17,177.60,177.60,1.38%,"470,054"
MASI,Mid-Cap,"Jan 28, 2025",171.05,175.40,170.96,175.18,175.18,2.72%,"624,655"
MASI,Mid-Cap,"Jan 27, 2025",169.50,173.87,169.45,170.54,170.54,0.18%,"437,359"
MASI,Mid-Cap,"Jan 24, 2025",168.00,171.59,168.00,170.24,170.24,1.29%,"337,899"
MASI,Mid-Cap,"Jan 23, 2025",173.03,173.03,167.82,168.08,168.08,-2.93%,"587,941"
MASI,Mid-Cap,"Jan 22, 2025",176.18,176.73,172.32,173.16,173.16,-1.65%,"550,089"
MASI,Mid-Cap,"Jan 21, 2025",172.99,177.08,172.99,176.07,176.07,2.19%,"415,189"
MASI,Mid-Cap,"Jan 17, 2025",172.00,173.37,169.55,172.29,172.29,1.38%,"616,441"
MASI,Mid-Cap,"Jan 16, 2025",172.00,176.00,164.72,169.94,169.94,-1.24%,"994,313"
MASI,Mid-Cap,"Jan 15, 2025",167.72,173.86,166.65,172.07,172.07,3.60%,"722,973"
MASI,Mid-Cap,"Jan 14, 2025",167.00,169.59,164.71,166.09,166.09,0.31%,"349,562"
MASI,Mid-Cap,"Jan 13, 2025",164.62,166.53,163.54,165.57,165.57,-0.51%,"447,535"
