symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
NIO,Mid-Cap,"Feb 14, 2025",4.35,4.55,4.32,4.44,4.44,4.23%,"53,630,074"
NIO,Mid-Cap,"Feb 13, 2025",4.17,4.29,4.16,4.26,4.26,1.19%,"51,756,293"
NIO,Mid-Cap,"Feb 12, 2025",4.08,4.22,4.05,4.21,4.21,4.21%,"73,192,471"
NIO,Mid-Cap,"Feb 11, 2025",4.21,4.21,4.03,4.04,4.04,-6.70%,"69,228,743"
NIO,Mid-Cap,"Feb 10, 2025",4.32,4.35,4.24,4.33,4.33,2.12%,"28,705,439"
NIO,Mid-Cap,"Feb 7, 2025",4.28,4.33,4.19,4.24,4.24,0.95%,"37,198,198"
NIO,Mid-Cap,"Feb 6, 2025",4.24,4.30,4.16,4.20,4.20,-,"31,997,703"
NIO,Mid-Cap,"Feb 5, 2025",4.26,4.29,4.18,4.20,4.20,-4.33%,"35,838,058"
NIO,Mid-Cap,"Feb 4, 2025",4.37,4.50,4.36,4.39,4.39,2.57%,"44,232,149"
NIO,Mid-Cap,"Feb 3, 2025",4.17,4.39,4.11,4.28,4.28,-0.93%,"63,162,724"
NIO,Mid-Cap,"Jan 31, 2025",4.43,4.50,4.30,4.32,4.32,-2.70%,"37,501,723"
NIO,Mid-Cap,"Jan 30, 2025",4.27,4.47,4.27,4.44,4.44,5.21%,"49,084,863"
NIO,Mid-Cap,"Jan 29, 2025",4.32,4.35,4.22,4.22,4.22,-2.31%,"24,440,741"
NIO,Mid-Cap,"Jan 28, 2025",4.27,4.33,4.17,4.32,4.32,1.17%,"37,121,668"
NIO,Mid-Cap,"Jan 27, 2025",4.32,4.42,4.25,4.27,4.27,-0.47%,"51,189,523"
NIO,Mid-Cap,"Jan 24, 2025",4.19,4.35,4.14,4.29,4.29,3.87%,"40,544,463"
NIO,Mid-Cap,"Jan 23, 2025",4.22,4.22,4.09,4.13,4.13,-3.50%,"33,087,975"
NIO,Mid-Cap,"Jan 22, 2025",4.17,4.36,4.13,4.28,4.28,2.39%,"39,858,962"
NIO,Mid-Cap,"Jan 21, 2025",4.35,4.38,4.17,4.18,4.18,-4.13%,"38,457,548"
NIO,Mid-Cap,"Jan 17, 2025",4.21,4.42,4.19,4.36,4.36,4.81%,"50,447,581"
NIO,Mid-Cap,"Jan 16, 2025",4.10,4.20,4.08,4.16,4.16,1.46%,"28,870,087"
NIO,Mid-Cap,"Jan 15, 2025",4.11,4.14,4.02,4.10,4.10,0.49%,"32,660,968"
NIO,Mid-Cap,"Jan 14, 2025",4.14,4.20,4.02,4.08,4.08,0.49%,"32,476,614"
NIO,Mid-Cap,"Jan 13, 2025",4.12,4.12,4.01,4.06,4.06,-2.64%,"36,105,351"
NIO,Mid-Cap,"Jan 10, 2025",4.25,4.27,4.16,4.17,4.17,-3.47%,"41,829,017"
NIO,Mid-Cap,"Jan 8, 2025",4.40,4.41,4.26,4.32,4.32,-4.21%,"49,570,100"
NIO,Mid-Cap,"Jan 7, 2025",4.63,4.68,4.45,4.51,4.51,-4.25%,"61,962,000"
NIO,Mid-Cap,"Jan 6, 2025",4.77,4.91,4.67,4.71,4.71,1.73%,"53,340,651"
NIO,Mid-Cap,"Jan 3, 2025",4.52,4.66,4.46,4.63,4.63,1.76%,"35,597,937"
NIO,Mid-Cap,"Jan 2, 2025",4.42,4.73,4.36,4.55,4.55,4.36%,"63,007,712"
NIO,Mid-Cap,"Dec 31, 2024",4.43,4.56,4.35,4.36,4.36,-0.46%,"39,899,681"
NIO,Mid-Cap,"Dec 30, 2024",4.43,4.47,4.33,4.38,4.38,-2.23%,"36,562,585"
NIO,Mid-Cap,"Dec 27, 2024",4.64,4.65,4.48,4.48,4.48,-4.48%,"41,203,574"
NIO,Mid-Cap,"Dec 26, 2024",4.63,4.83,4.61,4.69,4.69,1.52%,"33,923,427"
NIO,Mid-Cap,"Dec 24, 2024",4.51,4.68,4.51,4.62,4.62,3.12%,"24,244,377"
NIO,Mid-Cap,"Dec 23, 2024",4.50,4.55,4.47,4.48,4.48,-1.32%,"32,756,004"
NIO,Mid-Cap,"Dec 20, 2024",4.48,4.61,4.42,4.54,4.54,3.18%,"36,765,627"
NIO,Mid-Cap,"Dec 19, 2024",4.40,4.51,4.37,4.40,4.40,1.85%,"27,936,436"
NIO,Mid-Cap,"Dec 18, 2024",4.55,4.57,4.28,4.32,4.32,-4.85%,"45,533,851"
NIO,Mid-Cap,"Dec 17, 2024",4.40,4.62,4.39,4.54,4.54,2.71%,"39,286,618"
NIO,Mid-Cap,"Dec 16, 2024",4.47,4.57,4.40,4.42,4.42,-2.00%,"36,537,694"
NIO,Mid-Cap,"Dec 13, 2024",4.53,4.55,4.45,4.51,4.51,-1.74%,"31,903,261"
NIO,Mid-Cap,"Dec 12, 2024",4.60,4.65,4.49,4.59,4.59,-1.71%,"47,028,890"
NIO,Mid-Cap,"Dec 11, 2024",4.78,4.80,4.57,4.67,4.67,-2.10%,"55,104,360"
NIO,Mid-Cap,"Dec 10, 2024",4.95,5.02,4.75,4.77,4.77,-7.92%,"64,769,707"
NIO,Mid-Cap,"Dec 9, 2024",4.94,5.36,4.93,5.18,5.18,12.36%,"123,185,728"
NIO,Mid-Cap,"Dec 6, 2024",4.70,4.71,4.56,4.61,4.61,-,"44,028,266"
NIO,Mid-Cap,"Dec 5, 2024",4.65,4.77,4.60,4.61,4.61,0.22%,"86,599,497"
NIO,Mid-Cap,"Dec 4, 2024",4.67,4.74,4.52,4.60,4.60,-0.86%,"47,932,741"
NIO,Mid-Cap,"Dec 3, 2024",4.41,4.83,4.40,4.64,4.64,5.45%,"79,059,846"
NIO,Mid-Cap,"Dec 2, 2024",4.49,4.61,4.36,4.40,4.40,-1.79%,"40,711,242"
NIO,Mid-Cap,"Nov 29, 2024",4.38,4.53,4.36,4.48,4.48,2.28%,"29,218,231"
NIO,Mid-Cap,"Nov 27, 2024",4.44,4.45,4.28,4.38,4.38,1.62%,"45,474,476"
NIO,Mid-Cap,"Nov 26, 2024",4.60,4.61,4.31,4.31,4.31,-7.71%,"71,245,235"
NIO,Mid-Cap,"Nov 25, 2024",4.79,4.86,4.64,4.67,4.67,-3.51%,"54,234,921"
NIO,Mid-Cap,"Nov 22, 2024",4.60,4.92,4.59,4.84,4.84,2.98%,"66,538,413"
NIO,Mid-Cap,"Nov 21, 2024",4.58,4.81,4.50,4.70,4.70,1.08%,"54,962,295"
NIO,Mid-Cap,"Nov 20, 2024",4.41,4.84,4.31,4.65,4.65,0.43%,"92,292,297"
NIO,Mid-Cap,"Nov 19, 2024",4.75,4.75,4.48,4.63,4.63,-0.86%,"81,563,506"
NIO,Mid-Cap,"Nov 18, 2024",4.61,4.75,4.55,4.67,4.67,4.01%,"47,955,673"
NIO,Mid-Cap,"Nov 15, 2024",4.44,4.51,4.36,4.49,4.49,1.35%,"46,287,426"
NIO,Mid-Cap,"Nov 14, 2024",4.57,4.65,4.43,4.43,4.43,-3.90%,"39,880,863"
NIO,Mid-Cap,"Nov 13, 2024",4.66,4.69,4.56,4.61,4.61,0.66%,"45,111,275"
NIO,Mid-Cap,"Nov 12, 2024",4.88,4.88,4.58,4.58,4.58,-9.49%,"86,695,677"
NIO,Mid-Cap,"Nov 11, 2024",5.18,5.23,5.00,5.06,5.06,-0.59%,"51,270,555"
NIO,Mid-Cap,"Nov 8, 2024",5.16,5.20,5.02,5.09,5.09,-4.14%,"57,885,297"
NIO,Mid-Cap,"Nov 7, 2024",5.23,5.35,5.13,5.31,5.31,6.20%,"56,496,051"
NIO,Mid-Cap,"Nov 6, 2024",5.00,5.18,4.86,5.00,5.00,-5.30%,"81,290,901"
NIO,Mid-Cap,"Nov 5, 2024",5.28,5.38,5.22,5.28,5.28,2.72%,"32,012,097"
NIO,Mid-Cap,"Nov 4, 2024",5.13,5.30,5.12,5.14,5.14,0.78%,"36,745,788"
NIO,Mid-Cap,"Nov 1, 2024",5.14,5.19,5.00,5.10,5.10,-,"43,951,803"
NIO,Mid-Cap,"Oct 31, 2024",5.30,5.31,5.05,5.10,5.10,-4.67%,"50,277,419"
NIO,Mid-Cap,"Oct 30, 2024",5.44,5.44,5.30,5.35,5.35,-4.46%,"57,415,089"
NIO,Mid-Cap,"Oct 29, 2024",5.90,5.91,5.59,5.60,5.60,-3.61%,"64,407,147"
NIO,Mid-Cap,"Oct 28, 2024",5.38,6.03,5.37,5.81,5.81,10.46%,"109,992,439"
NIO,Mid-Cap,"Oct 25, 2024",5.06,5.35,5.01,5.26,5.26,5.62%,"67,917,085"
NIO,Mid-Cap,"Oct 24, 2024",5.15,5.16,4.96,4.98,4.98,-4.05%,"49,328,665"
NIO,Mid-Cap,"Oct 23, 2024",5.22,5.29,5.15,5.19,5.19,-0.76%,"36,170,884"
NIO,Mid-Cap,"Oct 22, 2024",5.16,5.35,5.15,5.23,5.23,1.75%,"38,285,846"
NIO,Mid-Cap,"Oct 21, 2024",5.09,5.27,5.05,5.14,5.14,-1.53%,"35,255,310"
NIO,Mid-Cap,"Oct 18, 2024",5.46,5.49,5.18,5.22,5.22,1.36%,"66,972,487"
NIO,Mid-Cap,"Oct 17, 2024",5.36,5.36,5.05,5.15,5.15,-6.53%,"74,651,603"
NIO,Mid-Cap,"Oct 16, 2024",5.66,5.69,5.48,5.51,5.51,-1.96%,"46,932,629"
NIO,Mid-Cap,"Oct 15, 2024",5.61,5.81,5.55,5.62,5.62,-2.94%,"67,585,753"
NIO,Mid-Cap,"Oct 14, 2024",6.06,6.18,5.76,5.79,5.79,-7.21%,"80,930,082"
NIO,Mid-Cap,"Oct 11, 2024",6.06,6.30,6.03,6.24,6.24,0.32%,"42,897,918"
NIO,Mid-Cap,"Oct 10, 2024",6.23,6.35,6.13,6.22,6.22,-1.11%,"47,902,284"
NIO,Mid-Cap,"Oct 9, 2024",6.08,6.45,5.98,6.29,6.29,0.80%,"70,071,069"
NIO,Mid-Cap,"Oct 8, 2024",6.26,6.40,6.11,6.24,6.24,-8.10%,"82,359,219"
NIO,Mid-Cap,"Oct 7, 2024",6.81,6.93,6.56,6.79,6.79,0.30%,"78,405,035"
NIO,Mid-Cap,"Oct 4, 2024",6.72,6.80,6.40,6.77,6.77,1.04%,"92,195,003"
NIO,Mid-Cap,"Oct 3, 2024",6.86,6.99,6.67,6.70,6.70,-7.07%,"99,136,027"
NIO,Mid-Cap,"Oct 2, 2024",7.24,7.38,6.82,7.21,7.21,2.56%,"135,598,126"
NIO,Mid-Cap,"Oct 1, 2024",6.90,7.08,6.44,7.03,7.03,5.24%,"146,968,869"
NIO,Mid-Cap,"Sep 30, 2024",7.70,7.71,6.66,6.68,6.68,2.45%,"214,406,996"
NIO,Mid-Cap,"Sep 27, 2024",6.01,6.66,5.99,6.52,6.52,12.80%,"180,982,054"
NIO,Mid-Cap,"Sep 26, 2024",6.00,6.20,5.70,5.78,5.78,2.30%,"139,473,626"
NIO,Mid-Cap,"Sep 25, 2024",5.70,5.84,5.57,5.65,5.65,-4.88%,"72,687,376"
NIO,Mid-Cap,"Sep 24, 2024",5.76,5.96,5.61,5.94,5.94,11.65%,"116,346,140"
NIO,Mid-Cap,"Sep 23, 2024",5.20,5.56,5.05,5.32,5.32,0.76%,"66,291,849"
