symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PAC,Mid-Cap,"Feb 14, 2025",198.43,200.70,195.26,196.18,196.18,-1.46%,"102,163"
PAC,Mid-Cap,"Feb 13, 2025",201.70,203.85,198.72,199.08,199.08,-2.15%,"77,336"
PAC,Mid-Cap,"Feb 12, 2025",194.29,204.37,193.61,203.45,203.45,4.33%,"83,339"
PAC,Mid-Cap,"Feb 11, 2025",188.00,195.70,186.47,195.00,195.00,3.23%,"70,283"
PAC,Mid-Cap,"Feb 10, 2025",188.19,190.20,186.98,188.89,188.89,0.89%,"43,781"
PAC,Mid-Cap,"Feb 7, 2025",190.10,190.26,184.00,187.22,187.22,-1.14%,"88,079"
PAC,Mid-Cap,"Feb 6, 2025",185.27,191.28,183.25,189.37,189.37,3.15%,"102,490"
PAC,Mid-Cap,"Feb 5, 2025",186.33,189.22,182.28,183.59,183.59,-1.55%,"81,719"
PAC,Mid-Cap,"Feb 4, 2025",187.92,189.70,184.39,186.48,186.48,0.12%,"77,228"
PAC,Mid-Cap,"Feb 3, 2025",180.08,187.54,178.19,186.25,186.25,0.49%,"79,546"
PAC,Mid-Cap,"Jan 31, 2025",191.51,193.24,184.19,185.35,185.35,-3.81%,"97,691"
PAC,Mid-Cap,"Jan 30, 2025",188.42,193.74,187.45,192.70,192.70,2.55%,"64,984"
PAC,Mid-Cap,"Jan 29, 2025",187.79,187.90,182.43,187.90,187.90,0.46%,"90,374"
PAC,Mid-Cap,"Jan 28, 2025",187.24,187.54,185.01,187.04,187.04,-0.43%,"108,213"
PAC,Mid-Cap,"Jan 27, 2025",188.33,188.58,184.82,187.84,187.84,-0.82%,"71,734"
PAC,Mid-Cap,"Jan 24, 2025",188.00,190.08,186.57,189.40,189.40,0.02%,"131,028"
PAC,Mid-Cap,"Jan 23, 2025",188.43,191.31,187.99,189.37,189.37,-0.08%,"139,897"
PAC,Mid-Cap,"Jan 22, 2025",189.55,191.33,188.24,189.53,189.53,0.62%,"148,990"
PAC,Mid-Cap,"Jan 21, 2025",189.63,191.12,185.15,188.36,188.36,-1.03%,"115,030"
PAC,Mid-Cap,"Jan 17, 2025",190.31,193.02,188.90,190.32,190.32,0.46%,"139,663"
PAC,Mid-Cap,"Jan 16, 2025",193.11,193.11,189.31,189.44,189.44,-2.46%,"28,828"
PAC,Mid-Cap,"Jan 15, 2025",192.00,194.21,190.50,194.21,194.21,1.76%,"44,209"
PAC,Mid-Cap,"Jan 14, 2025",187.32,191.82,187.32,190.85,190.85,1.88%,"39,738"
PAC,Mid-Cap,"Jan 13, 2025",179.95,187.58,179.95,187.32,187.32,2.44%,"65,243"
PAC,Mid-Cap,"Jan 10, 2025",182.50,185.31,181.37,182.85,182.85,-0.54%,"43,621"
PAC,Mid-Cap,"Jan 8, 2025",187.73,188.48,181.96,183.84,183.84,-2.44%,"31,309"
PAC,Mid-Cap,"Jan 7, 2025",186.76,190.21,185.88,188.44,188.44,2.13%,"38,199"
PAC,Mid-Cap,"Jan 6, 2025",181.30,186.97,181.30,184.51,184.51,3.18%,"24,975"
PAC,Mid-Cap,"Jan 3, 2025",181.44,181.75,177.54,178.82,178.82,-1.73%,"44,448"
PAC,Mid-Cap,"Jan 2, 2025",177.55,182.41,177.13,181.97,181.97,3.99%,"37,375"
PAC,Mid-Cap,"Dec 31, 2024",174.34,176.35,173.75,174.99,174.99,-0.20%,"38,048"
PAC,Mid-Cap,"Dec 30, 2024",178.00,178.00,172.46,175.34,175.34,-1.89%,"89,069"
PAC,Mid-Cap,"Dec 27, 2024",180.53,181.06,177.61,178.71,178.71,-0.63%,"28,048"
PAC,Mid-Cap,"Dec 26, 2024",182.65,182.88,179.84,179.84,179.84,-0.99%,"32,451"
PAC,Mid-Cap,"Dec 24, 2024",180.93,185.33,180.56,181.63,181.63,-0.38%,"20,263"
PAC,Mid-Cap,"Dec 23, 2024",179.60,182.33,177.68,182.32,182.32,0.66%,"34,639"
PAC,Mid-Cap,"Dec 20, 2024",179.09,184.17,179.09,181.12,181.12,0.31%,"42,276"
PAC,Mid-Cap,"Dec 19, 2024",183.35,187.15,179.44,180.56,180.56,-1.27%,"39,273"
PAC,Mid-Cap,"Dec 18, 2024",185.75,187.57,182.60,182.89,182.89,-1.78%,"58,821"
PAC,Mid-Cap,"Dec 17, 2024",186.34,191.01,186.20,186.20,186.20,-1.16%,"65,140"
PAC,Mid-Cap,"Dec 16, 2024",188.50,190.32,186.88,188.38,188.38,-0.22%,"71,794"
PAC,Mid-Cap,"Dec 13, 2024",190.16,190.45,183.84,188.80,188.80,-0.19%,"103,025"
PAC,Mid-Cap,"Dec 12, 2024",191.27,193.97,188.92,189.15,189.15,-1.11%,"26,558"
PAC,Mid-Cap,"Dec 11, 2024",198.47,198.47,188.49,191.27,191.27,-2.55%,"94,587"
PAC,Mid-Cap,"Dec 10, 2024",196.18,197.42,194.46,196.28,196.28,0.01%,"28,129"
