symbol,market_cap_category,date,open,high,low,close,adj_close,change,volume
PNFP,Mid-Cap,"Feb 14, 2025",120.60,121.40,119.73,120.24,120.24,0.33%,"386,124"
PNFP,Mid-Cap,"Feb 13, 2025",119.53,120.55,119.04,119.85,119.85,0.49%,"453,410"
PNFP,Mid-Cap,"Feb 12, 2025",121.83,121.83,119.18,119.27,119.27,-3.35%,"437,611"
PNFP,Mid-Cap,"Feb 11, 2025",121.80,123.69,121.52,123.40,123.40,0.87%,"373,063"
PNFP,Mid-Cap,"Feb 10, 2025",123.99,124.08,122.19,122.33,122.33,-1.16%,"319,123"
PNFP,Mid-Cap,"Feb 7, 2025",126.06,126.06,123.07,123.76,123.76,-1.89%,"315,371"
PNFP,Mid-Cap,"Feb 6, 2025",126.39,126.81,125.45,126.15,125.91,0.64%,"579,780"
PNFP,Mid-Cap,"Feb 5, 2025",124.70,125.51,122.75,125.35,125.11,1.32%,"427,794"
PNFP,Mid-Cap,"Feb 4, 2025",121.56,124.47,120.91,123.72,123.48,1.54%,"475,283"
PNFP,Mid-Cap,"Feb 3, 2025",120.88,124.17,119.00,121.84,121.60,-2.35%,"386,962"
PNFP,Mid-Cap,"Jan 31, 2025",125.75,126.54,124.15,124.77,124.53,-0.92%,"478,731"
PNFP,Mid-Cap,"Jan 30, 2025",126.73,127.85,124.18,125.93,125.69,0.34%,"828,863"
PNFP,Mid-Cap,"Jan 29, 2025",124.48,127.41,124.12,125.50,125.26,0.80%,"548,152"
PNFP,Mid-Cap,"Jan 28, 2025",123.61,125.04,122.92,124.51,124.27,-0.03%,"472,111"
PNFP,Mid-Cap,"Jan 27, 2025",123.27,125.10,122.27,124.55,124.31,1.03%,"537,431"
PNFP,Mid-Cap,"Jan 24, 2025",122.39,123.82,121.82,123.28,123.04,0.77%,"365,093"
PNFP,Mid-Cap,"Jan 23, 2025",122.15,124.79,121.60,122.34,122.10,0.25%,"571,678"
PNFP,Mid-Cap,"Jan 22, 2025",123.20,123.22,118.48,122.04,121.80,1.51%,"700,042"
PNFP,Mid-Cap,"Jan 21, 2025",120.96,122.00,120.02,120.22,119.99,0.26%,"664,945"
PNFP,Mid-Cap,"Jan 17, 2025",119.52,120.59,118.74,119.91,119.68,1.57%,"842,556"
PNFP,Mid-Cap,"Jan 16, 2025",119.25,120.02,117.65,118.06,117.83,-1.58%,"421,076"
PNFP,Mid-Cap,"Jan 15, 2025",122.19,122.74,118.61,119.96,119.73,1.69%,"536,461"
PNFP,Mid-Cap,"Jan 14, 2025",114.51,118.20,113.88,117.97,117.74,4.36%,"428,175"
PNFP,Mid-Cap,"Jan 13, 2025",110.98,113.21,110.66,113.04,112.82,0.73%,"416,863"
PNFP,Mid-Cap,"Jan 10, 2025",113.39,113.72,111.13,112.22,112.00,-2.83%,"482,598"
PNFP,Mid-Cap,"Jan 8, 2025",113.60,116.21,112.60,115.49,115.27,1.16%,"308,501"
PNFP,Mid-Cap,"Jan 7, 2025",115.70,117.14,113.01,114.17,113.95,-1.05%,"326,279"
PNFP,Mid-Cap,"Jan 6, 2025",116.00,118.44,114.90,115.38,115.16,-0.03%,"548,992"
PNFP,Mid-Cap,"Jan 3, 2025",114.07,115.59,111.49,115.42,115.20,1.67%,"378,473"
PNFP,Mid-Cap,"Jan 2, 2025",115.51,116.20,113.15,113.52,113.30,-0.76%,"337,620"
PNFP,Mid-Cap,"Dec 31, 2024",114.47,115.39,113.59,114.39,114.17,0.56%,"311,146"
PNFP,Mid-Cap,"Dec 30, 2024",113.30,114.58,112.33,113.75,113.53,-0.40%,"212,021"
